time,Toronto,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Valanciunas (J. Wall gains possession),,,,Jump ball: M. Gortat vs. J. Valanciunas (J. Wall gains possession)
11:34.0,,,0-0,,J. Wall misses 3-pt shot from 25 ft
11:30.0,Defensive rebound by J. Valanciunas,,0-0,,
11:06.0,K. Lowry misses 2-pt shot from 10 ft,,0-0,,
11:03.0,Offensive rebound by K. Lowry,,0-0,,
10:45.0,Shooting foul by M. Morris (drawn by S. Ibaka),,0-0,,
10:45.0,S. Ibaka misses free throw 1 of 2,,0-0,,
10:45.0,Offensive rebound by Team,,0-0,,
10:45.0,S. Ibaka makes free throw 2 of 2,1,1-0,,
10:34.0,,,1-0,,O. Porter misses 2-pt shot from 19 ft
10:30.0,Defensive rebound by J. Valanciunas,,1-0,,
10:23.0,Turnover by K. Lowry (bad pass),,1-0,,
10:13.0,,,1-2,2,B. Beal makes 2-pt shot from 11 ft (assist by J. Wall)
9:51.0,O. Anunoby makes 3-pt shot from 24 ft (assist by S. Ibaka),3,4-2,,
9:33.0,Personal foul by O. Anunoby,,4-2,,
9:28.0,,,4-4,2,B. Beal makes 2-pt shot from 17 ft (assist by M. Gortat)
9:08.0,D. DeRozan makes 3-pt shot from 25 ft (assist by K. Lowry),3,7-4,,
8:46.0,,,7-6,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
8:35.0,Turnover by S. Ibaka (traveling),,7-6,,
8:27.0,,,7-6,,B. Beal misses 2-pt shot from 19 ft
8:23.0,Defensive rebound by S. Ibaka,,7-6,,
8:09.0,D. DeRozan misses 3-pt shot from 26 ft,,7-6,,
8:09.0,,,7-6,,Defensive rebound by Team
8:01.0,,,7-6,,J. Wall misses 2-pt shot from 17 ft
7:57.0,,,7-6,,Offensive rebound by M. Gortat
7:55.0,,,7-6,,J. Wall misses 3-pt shot from 25 ft
7:52.0,,,7-6,,Offensive rebound by M. Gortat
7:51.0,,,7-8,2,M. Gortat makes 2-pt shot from 3 ft
7:38.0,D. DeRozan makes 2-pt shot from 4 ft (assist by K. Lowry),2,9-8,,
7:15.0,,,9-8,,M. Gortat misses 2-pt shot from 14 ft
7:12.0,Defensive rebound by S. Ibaka,,9-8,,
6:57.0,D. DeRozan makes 2-pt shot from 14 ft,2,11-8,,
6:40.0,,,11-10,2,O. Porter makes 2-pt shot from 13 ft (assist by J. Wall)
6:19.0,K. Lowry makes 3-pt shot from 25 ft (assist by S. Ibaka),3,14-10,,
6:19.0,,,14-10,,Away from play foul by M. Morris (drawn by J. Valanciunas)
6:19.0,J. Valanciunas makes free throw 1 of 1,1,15-10,,
6:19.0,,,15-10,,Washington full timeout
6:19.0,,,15-10,,M. Scott enters the game for M. Morris
6:07.0,,,15-10,,O. Porter misses 2-pt shot from 6 ft
6:03.0,Defensive rebound by S. Ibaka,,15-10,,
5:59.0,K. Lowry misses 2-pt shot from 12 ft,,15-10,,
