time,Detroit,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. A. Drummond (R. Bullock gains possession),,,,Jump ball: D. Howard vs. A. Drummond (R. Bullock gains possession)
11:45.0,A. Drummond makes 2-pt shot from 11 ft (assist by I. Smith),2,2-0,,
11:27.0,,,2-0,,M. Williams misses 2-pt shot from 2 ft
11:24.0,Defensive rebound by R. Bullock,,2-0,,
11:13.0,I. Smith makes 2-pt shot from 17 ft (assist by R. Bullock),2,4-0,,
10:57.0,,,4-0,,Turnover by K. Walker (bad pass; steal by I. Smith)
10:52.0,Turnover by B. Griffin (turnover),,4-0,,
10:40.0,,,4-2,2,M. Williams makes 2-pt shot at rim (assist by K. Walker)
10:20.0,I. Smith makes 2-pt shot from 1 ft,2,6-2,,
10:03.0,,,6-4,2,K. Walker makes 2-pt shot from 20 ft
9:49.0,R. Bullock misses 3-pt shot from 25 ft,,6-4,,
9:46.0,,,6-4,,Defensive rebound by D. Howard
9:38.0,,,6-4,,K. Walker misses 2-pt shot from 1 ft
9:33.0,,,6-4,,Offensive rebound by D. Howard
9:33.0,,,6-6,2,D. Howard makes 2-pt shot at rim
9:20.0,B. Griffin makes 2-pt shot from 1 ft (assist by R. Bullock),2,8-6,,
8:59.0,,,8-6,,M. Williams misses 3-pt shot from 25 ft
8:56.0,Defensive rebound by A. Drummond,,8-6,,
8:47.0,Turnover by A. Drummond (turnover),,8-6,,
8:35.0,,,8-6,,Turnover by D. Howard (traveling)
8:14.0,A. Drummond misses 2-pt shot from 9 ft,,8-6,,
8:12.0,,,8-6,,Defensive rebound by N. Batum
8:06.0,,,8-8,2,D. Howard makes 2-pt shot at rim (assist by N. Batum)
7:47.0,I. Smith misses 2-pt shot from 11 ft,,8-8,,
7:44.0,,,8-8,,Defensive rebound by D. Howard
7:35.0,,,8-8,,N. Batum misses 3-pt shot from 25 ft
7:31.0,Defensive rebound by A. Drummond,,8-8,,
7:19.0,B. Griffin misses 3-pt shot from 25 ft,,8-8,,
7:17.0,,,8-8,,Defensive rebound by D. Howard
7:11.0,,,8-11,3,M. Williams makes 3-pt shot from 23 ft (assist by N. Batum)
6:50.0,R. Bullock misses 2-pt shot from 11 ft,,8-11,,
6:48.0,,,8-11,,Defensive rebound by N. Batum
6:44.0,,,8-11,,K. Walker misses 3-pt shot from 22 ft
6:37.0,,,8-11,,Offensive rebound by D. Howard
6:37.0,,,8-13,2,D. Howard makes 2-pt shot at rim
6:24.0,,,8-13,,Personal foul by M. Williams (drawn by A. Drummond)
6:24.0,,,8-13,,Charlotte full timeout
6:17.0,Shooting foul by M. Kidd-Gilchrist (drawn by R. Bullock),,8-13,,
6:17.0,R. Bullock makes free throw 1 of 2,1,9-13,,
6:17.0,R. Bullock makes free throw 2 of 2,1,10-13,,
