time,Washington,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. M. Gortat (M. Morris gains possession),,,,Jump ball: D. Howard vs. M. Gortat (M. Morris gains possession)
11:36.0,B. Beal misses 2-pt shot from 20 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by D. Howard
11:16.0,,,0-2,2,M. Kidd-Gilchrist makes 2-pt shot from 17 ft (assist by D. Howard)
10:57.0,Shooting foul by N. Batum (drawn by O. Porter),,0-2,,
10:57.0,O. Porter makes free throw 1 of 2,1,1-2,,
10:57.0,O. Porter makes free throw 2 of 2,1,2-2,,
10:45.0,,,2-2,,N. Batum misses 3-pt shot from 27 ft
10:42.0,Defensive rebound by M. Morris,,2-2,,
10:31.0,J. Wall misses 2-pt shot from 16 ft,,2-2,,
10:28.0,Offensive rebound by B. Beal,,2-2,,
10:17.0,M. Morris makes 2-pt shot from 15 ft (assist by J. Wall),2,4-2,,
9:59.0,,,4-2,,D. Howard misses 2-pt shot from 4 ft (block by M. Gortat)
9:57.0,Defensive rebound by O. Porter,,4-2,,
9:57.0,,,4-2,,Personal foul by D. Howard (drawn by M. Gortat)
9:40.0,J. Wall makes 2-pt shot at rim,2,6-2,,
9:40.0,,,6-2,,Violation by D. Howard (def goaltending)
9:32.0,,,6-2,,Shooting foul by O. Porter (drawn by D. Howard)
9:32.0,,,6-3,1,D. Howard makes free throw 1 of 2
9:32.0,,,6-4,1,D. Howard makes free throw 2 of 2
9:20.0,Turnover by M. Morris (turnover),,6-4,,
9:11.0,,,6-4,,N. Batum misses 3-pt shot from 27 ft
9:08.0,Defensive rebound by M. Morris,,6-4,,
9:03.0,J. Wall makes 2-pt shot at rim,2,8-4,,
8:51.0,,,8-4,,K. Walker misses 3-pt shot from 29 ft
8:47.0,Defensive rebound by M. Morris,,8-4,,
8:42.0,B. Beal misses 2-pt shot from 2 ft,,8-4,,
8:39.0,Offensive rebound by J. Wall,,8-4,,
8:37.0,J. Wall misses 3-pt shot from 24 ft,,8-4,,
8:34.0,,,8-4,,Defensive rebound by N. Batum
8:25.0,,,8-6,2,M. Williams makes 2-pt shot from 4 ft (assist by K. Walker)
8:03.0,M. Gortat makes 2-pt shot from 9 ft (assist by O. Porter),2,10-6,,
7:41.0,,,10-6,,N. Batum misses 2-pt shot from 13 ft (block by M. Morris)
7:38.0,Defensive rebound by M. Gortat,,10-6,,
7:31.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,13-6,,
7:08.0,,,13-8,2,N. Batum makes 2-pt shot from 2 ft (assist by D. Howard)
6:57.0,M. Morris makes 3-pt shot from 27 ft (assist by J. Wall),3,16-8,,
6:50.0,,,16-8,,Charlotte full timeout
6:45.0,Personal foul by B. Beal (drawn by D. Howard),,16-8,,
6:40.0,,,16-10,2,D. Howard makes 2-pt shot from 3 ft (assist by M. Williams)
6:16.0,J. Wall misses 2-pt shot from 12 ft,,16-10,,
6:10.0,,,16-10,,Defensive rebound by N. Batum
6:03.0,,,16-10,,D. Howard misses 2-pt shot from 3 ft
6:03.0,,,16-10,,Offensive rebound by D. Howard
6:03.0,,,16-10,,Shooting foul by M. Gortat (drawn by D. Howard)
6:03.0,,,16-11,1,D. Howard makes free throw 1 of 2
6:03.0,,,16-11,,D. Howard misses free throw 2 of 2
6:01.0,Defensive rebound by M. Gortat,,16-11,,
5:54.0,Turnover by B. Beal (palming),,16-11,,
5:43.0,,,16-13,2,K. Walker makes 2-pt shot from 2 ft
