time,Miami,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. H. Whiteside (D. Favors gains possession),,,,Jump ball: R. Gobert vs. H. Whiteside (D. Favors gains possession)
11:39.0,,,0-2,2,D. Mitchell makes 2-pt shot from 2 ft (assist by J. Ingles)
11:17.0,J. Winslow misses 2-pt shot from 3 ft (block by D. Favors),,0-2,,
11:17.0,,,0-2,,Defensive rebound by J. Ingles
11:04.0,,,0-4,2,D. Mitchell makes 2-pt shot from 1 ft
10:45.0,J. Winslow misses 3-pt shot from 23 ft,,0-4,,
10:43.0,Offensive rebound by H. Whiteside,,0-4,,
10:40.0,D. Waiters misses 2-pt shot from 3 ft,,0-4,,
10:38.0,,,0-4,,Defensive rebound by D. Mitchell
10:34.0,,,0-4,,J. Ingles misses 3-pt shot from 25 ft
10:29.0,Defensive rebound by H. Whiteside,,0-4,,
10:22.0,G. Dragic makes 2-pt shot from 13 ft,2,2-4,,
10:08.0,,,2-4,,D. Mitchell misses 2-pt shot from 15 ft
10:03.0,Defensive rebound by J. Winslow,,2-4,,
9:57.0,G. Dragic misses 2-pt shot from 7 ft,,2-4,,
9:55.0,,,2-4,,Defensive rebound by R. Gobert
9:35.0,,,2-4,,D. Mitchell misses 2-pt shot from 1 ft (block by H. Whiteside)
9:35.0,,,2-4,,Offensive rebound by Team
9:35.0,Personal foul by D. Waiters (drawn by R. Gobert),,2-4,,
9:32.0,,,2-4,,Turnover by R. Rubio (bad pass; steal by H. Whiteside)
9:28.0,G. Dragic misses 3-pt shot from 23 ft,,2-4,,
9:22.0,,,2-4,,Defensive rebound by R. Rubio
9:18.0,,,2-4,,Shooting foul by J. Richardson (drawn by R. Rubio)
9:18.0,,,2-5,1,R. Rubio makes free throw 1 of 2
9:18.0,,,2-6,1,R. Rubio makes free throw 2 of 2
9:03.0,J. Richardson makes 3-pt shot from 25 ft (assist by G. Dragic),3,5-6,,
8:43.0,,,5-8,2,D. Favors makes 2-pt shot from 1 ft (assist by R. Rubio)
8:29.0,Turnover by G. Dragic (lost ball; steal by J. Ingles),,5-8,,
8:25.0,,,5-10,2,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles)
7:58.0,Turnover by D. Waiters (bad pass; steal by J. Ingles),,5-10,,
7:56.0,,,5-10,,Turnover by J. Ingles (bad pass)
7:46.0,H. Whiteside misses 2-pt shot from 19 ft,,5-10,,
7:43.0,,,5-10,,Defensive rebound by R. Rubio
7:34.0,,,5-10,,D. Favors misses 2-pt shot from 12 ft
7:34.0,Defensive rebound by J. Richardson,,5-10,,
7:22.0,D. Waiters misses 3-pt shot from 23 ft,,5-10,,
7:22.0,,,5-10,,Defensive rebound by R. Gobert
7:11.0,,,5-10,,R. Rubio misses 2-pt shot from 14 ft
7:08.0,Defensive rebound by H. Whiteside,,5-10,,
6:58.0,J. Richardson misses 2-pt shot from 8 ft,,5-10,,
6:55.0,,,5-10,,Defensive rebound by R. Gobert
