time,Phoenix,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. T. Chandler (M. Chriss gains possession),,,,Jump ball: P. Gasol vs. T. Chandler (M. Chriss gains possession)
11:37.0,Turnover by D. Booker (lost ball; steal by D. Green),,0-0,,
11:16.0,,,0-0,,P. Gasol misses 2-pt shot from 18 ft
11:14.0,Defensive rebound by D. Booker,,0-0,,
11:08.0,T. Warren misses 2-pt shot from 15 ft,,0-0,,
11:05.0,,,0-0,,Defensive rebound by P. Mills
10:44.0,,,0-2,2,D. Green makes 2-pt shot from 17 ft (assist by P. Gasol)
10:31.0,M. James misses 3-pt shot from 26 ft,,0-2,,
10:28.0,,,0-2,,Defensive rebound by K. Anderson
10:19.0,,,0-2,,L. Aldridge misses 3-pt shot from 24 ft
10:19.0,,,0-2,,Offensive rebound by Team
10:19.0,Loose ball foul by T. Warren (drawn by K. Anderson),,0-2,,
10:14.0,,,0-4,2,P. Mills makes 2-pt shot from 9 ft (assist by K. Anderson)
10:03.0,M. James misses 2-pt shot from 1 ft (block by P. Gasol),,0-4,,
10:03.0,,,0-4,,Defensive rebound by K. Anderson
9:53.0,,,0-4,,K. Anderson misses 2-pt shot from 1 ft
9:53.0,Defensive rebound by T. Chandler,,0-4,,
9:45.0,T. Warren misses 2-pt shot from 3 ft,,0-4,,
9:45.0,,,0-4,,Defensive rebound by P. Mills
9:32.0,,,0-6,2,K. Anderson makes 2-pt shot from 1 ft (assist by P. Gasol)
9:07.0,T. Warren makes 2-pt shot from 11 ft (assist by D. Booker),2,2-6,,
8:47.0,,,2-6,,P. Mills misses 2-pt shot from 2 ft
8:47.0,Defensive rebound by T. Chandler,,2-6,,
8:36.0,M. Chriss misses 3-pt shot from 24 ft,,2-6,,
8:36.0,Offensive rebound by Team,,2-6,,
8:36.0,,,2-6,,Loose ball foul by K. Anderson (drawn by T. Chandler)
8:25.0,T. Warren misses 2-pt shot from 18 ft,,2-6,,
8:25.0,T. Chandler makes 2-pt shot at rim,2,4-6,,
8:17.0,Offensive rebound by T. Chandler,,4-6,,
8:09.0,,,4-6,,P. Gasol misses 2-pt shot from 23 ft
8:09.0,,,4-6,,Offensive rebound by L. Aldridge
8:02.0,,,4-8,2,L. Aldridge makes 2-pt shot at rim
7:41.0,D. Booker misses 2-pt shot from 9 ft,,4-8,,
7:41.0,Offensive rebound by T. Chandler,,4-8,,
7:37.0,T. Chandler makes 2-pt shot at rim,2,6-8,,
7:22.0,,,6-10,2,L. Aldridge makes 2-pt shot from 6 ft
7:06.0,D. Booker makes 3-pt shot from 25 ft (assist by T. Chandler),3,9-10,,
6:50.0,,,9-10,,Shooting foul by T. Chandler (drawn by L. Aldridge)
6:50.0,,,9-10,,San Antonio full timeout
6:50.0,,,9-11,1,L. Aldridge makes free throw 2 of 2
6:50.0,,,9-12,1,L. Aldridge makes free throw 1 of 2
6:34.0,M. Chriss makes 2-pt shot from 10 ft (assist by M. James),2,11-12,,
6:21.0,Personal foul by M. James (drawn by L. Aldridge),,11-12,,
6:15.0,,,11-14,2,P. Mills makes 2-pt shot from 20 ft (assist by K. Anderson)
6:00.0,D. Booker makes 2-pt shot from 19 ft (assist by T. Chandler),2,13-14,,
5:51.0,,,13-14,,Turnover by L. Aldridge (turnover)
5:51.0,,,13-14,,R. Gay enters the game for P. Gasol
5:31.0,M. James makes 2-pt shot from 6 ft,2,15-14,,
5:05.0,,,15-14,,L. Aldridge misses 2-pt shot from 14 ft
5:05.0,Defensive rebound by M. Chriss,,15-14,,
4:58.0,T. Chandler misses 2-pt shot from 3 ft,,15-14,,
4:58.0,Offensive rebound by T. Warren,,15-14,,
4:53.0,T. Warren misses 2-pt shot at rim,,15-14,,
4:51.0,,,15-14,,Defensive rebound by L. Aldridge
4:49.0,,,15-14,,R. Gay misses 2-pt shot from 1 ft
4:49.0,,,15-14,,Offensive rebound by R. Gay
4:43.0,,,15-14,,R. Gay misses 2-pt shot at rim (block by M. James)
4:42.0,Defensive rebound by M. James,,15-14,,
4:42.0,Turnover by D. Booker (discontinued dribble),,15-14,,
4:42.0,,,15-14,,B. Forbes enters the game for D. Green
4:42.0,D. Bender enters the game for M. Chriss,,15-14,,
4:29.0,,,15-14,,P. Mills misses 2-pt shot from 16 ft
4:26.0,Defensive rebound by T. Chandler,,15-14,,
4:20.0,M. James misses 2-pt shot from 9 ft (block by K. Anderson),,15-14,,
