time,Indiana,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Love vs. M. Turner (L. James gains possession),,,,Jump ball: K. Love vs. M. Turner (L. James gains possession)
11:44.0,,,0-2,2,L. James makes 2-pt shot from 11 ft
11:33.0,Turnover by V. Oladipo (turnover),,0-2,,
11:17.0,,,0-4,2,L. James makes 2-pt shot from 1 ft
11:14.0,Offensive charge foul by V. Oladipo (drawn by K. Korver),,0-4,,
11:14.0,Turnover by V. Oladipo (offensive foul),,0-4,,
10:58.0,Personal foul by V. Oladipo (drawn by L. James),,0-4,,
10:58.0,L. Stephenson enters the game for V. Oladipo,,0-4,,
10:51.0,,,0-6,2,L. James makes 2-pt shot from 17 ft
10:42.0,Indiana full timeout,,0-6,,
10:42.0,C. Joseph enters the game for L. Stephenson,,0-6,,
10:25.0,M. Turner misses 2-pt shot from 14 ft,,0-6,,
10:23.0,,,0-6,,Defensive rebound by K. Korver
10:18.0,,,0-9,3,L. James makes 3-pt shot from 27 ft
9:53.0,M. Turner misses 2-pt shot from 11 ft,,0-9,,
9:50.0,,,0-9,,Defensive rebound by L. James
9:41.0,,,0-11,2,L. James makes 2-pt shot from 16 ft
9:16.0,Offensive charge foul by T. Young (drawn by K. Love),,0-11,,
9:16.0,Turnover by T. Young (offensive foul),,0-11,,
8:56.0,,,0-11,,L. James misses 2-pt shot from 12 ft
8:51.0,Defensive rebound by D. Collison,,0-11,,
8:35.0,D. Collison misses 2-pt shot from 8 ft,,0-11,,
8:33.0,,,0-11,,Defensive rebound by K. Love
8:29.0,,,0-13,2,L. James makes 2-pt shot from 1 ft
8:03.0,T. Young misses 2-pt shot from 11 ft,,0-13,,
8:02.0,,,0-13,,Defensive rebound by K. Korver
7:56.0,,,0-13,,Turnover by J. Smith (bad pass)
7:43.0,Shooting foul by K. Korver (drawn by B. Bogdanovic),,0-13,,
7:43.0,B. Bogdanovic makes free throw 1 of 2,1,1-13,,
7:43.0,B. Bogdanovic misses free throw 2 of 2,,1-13,,
7:39.0,,,1-13,,Defensive rebound by L. James
7:25.0,,,1-13,,K. Love misses 2-pt shot from 9 ft
7:23.0,,,1-13,,Offensive rebound by K. Love
7:17.0,,,1-13,,Turnover by L. James (bad pass; steal by B. Bogdanovic)
7:14.0,B. Bogdanovic misses 2-pt shot from 6 ft (block by J. Smith),,1-13,,
7:12.0,,,1-13,,Defensive rebound by Team
7:05.0,,,1-16,3,L. James makes 3-pt shot from 25 ft (assist by G. Hill)
6:48.0,M. Turner makes 2-pt shot from 1 ft (assist by D. Collison),2,3-16,,
6:35.0,,,3-19,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
6:15.0,Shooting foul by G. Hill (drawn by M. Turner),,3-19,,
6:15.0,M. Turner misses free throw 1 of 2,,3-19,,
6:15.0,Offensive rebound by Team,,3-19,,
6:15.0,,,3-19,,Cleveland full timeout
6:15.0,M. Turner makes free throw 2 of 2,1,4-19,,
5:54.0,,,4-22,3,K. Korver makes 3-pt shot from 25 ft (assist by L. James)
5:26.0,D. Collison makes 2-pt shot from 19 ft,2,6-22,,
5:02.0,,,6-24,2,J. Smith makes 2-pt shot from 16 ft
4:42.0,Shooting foul by G. Hill (drawn by M. Turner),,6-24,,
4:42.0,M. Turner makes free throw 1 of 2,1,7-24,,
4:42.0,L. Stephenson enters the game for B. Bogdanovic,,7-24,,
4:42.0,M. Turner makes free throw 2 of 2,1,8-24,,
4:34.0,,,8-26,2,L. James makes 2-pt shot from 1 ft
4:34.0,,,8-26,,Shooting foul by L. Stephenson (drawn by L. James)
4:34.0,,,8-26,,J. Calderon enters the game for G. Hill
4:34.0,,,8-26,,L. James misses free throw 1 of 1
4:34.0,,,8-26,,Offensive rebound by L. James
4:27.0,,,8-26,,L. James misses 3-pt shot from 24 ft
4:25.0,Defensive rebound by C. Joseph,,8-26,,
4:15.0,M. Turner makes 2-pt shot from 2 ft (assist by D. Collison),2,10-26,,
4:05.0,Personal block foul by C. Joseph (drawn by J. Calderon),,10-26,,
3:45.0,,,10-26,,Offensive foul by K. Love (drawn by C. Joseph)
3:45.0,,,10-26,,Turnover by K. Love (offensive foul)
3:34.0,M. Turner makes 2-pt shot from 2 ft,2,12-26,,
3:23.0,,,12-26,,K. Love misses 3-pt shot from 27 ft
3:23.0,Defensive rebound by T. Young,,12-26,,
3:08.0,M. Turner misses 2-pt shot from 11 ft,,12-26,,
3:08.0,,,12-26,,Defensive rebound by Team
3:08.0,,,12-26,,R. Hood enters the game for K. Korver
2:53.0,,,12-26,,Turnover by K. Love (bad pass; steal by D. Collison)
2:48.0,D. Collison makes 2-pt shot from 1 ft,2,14-26,,
2:48.0,,,14-26,,Cleveland full timeout
