time,New York,pts.away,score,pts.home,Sacramento
7:30.0,Personal foul by C. Lee (drawn by B. Bogdanovic),,8-13,,
7:21.0,,,8-13,,D. Fox misses 2-pt shot from 8 ft
7:16.0,,,8-13,,Offensive rebound by K. Koufos
7:16.0,,,8-13,,K. Koufos misses 2-pt shot at rim
7:15.0,Defensive rebound by C. Lee,,8-13,,
7:06.0,E. Kanter makes 2-pt shot from 2 ft,2,10-13,,
6:43.0,,,10-13,,J. Jackson misses 3-pt shot from 24 ft
6:40.0,Defensive rebound by E. Kanter,,10-13,,
6:33.0,M. Beasley makes 2-pt shot from 13 ft (assist by E. Mudiay),2,12-13,,
6:16.0,,,12-13,,J. Jackson misses 2-pt shot from 3 ft (block by T. Hardaway)
6:13.0,Defensive rebound by E. Kanter,,12-13,,
6:07.0,Turnover by M. Beasley (traveling),,12-13,,
6:07.0,,,12-13,,V. Carter enters the game for J. Jackson
6:07.0,,,12-13,,B. Hield enters the game for S. Labissiere
5:55.0,,,12-13,,V. Carter misses 3-pt shot from 25 ft
5:52.0,Defensive rebound by E. Kanter,,12-13,,
5:43.0,T. Hardaway makes 2-pt shot from 2 ft (assist by M. Beasley),2,14-13,,
5:30.0,,,14-15,2,K. Koufos makes 2-pt shot from 11 ft
5:12.0,T. Hardaway misses 3-pt shot from 25 ft,,14-15,,
5:07.0,Offensive rebound by E. Kanter,,14-15,,
5:07.0,E. Kanter misses 2-pt shot at rim,,14-15,,
5:06.0,,,14-15,,Defensive rebound by K. Koufos
4:51.0,,,14-18,3,B. Hield makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
4:36.0,E. Mudiay misses 3-pt shot from 25 ft,,14-18,,
4:36.0,,,14-18,,Defensive rebound by V. Carter
4:23.0,,,14-18,,K. Koufos misses 2-pt shot from 6 ft
4:21.0,Defensive rebound by E. Kanter,,14-18,,
4:20.0,,,14-18,,F. Mason enters the game for D. Fox
4:20.0,,,14-18,,G. Temple enters the game for B. Bogdanovic
4:20.0,F. Ntilikina enters the game for E. Kanter,,14-18,,
4:20.0,K. O'Quinn enters the game for C. Lee,,14-18,,
4:01.0,T. Hardaway makes 2-pt shot from 2 ft,2,16-18,,
3:43.0,,,16-18,,F. Mason misses 2-pt shot from 5 ft
3:39.0,Defensive rebound by F. Ntilikina,,16-18,,
3:33.0,E. Mudiay misses 3-pt shot from 25 ft,,16-18,,
3:30.0,Offensive rebound by M. Beasley,,16-18,,
3:28.0,M. Beasley misses 2-pt shot from 3 ft,,16-18,,
3:26.0,,,16-18,,Defensive rebound by G. Temple
3:25.0,,,16-18,,Sacramento full timeout
3:25.0,,,16-18,,S. Labissiere enters the game for K. Koufos
3:25.0,T. Williams enters the game for E. Mudiay,,16-18,,
3:12.0,,,16-18,,S. Labissiere misses 2-pt shot from 7 ft
3:10.0,Defensive rebound by M. Beasley,,16-18,,
3:06.0,T. Hardaway makes 2-pt shot from 1 ft (assist by F. Ntilikina),2,18-18,,
2:49.0,,,18-20,2,S. Labissiere makes 2-pt shot from 1 ft (assist by F. Mason)
2:49.0,,,18-20,,Shooting foul by T. Hardaway (drawn by S. Labissiere)
2:49.0,,,18-21,1,S. Labissiere makes free throw 1 of 1
2:35.0,M. Beasley misses 2-pt shot from 7 ft,,18-21,,
2:32.0,,,18-21,,Defensive rebound by B. Hield
2:26.0,,,18-21,,S. Labissiere misses 2-pt shot from 18 ft
2:21.0,Defensive rebound by K. O'Quinn,,18-21,,
2:13.0,Turnover by M. Beasley (bad pass; steal by B. Hield),,18-21,,
2:10.0,,,18-23,2,B. Hield makes 2-pt shot at rim
1:58.0,T. Hardaway makes 2-pt shot from 21 ft (assist by F. Ntilikina),2,20-23,,
1:42.0,Personal foul by T. Hardaway (drawn by S. Labissiere),,20-23,,
1:42.0,L. Thomas enters the game for M. Beasley,,20-23,,
1:33.0,,,20-23,,G. Temple misses 3-pt shot from 25 ft
1:29.0,Defensive rebound by L. Thomas,,20-23,,
1:15.0,T. Hardaway misses 2-pt shot from 20 ft,,20-23,,
1:14.0,Offensive rebound by T. Williams,,20-23,,
1:14.0,T. Williams misses 2-pt shot from 2 ft,,20-23,,
1:14.0,,,20-23,,Defensive rebound by B. Hield
1:12.0,,,20-23,,Shooting foul by F. Ntilikina (drawn by F. Mason)
1:12.0,,,20-24,1,F. Mason makes free throw 1 of 2
1:12.0,T. Burke enters the game for T. Hardaway,,20-24,,
1:12.0,,,20-25,1,F. Mason makes free throw 2 of 2
0:56.0,L. Thomas misses 3-pt shot from 23 ft,,20-25,,
0:56.0,,,20-25,,Defensive rebound by B. Hield
0:49.0,,,20-28,3,B. Hield makes 3-pt shot from 25 ft
0:39.0,T. Williams misses 3-pt shot from 23 ft,,20-28,,
0:39.0,,,20-28,,Defensive rebound by V. Carter
0:28.0,Personal foul by T. Williams (drawn by S. Labissiere),,20-28,,
0:28.0,,,20-29,1,S. Labissiere makes free throw 1 of 2
0:28.0,,,20-30,1,S. Labissiere makes free throw 2 of 2
0:10.0,F. Ntilikina misses 2-pt shot from 20 ft,,20-30,,
0:06.0,,,20-30,,Defensive rebound by F. Mason
0:02.0,,,20-32,2,F. Mason makes 2-pt shot from 5 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,Turnover by T. Burke (traveling),,20-32,,
11:31.0,Personal foul by L. Thomas (drawn by V. Carter),,20-32,,
11:23.0,,,20-32,,S. Labissiere misses 2-pt shot from 5 ft
11:19.0,Defensive rebound by T. Williams,,20-32,,
11:11.0,Shooting foul by G. Temple (drawn by K. O'Quinn),,20-32,,
11:11.0,K. O'Quinn makes free throw 1 of 2,1,21-32,,
11:11.0,K. O'Quinn makes free throw 2 of 2,1,22-32,,
10:52.0,,,22-32,,Turnover by F. Mason (lost ball; steal by L. Thomas)
10:33.0,,,22-32,,Personal foul by V. Carter (drawn by T. Burke)
10:28.0,T. Williams misses 2-pt shot from 3 ft (block by G. Temple),,22-32,,
10:25.0,,,22-32,,Defensive rebound by V. Carter
10:22.0,,,22-34,2,F. Mason makes 2-pt shot from 6 ft
10:09.0,Shooting foul by S. Labissiere (drawn by K. O'Quinn),,22-34,,
10:09.0,K. O'Quinn makes free throw 1 of 2,1,23-34,,
10:09.0,K. O'Quinn makes free throw 2 of 2,1,24-34,,
9:45.0,,,24-34,,V. Carter misses 2-pt shot from 5 ft
9:44.0,Defensive rebound by Team,,24-34,,
9:44.0,,,24-34,,Loose ball foul by V. Carter (drawn by T. Williams)
9:29.0,,,24-34,,Personal foul by V. Carter (drawn by L. Thomas)
9:29.0,L. Thomas makes free throw 1 of 2,1,25-34,,
9:29.0,,,25-34,,B. Caboclo enters the game for V. Carter
9:29.0,L. Thomas makes free throw 2 of 2,1,26-34,,
9:17.0,,,26-34,,S. Labissiere misses 2-pt shot from 10 ft
9:13.0,Defensive rebound by K. O'Quinn,,26-34,,
9:09.0,T. Williams misses 2-pt shot from 6 ft,,26-34,,
9:09.0,,,26-34,,Defensive rebound by S. Labissiere
8:56.0,Personal foul by T. Williams (drawn by S. Labissiere),,26-34,,
8:50.0,Personal foul by L. Thomas (drawn by B. Caboclo),,26-34,,
8:50.0,,,26-34,,Sacramento full timeout
8:50.0,I. Hicks enters the game for L. Thomas,,26-34,,
8:42.0,,,26-34,,Turnover by B. Hield (lost ball; steal by T. Williams)
8:39.0,T. Williams makes 2-pt shot from 1 ft (assist by K. O'Quinn),2,28-34,,
8:39.0,Shooting foul by G. Temple (drawn by T. Williams),,28-34,,
8:39.0,T. Williams makes free throw 1 of 1,1,29-34,,
8:27.0,Personal foul by T. Williams (drawn by S. Labissiere),,29-34,,
8:27.0,,,29-34,,D. Fox enters the game for F. Mason
8:20.0,,,29-34,,B. Caboclo misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by K. O'Quinn,,29-34,,
8:09.0,Shooting foul by S. Labissiere (drawn by T. Williams),,29-34,,
8:09.0,T. Williams makes free throw 1 of 2,1,30-34,,
8:09.0,,,30-34,,B. Bogdanovic enters the game for B. Hield
