time,Indiana,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. M. Turner (T. Young gains possession),,,,Jump ball: N. Vucevic vs. M. Turner (T. Young gains possession)
11:37.0,Turnover by B. Bogdanovic (bad pass; steal by N. Vucevic),,0-0,,
11:31.0,,,0-2,2,N. Vucevic makes 2-pt shot from 1 ft (assist by E. Fournier)
11:16.0,V. Oladipo misses 2-pt shot from 18 ft,,0-2,,
11:11.0,,,0-2,,Defensive rebound by T. Ross
11:09.0,Personal foul by T. Young (drawn by N. Vucevic),,0-2,,
10:58.0,,,0-2,,Turnover by N. Vucevic (lost ball; steal by V. Oladipo)
10:56.0,,,0-2,,Personal foul by E. Payton (drawn by V. Oladipo)
10:47.0,M. Turner misses 2-pt shot from 2 ft,,0-2,,
10:44.0,,,0-2,,Defensive rebound by A. Gordon
10:41.0,,,0-2,,Turnover by E. Payton (bad pass; steal by D. Collison)
10:37.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by V. Oladipo),2,2-2,,
10:22.0,,,2-2,,E. Fournier misses 2-pt shot from 3 ft (block by M. Turner)
10:17.0,Defensive rebound by D. Collison,,2-2,,
10:13.0,D. Collison misses 3-pt shot from 24 ft,,2-2,,
10:13.0,,,2-2,,Defensive rebound by A. Gordon
10:05.0,,,2-2,,Turnover by A. Gordon (bad pass; steal by T. Young)
10:01.0,Turnover by T. Young (bad pass; steal by E. Payton),,2-2,,
9:56.0,,,2-5,3,T. Ross makes 3-pt shot from 26 ft (assist by E. Payton)
9:35.0,T. Young makes 2-pt shot from 2 ft (assist by D. Collison),2,4-5,,
9:29.0,,,4-5,,Turnover by E. Payton (bad pass; steal by V. Oladipo)
9:15.0,T. Young makes 2-pt shot from 6 ft,2,6-5,,
9:01.0,,,6-5,,E. Fournier misses 2-pt shot from 7 ft
8:58.0,Defensive rebound by V. Oladipo,,6-5,,
8:55.0,Turnover by V. Oladipo (bad pass; steal by A. Gordon),,6-5,,
8:46.0,,,6-8,3,N. Vucevic makes 3-pt shot from 25 ft (assist by A. Gordon)
8:31.0,B. Bogdanovic misses 2-pt shot from 17 ft,,6-8,,
8:31.0,,,6-8,,Defensive rebound by A. Gordon
8:20.0,,,6-8,,Turnover by N. Vucevic (bad pass; steal by V. Oladipo)
8:09.0,D. Collison makes 2-pt shot from 2 ft (assist by V. Oladipo),2,8-8,,
7:50.0,,,8-8,,Turnover by E. Fournier (bad pass)
7:39.0,M. Turner makes 2-pt shot from 14 ft (assist by D. Collison),2,10-8,,
7:37.0,,,10-8,,Orlando full timeout
7:18.0,,,10-11,3,E. Fournier makes 3-pt shot from 23 ft (assist by N. Vucevic)
6:59.0,V. Oladipo makes 3-pt shot from 23 ft (assist by D. Collison),3,13-11,,
6:42.0,,,13-14,3,N. Vucevic makes 3-pt shot from 25 ft (assist by E. Payton)
6:21.0,M. Turner misses 2-pt shot from 7 ft (block by N. Vucevic),,13-14,,
6:21.0,Offensive rebound by Team,,13-14,,
6:10.0,T. Young makes 2-pt shot from 2 ft (assist by V. Oladipo),2,15-14,,
5:46.0,,,15-16,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
5:24.0,V. Oladipo makes 2-pt shot from 2 ft,2,17-16,,
5:12.0,,,17-16,,A. Gordon misses 3-pt shot from 25 ft
5:07.0,Defensive rebound by B. Bogdanovic,,17-16,,
4:51.0,T. Young makes 2-pt shot from 7 ft,2,19-16,,
4:45.0,Personal foul by D. Collison (drawn by E. Payton),,19-16,,
4:45.0,,,19-16,,J. Simmons enters the game for T. Ross
4:45.0,C. Joseph enters the game for B. Bogdanovic,,19-16,,
4:39.0,,,19-18,2,E. Fournier makes 2-pt shot from 16 ft (assist by E. Payton)
4:15.0,T. Young makes 2-pt shot from 20 ft (assist by C. Joseph),2,21-18,,
4:03.0,,,21-20,2,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Payton)
3:53.0,V. Oladipo makes 2-pt shot from 1 ft,2,23-20,,
3:53.0,,,23-20,,Orlando full timeout
3:53.0,,,23-20,,D. Augustin enters the game for E. Payton
3:53.0,D. Sabonis enters the game for M. Turner,,23-20,,
3:36.0,,,23-22,2,A. Gordon makes 2-pt shot at rim
3:21.0,Shooting foul by J. Simmons (drawn by D. Sabonis),,23-22,,
3:21.0,D. Sabonis misses free throw 1 of 2,,23-22,,
3:21.0,Offensive rebound by Team,,23-22,,
3:21.0,L. Stephenson enters the game for D. Collison,,23-22,,
3:21.0,D. Sabonis makes free throw 2 of 2,1,24-22,,
3:02.0,,,24-22,,N. Vucevic misses 2-pt shot from 2 ft
2:56.0,,,24-22,,Offensive rebound by N. Vucevic
2:56.0,,,24-22,,N. Vucevic misses 2-pt shot at rim
2:54.0,Defensive rebound by T. Young,,24-22,,
2:47.0,D. Sabonis makes 2-pt shot from 17 ft (assist by L. Stephenson),2,26-22,,
2:28.0,,,26-22,,Orlando full timeout
2:24.0,,,26-22,,E. Fournier misses 3-pt shot from 25 ft
2:19.0,Defensive rebound by T. Young,,26-22,,
2:04.0,V. Oladipo misses 3-pt shot from 26 ft,,26-22,,
2:01.0,,,26-22,,Defensive rebound by E. Fournier
1:48.0,,,26-22,,N. Vucevic misses 2-pt shot from 6 ft
1:47.0,,,26-22,,Offensive rebound by Team
1:47.0,Loose ball foul by V. Oladipo (drawn by A. Gordon),,26-22,,
1:47.0,,,26-22,,B. Biyombo enters the game for N. Vucevic
1:34.0,,,26-22,,Shooting foul by D. Sabonis (drawn by D. Augustin)
1:34.0,,,26-23,1,D. Augustin makes free throw 1 of 2
1:34.0,,,26-24,1,D. Augustin makes free throw 2 of 2
1:21.0,Shooting foul by B. Biyombo (drawn by V. Oladipo),,26-24,,
1:21.0,V. Oladipo makes free throw 1 of 2,1,27-24,,
1:21.0,V. Oladipo makes free throw 2 of 2,1,28-24,,
1:07.0,,,28-24,,Turnover by E. Fournier (bad pass)
0:59.0,V. Oladipo misses 2-pt shot from 2 ft,,28-24,,
0:56.0,,,28-24,,Defensive rebound by J. Simmons
0:52.0,,,28-26,2,J. Simmons makes 2-pt shot from 2 ft
0:45.0,C. Joseph makes 2-pt shot from 9 ft,2,30-26,,
0:35.0,,,30-29,3,A. Gordon makes 3-pt shot from 25 ft (assist by D. Augustin)
0:29.0,,,30-29,,Personal foul by B. Biyombo (drawn by D. Sabonis)
0:29.0,D. Sabonis makes free throw 1 of 2,1,31-29,,
0:29.0,,,31-29,,A. Afflalo enters the game for A. Gordon
0:29.0,,,31-29,,M. Speights enters the game for E. Fournier
0:29.0,D. Sabonis makes free throw 2 of 2,1,32-29,,
0:07.0,,,32-29,,Shooting foul by C. Joseph (drawn by D. Augustin)
0:07.0,,,32-30,1,D. Augustin makes free throw 1 of 3
0:07.0,,,32-31,1,D. Augustin makes free throw 2 of 3
0:07.0,,,32-31,,D. Augustin misses free throw 3 of 3
0:04.0,Defensive rebound by D. Sabonis,,32-31,,
0:03.0,,,32-31,,Personal block foul by M. Speights (drawn by C. Joseph)
0:03.0,C. Joseph makes free throw 1 of 2,1,33-31,,
0:03.0,C. Joseph makes free throw 2 of 2,1,34-31,,
0:00.0,,,34-31,,D. Augustin misses 3-pt shot from 55 ft
0:00.0,,,34-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,34-34,3,M. Speights makes 3-pt shot from 23 ft (assist by J. Simmons)
11:19.0,M. Turner misses 3-pt shot from 25 ft,,34-34,,
11:15.0,Offensive rebound by D. Sabonis,,34-34,,
11:12.0,B. Bogdanovic misses 2-pt shot from 14 ft,,34-34,,
11:11.0,Offensive rebound by L. Stephenson,,34-34,,
11:08.0,L. Stephenson misses 2-pt shot from 7 ft (block by M. Speights),,34-34,,
11:08.0,,,34-34,,Defensive rebound by M. Speights
11:00.0,,,34-37,3,M. Speights makes 3-pt shot from 25 ft (assist by J. Simmons)
10:47.0,L. Stephenson misses 2-pt shot from 19 ft,,34-37,,
10:44.0,,,34-37,,Defensive rebound by M. Speights
10:31.0,,,34-37,,M. Speights misses 3-pt shot from 27 ft
10:27.0,Defensive rebound by B. Bogdanovic,,34-37,,
10:12.0,C. Joseph misses 2-pt shot from 8 ft,,34-37,,
10:09.0,,,34-37,,Defensive rebound by B. Biyombo
10:04.0,,,34-37,,J. Simmons misses 2-pt shot from 2 ft (block by M. Turner)
9:59.0,Defensive rebound by L. Stephenson,,34-37,,
9:55.0,C. Joseph misses 3-pt shot from 24 ft,,34-37,,
9:55.0,Offensive rebound by L. Stephenson,,34-37,,
9:40.0,B. Bogdanovic misses 3-pt shot from 25 ft,,34-37,,
9:40.0,,,34-37,,Defensive rebound by Team
9:24.0,,,34-37,,D. Augustin misses 3-pt shot from 23 ft
9:19.0,Defensive rebound by M. Turner,,34-37,,
9:13.0,D. Sabonis makes 3-pt shot from 23 ft (assist by L. Stephenson),3,37-37,,
9:00.0,,,37-39,2,D. Augustin makes 2-pt shot from 2 ft (assist by B. Biyombo)
8:46.0,D. Sabonis misses 2-pt shot from 7 ft,,37-39,,
8:46.0,,,37-39,,Defensive rebound by Team
8:46.0,Loose ball foul by D. Sabonis (drawn by B. Biyombo),,37-39,,
8:27.0,,,37-39,,Shooting foul by M. Turner (drawn by B. Biyombo)
8:27.0,,,37-40,1,B. Biyombo makes free throw 1 of 2
8:27.0,,,37-40,,B. Biyombo misses free throw 2 of 2
8:24.0,Defensive rebound by L. Stephenson,,37-40,,
8:14.0,M. Turner misses 2-pt shot from 3 ft,,37-40,,
8:11.0,Offensive rebound by D. Sabonis,,37-40,,
8:10.0,D. Sabonis misses 2-pt shot from 2 ft (block by B. Biyombo),,37-40,,
8:10.0,,,37-40,,Defensive rebound by A. Afflalo
8:06.0,,,37-42,2,J. Simmons makes 2-pt shot from 1 ft (assist by D. Augustin)
8:06.0,Indiana full timeout,,37-42,,
7:59.0,D. Sabonis makes 2-pt shot from 2 ft (assist by L. Stephenson),2,39-42,,
7:39.0,,,39-42,,M. Speights misses 3-pt shot from 26 ft
7:35.0,Defensive rebound by L. Stephenson,,39-42,,
7:26.0,M. Turner makes 2-pt shot from 2 ft (assist by L. Stephenson),2,41-42,,
7:04.0,,,41-42,,Turnover by D. Augustin (lost ball; steal by C. Joseph)
6:55.0,B. Bogdanovic misses 2-pt shot from 7 ft (block by M. Speights),,41-42,,
6:51.0,,,41-42,,Defensive rebound by D. Augustin
6:48.0,,,41-42,,Turnover by A. Afflalo (lost ball; steal by C. Joseph)
6:42.0,C. Joseph misses 3-pt shot from 26 ft,,41-42,,
6:39.0,,,41-42,,Defensive rebound by M. Speights
6:29.0,,,41-42,,J. Simmons misses 2-pt shot from 2 ft
6:26.0,Defensive rebound by M. Turner,,41-42,,
6:20.0,D. Sabonis misses 2-pt shot from 18 ft,,41-42,,
6:15.0,,,41-42,,Defensive rebound by B. Biyombo
6:06.0,,,41-42,,A. Afflalo misses 3-pt shot from 22 ft
6:04.0,,,41-42,,Offensive rebound by B. Biyombo
6:02.0,,,41-44,2,B. Biyombo makes 2-pt shot from 2 ft
5:48.0,C. Joseph misses 3-pt shot from 25 ft,,41-44,,
5:48.0,,,41-44,,Defensive rebound by Team
5:48.0,,,41-44,,T. Ross enters the game for A. Afflalo
5:48.0,D. Collison enters the game for C. Joseph,,41-44,,
5:48.0,T. Young enters the game for D. Sabonis,,41-44,,
5:35.0,,,41-44,,J. Simmons misses 3-pt shot from 25 ft
5:31.0,Defensive rebound by L. Stephenson,,41-44,,
5:30.0,Shooting foul by T. Ross (drawn by L. Stephenson),,41-44,,
5:30.0,L. Stephenson misses free throw 1 of 2,,41-44,,
5:30.0,Offensive rebound by Team,,41-44,,
5:30.0,,,41-44,,N. Vucevic enters the game for B. Biyombo
5:30.0,V. Oladipo enters the game for B. Bogdanovic,,41-44,,
5:30.0,L. Stephenson makes free throw 2 of 2,1,42-44,,
5:12.0,,,42-44,,Turnover by N. Vucevic (bad pass; steal by T. Young)
5:07.0,V. Oladipo makes 2-pt shot from 1 ft (assist by L. Stephenson),2,44-44,,
5:06.0,,,44-44,,Orlando full timeout
5:06.0,,,44-44,,E. Payton enters the game for M. Speights
5:06.0,,,44-44,,A. Gordon enters the game for D. Augustin
5:06.0,,,44-44,,E. Fournier enters the game for J. Simmons
4:55.0,,,44-44,,Offensive foul by N. Vucevic (drawn by L. Stephenson)
4:55.0,,,44-44,,Turnover by N. Vucevic (offensive foul)
4:43.0,M. Turner makes 2-pt shot from 19 ft (assist by L. Stephenson),2,46-44,,
4:33.0,Personal foul by T. Young (drawn by N. Vucevic),,46-44,,
4:19.0,,,46-44,,A. Gordon misses 3-pt shot from 25 ft
4:15.0,Defensive rebound by D. Collison,,46-44,,
4:02.0,L. Stephenson misses 2-pt shot from 19 ft,,46-44,,
3:58.0,,,46-44,,Defensive rebound by A. Gordon
3:53.0,,,46-44,,Turnover by A. Gordon (bad pass; steal by V. Oladipo)
3:50.0,V. Oladipo makes 2-pt shot from 2 ft,2,48-44,,
3:34.0,,,48-44,,Turnover by E. Payton (bad pass; steal by T. Young)
3:29.0,D. Collison makes 2-pt shot from 1 ft (assist by T. Young),2,50-44,,
3:09.0,,,50-46,2,T. Ross makes 2-pt shot from 11 ft
2:48.0,M. Turner misses 2-pt shot from 5 ft,,50-46,,
2:46.0,,,50-46,,Defensive rebound by N. Vucevic
2:40.0,,,50-46,,N. Vucevic misses 3-pt shot from 25 ft
2:38.0,Defensive rebound by L. Stephenson,,50-46,,
2:17.0,V. Oladipo misses 2-pt shot from 2 ft,,50-46,,
2:13.0,,,50-46,,Defensive rebound by E. Fournier
2:11.0,Personal foul by V. Oladipo (drawn by E. Fournier),,50-46,,
2:05.0,,,50-49,3,E. Fournier makes 3-pt shot from 25 ft (assist by T. Ross)
2:02.0,Indiana full timeout,,50-49,,
2:02.0,C. Joseph enters the game for L. Stephenson,,50-49,,
2:02.0,B. Bogdanovic enters the game for V. Oladipo,,50-49,,
1:47.0,D. Collison misses 2-pt shot from 15 ft,,50-49,,
1:44.0,,,50-49,,Defensive rebound by N. Vucevic
1:39.0,,,50-49,,E. Payton misses 2-pt shot from 1 ft
1:28.0,,,50-49,,Offensive rebound by N. Vucevic
1:28.0,,,50-51,2,N. Vucevic makes 2-pt shot at rim
1:13.0,D. Collison misses 2-pt shot from 17 ft,,50-51,,
1:10.0,,,50-51,,Defensive rebound by A. Gordon
1:04.0,,,50-51,,E. Fournier misses 2-pt shot from 10 ft
0:56.0,,,50-51,,Offensive rebound by N. Vucevic
0:56.0,,,50-53,2,N. Vucevic makes 2-pt shot at rim
0:43.0,Turnover by T. Young (bad pass; steal by T. Ross),,50-53,,
0:36.0,,,50-53,,Turnover by E. Payton (bad pass; steal by B. Bogdanovic)
0:32.0,Turnover by D. Collison (bad pass; steal by E. Payton),,50-53,,
0:32.0,,,50-55,2,E. Payton makes 2-pt shot from 2 ft
0:32.0,,,50-55,,Shooting foul by D. Collison (drawn by E. Payton)
0:32.0,,,50-55,,E. Payton misses free throw 1 of 1
0:31.0,Defensive rebound by Team,,50-55,,
0:31.0,L. Stephenson enters the game for T. Young,,50-55,,
0:12.0,M. Turner misses 3-pt shot from 26 ft,,50-55,,
0:08.0,,,50-55,,Defensive rebound by N. Vucevic
0:00.0,,,50-55,,E. Payton misses 2-pt shot from 2 ft
0:00.0,Defensive rebound by L. Stephenson,,50-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,50-57,2,E. Fournier makes 2-pt shot from 2 ft (assist by N. Vucevic)
11:49.0,,,50-57,,Shooting foul by B. Bogdanovic (drawn by E. Fournier)
11:49.0,,,50-57,,E. Fournier misses free throw 1 of 1
11:45.0,Defensive rebound by D. Collison,,50-57,,
