time,LA Lakers,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. B. Lopez (L. Nance gains possession),,,,Jump ball: J. Embiid vs. B. Lopez (L. Nance gains possession)
11:44.0,B. Ingram makes 2-pt shot from 10 ft,2,2-0,,
11:27.0,,,2-0,,J. Embiid misses 2-pt shot from 1 ft (block by B. Lopez)
11:22.0,Defensive rebound by B. Lopez,,2-0,,
11:19.0,B. Ingram makes 2-pt shot at rim (assist by L. Nance),2,4-0,,
10:59.0,,,4-2,2,J. Embiid makes 2-pt shot from 14 ft (assist by B. Simmons)
10:47.0,,,4-2,,Personal foul by J. Embiid (drawn by B. Lopez)
10:39.0,B. Lopez makes 2-pt shot at rim,2,6-2,,
10:22.0,,,6-2,,J. Redick misses 3-pt shot from 26 ft
10:19.0,Defensive rebound by L. Nance,,6-2,,
10:01.0,B. Ingram misses 3-pt shot from 25 ft,,6-2,,
9:58.0,,,6-2,,Defensive rebound by B. Simmons
9:49.0,,,6-2,,J. Redick misses 2-pt shot from 17 ft
9:45.0,,,6-2,,Offensive rebound by J. Embiid
9:40.0,,,6-4,2,J. Bayless makes 2-pt shot from 2 ft (assist by B. Simmons)
9:27.0,L. Nance makes 2-pt shot from 1 ft (assist by L. Ball),2,8-4,,
9:07.0,,,8-4,,B. Simmons misses 2-pt shot from 6 ft
9:04.0,Defensive rebound by Team,,8-4,,
8:42.0,B. Lopez misses 3-pt shot from 29 ft,,8-4,,
8:41.0,,,8-4,,Defensive rebound by Team
8:41.0,Loose ball foul by L. Nance (drawn by J. Bayless),,8-4,,
8:23.0,,,8-6,2,J. Bayless makes 2-pt shot from 2 ft (assist by B. Simmons)
8:00.0,B. Ingram misses 2-pt shot from 4 ft (block by J. Embiid),,8-6,,
7:57.0,,,8-6,,Defensive rebound by R. Covington
7:54.0,,,8-8,2,J. Embiid makes 2-pt shot from 1 ft (assist by B. Simmons)
7:38.0,Offensive foul by B. Lopez (drawn by J. Embiid),,8-8,,
7:38.0,Turnover by B. Lopez (offensive foul),,8-8,,
7:38.0,,,8-8,,T. McConnell enters the game for J. Embiid
7:38.0,,,8-8,,A. Johnson enters the game for R. Covington
7:23.0,,,8-8,,Turnover by A. Johnson (out of bounds lost ball)
7:09.0,,,8-8,,Personal foul by J. Bayless (drawn by B. Ingram)
7:04.0,,,8-8,,Personal foul by A. Johnson (drawn by B. Lopez)
6:57.0,B. Lopez misses 2-pt shot from 6 ft,,8-8,,
6:55.0,,,8-8,,Defensive rebound by B. Simmons
6:51.0,,,8-8,,J. Bayless misses 2-pt shot from 20 ft
6:48.0,,,8-8,,Offensive rebound by Team
6:48.0,,,8-8,,Philadelphia full timeout
6:41.0,,,8-8,,Shooting foul by B. Ingram (drawn by J. Redick)
6:41.0,,,8-9,1,J. Redick makes free throw 1 of 3
6:41.0,,,8-10,1,J. Redick makes free throw 2 of 3
6:41.0,,,8-11,1,J. Redick makes free throw 3 of 3
6:29.0,K. Caldwell-Pope makes 2-pt shot from 23 ft (assist by L. Ball),2,10-11,,
