time,Phoenix,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. M. Chriss (P. Tucker gains possession),,,,Jump ball: C. Capela vs. M. Chriss (P. Tucker gains possession)
11:42.0,,,0-0,,G. Green misses 3-pt shot from 25 ft
11:40.0,Defensive rebound by J. Jackson,,0-0,,
11:22.0,J. Jackson misses 2-pt shot from 10 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by C. Capela
11:04.0,,,0-0,,J. Harden misses 2-pt shot from 1 ft
11:02.0,Defensive rebound by M. Chriss,,0-0,,
10:48.0,T. Daniels misses 3-pt shot from 25 ft,,0-0,,
10:45.0,,,0-0,,Defensive rebound by J. Harden
10:38.0,,,0-0,,C. Capela misses 2-pt shot from 1 ft
10:35.0,Defensive rebound by T. Daniels,,0-0,,
10:27.0,D. Bender makes 2-pt shot at rim (assist by M. Chriss),2,2-0,,
10:06.0,,,2-0,,P. Tucker misses 3-pt shot from 25 ft
10:02.0,Defensive rebound by M. Chriss,,2-0,,
9:46.0,J. Jackson misses 2-pt shot from 6 ft,,2-0,,
9:45.0,,,2-0,,Defensive rebound by T. Ariza
9:32.0,,,2-0,,T. Ariza misses 3-pt shot from 24 ft
9:30.0,Defensive rebound by Team,,2-0,,
9:17.0,J. Jackson makes 2-pt shot at rim,2,4-0,,
9:00.0,,,4-0,,T. Ariza misses 2-pt shot at rim
9:00.0,,,4-0,,Offensive rebound by Team
9:00.0,Loose ball foul by D. Bender (drawn by C. Capela),,4-0,,
8:53.0,,,4-0,,G. Green misses 3-pt shot from 25 ft
8:50.0,Defensive rebound by D. Bender,,4-0,,
8:45.0,J. Jackson makes 2-pt shot at rim,2,6-0,,
8:35.0,Shooting block foul by D. Bender (drawn by J. Harden),,6-0,,
8:35.0,,,6-0,,J. Harden misses free throw 1 of 2
8:35.0,,,6-0,,Offensive rebound by Team
8:35.0,A. Peters enters the game for D. Bender,,6-0,,
8:35.0,,,6-1,1,J. Harden makes free throw 2 of 2
8:27.0,T. Daniels makes 3-pt shot from 25 ft (assist by T. Ulis),3,9-1,,
8:15.0,,,9-1,,Shooting foul by M. Chriss (drawn by J. Harden)
8:15.0,,,9-2,1,J. Harden makes free throw 1 of 2
8:15.0,,,9-3,1,J. Harden makes free throw 2 of 2
