time,Orlando,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. N. Vucevic (D. Augustin gains possession),,,,Jump ball: L. Aldridge vs. N. Vucevic (D. Augustin gains possession)
11:36.0,J. Simmons misses 2-pt shot from 4 ft,,0-0,,
11:31.0,Offensive rebound by N. Vucevic,,0-0,,
11:21.0,M. Hezonja misses 3-pt shot from 22 ft,,0-0,,
11:19.0,,,0-0,,Defensive rebound by L. Aldridge
11:12.0,,,0-0,,D. Murray misses 2-pt shot from 4 ft (block by J. Isaac)
11:11.0,,,0-0,,Offensive rebound by D. Murray
11:00.0,,,0-2,2,L. Aldridge makes 2-pt shot from 12 ft
10:52.0,Turnover by J. Simmons (bad pass),,0-2,,
10:29.0,,,0-2,,Turnover by K. Anderson (bad pass)
10:18.0,M. Hezonja makes 2-pt shot from 1 ft (assist by N. Vucevic),2,2-2,,
10:09.0,,,2-4,2,P. Mills makes 2-pt shot from 19 ft (assist by K. Anderson)
9:58.0,D. Augustin makes 2-pt shot from 1 ft,2,4-4,,
9:52.0,,,4-4,,Offensive charge foul by K. Anderson (drawn by J. Isaac)
9:52.0,,,4-4,,Turnover by K. Anderson (offensive foul)
9:41.0,J. Isaac makes 2-pt shot at rim (assist by D. Augustin),2,6-4,,
9:15.0,,,6-7,3,K. Anderson makes 3-pt shot from 23 ft (assist by P. Mills)
8:49.0,J. Simmons misses 2-pt shot from 5 ft (block by K. Anderson),,6-7,,
8:46.0,,,6-7,,Defensive rebound by L. Aldridge
8:36.0,,,6-9,2,D. Murray makes 2-pt shot at rim (assist by L. Aldridge)
8:36.0,,,6-9,,Shooting foul by J. Simmons (drawn by D. Murray)
8:36.0,,,6-9,,D. Murray misses free throw 1 of 1
8:34.0,Defensive rebound by N. Vucevic,,6-9,,
8:21.0,D. Augustin makes 2-pt shot from 12 ft,2,8-9,,
8:09.0,,,8-11,2,P. Mills makes 2-pt shot from 20 ft
7:52.0,J. Simmons makes 3-pt shot from 23 ft (assist by D. Augustin),3,11-11,,
7:41.0,,,11-11,,D. Green misses 3-pt shot from 24 ft
7:37.0,Defensive rebound by J. Isaac,,11-11,,
7:31.0,N. Vucevic misses 3-pt shot from 26 ft,,11-11,,
7:27.0,Offensive rebound by M. Hezonja,,11-11,,
