time,Chicago,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. R. Lopez (I. Taylor gains possession),,,,Jump ball: D. Dedmon vs. R. Lopez (I. Taylor gains possession)
11:45.0,,,0-0,,K. Bazemore misses 2-pt shot from 2 ft (block by R. Lopez)
11:41.0,Defensive rebound by Z. LaVine,,0-0,,
11:38.0,Z. LaVine misses 2-pt shot from 1 ft,,0-0,,
11:38.0,Offensive rebound by L. Markkanen,,0-0,,
11:38.0,L. Markkanen misses 2-pt shot from 3 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by D. Dedmon
11:33.0,,,0-3,3,K. Bazemore makes 3-pt shot from 22 ft (assist by I. Taylor)
11:06.0,L. Markkanen misses 3-pt shot from 25 ft,,0-3,,
11:03.0,Offensive rebound by R. Lopez,,0-3,,
10:51.0,K. Dunn makes 3-pt shot from 25 ft (assist by D. Nwaba),3,3-3,,
10:36.0,,,3-6,3,T. Waller-Prince makes 3-pt shot from 24 ft (assist by K. Bazemore)
10:18.0,L. Markkanen misses 2-pt shot from 16 ft,,3-6,,
10:13.0,,,3-6,,Defensive rebound by J. Collins
9:57.0,,,3-9,3,T. Waller-Prince makes 3-pt shot from 23 ft (assist by I. Taylor)
9:43.0,Z. LaVine makes 3-pt shot from 23 ft (assist by R. Lopez),3,6-9,,
9:31.0,,,6-11,2,J. Collins makes 2-pt shot from 1 ft (assist by K. Bazemore)
9:17.0,R. Lopez makes 2-pt shot from 1 ft (assist by K. Dunn),2,8-11,,
9:00.0,,,8-11,,D. Dedmon misses 2-pt shot from 21 ft
8:58.0,Defensive rebound by K. Dunn,,8-11,,
8:49.0,R. Lopez misses 2-pt shot from 8 ft,,8-11,,
8:45.0,,,8-11,,Defensive rebound by T. Waller-Prince
8:36.0,,,8-13,2,I. Taylor makes 2-pt shot from 23 ft (assist by K. Bazemore)
8:21.0,R. Lopez misses 2-pt shot from 19 ft,,8-13,,
8:19.0,,,8-13,,Defensive rebound by T. Waller-Prince
8:02.0,,,8-13,,T. Waller-Prince misses 3-pt shot from 24 ft
7:59.0,Defensive rebound by L. Markkanen,,8-13,,
7:42.0,Z. LaVine misses 3-pt shot from 26 ft,,8-13,,
7:38.0,,,8-13,,Defensive rebound by T. Waller-Prince
7:30.0,,,8-15,2,J. Collins makes 2-pt shot from 15 ft (assist by D. Dedmon)
7:28.0,Chicago full timeout,,8-15,,
7:13.0,R. Lopez misses 2-pt shot from 10 ft,,8-15,,
7:10.0,,,8-15,,Defensive rebound by T. Waller-Prince
7:08.0,,,8-15,,Shooting foul by R. Lopez (drawn by T. Waller-Prince)
7:08.0,,,8-16,1,T. Waller-Prince makes free throw 1 of 2
7:08.0,,,8-17,1,T. Waller-Prince makes free throw 2 of 2
6:55.0,Z. LaVine misses 2-pt shot from 1 ft,,8-17,,
6:52.0,Offensive rebound by R. Lopez,,8-17,,
6:51.0,R. Lopez misses 2-pt shot at rim (block by D. Dedmon),,8-17,,
6:51.0,,,8-17,,Defensive rebound by J. Collins
6:29.0,,,8-19,2,T. Waller-Prince makes 2-pt shot from 2 ft
6:16.0,K. Dunn misses 2-pt shot from 5 ft,,8-19,,
6:13.0,,,8-19,,Defensive rebound by T. Waller-Prince
6:10.0,,,8-19,,T. Waller-Prince misses 2-pt shot from 3 ft (block by Z. LaVine)
6:10.0,,,8-19,,T. Dorsey enters the game for K. Bazemore
6:06.0,Jump ball: T. Waller-Prince vs. Z. LaVine (K. Dunn gains possession),,,,Jump ball: T. Waller-Prince vs. Z. LaVine (K. Dunn gains possession)
6:06.0,Defensive rebound by Team,,8-19,,
5:53.0,Turnover by L. Markkanen (bad pass; steal by D. Dedmon),,8-19,,
5:44.0,,,8-21,2,D. Dedmon makes 2-pt shot from 1 ft (assist by T. Waller-Prince)
5:29.0,K. Dunn misses 3-pt shot from 24 ft,,8-21,,
5:25.0,,,8-21,,Defensive rebound by D. Dedmon
5:11.0,,,8-24,3,D. Dedmon makes 3-pt shot from 25 ft (assist by T. Waller-Prince)
5:10.0,Chicago full timeout,,8-24,,
5:10.0,,,8-24,,J. Magette enters the game for J. Collins
5:10.0,,,8-24,,M. Muscala enters the game for I. Taylor
5:10.0,D. Valentine enters the game for Z. LaVine,,8-24,,
4:56.0,R. Lopez makes 2-pt shot from 2 ft (assist by D. Valentine),2,10-24,,
4:37.0,Personal foul by D. Valentine (drawn by D. Dedmon),,10-24,,
4:33.0,,,10-24,,T. Dorsey misses 3-pt shot from 24 ft
4:31.0,Defensive rebound by L. Markkanen,,10-24,,
4:17.0,Shooting foul by D. Dedmon (drawn by D. Nwaba),,10-24,,
4:17.0,D. Nwaba misses free throw 1 of 2,,10-24,,
4:17.0,Offensive rebound by Team,,10-24,,
4:17.0,,,10-24,,M. Plumlee enters the game for T. Waller-Prince
4:17.0,,,10-24,,J. Morris enters the game for D. Dedmon
4:17.0,D. Nwaba misses free throw 2 of 2,,10-24,,
4:14.0,,,10-24,,Defensive rebound by M. Plumlee
3:58.0,,,10-26,2,J. Morris makes 2-pt shot from 23 ft (assist by T. Dorsey)
3:32.0,D. Nwaba makes 2-pt shot from 1 ft (assist by K. Dunn),2,12-26,,
3:09.0,,,12-28,2,J. Magette makes 2-pt shot from 8 ft (assist by J. Morris)
2:57.0,K. Dunn makes 2-pt shot from 2 ft,2,14-28,,
2:37.0,,,14-28,,T. Dorsey misses 3-pt shot from 24 ft
2:35.0,Defensive rebound by L. Markkanen,,14-28,,
2:29.0,K. Dunn misses 2-pt shot from 16 ft,,14-28,,
2:26.0,,,14-28,,Defensive rebound by M. Plumlee
2:18.0,,,14-28,,J. Magette misses 2-pt shot from 15 ft
2:14.0,Defensive rebound by D. Nwaba,,14-28,,
2:09.0,L. Markkanen misses 3-pt shot from 25 ft,,14-28,,
2:05.0,,,14-28,,Defensive rebound by M. Plumlee
2:00.0,,,14-28,,T. Dorsey misses 2-pt shot from 1 ft
1:57.0,Defensive rebound by D. Valentine,,14-28,,
1:54.0,K. Dunn misses 3-pt shot from 25 ft,,14-28,,
1:48.0,Offensive rebound by D. Valentine,,14-28,,
1:46.0,L. Markkanen makes 2-pt shot from 8 ft (assist by D. Valentine),2,16-28,,
1:26.0,Personal foul by K. Dunn (drawn by J. Magette),,16-28,,
1:26.0,A. Blakeney enters the game for D. Nwaba,,16-28,,
1:26.0,B. Portis enters the game for L. Markkanen,,16-28,,
1:26.0,C. Payne enters the game for K. Dunn,,16-28,,
1:13.0,,,16-28,,J. Magette misses 2-pt shot from 20 ft
1:11.0,Defensive rebound by A. Blakeney,,16-28,,
1:06.0,D. Valentine misses 3-pt shot from 24 ft,,16-28,,
1:02.0,,,16-28,,Defensive rebound by T. Dorsey
0:48.0,,,16-28,,T. Dorsey misses 3-pt shot from 25 ft
0:45.0,Defensive rebound by C. Payne,,16-28,,
0:39.0,D. Valentine makes 2-pt shot from 6 ft,2,18-28,,
0:29.0,,,18-31,3,M. Muscala makes 3-pt shot from 24 ft (assist by T. Dorsey)
0:10.0,D. Valentine misses 3-pt shot from 25 ft,,18-31,,
0:07.0,Offensive rebound by B. Portis,,18-31,,
0:07.0,B. Portis makes 2-pt shot at rim,2,20-31,,
0:00.0,,,20-34,3,M. Muscala makes 3-pt shot from 24 ft (assist by T. Dorsey)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,A. Blakeney misses 2-pt shot from 2 ft (block by M. Muscala),,20-34,,
11:44.0,,,20-34,,Defensive rebound by J. Morris
11:41.0,,,20-36,2,J. Morris makes 2-pt shot from 1 ft
11:32.0,B. Portis misses 2-pt shot from 3 ft (block by T. Dorsey),,20-36,,
11:30.0,Offensive rebound by B. Portis,,20-36,,
11:25.0,B. Portis makes 2-pt shot from 10 ft,2,22-36,,
11:11.0,,,22-36,,J. Morris misses 3-pt shot from 23 ft
11:08.0,Defensive rebound by N. Vonleh,,22-36,,
10:59.0,D. Valentine misses 2-pt shot from 17 ft,,22-36,,
10:56.0,Offensive rebound by B. Portis,,22-36,,
10:55.0,B. Portis makes 2-pt shot from 4 ft,2,24-36,,
10:55.0,Shooting foul by M. Muscala (drawn by B. Portis),,24-36,,
10:55.0,,,24-36,,J. Collins enters the game for M. Muscala
10:55.0,B. Portis makes free throw 1 of 1,1,25-36,,
10:42.0,,,25-36,,Turnover by J. Morris (traveling)
10:33.0,B. Portis misses 3-pt shot from 25 ft,,25-36,,
10:32.0,Offensive rebound by Team,,25-36,,
10:32.0,,,25-36,,Loose ball foul by M. Plumlee (drawn by N. Vonleh)
10:32.0,,,25-36,,A. White enters the game for J. Morris
10:32.0,,,25-36,,D. Dedmon enters the game for M. Plumlee
10:26.0,D. Valentine makes 2-pt shot from 2 ft,2,27-36,,
10:04.0,,,27-36,,T. Dorsey misses 3-pt shot from 24 ft
10:00.0,Defensive rebound by D. Valentine,,27-36,,
9:55.0,A. Blakeney makes 3-pt shot from 24 ft (assist by C. Payne),3,30-36,,
9:53.0,,,30-36,,Atlanta full timeout
9:53.0,,,30-36,,I. Taylor enters the game for T. Dorsey
9:37.0,Personal foul by D. Valentine (drawn by J. Collins),,30-36,,
9:30.0,,,30-36,,J. Collins misses 2-pt shot from 2 ft
9:29.0,,,30-36,,Offensive rebound by Team
9:21.0,,,30-36,,K. Bazemore misses 2-pt shot from 1 ft
9:18.0,Defensive rebound by N. Vonleh,,30-36,,
9:06.0,D. Valentine makes 2-pt shot from 10 ft (assist by B. Portis),2,32-36,,
8:47.0,,,32-39,3,K. Bazemore makes 3-pt shot from 22 ft (assist by I. Taylor)
8:34.0,N. Vonleh makes 3-pt shot from 25 ft (assist by D. Valentine),3,35-39,,
8:16.0,,,35-39,,K. Bazemore misses 3-pt shot from 25 ft
8:13.0,Defensive rebound by N. Vonleh,,35-39,,
8:06.0,B. Portis misses 3-pt shot from 24 ft,,35-39,,
8:03.0,,,35-39,,Defensive rebound by J. Collins
7:54.0,,,35-39,,A. White misses 3-pt shot from 24 ft
7:54.0,Defensive rebound by B. Portis,,35-39,,
7:38.0,B. Portis makes 2-pt shot from 7 ft (assist by N. Vonleh),2,37-39,,
7:18.0,,,37-39,,A. White misses 2-pt shot from 3 ft
7:15.0,Defensive rebound by N. Vonleh,,37-39,,
7:10.0,N. Vonleh misses 3-pt shot from 24 ft,,37-39,,
7:07.0,Offensive rebound by C. Payne,,37-39,,
7:02.0,,,37-39,,Personal foul by J. Collins (drawn by N. Vonleh)
7:02.0,,,37-39,,T. Waller-Prince enters the game for A. White
7:02.0,Z. LaVine enters the game for D. Valentine,,37-39,,
