time,Dallas,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. D. Powell (H. Barnes gains possession),,,,Jump ball: C. Capela vs. D. Powell (H. Barnes gains possession)
11:40.0,H. Barnes misses 2-pt shot from 14 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by C. Paul
11:21.0,,,0-3,3,P. Tucker makes 3-pt shot from 23 ft (assist by C. Paul)
11:05.0,D. Powell makes 2-pt shot from 8 ft (assist by D. McDermott),2,2-3,,
10:47.0,,,2-3,,C. Paul misses 3-pt shot from 25 ft
10:42.0,Defensive rebound by H. Barnes,,2-3,,
10:32.0,Y. Ferrell makes 2-pt shot from 20 ft (assist by D. Smith),2,4-3,,
10:15.0,,,4-3,,L. Mbah a Moute misses 3-pt shot from 22 ft
10:12.0,Defensive rebound by H. Barnes,,4-3,,
10:06.0,D. Smith misses 3-pt shot from 25 ft,,4-3,,
10:05.0,Offensive rebound by H. Barnes,,4-3,,
10:05.0,H. Barnes misses 2-pt shot at rim,,4-3,,
10:04.0,,,4-3,,Defensive rebound by C. Capela
9:49.0,,,4-3,,Shooting foul by D. McDermott (drawn by C. Capela)
9:49.0,,,4-4,1,C. Capela makes free throw 1 of 2
9:49.0,,,4-5,1,C. Capela makes free throw 2 of 2
9:34.0,H. Barnes misses 3-pt shot from 25 ft,,4-5,,
9:34.0,Offensive rebound by D. Powell,,4-5,,
9:29.0,H. Barnes misses 3-pt shot from 25 ft,,4-5,,
9:29.0,,,4-5,,Defensive rebound by C. Capela
9:14.0,,,4-5,,Turnover by L. Mbah a Moute (bad pass; steal by Y. Ferrell)
9:11.0,,,4-5,,Personal foul by J. Harden (drawn by Y. Ferrell)
8:58.0,D. McDermott misses 2-pt shot from 12 ft,,4-5,,
8:55.0,,,4-5,,Defensive rebound by J. Harden
8:39.0,,,4-5,,C. Paul misses 2-pt shot from 17 ft
8:29.0,,,4-5,,Offensive rebound by C. Capela
8:29.0,,,4-7,2,C. Capela makes 2-pt shot at rim
8:27.0,D. Powell makes 2-pt shot from 1 ft (assist by D. Smith),2,6-7,,
8:11.0,,,6-9,2,C. Capela makes 2-pt shot from 4 ft (assist by J. Harden)
7:53.0,D. Powell makes 2-pt shot at rim (assist by D. Smith),2,8-9,,
7:41.0,,,8-9,,Shooting foul by Y. Ferrell (drawn by J. Harden)
7:41.0,,,8-9,,J. Harden misses free throw 1 of 2
7:41.0,,,8-9,,Offensive rebound by Team
7:41.0,K. Collinsworth enters the game for Y. Ferrell,,8-9,,
7:41.0,,,8-10,1,J. Harden makes free throw 2 of 2
7:36.0,Turnover by D. Smith (bad pass),,8-10,,
7:19.0,,,8-10,,C. Paul misses 3-pt shot from 25 ft
7:16.0,Defensive rebound by H. Barnes,,8-10,,
7:06.0,H. Barnes makes 2-pt shot from 20 ft (assist by D. Smith),2,10-10,,
6:40.0,,,10-12,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by C. Paul)
6:17.0,D. McDermott misses 3-pt shot from 25 ft,,10-12,,
6:14.0,,,10-12,,Defensive rebound by C. Capela
