time,Indiana,pts.away,score,pts.home,Philadelphia
3:09.0,Defensive rebound by M. Turner,,19-27,,
3:00.0,L. Stephenson misses 2-pt shot from 20 ft,,19-27,,
2:57.0,,,19-27,,Defensive rebound by D. Saric
2:53.0,,,19-27,,T. McConnell misses 2-pt shot from 11 ft
2:50.0,Defensive rebound by C. Joseph,,19-27,,
2:40.0,Turnover by C. Joseph (bad pass; steal by T. McConnell),,19-27,,
2:34.0,,,19-27,,J. Bayless misses 3-pt shot from 26 ft (block by M. Turner)
2:30.0,Defensive rebound by T. Leaf,,19-27,,
2:28.0,M. Turner misses 2-pt shot from 3 ft (block by A. Johnson),,19-27,,
2:28.0,Offensive rebound by Team,,19-27,,
2:28.0,,,19-27,,Philadelphia full timeout
2:28.0,,,19-27,,J. Embiid enters the game for A. Johnson
2:28.0,J. Young enters the game for V. Oladipo,,19-27,,
2:17.0,M. Turner misses 2-pt shot from 19 ft,,19-27,,
2:13.0,,,19-27,,Defensive rebound by J. Embiid
1:59.0,,,19-27,,J. Embiid misses 2-pt shot from 10 ft
1:56.0,Defensive rebound by M. Turner,,19-27,,
1:47.0,L. Stephenson makes 2-pt shot from 16 ft,2,21-27,,
1:35.0,,,21-27,,Turnover by J. Redick (bad pass; steal by T. Leaf)
1:31.0,Turnover by T. Leaf (bad pass; steal by J. Bayless),,21-27,,
1:26.0,,,21-27,,J. Redick misses 3-pt shot from 25 ft
1:22.0,Defensive rebound by C. Joseph,,21-27,,
1:17.0,M. Turner misses 3-pt shot from 28 ft,,21-27,,
1:14.0,,,21-27,,Defensive rebound by D. Saric
1:04.0,,,21-27,,D. Saric misses 3-pt shot from 26 ft
1:00.0,Defensive rebound by J. Young,,21-27,,
0:57.0,M. Turner makes 2-pt shot at rim (assist by J. Young),2,23-27,,
0:40.0,,,23-29,2,J. Embiid makes 2-pt shot from 2 ft (assist by J. Redick)
0:32.0,M. Turner makes 2-pt shot from 1 ft (assist by L. Stephenson),2,25-29,,
0:17.0,Def 3 sec tech foul by J. Young,,25-29,,
0:17.0,,,25-30,1,J. Redick makes technical free throw
0:05.0,,,25-30,,Turnover by J. Embiid (bad pass; steal by L. Stephenson)
0:01.0,J. Young makes 2-pt shot from 1 ft,2,27-30,,
0:01.0,,,27-30,,Technical foul by J. Embiid (drawn by J. Young)
0:01.0,,,27-30,,Turnover by J. Embiid (turnover)
0:01.0,J. Young makes free throw 1 of 1,1,28-30,,
0:00.0,C. Joseph misses 2-pt shot from 12 ft,,28-30,,
0:00.0,Offensive rebound by Team,,28-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,M. Turner makes 2-pt shot from 16 ft (assist by L. Stephenson),2,30-30,,
11:40.0,,,30-30,,Offensive foul by D. Saric (drawn by L. Stephenson)
11:40.0,,,30-30,,Turnover by D. Saric (offensive foul)
11:40.0,D. Collison enters the game for J. Young,,30-30,,
11:33.0,Shooting foul by J. Embiid (drawn by M. Turner),,30-30,,
11:33.0,M. Turner misses free throw 1 of 2,,30-30,,
11:33.0,Offensive rebound by Team,,30-30,,
11:33.0,M. Turner misses free throw 2 of 2,,30-30,,
11:30.0,,,30-30,,Defensive rebound by J. Embiid
11:18.0,,,30-30,,Turnover by J. Embiid (traveling)
11:09.0,Offensive charge foul by L. Stephenson (drawn by J. Embiid),,30-30,,
11:09.0,Turnover by L. Stephenson (offensive foul),,30-30,,
10:59.0,,,30-30,,J. Embiid misses 2-pt shot from 13 ft (block by M. Turner)
10:56.0,Defensive rebound by M. Turner,,30-30,,
10:54.0,T. Leaf makes 2-pt shot from 1 ft (assist by C. Joseph),2,32-30,,
10:40.0,,,32-30,,T. Luwawu-Cabarrot misses 3-pt shot from 24 ft
10:36.0,Defensive rebound by L. Stephenson,,32-30,,
10:32.0,C. Joseph makes 3-pt shot from 23 ft (assist by D. Collison),3,35-30,,
10:15.0,,,35-30,,D. Saric misses 2-pt shot from 6 ft
10:13.0,Defensive rebound by M. Turner,,35-30,,
10:09.0,T. Leaf misses 2-pt shot from 3 ft (block by J. Embiid),,35-30,,
10:04.0,Offensive rebound by L. Stephenson,,35-30,,
10:04.0,L. Stephenson makes 2-pt shot at rim,2,37-30,,
10:04.0,Indiana full timeout,,37-30,,
10:04.0,,,37-30,,T. McConnell enters the game for D. Saric
10:04.0,T. Young enters the game for T. Leaf,,37-30,,
10:01.0,Jump ball: J. Bayless vs. C. Joseph (J. Embiid gains possession),,,,Jump ball: J. Bayless vs. C. Joseph (J. Embiid gains possession)
9:51.0,,,37-33,3,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft (assist by B. Simmons)
9:35.0,M. Turner misses 2-pt shot from 19 ft,,37-33,,
9:31.0,,,37-33,,Defensive rebound by J. Embiid
9:24.0,,,37-33,,B. Simmons misses 2-pt shot from 4 ft
9:23.0,Defensive rebound by C. Joseph,,37-33,,
9:19.0,Turnover by C. Joseph (bad pass; steal by B. Simmons),,37-33,,
9:14.0,,,37-33,,J. Bayless misses 2-pt shot from 4 ft (block by T. Young)
9:13.0,,,37-33,,Offensive rebound by T. McConnell
8:56.0,,,37-33,,J. Bayless misses 3-pt shot from 26 ft
8:52.0,Defensive rebound by L. Stephenson,,37-33,,
8:40.0,Turnover by M. Turner (traveling),,37-33,,
8:40.0,,,37-33,,A. Johnson enters the game for J. Embiid
8:31.0,,,37-33,,Offensive foul by B. Simmons (drawn by C. Joseph)
8:31.0,,,37-33,,Turnover by B. Simmons (offensive foul)
8:31.0,D. Sabonis enters the game for M. Turner,,37-33,,
8:17.0,D. Collison makes 2-pt shot at rim,2,39-33,,
7:56.0,Personal foul by D. Sabonis (drawn by B. Simmons),,39-33,,
7:56.0,B. Bogdanovic enters the game for L. Stephenson,,39-33,,
7:51.0,,,39-36,3,T. Luwawu-Cabarrot makes 3-pt shot from 23 ft (assist by J. Bayless)
7:40.0,,,39-36,,Violation by B. Simmons (kicked ball)
7:40.0,,,39-36,,J. Redick enters the game for J. Bayless
7:40.0,V. Oladipo enters the game for C. Joseph,,39-36,,
7:33.0,Shooting foul by J. Redick (drawn by D. Sabonis),,39-36,,
7:33.0,D. Sabonis misses free throw 1 of 2,,39-36,,
7:33.0,Offensive rebound by Team,,39-36,,
7:33.0,D. Sabonis makes free throw 2 of 2,1,40-36,,
7:24.0,Personal foul by D. Collison (drawn by A. Johnson),,40-36,,
7:24.0,,,40-36,,R. Covington enters the game for T. Luwawu-Cabarrot
7:15.0,,,40-36,,R. Covington misses 2-pt shot from 20 ft
7:12.0,Defensive rebound by V. Oladipo,,40-36,,
7:07.0,Turnover by V. Oladipo (bad pass; steal by T. McConnell),,40-36,,
