time,Cleveland,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. T. Thompson (L. James gains possession),,,,Jump ball: T. Mozgov vs. T. Thompson (L. James gains possession)
11:43.0,K. Love misses 2-pt shot from 13 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by C. LeVert
11:27.0,,,0-0,,C. LeVert misses 2-pt shot from 10 ft
11:24.0,Defensive rebound by L. James,,0-0,,
11:19.0,Shooting foul by S. Dinwiddie (drawn by L. James),,0-0,,
11:19.0,L. James makes free throw 1 of 2,1,1-0,,
11:19.0,L. James makes free throw 2 of 2,1,2-0,,
11:04.0,,,2-0,,R. Hollis-Jefferson misses 2-pt shot from 15 ft
11:01.0,Defensive rebound by L. James,,2-0,,
10:56.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,5-0,,
10:47.0,,,5-0,,Turnover by S. Dinwiddie (bad pass; steal by J. Smith)
10:37.0,K. Love misses 2-pt shot from 6 ft,,5-0,,
10:34.0,,,5-0,,Defensive rebound by T. Mozgov
10:22.0,,,5-0,,C. LeVert misses 2-pt shot from 3 ft
10:20.0,Defensive rebound by K. Love,,5-0,,
10:14.0,J. Crowder misses 3-pt shot from 25 ft,,5-0,,
10:10.0,,,5-0,,Defensive rebound by D. Carroll
10:06.0,,,5-0,,C. LeVert misses 2-pt shot from 5 ft
10:03.0,Defensive rebound by J. Smith,,5-0,,
9:50.0,Turnover by K. Love (traveling),,5-0,,
9:34.0,,,5-2,2,S. Dinwiddie makes 2-pt shot from 19 ft
9:21.0,J. Smith misses 2-pt shot from 14 ft,,5-2,,
9:18.0,Offensive rebound by J. Smith,,5-2,,
9:18.0,Cleveland full timeout,,5-2,,
9:08.0,L. James makes 2-pt shot from 18 ft,2,7-2,,
8:56.0,,,7-2,,Turnover by R. Hollis-Jefferson (out of bounds lost ball)
8:44.0,K. Love makes 2-pt shot from 12 ft (assist by J. Smith),2,9-2,,
8:35.0,,,9-2,,S. Dinwiddie misses 3-pt shot from 24 ft
8:33.0,Defensive rebound by T. Thompson,,9-2,,
8:29.0,Turnover by L. James (turnover),,9-2,,
8:15.0,,,9-2,,C. LeVert misses 3-pt shot from 25 ft
8:13.0,Defensive rebound by K. Love,,9-2,,
8:08.0,Jump ball: T. Mozgov vs. K. Love (S. Dinwiddie gains possession),,,,Jump ball: T. Mozgov vs. K. Love (S. Dinwiddie gains possession)
8:08.0,Turnover by K. Love (turnover; steal by T. Mozgov),,9-2,,
8:02.0,,,9-2,,S. Dinwiddie misses 2-pt shot from 8 ft
8:02.0,Defensive rebound by Team,,9-2,,
8:02.0,,,9-2,,Loose ball foul by T. Mozgov (drawn by K. Love)
