time,Detroit,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. A. Drummond (T. Harris gains possession),,,,Jump ball: M. Turner vs. A. Drummond (T. Harris gains possession)
11:46.0,A. Bradley misses 3-pt shot from 26 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by M. Turner
11:23.0,,,0-0,,M. Turner misses 2-pt shot from 8 ft
11:21.0,Defensive rebound by A. Bradley,,0-0,,
11:01.0,T. Harris misses 2-pt shot at rim,,0-0,,
10:55.0,Offensive rebound by A. Drummond,,0-0,,
10:55.0,A. Drummond makes 2-pt shot at rim,2,2-0,,
10:38.0,,,2-0,,V. Oladipo misses 3-pt shot from 23 ft
10:35.0,Defensive rebound by A. Drummond,,2-0,,
10:28.0,S. Johnson misses 2-pt shot from 19 ft,,2-0,,
10:24.0,,,2-0,,Defensive rebound by V. Oladipo
10:19.0,,,2-0,,B. Bogdanovic misses 3-pt shot from 26 ft
10:15.0,Defensive rebound by A. Drummond,,2-0,,
10:05.0,R. Jackson makes 2-pt shot from 16 ft,2,4-0,,
9:46.0,,,4-0,,Shooting foul by A. Bradley (drawn by V. Oladipo)
9:46.0,,,4-0,,V. Oladipo misses free throw 1 of 3
9:46.0,,,4-0,,Offensive rebound by Team
9:46.0,,,4-0,,V. Oladipo misses free throw 2 of 3
9:46.0,,,4-0,,Offensive rebound by Team
9:46.0,,,4-1,1,V. Oladipo makes free throw 3 of 3
9:30.0,S. Johnson misses 2-pt shot from 13 ft,,4-1,,
9:27.0,,,4-1,,Defensive rebound by V. Oladipo
9:20.0,,,4-3,2,D. Collison makes 2-pt shot from 16 ft
9:00.0,T. Harris misses 2-pt shot from 14 ft,,4-3,,
8:58.0,,,4-3,,Defensive rebound by M. Turner
8:50.0,,,4-6,3,T. Young makes 3-pt shot from 27 ft (assist by D. Collison)
8:34.0,T. Harris misses 3-pt shot from 27 ft,,4-6,,
8:32.0,,,4-6,,Defensive rebound by Team
8:21.0,,,4-8,2,B. Bogdanovic makes 2-pt shot from 1 ft
8:14.0,Detroit full timeout,,4-8,,
8:04.0,R. Jackson misses 2-pt shot from 8 ft,,4-8,,
8:02.0,Offensive rebound by T. Harris,,4-8,,
8:01.0,T. Harris misses 2-pt shot from 4 ft (block by M. Turner),,4-8,,
8:01.0,Offensive rebound by A. Drummond,,4-8,,
7:57.0,A. Drummond makes 2-pt shot from 4 ft,2,6-8,,
7:43.0,,,6-11,3,M. Turner makes 3-pt shot from 27 ft (assist by T. Young)
7:27.0,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson),2,8-11,,
7:16.0,,,8-11,,D. Collison misses 3-pt shot from 26 ft
7:13.0,Defensive rebound by Team,,8-11,,
7:02.0,Shooting foul by V. Oladipo (drawn by A. Bradley),,8-11,,
7:02.0,A. Bradley misses free throw 1 of 2,,8-11,,
7:02.0,Offensive rebound by Team,,8-11,,
7:02.0,A. Bradley makes free throw 2 of 2,1,9-11,,
6:46.0,,,9-13,2,B. Bogdanovic makes 2-pt shot from 1 ft
6:35.0,T. Harris makes 2-pt shot at rim (assist by R. Jackson),2,11-13,,
6:27.0,,,11-13,,B. Bogdanovic misses 2-pt shot from 1 ft
6:22.0,,,11-13,,Offensive rebound by D. Collison
6:21.0,,,11-13,,T. Young misses 3-pt shot from 25 ft
6:21.0,Defensive rebound by A. Bradley,,11-13,,
6:05.0,Shooting foul by M. Turner (drawn by T. Harris),,11-13,,
6:05.0,T. Harris makes free throw 1 of 2,1,12-13,,
6:05.0,T. Harris makes free throw 2 of 2,1,13-13,,
5:55.0,Personal foul by R. Jackson (drawn by D. Collison),,13-13,,
5:49.0,,,13-15,2,V. Oladipo makes 2-pt shot from 15 ft (assist by D. Collison)
5:36.0,R. Jackson makes 2-pt shot from 3 ft,2,15-15,,
5:29.0,,,15-15,,V. Oladipo misses 2-pt shot from 6 ft
5:29.0,Defensive rebound by A. Drummond,,15-15,,
5:10.0,S. Johnson misses 3-pt shot from 26 ft,,15-15,,
5:07.0,,,15-15,,Defensive rebound by V. Oladipo
5:04.0,Personal foul by T. Harris (drawn by D. Collison),,15-15,,
4:51.0,,,15-15,,V. Oladipo misses 2-pt shot from 11 ft
4:46.0,Defensive rebound by T. Harris,,15-15,,
4:43.0,R. Jackson makes 3-pt shot from 26 ft,3,18-15,,
4:35.0,,,18-15,,Indiana full timeout
4:35.0,L. Kennard enters the game for S. Johnson,,18-15,,
4:28.0,,,18-15,,M. Turner misses 2-pt shot at rim
4:26.0,Defensive rebound by A. Drummond,,18-15,,
4:22.0,,,18-15,,L. Stephenson enters the game for D. Collison
4:22.0,,,18-15,,C. Joseph enters the game for B. Bogdanovic
4:10.0,A. Bradley makes 2-pt shot from 1 ft,2,20-15,,
3:50.0,,,20-17,2,T. Young makes 2-pt shot from 15 ft (assist by L. Stephenson)
3:35.0,R. Jackson misses 3-pt shot from 25 ft,,20-17,,
3:32.0,,,20-17,,Defensive rebound by L. Stephenson
3:17.0,,,20-17,,Shooting foul by A. Bradley (drawn by T. Young)
3:17.0,,,20-17,,T. Young misses free throw 1 of 2
3:17.0,,,20-17,,Offensive rebound by Team
3:17.0,,,20-17,,D. Sabonis enters the game for M. Turner
3:17.0,L. Galloway enters the game for R. Jackson,,20-17,,
3:17.0,I. Smith enters the game for A. Bradley,,20-17,,
3:17.0,,,20-17,,T. Young misses free throw 2 of 2
3:14.0,Defensive rebound by L. Kennard,,20-17,,
2:53.0,L. Galloway misses 2-pt shot from 19 ft,,20-17,,
2:50.0,,,20-17,,Defensive rebound by L. Stephenson
2:46.0,,,20-17,,Turnover by L. Stephenson (traveling)
2:33.0,T. Harris misses 2-pt shot from 4 ft,,20-17,,
2:29.0,,,20-17,,Defensive rebound by D. Sabonis
2:21.0,,,20-17,,Turnover by L. Stephenson (lost ball; steal by L. Kennard)
2:14.0,L. Kennard makes 3-pt shot from 26 ft (assist by T. Harris),3,23-17,,
1:59.0,,,23-17,,V. Oladipo misses 2-pt shot from 2 ft
1:59.0,,,23-17,,Offensive rebound by T. Young
1:55.0,,,23-19,2,T. Young makes 2-pt shot at rim
1:36.0,T. Harris misses 3-pt shot from 23 ft,,23-19,,
1:36.0,,,23-19,,Defensive rebound by D. Sabonis
1:30.0,,,23-19,,Shooting foul by T. Harris (drawn by V. Oladipo)
1:30.0,,,23-20,1,V. Oladipo makes free throw 1 of 2
1:30.0,,,23-20,,T. Leaf enters the game for T. Young
1:30.0,A. Tolliver enters the game for A. Drummond,,23-20,,
1:30.0,E. Moreland enters the game for T. Harris,,23-20,,
1:30.0,,,23-21,1,V. Oladipo makes free throw 2 of 2
1:13.0,A. Tolliver makes 3-pt shot from 26 ft (assist by L. Galloway),3,26-21,,
1:01.0,,,26-21,,D. Collison enters the game for V. Oladipo
0:51.0,,,26-21,,D. Sabonis misses 2-pt shot from 7 ft
0:50.0,,,26-21,,Offensive rebound by Team
0:32.0,,,26-21,,D. Sabonis misses 2-pt shot from 5 ft (block by E. Moreland)
0:27.0,Defensive rebound by A. Tolliver,,26-21,,
0:25.0,I. Smith misses 2-pt shot from 1 ft (block by D. Collison),,26-21,,
0:24.0,Offensive rebound by Team,,26-21,,
0:13.0,L. Kennard makes 3-pt shot from 25 ft (assist by A. Tolliver),3,29-21,,
0:03.0,Personal block foul by E. Moreland (drawn by C. Joseph),,29-21,,
0:03.0,,,29-22,1,C. Joseph makes free throw 1 of 2
0:03.0,,,29-23,1,C. Joseph makes free throw 2 of 2
0:00.0,I. Smith makes 3-pt shot from 28 ft,3,32-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,32-23,,D. Collison misses 2-pt shot from 3 ft
11:37.0,Defensive rebound by A. Tolliver,,32-23,,
11:29.0,L. Galloway misses 2-pt shot from 15 ft,,32-23,,
11:27.0,,,32-23,,Defensive rebound by C. Joseph
11:21.0,,,32-23,,Offensive charge foul by L. Stephenson (drawn by E. Moreland)
11:21.0,,,32-23,,Turnover by L. Stephenson (offensive foul)
11:09.0,L. Galloway makes 2-pt shot from 16 ft (assist by A. Tolliver),2,34-23,,
10:47.0,,,34-25,2,D. Sabonis makes 2-pt shot from 1 ft (assist by D. Collison)
10:31.0,L. Galloway misses 3-pt shot from 26 ft,,34-25,,
10:27.0,,,34-25,,Defensive rebound by C. Joseph
10:24.0,,,34-27,2,D. Collison makes 2-pt shot from 10 ft
10:24.0,,,34-27,,Shooting foul by L. Kennard (drawn by D. Collison)
10:24.0,,,34-27,,B. Bogdanovic enters the game for T. Leaf
10:24.0,,,34-28,1,D. Collison makes free throw 1 of 1
10:14.0,A. Tolliver misses 3-pt shot from 26 ft,,34-28,,
10:09.0,,,34-28,,Defensive rebound by D. Sabonis
10:00.0,,,34-30,2,D. Sabonis makes 2-pt shot from 19 ft (assist by D. Collison)
9:45.0,L. Kennard makes 2-pt shot from 20 ft,2,36-30,,
9:34.0,,,36-33,3,D. Collison makes 3-pt shot from 27 ft (assist by B. Bogdanovic)
9:34.0,,,36-33,,Shooting foul by I. Smith (drawn by D. Collison)
9:34.0,,,36-33,,T. Young enters the game for L. Stephenson
9:34.0,,,36-34,1,D. Collison makes free throw 1 of 1
9:16.0,L. Kennard misses 2-pt shot from 8 ft,,36-34,,
9:16.0,Offensive rebound by Team,,36-34,,
9:15.0,,,36-34,,Loose ball foul by D. Sabonis (drawn by E. Moreland)
9:07.0,A. Tolliver makes 3-pt shot from 26 ft (assist by I. Smith),3,39-34,,
8:47.0,,,39-34,,T. Young misses 2-pt shot from 6 ft
8:42.0,Defensive rebound by A. Tolliver,,39-34,,
8:36.0,L. Galloway makes 3-pt shot from 25 ft (assist by I. Smith),3,42-34,,
8:30.0,,,42-34,,Indiana full timeout
8:23.0,,,42-34,,B. Bogdanovic misses 3-pt shot from 26 ft
8:21.0,Defensive rebound by L. Galloway,,42-34,,
8:18.0,I. Smith makes 2-pt shot from 10 ft,2,44-34,,
7:59.0,,,44-34,,D. Sabonis misses 2-pt shot from 4 ft
7:57.0,Defensive rebound by A. Tolliver,,44-34,,
7:53.0,Shooting foul by D. Collison (drawn by I. Smith),,44-34,,
7:53.0,I. Smith makes free throw 1 of 2,1,45-34,,
