time,Milwaukee,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. O'Quinn vs. J. Henson (T. Burke gains possession),,,,Jump ball: K. O'Quinn vs. J. Henson (T. Burke gains possession)
11:38.0,,,0-0,,T. Burke misses 2-pt shot from 3 ft
11:31.0,,,0-0,,Offensive rebound by T. Burke
11:31.0,,,0-2,2,T. Burke makes 2-pt shot at rim
11:18.0,K. Middleton misses 2-pt shot from 1 ft,,0-2,,
11:10.0,Offensive rebound by J. Henson,,0-2,,
11:10.0,J. Henson makes 2-pt shot at rim,2,2-2,,
11:00.0,,,2-4,2,K. O'Quinn makes 2-pt shot from 21 ft (assist by T. Burke)
10:50.0,Shooting foul by K. O'Quinn (drawn by E. Bledsoe),,2-4,,
10:50.0,E. Bledsoe makes free throw 1 of 2,1,3-4,,
10:50.0,E. Bledsoe misses free throw 2 of 2,,3-4,,
10:49.0,,,3-4,,Defensive rebound by K. O'Quinn
10:38.0,,,3-7,3,M. Beasley makes 3-pt shot from 25 ft (assist by F. Ntilikina)
10:27.0,K. Middleton misses 2-pt shot from 2 ft,,3-7,,
10:26.0,,,3-7,,Defensive rebound by F. Ntilikina
10:21.0,,,3-7,,T. Burke misses 2-pt shot from 22 ft
10:18.0,Defensive rebound by T. Snell,,3-7,,
10:12.0,J. Henson makes 2-pt shot from 4 ft (assist by T. Snell),2,5-7,,
9:57.0,,,5-9,2,T. Burke makes 2-pt shot from 1 ft (assist by K. O'Quinn)
9:35.0,T. Snell makes 2-pt shot from 1 ft,2,7-9,,
9:11.0,,,7-9,,T. Burke misses 2-pt shot from 14 ft
9:07.0,,,7-9,,Offensive rebound by K. O'Quinn
8:50.0,,,7-12,3,C. Lee makes 3-pt shot from 25 ft (assist by M. Beasley)
8:33.0,T. Snell misses 2-pt shot from 4 ft (block by K. O'Quinn),,7-12,,
8:33.0,,,7-12,,Defensive rebound by Team
8:21.0,,,7-14,2,M. Beasley makes 2-pt shot from 6 ft (assist by K. O'Quinn)
8:09.0,Milwaukee full timeout,,7-14,,
7:59.0,J. Henson makes 2-pt shot from 10 ft (assist by E. Bledsoe),2,9-14,,
7:32.0,,,9-14,,C. Lee misses 2-pt shot from 12 ft (block by T. Snell)
7:32.0,,,9-14,,Offensive rebound by Team
7:31.0,,,9-14,,Turnover by Team (shot clock)
7:26.0,J. Henson misses 2-pt shot from 4 ft,,9-14,,
7:22.0,Offensive rebound by J. Parker,,9-14,,
7:22.0,J. Parker makes 2-pt shot at rim,2,11-14,,
7:05.0,,,11-14,,M. Beasley misses 2-pt shot from 4 ft (block by E. Bledsoe)
7:02.0,Defensive rebound by K. Middleton,,11-14,,
7:01.0,Turnover by K. Middleton (bad pass),,11-14,,
7:00.0,Personal take foul by E. Bledsoe (drawn by T. Burke),,11-14,,
7:00.0,J. Terry enters the game for T. Snell,,11-14,,
6:50.0,,,11-16,2,C. Lee makes 2-pt shot from 1 ft (assist by F. Ntilikina)
6:32.0,K. Middleton misses 3-pt shot from 22 ft,,11-16,,
6:30.0,,,11-16,,Defensive rebound by M. Beasley
6:23.0,,,11-16,,M. Beasley misses 2-pt shot at rim
6:21.0,Defensive rebound by J. Parker,,11-16,,
6:18.0,J. Terry makes 3-pt shot from 24 ft (assist by J. Parker),3,14-16,,
6:01.0,Violation by J. Henson (kicked ball),,14-16,,
5:48.0,,,14-16,,T. Burke misses 2-pt shot from 16 ft
5:44.0,,,14-16,,Offensive rebound by K. O'Quinn
5:44.0,,,14-18,2,T. Burke makes 2-pt shot at rim (assist by K. O'Quinn)
5:35.0,J. Terry makes 3-pt shot from 22 ft (assist by E. Bledsoe),3,17-18,,
5:20.0,,,17-18,,F. Ntilikina misses 2-pt shot from 21 ft
5:16.0,Defensive rebound by J. Henson,,17-18,,
5:08.0,J. Henson makes 2-pt shot at rim (assist by E. Bledsoe),2,19-18,,
4:58.0,,,19-18,,New York full timeout
4:58.0,,,19-18,,I. Hicks enters the game for M. Beasley
4:58.0,,,19-18,,D. Dotson enters the game for F. Ntilikina
4:58.0,T. Zeller enters the game for J. Henson,,19-18,,
4:40.0,,,19-18,,Turnover by Team (shot clock)
4:27.0,J. Parker makes 2-pt shot from 19 ft (assist by K. Middleton),2,21-18,,
4:16.0,,,21-18,,T. Burke misses 2-pt shot from 19 ft
4:13.0,Defensive rebound by T. Zeller,,21-18,,
4:05.0,K. Middleton makes 2-pt shot from 4 ft (assist by J. Parker),2,23-18,,
