time,LA Lakers,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. B. Lopez (M. Williams gains possession),,,,Jump ball: D. Howard vs. B. Lopez (M. Williams gains possession)
11:42.0,,,0-0,,D. Howard misses 2-pt shot from 8 ft
11:40.0,Defensive rebound by L. Nance,,0-0,,
11:21.0,,,0-0,,Personal foul by D. Howard (drawn by B. Lopez)
11:17.0,Shooting foul by K. Walker (drawn by L. Ball),,0-0,,
11:17.0,L. Ball misses free throw 1 of 2,,0-0,,
11:17.0,Offensive rebound by Team,,0-0,,
11:17.0,L. Ball misses free throw 2 of 2,,0-0,,
11:14.0,,,0-0,,Defensive rebound by D. Howard
11:05.0,,,0-0,,K. Walker misses 2-pt shot from 15 ft
10:59.0,,,0-0,,Offensive rebound by D. Howard
10:59.0,,,0-2,2,D. Howard makes 2-pt shot at rim
10:55.0,B. Lopez misses 2-pt shot from 1 ft,,0-2,,
10:52.0,Offensive rebound by B. Ingram,,0-2,,
10:52.0,B. Ingram makes 2-pt shot at rim,2,2-2,,
10:42.0,,,2-4,2,K. Walker makes 2-pt shot from 1 ft
10:35.0,L. Ball makes 2-pt shot from 1 ft,2,4-4,,
10:18.0,,,4-6,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by M. Williams)
9:59.0,L. Ball makes 3-pt shot from 25 ft (assist by B. Ingram),3,7-6,,
9:40.0,,,7-8,2,M. Williams makes 2-pt shot from 6 ft
9:24.0,K. Caldwell-Pope misses 2-pt shot from 6 ft,,7-8,,
9:22.0,,,7-8,,Defensive rebound by M. Kidd-Gilchrist
9:16.0,,,7-10,2,D. Howard makes 2-pt shot from 1 ft (assist by N. Batum)
8:55.0,L. Nance makes 2-pt shot from 10 ft (assist by B. Lopez),2,9-10,,
8:39.0,,,9-10,,N. Batum misses 3-pt shot from 23 ft
8:36.0,Defensive rebound by B. Ingram,,9-10,,
8:30.0,B. Lopez misses 3-pt shot from 25 ft,,9-10,,
8:28.0,Offensive rebound by Team,,9-10,,
8:28.0,,,9-10,,Loose ball foul by M. Williams (drawn by L. Nance)
8:22.0,Turnover by B. Ingram (traveling),,9-10,,
8:04.0,,,9-10,,D. Howard misses 2-pt shot from 1 ft
8:02.0,Defensive rebound by B. Lopez,,9-10,,
7:56.0,B. Ingram makes 2-pt shot from 1 ft (assist by L. Ball),2,11-10,,
7:46.0,,,11-13,3,K. Walker makes 3-pt shot from 25 ft
7:36.0,B. Lopez makes 2-pt shot from 9 ft (assist by L. Ball),2,13-13,,
7:24.0,,,13-15,2,K. Walker makes 2-pt shot from 16 ft
7:08.0,B. Lopez misses 2-pt shot from 1 ft,,13-15,,
7:06.0,,,13-15,,Defensive rebound by M. Kidd-Gilchrist
6:52.0,,,13-15,,M. Williams misses 3-pt shot from 24 ft
6:50.0,,,13-15,,Offensive rebound by M. Kidd-Gilchrist
6:47.0,,,13-15,,K. Walker misses 3-pt shot from 25 ft
6:43.0,Defensive rebound by L. Ball,,13-15,,
6:40.0,K. Caldwell-Pope makes 2-pt shot from 20 ft (assist by L. Ball),2,15-15,,
6:29.0,,,15-15,,Charlotte full timeout
6:29.0,,,15-15,,D. Bacon enters the game for M. Williams
6:29.0,,,15-15,,T. Graham enters the game for N. Batum
6:11.0,,,15-17,2,D. Bacon makes 2-pt shot from 20 ft (assist by K. Walker)
5:55.0,B. Lopez makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope),3,18-17,,
5:46.0,Personal foul by L. Ball (drawn by K. Walker),,18-17,,
5:37.0,,,18-19,2,D. Howard makes 2-pt shot from 9 ft (assist by M. Kidd-Gilchrist)
5:24.0,L. Ball misses 3-pt shot from 26 ft,,18-19,,
5:21.0,,,18-19,,Defensive rebound by M. Kidd-Gilchrist
