time,Memphis,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Gasol (J. Holiday gains possession),,,,Jump ball: A. Davis vs. M. Gasol (J. Holiday gains possession)
11:42.0,,,0-2,2,A. Davis makes 2-pt shot from 4 ft (assist by R. Rondo)
11:25.0,Turnover by J. Martin (bad pass; steal by E. Moore),,0-2,,
11:19.0,,,0-4,2,E. Moore makes 2-pt shot at rim
11:05.0,Turnover by K. Simmons (bad pass),,0-4,,
10:50.0,,,0-4,,J. Holiday misses 2-pt shot from 7 ft (block by D. Brooks)
10:50.0,Defensive rebound by J. Martin,,0-4,,
10:35.0,Turnover by B. McLemore (bad pass; steal by J. Holiday),,0-4,,
10:29.0,,,0-6,2,J. Holiday makes 2-pt shot at rim
10:21.0,Memphis full timeout,,0-6,,
10:08.0,J. Martin misses 2-pt shot from 17 ft,,0-6,,
10:05.0,,,0-6,,Defensive rebound by J. Holiday
10:04.0,Personal foul by J. Martin (drawn by R. Rondo),,0-6,,
9:52.0,,,0-6,,Shooting foul by M. Gasol (drawn by A. Davis)
9:52.0,,,0-7,1,A. Davis makes free throw 1 of 2
9:52.0,,,0-8,1,A. Davis makes free throw 2 of 2
9:34.0,K. Simmons misses 2-pt shot from 11 ft (block by A. Davis),,0-8,,
9:30.0,,,0-8,,Defensive rebound by R. Rondo
9:29.0,,,0-10,2,N. Mirotic makes 2-pt shot at rim (assist by R. Rondo)
9:17.0,J. Martin misses 2-pt shot from 18 ft,,0-10,,
9:14.0,,,0-10,,Defensive rebound by N. Mirotic
9:08.0,,,0-10,,Turnover by J. Holiday (lost ball; steal by D. Brooks)
9:04.0,,,0-10,,Personal block foul by J. Holiday (drawn by D. Brooks)
8:50.0,M. Gasol misses 2-pt shot from 9 ft,,0-10,,
8:46.0,Offensive rebound by M. Gasol,,0-10,,
8:42.0,D. Brooks makes 2-pt shot from 14 ft,2,2-10,,
8:31.0,,,2-10,,Turnover by R. Rondo (lost ball; steal by M. Gasol)
8:26.0,B. McLemore makes 3-pt shot from 24 ft (assist by D. Brooks),3,5-10,,
8:14.0,,,5-12,2,N. Mirotic makes 2-pt shot from 1 ft (assist by J. Holiday)
7:59.0,B. McLemore makes 2-pt shot from 17 ft (assist by J. Martin),2,7-12,,
7:50.0,,,7-14,2,A. Davis makes 2-pt shot from 15 ft
7:33.0,B. McLemore misses 2-pt shot from 15 ft,,7-14,,
7:30.0,,,7-14,,Defensive rebound by N. Mirotic
7:22.0,,,7-14,,Turnover by R. Rondo (bad pass)
7:22.0,M. Brooks enters the game for D. Brooks,,7-14,,
7:22.0,M. Teague enters the game for K. Simmons,,7-14,,
7:09.0,Turnover by M. Gasol (traveling),,7-14,,
6:58.0,,,7-17,3,E. Moore makes 3-pt shot from 24 ft (assist by R. Rondo)
6:40.0,M. Brooks makes 2-pt shot from 15 ft,2,9-17,,
6:17.0,,,9-17,,E. Moore misses 3-pt shot from 24 ft
6:13.0,,,9-17,,Offensive rebound by A. Davis
6:13.0,Personal foul by B. McLemore (drawn by N. Mirotic),,9-17,,
6:07.0,,,9-19,2,J. Holiday makes 2-pt shot from 1 ft
5:54.0,B. McLemore misses 3-pt shot from 25 ft,,9-19,,
5:49.0,,,9-19,,Defensive rebound by A. Davis
5:44.0,,,9-19,,A. Davis misses 2-pt shot from 4 ft
5:41.0,Defensive rebound by J. Martin,,9-19,,
5:35.0,B. McLemore makes 2-pt shot from 2 ft (assist by M. Teague),2,11-19,,
5:26.0,,,11-19,,R. Rondo misses 2-pt shot from 1 ft
5:26.0,Defensive rebound by B. McLemore,,11-19,,
5:11.0,J. Martin makes 2-pt shot at rim (assist by M. Gasol),2,13-19,,
5:03.0,Personal foul by J. Martin (drawn by J. Holiday),,13-19,,
5:03.0,,,13-19,,S. Hill enters the game for N. Mirotic
5:03.0,,,13-19,,D. Miller enters the game for J. Holiday
5:03.0,,,13-19,,I. Clark enters the game for E. Moore
5:03.0,D. Davis enters the game for J. Martin,,13-19,,
5:03.0,D. Brooks enters the game for B. McLemore,,13-19,,
5:03.0,I. Rabb enters the game for M. Gasol,,13-19,,
4:54.0,,,13-21,2,D. Miller makes 2-pt shot from 21 ft (assist by R. Rondo)
4:40.0,I. Rabb makes 2-pt shot from 1 ft,2,15-21,,
4:29.0,,,15-21,,S. Hill misses 3-pt shot from 24 ft
4:26.0,Defensive rebound by I. Rabb,,15-21,,
4:12.0,D. Davis makes 2-pt shot from 1 ft (assist by M. Brooks),2,17-21,,
4:08.0,Personal foul by I. Rabb (drawn by A. Davis),,17-21,,
4:08.0,,,17-22,1,A. Davis makes free throw 1 of 2
4:08.0,,,17-23,1,A. Davis makes free throw 2 of 2
3:49.0,D. Davis makes 2-pt shot from 1 ft (assist by M. Brooks),2,19-23,,
3:35.0,,,19-23,,A. Davis misses 2-pt shot from 14 ft
3:32.0,Defensive rebound by D. Davis,,19-23,,
3:24.0,D. Davis misses 2-pt shot from 12 ft,,19-23,,
3:17.0,Offensive rebound by M. Brooks,,19-23,,
3:17.0,M. Brooks misses 2-pt shot at rim,,19-23,,
3:17.0,,,19-23,,Defensive rebound by A. Davis
3:07.0,,,19-26,3,I. Clark makes 3-pt shot from 24 ft (assist by R. Rondo)
