time,Philadelphia,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. J. Embiid (S. Curry gains possession),,,,Jump ball: Z. Pachulia vs. J. Embiid (S. Curry gains possession)
11:36.0,,,0-2,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry)
11:19.0,,,0-2,,Personal foul by Z. Pachulia (drawn by J. Embiid)
11:11.0,B. Simmons misses 2-pt shot from 6 ft (block by D. Green),,0-2,,
11:06.0,Offensive rebound by B. Simmons,,0-2,,
11:04.0,J. Redick misses 3-pt shot from 26 ft,,0-2,,
11:01.0,,,0-2,,Defensive rebound by D. Green
10:53.0,,,0-5,3,K. Durant makes 3-pt shot from 23 ft (assist by D. Green)
10:42.0,,,0-5,,P. McCaw enters the game for S. Curry
10:37.0,R. Covington makes 2-pt shot from 2 ft (assist by B. Simmons),2,2-5,,
10:20.0,,,2-5,,Turnover by K. Thompson (bad pass; steal by J. Redick)
10:10.0,D. Saric makes 2-pt shot from 9 ft (assist by J. Embiid),2,4-5,,
10:04.0,,,4-5,,Turnover by P. McCaw (bad pass; steal by B. Simmons)
10:01.0,D. Saric makes 3-pt shot from 26 ft (assist by B. Simmons),3,7-5,,
10:01.0,,,7-5,,Golden State full timeout
10:01.0,,,7-5,,S. Curry enters the game for P. McCaw
9:52.0,,,7-7,2,K. Thompson makes 2-pt shot from 18 ft (assist by S. Curry)
9:39.0,J. Embiid misses 2-pt shot from 16 ft,,7-7,,
9:35.0,,,7-7,,Defensive rebound by K. Durant
9:26.0,,,7-7,,S. Curry misses 3-pt shot from 23 ft
9:21.0,Defensive rebound by J. Embiid,,7-7,,
9:17.0,B. Simmons misses 2-pt shot from 13 ft,,7-7,,
9:09.0,Offensive rebound by J. Embiid,,7-7,,
9:08.0,Turnover by J. Embiid (lost ball; steal by D. Green),,7-7,,
9:05.0,,,7-7,,Z. Pachulia misses 2-pt shot from 3 ft (block by D. Saric)
9:05.0,Defensive rebound by Team,,7-7,,
8:52.0,J. Redick makes 2-pt shot from 19 ft (assist by R. Covington),2,9-7,,
8:40.0,,,9-7,,Turnover by Z. Pachulia (turnover)
8:23.0,J. Embiid misses 2-pt shot from 14 ft,,9-7,,
8:18.0,,,9-7,,Defensive rebound by D. Green
7:58.0,,,9-9,2,K. Durant makes 2-pt shot from 17 ft (assist by D. Green)
7:37.0,D. Saric makes 2-pt shot from 9 ft,2,11-9,,
7:20.0,,,11-9,,Shooting foul by J. Embiid (drawn by S. Curry)
7:20.0,,,11-10,1,S. Curry makes free throw 1 of 3
7:20.0,,,11-11,1,S. Curry makes free throw 2 of 3
7:20.0,R. Holmes enters the game for D. Saric,,11-11,,
7:20.0,T. McConnell enters the game for J. Embiid,,11-11,,
7:20.0,,,11-12,1,S. Curry makes free throw 3 of 3
7:11.0,B. Simmons misses 2-pt shot from 11 ft,,11-12,,
7:07.0,,,11-12,,Defensive rebound by Z. Pachulia
7:02.0,,,11-12,,Turnover by K. Durant (bad pass; steal by R. Covington)
6:58.0,T. Luwawu-Cabarrot enters the game for J. Redick,,11-12,,
6:57.0,Turnover by T. Luwawu-Cabarrot (out of bounds lost ball),,11-12,,
6:46.0,,,11-12,,K. Durant misses 2-pt shot from 10 ft
6:43.0,,,11-12,,Offensive rebound by Z. Pachulia
6:40.0,,,11-12,,K. Thompson misses 3-pt shot from 29 ft
6:37.0,Defensive rebound by R. Covington,,11-12,,
6:35.0,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell),3,14-12,,
6:19.0,,,14-12,,D. Green misses 3-pt shot from 25 ft
