time,Miami,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Kleber vs. H. Whiteside (H. Barnes gains possession),,,,Jump ball: M. Kleber vs. H. Whiteside (H. Barnes gains possession)
11:41.0,,,0-0,,Turnover by D. Smith (bad pass; steal by T. Johnson)
11:23.0,H. Whiteside misses 2-pt shot from 5 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by D. Nowitzki
11:09.0,,,0-2,2,H. Barnes makes 2-pt shot from 1 ft (assist by W. Matthews)
10:42.0,H. Whiteside misses 2-pt shot from 4 ft,,0-2,,
10:40.0,,,0-2,,Defensive rebound by D. Nowitzki
10:21.0,,,0-2,,D. Smith misses 2-pt shot from 15 ft
10:19.0,Defensive rebound by T. Johnson,,0-2,,
10:12.0,,,0-2,,Personal foul by D. Smith (drawn by T. Johnson)
10:06.0,G. Dragic makes 2-pt shot from 15 ft (assist by J. Richardson),2,2-2,,
9:53.0,,,2-4,2,W. Matthews makes 2-pt shot from 19 ft
9:34.0,H. Whiteside makes 2-pt shot from 3 ft (assist by T. Johnson),2,4-4,,
9:19.0,,,4-6,2,M. Kleber makes 2-pt shot at rim (assist by D. Smith)
9:03.0,G. Dragic misses 2-pt shot from 10 ft,,4-6,,
9:00.0,,,4-6,,Defensive rebound by D. Nowitzki
8:47.0,,,4-6,,Turnover by D. Smith (bad pass; steal by T. Johnson)
8:45.0,,,4-6,,Personal block foul by M. Kleber (drawn by T. Johnson)
8:36.0,J. Richardson misses 3-pt shot from 22 ft,,4-6,,
8:34.0,Offensive rebound by H. Whiteside,,4-6,,
8:34.0,H. Whiteside misses 2-pt shot from 1 ft (block by D. Nowitzki),,4-6,,
8:32.0,Offensive rebound by H. Whiteside,,4-6,,
8:27.0,H. Whiteside makes 2-pt shot from 1 ft,2,6-6,,
8:11.0,,,6-8,2,H. Barnes makes 2-pt shot from 10 ft
7:42.0,T. Johnson misses 3-pt shot from 25 ft,,6-8,,
7:42.0,Offensive rebound by H. Whiteside,,6-8,,
7:39.0,H. Whiteside makes 2-pt shot from 5 ft,2,8-8,,
7:22.0,,,8-8,,D. Nowitzki misses 3-pt shot from 22 ft
7:22.0,Defensive rebound by J. Richardson,,8-8,,
7:13.0,J. Johnson makes 2-pt shot at rim,2,10-8,,
7:13.0,,,10-8,,Dallas full timeout
7:13.0,,,10-8,,S. Mejri enters the game for D. Nowitzki
6:53.0,,,10-8,,D. Smith misses 2-pt shot at rim (block by G. Dragic)
6:53.0,,,10-8,,Offensive rebound by Team
6:51.0,,,10-8,,M. Kleber misses 2-pt shot from 14 ft (block by J. Johnson)
6:51.0,,,10-8,,Offensive rebound by Team
6:47.0,,,10-8,,D. Smith misses 3-pt shot from 24 ft
6:44.0,Defensive rebound by H. Whiteside,,10-8,,
6:30.0,H. Whiteside makes 2-pt shot from 1 ft,2,12-8,,
6:30.0,Shooting foul by W. Matthews (drawn by H. Whiteside),,12-8,,
6:30.0,,,12-8,,Y. Ferrell enters the game for M. Kleber
6:30.0,H. Whiteside misses free throw 1 of 1,,12-8,,
6:27.0,,,12-8,,Defensive rebound by W. Matthews
6:17.0,,,12-10,2,H. Barnes makes 2-pt shot from 22 ft (assist by D. Smith)
5:59.0,H. Whiteside misses 2-pt shot from 7 ft,,12-10,,
5:57.0,,,12-10,,Defensive rebound by S. Mejri
5:46.0,,,12-10,,H. Barnes misses 3-pt shot from 26 ft
5:44.0,Defensive rebound by G. Dragic,,12-10,,
5:35.0,H. Whiteside misses 2-pt shot from 3 ft,,12-10,,
5:33.0,Offensive rebound by H. Whiteside,,12-10,,
5:20.0,Turnover by T. Johnson (bad pass; steal by S. Mejri),,12-10,,
5:13.0,,,12-10,,H. Barnes misses 3-pt shot from 25 ft
5:10.0,Defensive rebound by H. Whiteside,,12-10,,
5:03.0,J. Richardson makes 3-pt shot from 25 ft (assist by J. Johnson),3,15-10,,
4:44.0,,,15-10,,Offensive foul by S. Mejri (drawn by J. Richardson)
4:44.0,,,15-10,,Turnover by S. Mejri (offensive foul)
4:44.0,W. Ellington enters the game for J. Richardson,,15-10,,
4:44.0,K. Olynyk enters the game for H. Whiteside,,15-10,,
4:33.0,G. Dragic makes 2-pt shot from 5 ft,2,17-10,,
4:13.0,,,17-12,2,H. Barnes makes 2-pt shot from 6 ft
4:02.0,G. Dragic misses 2-pt shot from 6 ft (block by S. Mejri),,17-12,,
4:00.0,Offensive rebound by G. Dragic,,17-12,,
3:55.0,K. Olynyk misses 3-pt shot from 26 ft,,17-12,,
3:53.0,,,17-12,,Defensive rebound by W. Matthews
3:52.0,,,17-12,,Shooting foul by T. Johnson (drawn by Y. Ferrell)
3:52.0,,,17-13,1,Y. Ferrell makes free throw 1 of 2
3:52.0,,,17-14,1,Y. Ferrell makes free throw 2 of 2
3:49.0,Miami full timeout,,17-14,,
3:40.0,W. Ellington misses 3-pt shot from 24 ft,,17-14,,
3:37.0,,,17-14,,Defensive rebound by S. Mejri
3:23.0,,,17-16,2,S. Mejri makes 2-pt shot from 1 ft (assist by W. Matthews)
3:08.0,K. Olynyk misses 2-pt shot from 1 ft,,17-16,,
3:05.0,,,17-16,,Defensive rebound by S. Mejri
3:03.0,,,17-19,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Smith)
2:42.0,K. Olynyk makes 3-pt shot from 24 ft (assist by T. Johnson),3,20-19,,
2:21.0,,,20-19,,H. Barnes misses 2-pt shot from 12 ft
2:20.0,,,20-19,,Offensive rebound by Team
2:20.0,,,20-19,,D. Harris enters the game for D. Smith
2:20.0,B. Adebayo enters the game for G. Dragic,,20-19,,
2:20.0,J. Winslow enters the game for T. Johnson,,20-19,,
2:20.0,J. Richardson enters the game for J. Johnson,,20-19,,
2:08.0,,,20-21,2,W. Matthews makes 2-pt shot from 3 ft
1:47.0,K. Olynyk misses 2-pt shot from 7 ft,,20-21,,
1:43.0,,,20-21,,Defensive rebound by W. Matthews
1:30.0,,,20-21,,D. Harris misses 2-pt shot from 16 ft
1:30.0,Defensive rebound by J. Winslow,,20-21,,
1:21.0,Turnover by J. Winslow (traveling),,20-21,,
1:21.0,,,20-21,,D. Powell enters the game for W. Matthews
1:21.0,,,20-21,,K. Collinsworth enters the game for H. Barnes
1:21.0,,,20-21,,D. Nowitzki enters the game for S. Mejri
1:02.0,,,20-21,,Turnover by Y. Ferrell (out of bounds lost ball)
0:54.0,,,20-21,,Personal foul by D. Harris (drawn by J. Richardson)
0:44.0,Turnover by B. Adebayo (lost ball; steal by D. Powell),,20-21,,
0:39.0,,,20-24,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by Y. Ferrell)
0:19.0,J. Winslow makes 2-pt shot from 13 ft (assist by B. Adebayo),2,22-24,,
0:02.0,,,22-26,2,D. Harris makes 2-pt shot from 10 ft
0:00.0,W. Ellington misses 3-pt shot from 25 ft,,22-26,,
0:00.0,Offensive rebound by Team,,22-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Shooting foul by K. Collinsworth (drawn by J. Winslow),,22-26,,
11:49.0,J. Winslow makes free throw 1 of 2,1,23-26,,
11:49.0,J. Winslow makes free throw 2 of 2,1,24-26,,
11:30.0,Personal foul by B. Adebayo (drawn by D. Harris),,24-26,,
11:24.0,,,24-28,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by D. Harris)
11:09.0,K. Olynyk misses 2-pt shot from 13 ft,,24-28,,
11:04.0,,,24-28,,Defensive rebound by D. Powell
10:57.0,,,24-28,,D. Harris misses 2-pt shot from 1 ft (block by J. Richardson)
10:55.0,Defensive rebound by B. Adebayo,,24-28,,
10:49.0,K. Olynyk makes 3-pt shot from 24 ft (assist by J. Winslow),3,27-28,,
