time,Oklahoma City,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. S. Adams (C. Anthony gains possession),,,,Jump ball: D. Howard vs. S. Adams (C. Anthony gains possession)
11:40.0,T. Ferguson makes 3-pt shot from 23 ft (assist by R. Westbrook),3,3-0,,
11:21.0,,,3-0,,Turnover by N. Batum (lost ball; steal by R. Westbrook)
11:15.0,P. George makes 2-pt shot from 1 ft (assist by R. Westbrook),2,5-0,,
11:01.0,,,5-0,,Charlotte full timeout
10:52.0,,,5-2,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by M. Williams)
10:36.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,7-2,,
10:13.0,,,7-2,,Shooting foul by T. Ferguson (drawn by N. Batum)
10:13.0,,,7-2,,N. Batum misses free throw 1 of 3
10:13.0,,,7-2,,Offensive rebound by Team
10:13.0,,,7-3,1,N. Batum makes free throw 2 of 3
10:13.0,,,7-4,1,N. Batum makes free throw 3 of 3
9:50.0,P. George misses 3-pt shot from 23 ft,,7-4,,
9:45.0,Offensive rebound by S. Adams,,7-4,,
9:45.0,S. Adams makes 2-pt shot at rim,2,9-4,,
9:30.0,,,9-4,,N. Batum misses 2-pt shot from 9 ft (block by T. Ferguson)
9:27.0,Defensive rebound by S. Adams,,9-4,,
9:17.0,C. Anthony misses 3-pt shot from 23 ft,,9-4,,
9:14.0,,,9-4,,Defensive rebound by D. Howard
9:07.0,,,9-4,,Turnover by K. Walker (bad pass)
8:55.0,Turnover by T. Ferguson (bad pass; steal by N. Batum),,9-4,,
8:45.0,,,9-4,,M. Kidd-Gilchrist misses 2-pt shot from 8 ft
8:44.0,,,9-4,,Offensive rebound by D. Howard
8:44.0,Personal take foul by S. Adams (drawn by D. Howard),,9-4,,
8:38.0,,,9-4,,N. Batum misses 2-pt shot from 19 ft
8:33.0,Defensive rebound by P. George,,9-4,,
8:24.0,R. Westbrook misses 2-pt shot from 19 ft (block by N. Batum),,9-4,,
8:21.0,,,9-4,,Defensive rebound by D. Howard
8:19.0,,,9-4,,Shooting foul by C. Anthony (drawn by M. Kidd-Gilchrist)
8:19.0,,,9-5,1,M. Kidd-Gilchrist makes free throw 1 of 2
8:19.0,,,9-6,1,M. Kidd-Gilchrist makes free throw 2 of 2
7:58.0,C. Anthony misses 2-pt shot from 12 ft,,9-6,,
7:53.0,Offensive rebound by S. Adams,,9-6,,
7:53.0,S. Adams makes 2-pt shot at rim,2,11-6,,
7:40.0,Personal foul by T. Ferguson (drawn by N. Batum),,11-6,,
7:32.0,,,11-9,3,N. Batum makes 3-pt shot from 26 ft (assist by M. Williams)
7:13.0,R. Westbrook misses 2-pt shot from 19 ft,,11-9,,
7:13.0,,,11-9,,Defensive rebound by K. Walker
7:06.0,,,11-11,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by K. Walker)
6:55.0,R. Westbrook misses 2-pt shot from 1 ft,,11-11,,
6:53.0,,,11-11,,Defensive rebound by K. Walker
6:49.0,,,11-11,,Turnover by K. Walker (lost ball; steal by S. Adams)
6:45.0,R. Westbrook makes 2-pt shot at rim (assist by T. Ferguson),2,13-11,,
6:31.0,,,13-11,,N. Batum misses 3-pt shot from 26 ft
6:29.0,Defensive rebound by P. George,,13-11,,
6:13.0,P. George makes 3-pt shot from 25 ft,3,16-11,,
5:56.0,,,16-11,,D. Howard misses 2-pt shot from 1 ft
5:53.0,Defensive rebound by S. Adams,,16-11,,
5:47.0,P. George makes 3-pt shot from 25 ft (assist by C. Anthony),3,19-11,,
5:29.0,,,19-11,,K. Walker misses 2-pt shot from 16 ft
5:27.0,Defensive rebound by P. George,,19-11,,
5:21.0,Shooting foul by D. Howard (drawn by P. George),,19-11,,
5:21.0,P. George makes free throw 1 of 2,1,20-11,,
