time,Memphis,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Powell vs. J. Green (H. Barnes gains possession),,,,Jump ball: D. Powell vs. J. Green (H. Barnes gains possession)
11:43.0,,,0-2,2,H. Barnes makes 2-pt shot from 2 ft (assist by D. Powell)
11:25.0,B. McLemore misses 2-pt shot from 3 ft,,0-2,,
11:22.0,,,0-2,,Defensive rebound by D. Nowitzki
11:18.0,,,0-2,,W. Matthews misses 3-pt shot from 25 ft
11:14.0,Defensive rebound by J. Green,,0-2,,
11:10.0,K. Simmons misses 2-pt shot from 3 ft,,0-2,,
11:07.0,,,0-2,,Defensive rebound by D. Powell
10:58.0,Personal foul by B. McLemore (drawn by J. Barea),,0-2,,
10:51.0,,,0-2,,D. Nowitzki misses 2-pt shot from 20 ft
10:48.0,,,0-2,,Offensive rebound by D. Powell
10:42.0,,,0-4,2,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea)
10:23.0,B. McLemore makes 2-pt shot from 12 ft (assist by J. Martin),2,2-4,,
10:00.0,,,2-4,,H. Barnes misses 2-pt shot from 9 ft
9:58.0,Defensive rebound by J. Green,,2-4,,
9:41.0,K. Simmons misses 2-pt shot from 14 ft,,2-4,,
9:38.0,Offensive rebound by K. Simmons,,2-4,,
9:36.0,B. McLemore makes 3-pt shot from 25 ft (assist by K. Simmons),3,5-4,,
9:26.0,,,5-4,,D. Powell misses 2-pt shot from 1 ft (block by J. Martin)
9:24.0,,,5-4,,Offensive rebound by H. Barnes
9:20.0,,,5-6,2,D. Powell makes 2-pt shot from 1 ft (assist by H. Barnes)
9:07.0,Shooting foul by W. Matthews (drawn by D. Brooks),,5-6,,
9:07.0,D. Brooks misses free throw 1 of 2,,5-6,,
9:07.0,Offensive rebound by Team,,5-6,,
9:07.0,D. Brooks misses free throw 2 of 2,,5-6,,
9:05.0,Offensive rebound by J. Green,,5-6,,
8:57.0,J. Martin misses 2-pt shot from 17 ft,,5-6,,
8:54.0,,,5-6,,Defensive rebound by J. Barea
