time,Brooklyn,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. J. Allen (R. Hollis-Jefferson gains possession),,,,Jump ball: J. Embiid vs. J. Allen (R. Hollis-Jefferson gains possession)
11:41.0,Shooting foul by R. Covington (drawn by R. Hollis-Jefferson),,0-0,,
11:41.0,R. Hollis-Jefferson makes free throw 1 of 2,1,1-0,,
11:41.0,R. Hollis-Jefferson makes free throw 2 of 2,1,2-0,,
11:34.0,,,2-2,2,B. Simmons makes 2-pt shot from 4 ft
11:22.0,J. Harris misses 3-pt shot from 25 ft,,2-2,,
11:19.0,,,2-2,,Defensive rebound by D. Saric
11:08.0,,,2-4,2,J. Embiid makes 2-pt shot from 1 ft (assist by B. Simmons)
10:48.0,R. Hollis-Jefferson misses 2-pt shot from 13 ft,,2-4,,
10:42.0,Offensive rebound by J. Allen,,2-4,,
10:38.0,D. Carroll misses 2-pt shot from 2 ft,,2-4,,
10:36.0,,,2-4,,Defensive rebound by J. Embiid
10:35.0,Personal foul by J. Harris (drawn by J. Redick),,2-4,,
10:27.0,,,2-4,,J. Embiid misses 2-pt shot from 21 ft
10:24.0,Defensive rebound by D. Carroll,,2-4,,
10:11.0,J. Harris misses 2-pt shot from 3 ft,,2-4,,
10:08.0,Offensive rebound by D. Russell,,2-4,,
10:05.0,J. Harris makes 3-pt shot from 26 ft (assist by D. Russell),3,5-4,,
9:53.0,,,5-6,2,B. Simmons makes 2-pt shot from 6 ft
9:27.0,Shooting foul by J. Redick (drawn by R. Hollis-Jefferson),,5-6,,
9:27.0,R. Hollis-Jefferson misses free throw 1 of 2,,5-6,,
9:27.0,Offensive rebound by Team,,5-6,,
9:27.0,R. Hollis-Jefferson makes free throw 2 of 2,1,6-6,,
9:13.0,,,6-8,2,D. Saric makes 2-pt shot from 1 ft (assist by B. Simmons)
9:00.0,J. Allen makes 2-pt shot from 2 ft (assist by D. Russell),2,8-8,,
8:51.0,,,8-11,3,J. Redick makes 3-pt shot from 26 ft (assist by B. Simmons)
8:43.0,Turnover by J. Allen (lost ball; steal by J. Redick),,8-11,,
8:37.0,,,8-13,2,B. Simmons makes 2-pt shot from 2 ft
8:25.0,,,8-13,,Personal foul by B. Simmons (drawn by D. Russell)
8:09.0,R. Hollis-Jefferson misses 2-pt shot from 13 ft,,8-13,,
8:08.0,,,8-13,,Defensive rebound by Team
8:08.0,,,8-13,,M. Belinelli enters the game for J. Redick
7:59.0,Personal foul by J. Allen (drawn by J. Embiid),,8-13,,
7:44.0,,,8-13,,J. Embiid misses 2-pt shot from 14 ft
7:42.0,Defensive rebound by D. Russell,,8-13,,
7:29.0,D. Russell misses 2-pt shot from 8 ft,,8-13,,
7:26.0,Offensive rebound by J. Allen,,8-13,,
