time,Dallas,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: E. Kanter vs. H. Barnes (E. Mudiay gains possession),,,,Jump ball: E. Kanter vs. H. Barnes (E. Mudiay gains possession)
11:42.0,,,0-2,2,E. Mudiay makes 2-pt shot from 11 ft
11:21.0,D. Smith makes 3-pt shot from 25 ft (assist by D. Finney-Smith),3,3-2,,
11:00.0,,,3-2,,Turnover by E. Kanter (lost ball; steal by D. Nowitzki)
10:53.0,Turnover by D. Nowitzki (bad pass; steal by C. Lee),,3-2,,
10:53.0,Personal foul by D. Nowitzki (drawn by E. Mudiay),,3-2,,
10:36.0,,,3-2,,L. Thomas misses 3-pt shot from 25 ft
10:32.0,Defensive rebound by D. Finney-Smith,,3-2,,
10:17.0,D. Smith misses 3-pt shot from 25 ft,,3-2,,
10:15.0,,,3-2,,Defensive rebound by T. Hardaway
10:12.0,Personal foul by D. Finney-Smith (drawn by T. Hardaway),,3-2,,
9:56.0,,,3-2,,T. Hardaway misses 3-pt shot from 23 ft
9:53.0,,,3-2,,Offensive rebound by E. Kanter
9:51.0,,,3-2,,E. Kanter misses 2-pt shot at rim
9:50.0,,,3-2,,Offensive rebound by E. Kanter
9:50.0,,,3-2,,E. Kanter misses 2-pt shot at rim
9:50.0,,,3-2,,Offensive rebound by E. Kanter
9:50.0,,,3-2,,Shooting foul by D. Nowitzki (drawn by E. Kanter)
9:50.0,N. Noel enters the game for D. Nowitzki,,3-2,,
9:50.0,,,3-2,,E. Kanter misses free throw 1 of 2
9:50.0,,,3-2,,Offensive rebound by Team
9:50.0,,,3-3,1,E. Kanter makes free throw 2 of 2
9:30.0,H. Barnes makes 2-pt shot from 1 ft,2,5-3,,
9:13.0,,,5-3,,T. Hardaway misses 2-pt shot from 1 ft (block by D. Smith)
9:10.0,,,5-3,,Offensive rebound by E. Kanter
9:09.0,,,5-5,2,E. Kanter makes 2-pt shot from 1 ft
9:02.0,D. Smith misses 2-pt shot from 14 ft,,5-5,,
9:02.0,,,5-5,,Defensive rebound by Team
8:53.0,,,5-8,3,E. Mudiay makes 3-pt shot from 25 ft (assist by L. Thomas)
8:39.0,,,5-8,,Personal foul by L. Thomas (drawn by H. Barnes)
8:30.0,D. Finney-Smith misses 3-pt shot from 22 ft,,5-8,,
8:28.0,,,5-8,,Defensive rebound by E. Kanter
8:23.0,Personal foul by D. Smith (drawn by E. Mudiay),,5-8,,
8:11.0,,,5-8,,Turnover by E. Mudiay (bad pass; steal by Y. Ferrell)
8:02.0,H. Barnes makes 3-pt shot from 25 ft (assist by N. Noel),3,8-8,,
7:49.0,,,8-10,2,T. Hardaway makes 2-pt shot at rim (assist by E. Mudiay)
7:32.0,H. Barnes makes 2-pt shot from 17 ft,2,10-10,,
7:18.0,,,10-13,3,E. Mudiay makes 3-pt shot from 24 ft (assist by L. Thomas)
6:59.0,N. Noel misses 2-pt shot from 3 ft,,10-13,,
6:56.0,Offensive rebound by D. Smith,,10-13,,
6:53.0,Y. Ferrell misses 3-pt shot from 25 ft,,10-13,,
6:51.0,,,10-13,,Defensive rebound by E. Kanter
6:45.0,,,10-13,,T. Hardaway misses 2-pt shot from 19 ft
6:44.0,,,10-13,,Offensive rebound by Team
6:44.0,,,10-13,,New York full timeout
6:26.0,,,10-13,,Turnover by E. Kanter (lost ball; steal by N. Noel)
6:21.0,D. Smith misses 2-pt shot from 1 ft,,10-13,,
6:16.0,Offensive rebound by D. Smith,,10-13,,
6:08.0,D. Smith makes 2-pt shot from 1 ft,2,12-13,,
5:58.0,,,12-15,2,T. Hardaway makes 2-pt shot from 18 ft
5:38.0,D. Smith misses 3-pt shot from 24 ft,,12-15,,
5:35.0,,,12-15,,Defensive rebound by E. Kanter
5:30.0,,,12-17,2,T. Hardaway makes 2-pt shot from 2 ft
5:12.0,Shooting foul by L. Thomas (drawn by H. Barnes),,12-17,,
5:12.0,,,12-17,,M. Beasley enters the game for L. Thomas
5:12.0,H. Barnes makes free throw 1 of 2,1,13-17,,
5:12.0,H. Barnes makes free throw 2 of 2,1,14-17,,
4:53.0,,,14-17,,Turnover by M. Beasley (bad pass; steal by N. Noel)
4:42.0,N. Noel makes 2-pt shot from 9 ft (assist by D. Smith),2,16-17,,
