time,Detroit,pts.away,score,pts.home,New York
11:45.0,Offensive rebound by J. Ennis,,30-27,,
11:39.0,Shooting foul by M. Beasley (drawn by H. Ellenson),,30-27,,
11:39.0,H. Ellenson makes free throw 1 of 2,1,31-27,,
11:39.0,H. Ellenson makes free throw 2 of 2,1,32-27,,
11:18.0,,,32-30,3,M. Beasley makes 3-pt shot from 24 ft (assist by L. Kornet)
11:03.0,J. Ennis makes 3-pt shot from 24 ft (assist by H. Ellenson),3,35-30,,
10:43.0,,,35-30,,M. Beasley misses 2-pt shot from 16 ft
10:41.0,Defensive rebound by R. Jackson,,35-30,,
10:31.0,L. Kennard makes 3-pt shot from 22 ft (assist by H. Ellenson),3,38-30,,
10:20.0,,,38-30,,Offensive foul by M. Beasley (drawn by J. Ennis)
10:20.0,,,38-30,,Turnover by M. Beasley (offensive foul)
10:13.0,,,38-30,,Personal foul by T. Burke (drawn by R. Jackson)
9:56.0,J. Ennis misses 3-pt shot from 25 ft,,38-30,,
9:54.0,,,38-30,,Defensive rebound by T. Burke
9:48.0,,,38-32,2,M. Beasley makes 2-pt shot at rim (assist by T. Burke)
9:48.0,,,38-32,,Shooting foul by E. Moreland (drawn by M. Beasley)
9:48.0,A. Tolliver enters the game for H. Ellenson,,38-32,,
9:48.0,,,38-33,1,M. Beasley makes free throw 1 of 1
9:38.0,R. Jackson makes 2-pt shot from 1 ft,2,40-33,,
9:25.0,,,40-33,,M. Beasley misses 2-pt shot from 2 ft
9:23.0,Defensive rebound by A. Tolliver,,40-33,,
9:17.0,Turnover by E. Moreland (out of bounds lost ball),,40-33,,
9:05.0,,,40-33,,L. Kornet misses 3-pt shot from 27 ft
9:03.0,Defensive rebound by E. Moreland,,40-33,,
8:55.0,R. Jackson misses 2-pt shot from 19 ft,,40-33,,
8:53.0,,,40-33,,Defensive rebound by D. Dotson
8:44.0,,,40-35,2,D. Dotson makes 2-pt shot from 3 ft (assist by T. Burke)
8:44.0,,,40-35,,Shooting foul by E. Moreland (drawn by D. Dotson)
8:44.0,,,40-36,1,D. Dotson makes free throw 1 of 1
8:31.0,A. Tolliver misses 3-pt shot from 24 ft,,40-36,,
8:29.0,,,40-36,,Defensive rebound by L. Kornet
8:16.0,,,40-36,,M. Beasley misses 2-pt shot from 2 ft
8:14.0,Defensive rebound by E. Moreland,,40-36,,
8:07.0,R. Jackson makes 3-pt shot from 25 ft (assist by L. Kennard),3,43-36,,
7:49.0,,,43-36,,L. Kornet misses 3-pt shot from 27 ft
7:47.0,,,43-36,,Offensive rebound by E. Mudiay
7:44.0,,,43-36,,D. Dotson misses 2-pt shot from 1 ft
7:43.0,Defensive rebound by Team,,43-36,,
7:42.0,,,43-36,,Loose ball foul by E. Mudiay (drawn by A. Tolliver)
7:42.0,,,43-36,,T. Williams enters the game for D. Dotson
7:42.0,S. Johnson enters the game for J. Ennis,,43-36,,
7:32.0,R. Jackson misses 2-pt shot from 13 ft,,43-36,,
7:30.0,,,43-36,,Defensive rebound by L. Kornet
7:23.0,,,43-39,3,L. Kornet makes 3-pt shot from 25 ft (assist by T. Burke)
7:05.0,R. Jackson makes 2-pt shot from 1 ft,2,45-39,,
6:51.0,,,45-39,,Turnover by T. Burke (lost ball; steal by S. Johnson)
