time,Denver,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. N. Jokic (J. Murray gains possession),,,,Jump ball: M. Gasol vs. N. Jokic (J. Murray gains possession)
11:46.0,J. Murray misses 3-pt shot from 25 ft,,0-0,,
11:43.0,Offensive rebound by N. Jokic,,0-0,,
11:39.0,W. Chandler misses 3-pt shot from 23 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by M. Gasol
11:26.0,,,0-0,,Turnover by M. Gasol (bad pass; steal by J. Murray)
11:07.0,W. Chandler makes 2-pt shot from 17 ft,2,2-0,,
10:48.0,,,2-3,3,M. Chalmers makes 3-pt shot from 24 ft (assist by B. McLemore)
10:26.0,Turnover by N. Jokic (lost ball; steal by J. Martin),,2-3,,
10:21.0,,,2-6,3,D. Brooks makes 3-pt shot from 22 ft (assist by J. Martin)
10:04.0,G. Harris makes 3-pt shot from 25 ft (assist by N. Jokic),3,5-6,,
9:44.0,,,5-6,,M. Chalmers misses 3-pt shot from 25 ft
9:42.0,Defensive rebound by G. Harris,,5-6,,
9:39.0,Turnover by G. Harris (bad pass),,5-6,,
9:21.0,,,5-6,,Turnover by M. Chalmers (bad pass; steal by G. Harris)
9:16.0,Shooting foul by J. Martin (drawn by W. Chandler),,5-6,,
9:16.0,W. Chandler makes free throw 1 of 2,1,6-6,,
9:16.0,W. Chandler makes free throw 2 of 2,1,7-6,,
9:03.0,,,7-6,,D. Brooks misses 2-pt shot from 18 ft
9:00.0,Defensive rebound by N. Jokic,,7-6,,
8:52.0,G. Harris makes 2-pt shot from 14 ft,2,9-6,,
8:40.0,,,9-6,,Turnover by M. Chalmers (bad pass; steal by J. Murray)
8:25.0,P. Millsap makes 2-pt shot at rim,2,11-6,,
8:25.0,,,11-6,,Memphis full timeout
8:04.0,,,11-9,3,B. McLemore makes 3-pt shot from 26 ft (assist by M. Gasol)
7:45.0,G. Harris makes 2-pt shot at rim (assist by P. Millsap),2,13-9,,
7:45.0,Shooting foul by B. McLemore (drawn by G. Harris),,13-9,,
7:45.0,G. Harris makes free throw 1 of 1,1,14-9,,
7:35.0,,,14-9,,M. Gasol misses 2-pt shot from 10 ft
7:33.0,Defensive rebound by P. Millsap,,14-9,,
7:25.0,P. Millsap misses 3-pt shot from 25 ft,,14-9,,
7:23.0,,,14-9,,Defensive rebound by M. Chalmers
