time,San Antonio,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. L. Aldridge (D. Murray gains possession),,,,Jump ball: A. Davis vs. L. Aldridge (D. Murray gains possession)
11:43.0,,,0-0,,Personal foul by J. Holiday (drawn by K. Anderson)
11:28.0,L. Aldridge misses 2-pt shot from 14 ft,,0-0,,
11:24.0,Offensive rebound by D. Murray,,0-0,,
11:24.0,D. Murray makes 2-pt shot at rim,2,2-0,,
11:10.0,,,2-0,,Turnover by A. Davis (bad pass; steal by L. Aldridge)
10:56.0,K. Anderson misses 2-pt shot from 5 ft,,2-0,,
10:53.0,Offensive rebound by L. Aldridge,,2-0,,
10:51.0,L. Aldridge misses 2-pt shot from 2 ft,,2-0,,
10:48.0,,,2-0,,Defensive rebound by A. Davis
10:34.0,,,2-2,2,A. Davis makes 2-pt shot from 7 ft (assist by R. Rondo)
10:19.0,P. Mills misses 3-pt shot from 22 ft,,2-2,,
10:16.0,,,2-2,,Defensive rebound by N. Mirotic
10:05.0,,,2-2,,Turnover by E. Moore (lost ball; steal by D. Green)
10:00.0,D. Green makes 2-pt shot from 1 ft,2,4-2,,
9:50.0,,,4-5,3,N. Mirotic makes 3-pt shot from 26 ft
9:33.0,Turnover by P. Mills (bad pass),,4-5,,
9:11.0,,,4-5,,R. Rondo misses 2-pt shot from 5 ft
9:10.0,Defensive rebound by D. Green,,4-5,,
9:10.0,Offensive charge foul by D. Green (drawn by A. Davis),,4-5,,
9:10.0,Turnover by D. Green (offensive foul),,4-5,,
9:01.0,,,4-7,2,E. Moore makes 2-pt shot from 4 ft (assist by J. Holiday)
8:52.0,San Antonio full timeout,,4-7,,
8:46.0,Offensive foul by L. Aldridge (drawn by R. Rondo),,4-7,,
8:46.0,Turnover by L. Aldridge (offensive foul),,4-7,,
8:33.0,,,4-10,3,E. Moore makes 3-pt shot from 26 ft (assist by J. Holiday)
8:11.0,K. Anderson misses 2-pt shot from 10 ft,,4-10,,
8:04.0,Offensive rebound by L. Aldridge,,4-10,,
8:04.0,L. Aldridge makes 2-pt shot at rim,2,6-10,,
7:59.0,,,6-12,2,N. Mirotic makes 2-pt shot from 14 ft
7:41.0,L. Aldridge makes 2-pt shot from 10 ft (assist by P. Mills),2,8-12,,
7:28.0,,,8-14,2,J. Holiday makes 2-pt shot from 10 ft
7:04.0,L. Aldridge misses 2-pt shot from 18 ft,,8-14,,
7:02.0,Offensive rebound by D. Murray,,8-14,,
6:47.0,K. Anderson makes 2-pt shot from 4 ft (assist by D. Green),2,10-14,,
6:39.0,,,10-14,,J. Holiday misses 2-pt shot from 9 ft
6:37.0,Defensive rebound by D. Murray,,10-14,,
6:28.0,D. Murray misses 2-pt shot from 3 ft (block by A. Davis),,10-14,,
6:25.0,,,10-14,,Defensive rebound by A. Davis
6:22.0,,,10-17,3,N. Mirotic makes 3-pt shot from 24 ft (assist by R. Rondo)
6:20.0,,,10-17,,A. Davis misses technical free throw
6:20.0,Defensive rebound by Team,,10-17,,
5:58.0,L. Aldridge misses 2-pt shot from 4 ft,,10-17,,
5:56.0,,,10-17,,Defensive rebound by A. Davis
5:51.0,,,10-17,,N. Mirotic misses 3-pt shot from 25 ft
5:49.0,,,10-17,,Offensive rebound by A. Davis
5:48.0,,,10-17,,Turnover by A. Davis (turnover)
5:48.0,,,10-17,,Personal foul by R. Rondo (drawn by D. Green)
5:35.0,P. Mills misses 3-pt shot from 26 ft (block by A. Davis),,10-17,,
5:35.0,Offensive rebound by Team,,10-17,,
5:35.0,,,10-17,,S. Hill enters the game for N. Mirotic
5:35.0,,,10-17,,I. Clark enters the game for J. Holiday
5:35.0,M. Ginobili enters the game for K. Anderson,,10-17,,
5:35.0,T. Parker enters the game for D. Murray,,10-17,,
5:35.0,R. Gay enters the game for P. Mills,,10-17,,
5:23.0,L. Aldridge makes 2-pt shot from 18 ft,2,12-17,,
5:16.0,B. Forbes enters the game for D. Green,,12-17,,
5:11.0,,,12-17,,A. Davis misses 2-pt shot from 18 ft
5:07.0,Defensive rebound by M. Ginobili,,12-17,,
4:54.0,R. Gay makes 3-pt shot from 26 ft (assist by M. Ginobili),3,15-17,,
4:39.0,Personal foul by T. Parker (drawn by A. Davis),,15-17,,
4:34.0,,,15-17,,A. Davis misses 2-pt shot from 17 ft
4:31.0,Defensive rebound by R. Gay,,15-17,,
4:24.0,Turnover by R. Gay (bad pass),,15-17,,
4:23.0,Personal foul by R. Gay (drawn by A. Davis),,15-17,,
4:06.0,,,15-17,,A. Davis misses 2-pt shot from 5 ft
4:04.0,Defensive rebound by M. Ginobili,,15-17,,
3:52.0,R. Gay misses 2-pt shot from 2 ft,,15-17,,
3:50.0,,,15-17,,Defensive rebound by Team
3:43.0,,,15-17,,Shooting foul by M. Ginobili (drawn by A. Davis)
3:43.0,,,15-18,1,A. Davis makes free throw 1 of 2
3:43.0,,,15-19,1,A. Davis makes free throw 2 of 2
3:25.0,M. Ginobili misses 2-pt shot from 5 ft,,15-19,,
3:24.0,,,15-19,,Defensive rebound by A. Davis
3:16.0,,,15-21,2,A. Davis makes 2-pt shot from 8 ft (assist by R. Rondo)
3:02.0,T. Parker makes 2-pt shot from 16 ft,2,17-21,,
2:46.0,,,17-23,2,R. Rondo makes 2-pt shot from 19 ft
2:29.0,T. Parker makes 2-pt shot from 18 ft (assist by M. Ginobili),2,19-23,,
