time,San Antonio,pts.away,score,pts.home,Sacramento
11:10.0,T. Parker enters the game for D. Murray,,33-35,,
11:10.0,,,33-35,,K. Koufos misses free throw 2 of 2
11:07.0,Defensive rebound by P. Gasol,,33-35,,
10:55.0,M. Ginobili makes 3-pt shot from 24 ft (assist by T. Parker),3,36-35,,
10:35.0,,,36-37,2,K. Koufos makes 2-pt shot from 11 ft (assist by F. Mason)
10:10.0,M. Ginobili makes 3-pt shot from 22 ft (assist by T. Parker),3,39-37,,
9:51.0,,,39-37,,M. Richardson misses 3-pt shot from 25 ft
9:44.0,,,39-37,,Offensive rebound by F. Mason
9:44.0,,,39-37,,Shooting foul by B. Forbes (drawn by F. Mason)
9:44.0,,,39-38,1,F. Mason makes free throw 1 of 2
9:44.0,K. Anderson enters the game for M. Ginobili,,39-38,,
9:44.0,,,39-38,,F. Mason misses free throw 2 of 2
9:38.0,Defensive rebound by P. Gasol,,39-38,,
9:24.0,B. Forbes misses 3-pt shot from 25 ft,,39-38,,
9:18.0,,,39-38,,Defensive rebound by F. Mason
9:13.0,,,39-38,,M. Richardson misses 2-pt shot from 18 ft
9:13.0,Defensive rebound by R. Gay,,39-38,,
9:03.0,Turnover by R. Gay (bad pass),,39-38,,
9:03.0,D. Bertans enters the game for P. Gasol,,39-38,,
9:03.0,L. Aldridge enters the game for R. Gay,,39-38,,
8:48.0,,,39-38,,J. Jackson misses 2-pt shot from 15 ft
8:45.0,Defensive rebound by L. Aldridge,,39-38,,
8:36.0,T. Parker makes 2-pt shot from 15 ft,2,41-38,,
8:16.0,,,41-38,,Shooting foul by L. Aldridge (drawn by F. Mason)
8:16.0,,,41-39,1,F. Mason makes free throw 1 of 2
8:16.0,,,41-40,1,F. Mason makes free throw 2 of 2
7:57.0,L. Aldridge makes 2-pt shot from 16 ft,2,43-40,,
7:43.0,,,43-40,,Offensive foul by M. Richardson (drawn by B. Forbes)
7:43.0,,,43-40,,Turnover by M. Richardson (offensive foul)
7:29.0,,,43-40,,Def 3 sec tech foul by J. Jackson
7:29.0,L. Aldridge makes technical free throw,1,44-40,,
7:15.0,L. Aldridge misses 2-pt shot from 12 ft,,44-40,,
7:11.0,,,44-40,,Defensive rebound by F. Mason
7:04.0,,,44-40,,F. Mason misses 2-pt shot from 8 ft
7:01.0,Defensive rebound by D. Bertans,,44-40,,
6:52.0,K. Anderson makes 2-pt shot from 1 ft (assist by T. Parker),2,46-40,,
6:36.0,,,46-43,3,B. Bogdanovic makes 3-pt shot from 24 ft
6:36.0,San Antonio full timeout,,46-43,,
6:36.0,,,46-43,,W. Cauley-Stein enters the game for K. Koufos
6:36.0,P. Mills enters the game for B. Forbes,,46-43,,
6:26.0,D. Bertans misses 3-pt shot from 24 ft,,46-43,,
6:24.0,Offensive rebound by Team,,46-43,,
6:24.0,,,46-43,,Loose ball foul by M. Richardson (drawn by K. Anderson)
6:11.0,L. Aldridge makes 2-pt shot from 9 ft,2,48-43,,
5:53.0,,,48-43,,W. Cauley-Stein misses 2-pt shot from 14 ft
5:51.0,Defensive rebound by D. Bertans,,48-43,,
5:44.0,T. Parker makes 2-pt shot from 16 ft,2,50-43,,
5:23.0,,,50-43,,Offensive foul by W. Cauley-Stein (drawn by P. Mills)
5:23.0,,,50-43,,Turnover by W. Cauley-Stein (offensive foul)
5:23.0,,,50-43,,G. Hill enters the game for F. Mason
5:23.0,,,50-43,,B. Hield enters the game for M. Richardson
5:23.0,,,50-43,,Z. Randolph enters the game for J. Jackson
5:23.0,D. Murray enters the game for T. Parker,,50-43,,
4:56.0,D. Bertans misses 2-pt shot from 6 ft,,50-43,,
4:53.0,,,50-43,,Defensive rebound by Z. Randolph
4:45.0,,,50-45,2,B. Hield makes 2-pt shot from 3 ft
4:29.0,L. Aldridge misses 2-pt shot from 19 ft,,50-45,,
4:24.0,Offensive rebound by D. Murray,,50-45,,
4:23.0,D. Murray makes 2-pt shot from 2 ft,2,52-45,,
4:06.0,,,52-45,,Z. Randolph misses 2-pt shot from 22 ft
4:04.0,Defensive rebound by L. Aldridge,,52-45,,
3:51.0,,,52-45,,Personal foul by B. Bogdanovic (drawn by P. Mills)
3:43.0,D. Bertans misses 3-pt shot from 25 ft,,52-45,,
3:39.0,,,52-45,,Defensive rebound by B. Hield
3:21.0,,,52-47,2,B. Bogdanovic makes 2-pt shot from 9 ft
2:58.0,L. Aldridge misses 2-pt shot from 5 ft,,52-47,,
2:56.0,,,52-47,,Defensive rebound by B. Hield
2:51.0,,,52-47,,B. Hield misses 2-pt shot from 2 ft
2:47.0,Defensive rebound by K. Anderson,,52-47,,
2:41.0,Shooting foul by B. Hield (drawn by K. Anderson),,52-47,,
2:41.0,,,52-47,,Sacramento full timeout
2:41.0,,,52-47,,G. Temple enters the game for B. Bogdanovic
2:41.0,P. Gasol enters the game for D. Bertans,,52-47,,
2:41.0,K. Anderson makes free throw 1 of 2,1,53-47,,
2:41.0,K. Anderson makes free throw 2 of 2,1,54-47,,
2:22.0,,,54-47,,Z. Randolph misses 2-pt shot from 3 ft
2:19.0,Defensive rebound by L. Aldridge,,54-47,,
2:13.0,D. Murray misses 2-pt shot from 3 ft,,54-47,,
2:13.0,,,54-47,,Defensive rebound by G. Temple
2:10.0,,,54-47,,Shooting foul by P. Gasol (drawn by B. Hield)
2:10.0,,,54-48,1,B. Hield makes free throw 1 of 2
2:10.0,M. Ginobili enters the game for K. Anderson,,54-48,,
2:10.0,,,54-49,1,B. Hield makes free throw 2 of 2
1:57.0,M. Ginobili misses 3-pt shot from 22 ft,,54-49,,
1:49.0,,,54-49,,Defensive rebound by G. Temple
1:40.0,,,54-49,,Turnover by Z. Randolph (traveling)
1:27.0,P. Gasol makes 3-pt shot from 25 ft (assist by M. Ginobili),3,57-49,,
1:09.0,,,57-49,,W. Cauley-Stein misses 2-pt shot from 18 ft
1:05.0,Defensive rebound by D. Murray,,57-49,,
0:54.0,L. Aldridge makes 2-pt shot from 10 ft (assist by P. Gasol),2,59-49,,
0:35.0,,,59-49,,W. Cauley-Stein misses 2-pt shot from 7 ft
0:32.0,Defensive rebound by D. Murray,,59-49,,
0:28.0,D. Murray makes 2-pt shot from 10 ft,2,61-49,,
0:11.0,,,61-49,,Turnover by G. Hill (lost ball; steal by M. Ginobili)
0:11.0,,,61-49,,Personal foul by Z. Randolph (drawn by P. Gasol)
0:11.0,P. Gasol makes free throw 1 of 2,1,62-49,,
0:11.0,P. Gasol misses free throw 2 of 2,,62-49,,
0:05.0,,,62-49,,Defensive rebound by W. Cauley-Stein
0:03.0,,,62-49,,G. Hill misses 2-pt shot from 19 ft
0:00.0,Defensive rebound by M. Ginobili,,62-49,,
0:00.0,M. Ginobili misses 3-pt shot from 58 ft (block by G. Hill),,62-49,,
0:00.0,Offensive rebound by Team,,62-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,62-49,,G. Temple misses 2-pt shot from 4 ft
11:38.0,Defensive rebound by P. Gasol,,62-49,,
11:26.0,,,62-49,,Personal foul by Z. Randolph (drawn by T. Parker)
11:17.0,K. Anderson misses 2-pt shot from 6 ft,,62-49,,
11:17.0,,,62-49,,Defensive rebound by W. Cauley-Stein
10:57.0,,,62-49,,B. Hield misses 3-pt shot from 25 ft
10:57.0,Defensive rebound by K. Anderson,,62-49,,
