time,Sacramento,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. K. Koufos (J. Jackson gains possession),,,,Jump ball: A. Davis vs. K. Koufos (J. Jackson gains possession)
11:42.0,Turnover by Z. Randolph (lost ball; steal by R. Rondo),,0-0,,
11:39.0,Violation by D. Fox (kicked ball),,0-0,,
11:31.0,,,0-2,2,D. Cunningham makes 2-pt shot from 16 ft (assist by J. Holiday)
11:19.0,D. Fox makes 3-pt shot from 26 ft,3,3-2,,
11:07.0,,,3-4,2,J. Holiday makes 2-pt shot at rim (assist by E. Moore)
11:00.0,B. Bogdanovic misses 3-pt shot from 23 ft,,3-4,,
11:00.0,Offensive rebound by K. Koufos,,3-4,,
10:56.0,Shooting foul by A. Davis (drawn by K. Koufos),,3-4,,
10:56.0,K. Koufos makes free throw 1 of 2,1,4-4,,
10:56.0,K. Koufos makes free throw 2 of 2,1,5-4,,
10:44.0,Personal foul by B. Bogdanovic (drawn by E. Moore),,5-4,,
10:39.0,,,5-4,,J. Holiday misses 2-pt shot from 3 ft
10:36.0,Defensive rebound by Z. Randolph,,5-4,,
10:28.0,Turnover by D. Fox (lost ball; steal by A. Davis),,5-4,,
10:24.0,,,5-6,2,R. Rondo makes 2-pt shot from 1 ft (assist by J. Holiday)
10:08.0,J. Jackson misses 2-pt shot from 19 ft,,5-6,,
10:06.0,,,5-6,,Defensive rebound by A. Davis
9:47.0,,,5-6,,A. Davis misses 2-pt shot from 21 ft
9:44.0,Defensive rebound by Z. Randolph,,5-6,,
9:37.0,D. Fox misses 2-pt shot from 14 ft,,5-6,,
9:34.0,,,5-6,,Defensive rebound by A. Davis
9:30.0,Personal foul by D. Fox (drawn by J. Holiday),,5-6,,
9:27.0,,,5-6,,Turnover by A. Davis (bad pass; steal by D. Fox)
9:12.0,K. Koufos makes 2-pt shot from 7 ft,2,7-6,,
9:04.0,,,7-8,2,J. Holiday makes 2-pt shot from 2 ft (assist by R. Rondo)
8:53.0,Turnover by Z. Randolph (bad pass),,7-8,,
8:45.0,,,7-11,3,J. Holiday makes 3-pt shot from 25 ft (assist by D. Cunningham)
8:23.0,Z. Randolph misses 2-pt shot from 6 ft (block by J. Holiday),,7-11,,
8:23.0,Offensive rebound by Z. Randolph,,7-11,,
8:23.0,Turnover by Z. Randolph (step out of bounds),,7-11,,
8:10.0,Personal foul by Z. Randolph (drawn by A. Davis),,7-11,,
7:59.0,,,7-11,,R. Rondo misses 2-pt shot from 1 ft
7:57.0,Defensive rebound by K. Koufos,,7-11,,
7:53.0,D. Fox makes 2-pt shot from 1 ft,2,9-11,,
7:46.0,,,9-11,,R. Rondo misses 2-pt shot from 1 ft
7:44.0,Defensive rebound by Z. Randolph,,9-11,,
7:34.0,D. Fox makes 2-pt shot from 2 ft (assist by B. Bogdanovic),2,11-11,,
7:27.0,,,11-13,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
7:12.0,D. Fox misses 3-pt shot from 24 ft,,11-13,,
7:10.0,,,11-13,,Defensive rebound by A. Davis
7:01.0,,,11-13,,A. Davis misses 2-pt shot from 4 ft
6:59.0,Defensive rebound by B. Bogdanovic,,11-13,,
6:54.0,B. Bogdanovic misses 2-pt shot from 1 ft (block by A. Davis),,11-13,,
6:50.0,,,11-13,,Defensive rebound by R. Rondo
6:44.0,,,11-15,2,D. Cunningham makes 2-pt shot from 1 ft (assist by J. Holiday)
6:27.0,B. Bogdanovic misses 3-pt shot from 26 ft,,11-15,,
6:23.0,,,11-15,,Defensive rebound by A. Davis
6:13.0,,,11-15,,Turnover by A. Davis (out of bounds lost ball)
6:13.0,,,11-15,,New Orleans full timeout
6:13.0,,,11-15,,D. Miller enters the game for J. Holiday
5:59.0,K. Koufos misses 2-pt shot from 10 ft,,11-15,,
5:56.0,,,11-15,,Defensive rebound by E. Moore
5:45.0,,,11-15,,E. Moore misses 2-pt shot from 18 ft
5:42.0,Defensive rebound by Z. Randolph,,11-15,,
5:29.0,B. Bogdanovic misses 2-pt shot from 20 ft,,11-15,,
5:26.0,,,11-15,,Defensive rebound by D. Miller
5:17.0,,,11-17,2,E. Moore makes 2-pt shot from 5 ft (assist by A. Davis)
5:00.0,B. Bogdanovic misses 2-pt shot from 20 ft,,11-17,,
4:57.0,Offensive rebound by D. Fox,,11-17,,
4:57.0,D. Fox makes 2-pt shot at rim,2,13-17,,
4:48.0,,,13-17,,Shooting foul by D. Fox (drawn by E. Moore)
4:48.0,,,13-18,1,E. Moore makes free throw 1 of 2
4:48.0,B. Hield enters the game for D. Fox,,13-18,,
4:48.0,G. Temple enters the game for B. Bogdanovic,,13-18,,
4:48.0,G. Hill enters the game for J. Jackson,,13-18,,
4:48.0,,,13-18,,E. Moore misses free throw 2 of 2
4:46.0,Defensive rebound by K. Koufos,,13-18,,
4:31.0,Z. Randolph makes 2-pt shot from 5 ft,2,15-18,,
4:17.0,,,15-18,,A. Davis misses 2-pt shot from 7 ft
4:17.0,Defensive rebound by Team,,15-18,,
4:17.0,,,15-18,,O. Asik enters the game for D. Cunningham
4:07.0,G. Temple misses 3-pt shot from 25 ft,,15-18,,
4:07.0,,,15-18,,Defensive rebound by A. Davis
3:53.0,,,15-18,,A. Davis misses 2-pt shot from 1 ft
3:53.0,Defensive rebound by Z. Randolph,,15-18,,
3:46.0,K. Koufos misses 2-pt shot from 8 ft,,15-18,,
3:46.0,Offensive rebound by K. Koufos,,15-18,,
3:38.0,K. Koufos makes 2-pt shot at rim,2,17-18,,
3:29.0,,,17-18,,E. Moore misses 3-pt shot from 25 ft
3:27.0,Defensive rebound by K. Koufos,,17-18,,
3:24.0,,,17-18,,Away from play foul by O. Asik (drawn by Z. Randolph)
3:24.0,G. Papagiannis enters the game for K. Koufos,,17-18,,
3:18.0,B. Hield makes 2-pt shot from 17 ft (assist by G. Papagiannis),2,19-18,,
3:03.0,,,19-18,,Turnover by D. Miller (lost ball; steal by Z. Randolph)
2:51.0,B. Hield misses 3-pt shot from 28 ft,,19-18,,
2:48.0,,,19-18,,Defensive rebound by A. Davis
2:38.0,,,19-20,2,A. Davis makes 2-pt shot from 4 ft (assist by R. Rondo)
2:33.0,Sacramento full timeout,,19-20,,
2:33.0,,,19-20,,I. Clark enters the game for R. Rondo
2:33.0,,,19-20,,J. Holiday enters the game for E. Moore
2:26.0,G. Hill makes 2-pt shot from 21 ft,2,21-20,,
2:10.0,,,21-23,3,D. Miller makes 3-pt shot from 23 ft (assist by A. Davis)
1:47.0,Z. Randolph misses 2-pt shot from 12 ft,,21-23,,
1:45.0,,,21-23,,Defensive rebound by O. Asik
1:39.0,,,21-23,,Turnover by J. Holiday (out of bounds lost ball)
1:20.0,Z. Randolph misses 2-pt shot from 8 ft,,21-23,,
1:19.0,,,21-23,,Defensive rebound by Team
1:19.0,V. Carter enters the game for Z. Randolph,,21-23,,
1:11.0,Away from play foul by V. Carter (drawn by A. Davis),,21-23,,
1:11.0,,,21-24,1,A. Davis makes free throw 1 of 2
1:11.0,,,21-25,1,A. Davis makes free throw 2 of 2
0:58.0,B. Hield makes 2-pt shot from 17 ft (assist by G. Papagiannis),2,23-25,,
0:45.0,Personal foul by V. Carter (drawn by A. Davis),,23-25,,
0:45.0,,,23-26,1,A. Davis makes free throw 1 of 2
0:45.0,,,23-27,1,A. Davis makes free throw 2 of 2
0:23.0,B. Hield makes 2-pt shot from 3 ft,2,25-27,,
0:02.0,,,25-29,2,J. Holiday makes 2-pt shot from 22 ft
0:00.0,G. Temple misses 3-pt shot from 39 ft,,25-29,,
0:00.0,Offensive rebound by Team,,25-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,25-32,3,D. Miller makes 3-pt shot from 25 ft (assist by J. Holiday)
11:40.0,,,25-32,,Personal foul by M. James (drawn by G. Hill)
11:31.0,G. Temple makes 2-pt shot from 13 ft (assist by G. Papagiannis),2,27-32,,
11:19.0,,,27-32,,D. Miller misses 3-pt shot from 25 ft
11:16.0,Defensive rebound by V. Carter,,27-32,,
11:02.0,G. Papagiannis makes 2-pt shot from 16 ft (assist by G. Temple),2,29-32,,
10:46.0,,,29-34,2,M. James makes 2-pt shot from 10 ft
10:36.0,,,29-34,,Violation by O. Asik (kicked ball)
10:24.0,G. Temple makes 3-pt shot from 24 ft (assist by G. Papagiannis),3,32-34,,
10:12.0,,,32-34,,J. Holiday misses 2-pt shot from 3 ft
10:10.0,Defensive rebound by V. Carter,,32-34,,
9:50.0,Turnover by V. Carter (out of bounds lost ball),,32-34,,
9:43.0,,,32-34,,M. James misses 2-pt shot from 7 ft (block by G. Papagiannis)
9:42.0,,,32-34,,Offensive rebound by O. Asik
9:42.0,,,32-34,,Shooting foul by G. Papagiannis (drawn by O. Asik)
9:42.0,,,32-34,,O. Asik misses free throw 1 of 2
9:42.0,,,32-34,,Offensive rebound by Team
9:42.0,,,32-34,,O. Asik misses free throw 2 of 2
9:34.0,Defensive rebound by G. Papagiannis,,32-34,,
9:27.0,,,32-34,,Shooting block foul by O. Asik (drawn by G. Hill)
9:27.0,G. Hill makes free throw 1 of 2,1,33-34,,
9:27.0,G. Hill makes free throw 2 of 2,1,34-34,,
9:18.0,,,34-36,2,J. Holiday makes 2-pt shot from 1 ft
9:00.0,,,34-36,,Personal foul by O. Asik (drawn by G. Papagiannis)
9:00.0,,,34-36,,A. Davis enters the game for O. Asik
8:57.0,G. Hill makes 2-pt shot from 21 ft,2,36-36,,
8:57.0,Shooting foul by M. James (drawn by G. Hill),,36-36,,
8:57.0,K. Koufos enters the game for G. Papagiannis,,36-36,,
8:57.0,G. Hill makes free throw 1 of 1,1,37-36,,
8:44.0,,,37-36,,M. James misses 2-pt shot from 12 ft
8:40.0,Defensive rebound by G. Temple,,37-36,,
8:26.0,G. Temple makes 3-pt shot from 26 ft,3,40-36,,
8:10.0,,,40-36,,Turnover by A. Davis (traveling)
8:10.0,,,40-36,,E. Moore enters the game for M. James
7:55.0,V. Carter makes 2-pt shot from 9 ft,2,42-36,,
7:46.0,,,42-38,2,I. Clark makes 2-pt shot from 2 ft (assist by J. Holiday)
7:32.0,V. Carter misses 3-pt shot from 26 ft,,42-38,,
7:29.0,,,42-38,,Defensive rebound by A. Davis
7:16.0,,,42-38,,A. Davis misses 2-pt shot from 1 ft
7:13.0,Defensive rebound by K. Koufos,,42-38,,
7:11.0,B. Hield misses 3-pt shot from 23 ft,,42-38,,
7:08.0,,,42-38,,Defensive rebound by I. Clark
6:59.0,,,42-40,2,I. Clark makes 2-pt shot from 23 ft
6:49.0,G. Temple misses 2-pt shot from 16 ft,,42-40,,
6:46.0,,,42-40,,Defensive rebound by I. Clark
6:35.0,,,42-40,,Turnover by E. Moore (bad pass; steal by K. Koufos)
6:28.0,B. Hield misses 3-pt shot from 25 ft,,42-40,,
6:26.0,,,42-40,,Defensive rebound by I. Clark
6:18.0,,,42-42,2,J. Holiday makes 2-pt shot from 1 ft
5:58.0,Turnover by V. Carter (bad pass; steal by J. Holiday),,42-42,,
5:55.0,,,42-42,,Shooting foul by G. Hill (drawn by A. Davis)
5:55.0,,,42-42,,New Orleans full timeout
5:55.0,,,42-42,,J. Nelson enters the game for J. Holiday
5:55.0,,,42-42,,A. Davis misses free throw 1 of 2
5:55.0,,,42-42,,Offensive rebound by Team
5:55.0,,,42-43,1,A. Davis makes free throw 2 of 2
5:32.0,V. Carter misses 3-pt shot from 27 ft,,42-43,,
5:29.0,,,42-43,,Defensive rebound by D. Miller
5:13.0,,,42-45,2,A. Davis makes 2-pt shot from 16 ft (assist by J. Nelson)
5:02.0,G. Hill makes 2-pt shot from 14 ft,2,44-45,,
4:42.0,,,44-47,2,I. Clark makes 2-pt shot from 8 ft (assist by A. Davis)
4:31.0,G. Hill misses 2-pt shot from 15 ft,,44-47,,
4:31.0,Offensive rebound by K. Koufos,,44-47,,
4:27.0,G. Temple makes 3-pt shot from 24 ft (assist by K. Koufos),3,47-47,,
4:09.0,,,47-49,2,I. Clark makes 2-pt shot at rim (assist by J. Nelson)
3:47.0,B. Hield misses 2-pt shot from 2 ft (block by A. Davis),,47-49,,
3:47.0,Offensive rebound by K. Koufos,,47-49,,
3:42.0,V. Carter makes 3-pt shot from 26 ft (assist by K. Koufos),3,50-49,,
3:33.0,,,50-52,3,J. Nelson makes 3-pt shot from 24 ft
3:22.0,G. Hill makes 2-pt shot from 11 ft,2,52-52,,
3:14.0,,,52-55,3,J. Nelson makes 3-pt shot from 24 ft
3:00.0,G. Temple misses 2-pt shot from 17 ft,,52-55,,
3:00.0,,,52-55,,Defensive rebound by A. Davis
2:46.0,,,52-57,2,J. Nelson makes 2-pt shot from 16 ft
2:26.0,Shooting foul by E. Moore (drawn by K. Koufos),,52-57,,
2:26.0,Sacramento full timeout,,52-57,,
2:26.0,,,52-57,,C. Diallo enters the game for D. Miller
2:26.0,,,52-57,,D. Cunningham enters the game for A. Davis
2:26.0,Z. Randolph enters the game for G. Hill,,52-57,,
2:26.0,D. Fox enters the game for V. Carter,,52-57,,
2:26.0,B. Bogdanovic enters the game for B. Hield,,52-57,,
2:26.0,K. Koufos makes free throw 1 of 2,1,53-57,,
2:26.0,K. Koufos misses free throw 2 of 2,,53-57,,
2:23.0,,,53-57,,Defensive rebound by E. Moore
2:09.0,,,53-57,,D. Cunningham misses 3-pt shot from 22 ft
2:08.0,,,53-57,,Offensive rebound by Team
2:08.0,Loose ball foul by K. Koufos (drawn by C. Diallo),,53-57,,
2:02.0,,,53-57,,Turnover by I. Clark (bad pass; steal by B. Bogdanovic)
1:56.0,D. Fox misses 2-pt shot from 1 ft,,53-57,,
1:52.0,Offensive rebound by K. Koufos,,53-57,,
1:52.0,K. Koufos misses 2-pt shot at rim,,53-57,,
1:51.0,,,53-57,,Defensive rebound by J. Nelson
1:49.0,,,53-59,2,C. Diallo makes 2-pt shot from 1 ft (assist by I. Clark)
1:35.0,Turnover by G. Temple (lost ball; steal by E. Moore),,53-59,,
1:22.0,,,53-62,3,E. Moore makes 3-pt shot from 23 ft (assist by J. Nelson)
1:08.0,Z. Randolph makes 2-pt shot from 2 ft (assist by D. Fox),2,55-62,,
0:56.0,,,55-62,,Turnover by J. Nelson (bad pass; steal by K. Koufos)
0:51.0,G. Temple misses 2-pt shot from 2 ft,,55-62,,
