time,Orlando,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. N. Vucevic (R. Rubio gains possession),,,,Jump ball: R. Gobert vs. N. Vucevic (R. Rubio gains possession)
11:45.0,,,0-2,2,D. Mitchell makes 2-pt shot from 1 ft (assist by R. Rubio)
11:19.0,A. Gordon misses 3-pt shot from 24 ft,,0-2,,
11:19.0,Offensive rebound by Team,,0-2,,
11:19.0,Turnover by Team (shot clock),,0-2,,
11:02.0,,,0-4,2,R. Rubio makes 2-pt shot from 1 ft (assist by D. Mitchell)
10:47.0,E. Fournier misses 2-pt shot from 15 ft,,0-4,,
10:45.0,,,0-4,,Defensive rebound by J. Jerebko
10:33.0,,,0-4,,D. Mitchell misses 2-pt shot from 2 ft
10:31.0,Defensive rebound by N. Vucevic,,0-4,,
10:24.0,A. Gordon misses 2-pt shot from 13 ft,,0-4,,
10:20.0,,,0-4,,Defensive rebound by R. Gobert
10:12.0,,,0-6,2,R. Gobert makes 2-pt shot from 4 ft (assist by J. Ingles)
10:12.0,Orlando full timeout,,0-6,,
10:00.0,,,0-6,,Personal foul by R. Rubio (drawn by E. Fournier)
9:52.0,Turnover by N. Vucevic (bad pass; steal by R. Gobert),,0-6,,
9:47.0,,,0-9,3,J. Ingles makes 3-pt shot from 22 ft (assist by R. Rubio)
9:25.0,Turnover by N. Vucevic (bad pass; steal by J. Ingles),,0-9,,
9:23.0,,,0-9,,Turnover by J. Ingles (lost ball; steal by D. Augustin)
9:18.0,A. Gordon makes 3-pt shot from 24 ft (assist by D. Augustin),3,3-9,,
9:04.0,,,3-9,,D. Mitchell misses 3-pt shot from 24 ft
8:58.0,Defensive rebound by N. Vucevic,,3-9,,
8:43.0,E. Fournier misses 3-pt shot from 24 ft,,3-9,,
8:41.0,,,3-9,,Defensive rebound by R. Rubio
8:27.0,,,3-9,,D. Mitchell misses 2-pt shot from 11 ft
8:24.0,Defensive rebound by A. Gordon,,3-9,,
8:20.0,Turnover by D. Augustin (traveling),,3-9,,
8:04.0,,,3-9,,Turnover by J. Ingles (bad pass; steal by J. Simmons)
