time,Toronto,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. J. Valanciunas (S. Ibaka gains possession),,,,Jump ball: M. Gasol vs. J. Valanciunas (S. Ibaka gains possession)
11:44.0,S. Ibaka misses 3-pt shot from 26 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by T. Evans
11:17.0,,,0-0,,T. Evans misses 3-pt shot from 25 ft
11:14.0,Defensive rebound by K. Lowry,,0-0,,
11:13.0,Shooting foul by T. Evans (drawn by S. Ibaka),,0-0,,
11:13.0,S. Ibaka makes free throw 1 of 2,1,1-0,,
11:13.0,S. Ibaka makes free throw 2 of 2,1,2-0,,
10:54.0,,,2-2,2,T. Evans makes 2-pt shot from 3 ft
10:46.0,Turnover by S. Ibaka (traveling),,2-2,,
10:36.0,,,2-5,3,M. Gasol makes 3-pt shot from 26 ft (assist by T. Evans)
10:20.0,J. Valanciunas misses 2-pt shot at rim,,2-5,,
10:20.0,,,2-5,,Defensive rebound by Team
10:06.0,,,2-5,,T. Evans misses 2-pt shot from 4 ft
10:06.0,,,2-5,,Offensive rebound by Team
9:59.0,,,2-5,,Offensive foul by J. Green (drawn by K. Lowry)
9:59.0,,,2-5,,Turnover by J. Green (offensive foul)
9:43.0,J. Valanciunas makes 2-pt shot from 4 ft (assist by K. Lowry),2,4-5,,
9:23.0,Personal foul by J. Valanciunas (drawn by M. Gasol),,4-5,,
9:15.0,,,4-8,3,T. Evans makes 3-pt shot from 26 ft (assist by J. Green)
8:59.0,S. Ibaka misses 2-pt shot from 17 ft,,4-8,,
8:58.0,Offensive rebound by J. Valanciunas,,4-8,,
8:55.0,K. Lowry misses 3-pt shot from 27 ft,,4-8,,
8:52.0,,,4-8,,Defensive rebound by J. Green
8:43.0,,,4-10,2,M. Gasol makes 2-pt shot from 1 ft (assist by J. Green)
8:24.0,S. Ibaka makes 2-pt shot from 12 ft,2,6-10,,
8:05.0,,,6-12,2,D. Brooks makes 2-pt shot from 9 ft (assist by A. Harrison)
7:58.0,Toronto full timeout,,6-12,,
7:53.0,D. DeRozan misses 2-pt shot from 12 ft,,6-12,,
7:50.0,,,6-12,,Defensive rebound by T. Evans
7:30.0,Jump ball: M. Gasol vs. S. Ibaka (J. Green gains possession),,,,Jump ball: M. Gasol vs. S. Ibaka (J. Green gains possession)
7:29.0,,,6-14,2,J. Green makes 2-pt shot at rim (assist by M. Gasol)
7:10.0,S. Ibaka makes 3-pt shot from 26 ft (assist by D. DeRozan),3,9-14,,
6:46.0,,,9-16,2,T. Evans makes 2-pt shot from 17 ft
6:46.0,,,9-16,,Shooting foul by O. Anunoby (drawn by T. Evans)
6:46.0,,,9-17,1,T. Evans makes free throw 1 of 1
6:36.0,D. DeRozan makes 2-pt shot from 6 ft,2,11-17,,
6:36.0,Shooting foul by D. Brooks (drawn by D. DeRozan),,11-17,,
6:36.0,D. DeRozan makes free throw 1 of 1,1,12-17,,
6:19.0,,,12-17,,T. Evans misses 3-pt shot from 27 ft
6:18.0,,,12-17,,Offensive rebound by Team
6:18.0,Loose ball foul by J. Valanciunas (drawn by M. Gasol),,12-17,,
6:18.0,,,12-17,,M. Chalmers enters the game for T. Evans
6:18.0,,,12-17,,C. Parsons enters the game for A. Harrison
