time,Portland,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. J. Nurkic (M. Harkless gains possession),,,,Jump ball: T. Chandler vs. J. Nurkic (M. Harkless gains possession)
11:51.0,Offensive foul by M. Harkless (drawn by E. Bledsoe),,0-0,,
11:51.0,Turnover by M. Harkless (offensive foul),,0-0,,
11:42.0,,,0-0,,Offensive foul by E. Bledsoe (drawn by D. Lillard)
11:42.0,,,0-0,,Turnover by E. Bledsoe (offensive foul)
11:27.0,J. Nurkic misses 2-pt shot from 19 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by D. Booker
11:19.0,,,0-0,,E. Bledsoe misses 2-pt shot from 8 ft
11:16.0,,,0-0,,Offensive rebound by T. Chandler
11:16.0,,,0-0,,T. Chandler misses 2-pt shot at rim
11:16.0,,,0-0,,Offensive rebound by Team
11:07.0,,,0-3,3,J. Jackson makes 3-pt shot from 22 ft (assist by D. Booker)
10:46.0,A. Aminu misses 2-pt shot from 9 ft,,0-3,,
10:45.0,Offensive rebound by Team,,0-3,,
10:42.0,D. Lillard misses 2-pt shot from 14 ft,,0-3,,
10:39.0,,,0-3,,Defensive rebound by T. Chandler
10:31.0,,,0-5,2,D. Booker makes 2-pt shot from 12 ft
10:14.0,D. Lillard makes 2-pt shot at rim (assist by J. Nurkic),2,2-5,,
9:54.0,,,2-5,,E. Bledsoe misses 3-pt shot from 24 ft
9:52.0,Defensive rebound by E. Turner,,2-5,,
9:38.0,A. Aminu misses 3-pt shot from 25 ft,,2-5,,
9:36.0,,,2-5,,Defensive rebound by T. Warren
9:26.0,,,2-5,,Shooting foul by M. Harkless (drawn by T. Chandler)
9:26.0,,,2-6,1,T. Chandler makes free throw 1 of 2
9:26.0,P. Connaughton enters the game for M. Harkless,,2-6,,
9:26.0,,,2-7,1,T. Chandler makes free throw 2 of 2
9:09.0,Turnover by P. Connaughton (bad pass; steal by E. Bledsoe),,2-7,,
9:04.0,,,2-9,2,J. Jackson makes 2-pt shot from 1 ft (assist by E. Bledsoe)
8:44.0,P. Connaughton makes 3-pt shot from 26 ft (assist by E. Turner),3,5-9,,
8:32.0,,,5-9,,E. Bledsoe misses 2-pt shot from 7 ft
8:30.0,Defensive rebound by J. Nurkic,,5-9,,
8:22.0,E. Turner misses 2-pt shot from 6 ft,,5-9,,
8:22.0,Offensive rebound by Team,,5-9,,
8:15.0,D. Lillard misses 2-pt shot from 8 ft,,5-9,,
8:12.0,Offensive rebound by D. Lillard,,5-9,,
8:11.0,D. Lillard misses 2-pt shot at rim,,5-9,,
8:11.0,,,5-9,,Defensive rebound by T. Warren
8:00.0,,,5-9,,D. Booker misses 3-pt shot from 25 ft
7:59.0,Defensive rebound by Team,,5-9,,
7:52.0,P. Connaughton makes 2-pt shot at rim (assist by E. Turner),2,7-9,,
7:40.0,,,7-11,2,T. Warren makes 2-pt shot from 6 ft
7:31.0,P. Connaughton makes 2-pt shot from 1 ft (assist by D. Lillard),2,9-11,,
7:04.0,Personal foul by E. Turner (drawn by T. Chandler),,9-11,,
7:04.0,,,9-11,,T. Ulis enters the game for E. Bledsoe
6:57.0,,,9-11,,D. Booker misses 2-pt shot from 11 ft
6:54.0,Defensive rebound by E. Turner,,9-11,,
6:38.0,Shooting foul by T. Ulis (drawn by J. Nurkic),,9-11,,
6:38.0,,,9-11,,Phoenix full timeout
6:38.0,J. Nurkic misses free throw 1 of 2,,9-11,,
6:38.0,Offensive rebound by Team,,9-11,,
6:38.0,J. Nurkic makes free throw 2 of 2,1,10-11,,
