time,Detroit,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. B. Marjanovic (G. Dragic gains possession),,,,Jump ball: H. Whiteside vs. B. Marjanovic (G. Dragic gains possession)
11:31.0,,,0-0,,T. Johnson misses 3-pt shot from 23 ft
11:29.0,Defensive rebound by B. Marjanovic,,0-0,,
11:18.0,A. Bradley misses 3-pt shot from 26 ft,,0-0,,
11:16.0,,,0-0,,Defensive rebound by K. Olynyk
11:02.0,,,0-3,3,K. Olynyk makes 3-pt shot from 27 ft (assist by H. Whiteside)
10:46.0,R. Bullock misses 2-pt shot from 2 ft (block by H. Whiteside),,0-3,,
10:46.0,Offensive rebound by Team,,0-3,,
10:35.0,B. Marjanovic makes 2-pt shot from 9 ft,2,2-3,,
10:16.0,,,2-3,,G. Dragic misses 2-pt shot from 10 ft
10:12.0,Defensive rebound by I. Smith,,2-3,,
10:05.0,T. Harris makes 2-pt shot from 1 ft (assist by I. Smith),2,4-3,,
9:42.0,,,4-3,,K. Olynyk misses 2-pt shot from 17 ft
9:37.0,Defensive rebound by A. Bradley,,4-3,,
9:35.0,Shooting foul by K. Olynyk (drawn by B. Marjanovic),,4-3,,
9:35.0,B. Marjanovic makes free throw 1 of 2,1,5-3,,
9:35.0,B. Marjanovic makes free throw 2 of 2,1,6-3,,
9:25.0,Personal foul by B. Marjanovic (drawn by G. Dragic),,6-3,,
9:17.0,,,6-3,,J. Richardson misses 2-pt shot from 19 ft
9:14.0,Defensive rebound by B. Marjanovic,,6-3,,
9:05.0,T. Harris misses 2-pt shot from 7 ft,,6-3,,
9:03.0,,,6-3,,Defensive rebound by K. Olynyk
8:55.0,,,6-3,,H. Whiteside misses 2-pt shot from 14 ft
8:52.0,Defensive rebound by B. Marjanovic,,6-3,,
8:37.0,T. Harris misses 2-pt shot from 11 ft,,6-3,,
8:37.0,Offensive rebound by B. Marjanovic,,6-3,,
8:37.0,Shooting foul by H. Whiteside (drawn by B. Marjanovic),,6-3,,
8:37.0,B. Marjanovic makes free throw 1 of 2,1,7-3,,
8:37.0,B. Marjanovic makes free throw 2 of 2,1,8-3,,
8:24.0,,,8-5,2,G. Dragic makes 2-pt shot from 1 ft
8:12.0,R. Bullock makes 2-pt shot from 19 ft,2,10-5,,
8:00.0,,,10-5,,Turnover by G. Dragic (bad pass; steal by A. Bradley)
7:54.0,T. Harris makes 2-pt shot from 1 ft (assist by A. Bradley),2,12-5,,
7:33.0,,,12-7,2,H. Whiteside makes 2-pt shot at rim (assist by K. Olynyk)
7:15.0,Turnover by T. Harris (bad pass; steal by H. Whiteside),,12-7,,
7:09.0,,,12-7,,G. Dragic misses 2-pt shot from 14 ft
7:04.0,Defensive rebound by B. Marjanovic,,12-7,,
6:56.0,T. Harris misses 2-pt shot from 10 ft,,12-7,,
6:53.0,,,12-7,,Defensive rebound by K. Olynyk
6:48.0,,,12-9,2,J. Richardson makes 2-pt shot from 4 ft
6:39.0,B. Marjanovic makes 2-pt shot from 5 ft (assist by A. Bradley),2,14-9,,
6:39.0,Shooting foul by H. Whiteside (drawn by B. Marjanovic),,14-9,,
6:39.0,,,14-9,,Miami full timeout
6:39.0,,,14-9,,W. Ellington enters the game for J. Richardson
6:39.0,,,14-9,,J. Johnson enters the game for H. Whiteside
6:39.0,B. Marjanovic makes free throw 1 of 1,1,15-9,,
6:28.0,,,15-12,3,K. Olynyk makes 3-pt shot from 25 ft (assist by T. Johnson)
6:10.0,A. Bradley misses 2-pt shot at rim,,15-12,,
6:08.0,,,15-12,,Defensive rebound by K. Olynyk
5:58.0,,,15-12,,Turnover by J. Johnson (turnover)
5:39.0,R. Bullock misses 3-pt shot from 26 ft,,15-12,,
5:37.0,,,15-12,,Defensive rebound by G. Dragic
5:21.0,,,15-12,,T. Johnson misses 2-pt shot from 19 ft
5:16.0,,,15-12,,Offensive rebound by K. Olynyk
5:16.0,,,15-14,2,K. Olynyk makes 2-pt shot at rim
5:09.0,B. Marjanovic misses 2-pt shot from 6 ft,,15-14,,
5:06.0,,,15-14,,Defensive rebound by G. Dragic
5:02.0,,,15-17,3,K. Olynyk makes 3-pt shot from 25 ft (assist by G. Dragic)
4:54.0,Detroit full timeout,,15-17,,
4:54.0,L. Kennard enters the game for A. Bradley,,15-17,,
