time,Washington,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. M. Gortat (T. Frazier gains possession),,,,Jump ball: J. Nurkic vs. M. Gortat (T. Frazier gains possession)
11:46.0,Turnover by B. Beal (bad pass; steal by M. Harkless),,0-0,,
11:38.0,,,0-2,2,D. Lillard makes 2-pt shot from 3 ft (assist by J. Nurkic)
11:18.0,B. Beal makes 2-pt shot from 2 ft,2,2-2,,
10:58.0,,,2-2,,A. Aminu misses 3-pt shot from 25 ft
10:56.0,Defensive rebound by O. Porter,,2-2,,
10:47.0,M. Morris misses 2-pt shot from 11 ft (block by A. Aminu),,2-2,,
10:44.0,,,2-2,,Defensive rebound by A. Aminu
10:32.0,,,2-2,,Turnover by A. Aminu (bad pass; steal by O. Porter)
10:10.0,Shooting foul by M. Harkless (drawn by M. Morris),,2-2,,
10:10.0,M. Morris misses free throw 1 of 2,,2-2,,
10:10.0,Offensive rebound by Team,,2-2,,
10:10.0,M. Morris makes free throw 2 of 2,1,3-2,,
9:56.0,,,3-5,3,M. Harkless makes 3-pt shot from 23 ft (assist by D. Lillard)
9:35.0,M. Gortat misses 2-pt shot from 2 ft (block by M. Harkless),,3-5,,
9:31.0,,,3-5,,Defensive rebound by A. Aminu
9:28.0,,,3-8,3,C. McCollum makes 3-pt shot from 22 ft (assist by M. Harkless)
9:05.0,B. Beal misses 3-pt shot from 26 ft,,3-8,,
9:01.0,,,3-8,,Defensive rebound by A. Aminu
8:53.0,Personal foul by O. Porter (drawn by M. Harkless),,3-8,,
8:41.0,,,3-8,,J. Nurkic misses 2-pt shot from 4 ft
8:37.0,,,3-8,,Offensive rebound by J. Nurkic
8:36.0,,,3-8,,J. Nurkic misses 2-pt shot from 1 ft
8:36.0,Defensive rebound by M. Gortat,,3-8,,
8:25.0,M. Gortat misses 2-pt shot from 11 ft,,3-8,,
8:22.0,,,3-8,,Defensive rebound by D. Lillard
8:16.0,,,3-8,,C. McCollum misses 2-pt shot from 10 ft
8:13.0,Defensive rebound by M. Morris,,3-8,,
8:00.0,B. Beal makes 2-pt shot from 19 ft,2,5-8,,
7:37.0,,,5-10,2,J. Nurkic makes 2-pt shot from 9 ft (assist by D. Lillard)
7:25.0,O. Porter misses 3-pt shot from 26 ft,,5-10,,
7:22.0,Offensive rebound by M. Gortat,,5-10,,
7:20.0,M. Gortat makes 2-pt shot from 5 ft,2,7-10,,
6:59.0,,,7-12,2,J. Nurkic makes 2-pt shot from 8 ft
6:45.0,O. Porter misses 2-pt shot from 5 ft,,7-12,,
6:43.0,Offensive rebound by O. Porter,,7-12,,
6:43.0,O. Porter misses 2-pt shot at rim,,7-12,,
6:43.0,Offensive rebound by Team,,7-12,,
6:43.0,,,7-12,,Portland full timeout
6:40.0,,,7-12,,Personal foul by C. McCollum (drawn by B. Beal)
6:30.0,B. Beal makes 2-pt shot from 2 ft (assist by M. Gortat),2,9-12,,
6:17.0,,,9-12,,C. McCollum misses 2-pt shot from 1 ft (block by O. Porter)
6:13.0,Defensive rebound by T. Frazier,,9-12,,
6:04.0,O. Porter misses 2-pt shot from 9 ft,,9-12,,
6:01.0,Offensive rebound by O. Porter,,9-12,,
5:45.0,T. Frazier makes 3-pt shot from 26 ft (assist by M. Gortat),3,12-12,,
5:25.0,,,12-14,2,J. Nurkic makes 2-pt shot from 7 ft
5:25.0,,,12-14,,Shooting foul by M. Gortat (drawn by J. Nurkic)
5:25.0,,,12-14,,P. Connaughton enters the game for M. Harkless
5:25.0,,,12-14,,E. Turner enters the game for C. McCollum
5:25.0,,,12-15,1,J. Nurkic makes free throw 1 of 1
5:14.0,Shooting foul by E. Turner (drawn by B. Beal),,12-15,,
5:14.0,B. Beal makes free throw 1 of 2,1,13-15,,
5:14.0,B. Beal makes free throw 2 of 2,1,14-15,,
4:54.0,,,14-18,3,A. Aminu makes 3-pt shot from 24 ft (assist by D. Lillard)
4:38.0,M. Gortat misses 2-pt shot from 5 ft,,14-18,,
4:35.0,,,14-18,,Defensive rebound by J. Nurkic
4:28.0,,,14-18,,P. Connaughton misses 2-pt shot from 2 ft
4:25.0,Defensive rebound by M. Gortat,,14-18,,
4:13.0,,,14-18,,Personal foul by P. Connaughton (drawn by O. Porter)
4:13.0,,,14-18,,N. Vonleh enters the game for A. Aminu
4:13.0,,,14-18,,E. Davis enters the game for J. Nurkic
4:13.0,I. Mahinmi enters the game for M. Gortat,,14-18,,
3:59.0,T. Frazier misses 3-pt shot from 26 ft,,14-18,,
3:56.0,,,14-18,,Defensive rebound by N. Vonleh
3:45.0,,,14-18,,E. Davis misses 2-pt shot from 4 ft (block by M. Morris)
3:42.0,Defensive rebound by M. Morris,,14-18,,
3:39.0,I. Mahinmi misses 2-pt shot from 2 ft,,14-18,,
3:36.0,,,14-18,,Defensive rebound by E. Davis
3:31.0,,,14-18,,D. Lillard misses 2-pt shot from 9 ft
3:31.0,Defensive rebound by M. Morris,,14-18,,
3:21.0,O. Porter misses 2-pt shot from 13 ft,,14-18,,
3:21.0,,,14-18,,Defensive rebound by E. Turner
3:15.0,,,14-18,,D. Lillard misses 2-pt shot from 2 ft
3:15.0,,,14-18,,Offensive rebound by N. Vonleh
3:13.0,,,14-18,,N. Vonleh misses 2-pt shot at rim
3:13.0,Defensive rebound by Team,,14-18,,
3:13.0,Washington full timeout,,14-18,,
3:13.0,M. Scott enters the game for M. Morris,,14-18,,
3:13.0,K. Oubre enters the game for O. Porter,,14-18,,
3:01.0,B. Beal misses 2-pt shot from 18 ft,,14-18,,
2:58.0,Offensive rebound by T. Frazier,,14-18,,
