time,Washington,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. M. Gortat (T. Satoransky gains possession),,,,Jump ball: M. Plumlee vs. M. Gortat (T. Satoransky gains possession)
11:44.0,T. Satoransky makes 3-pt shot from 25 ft (assist by O. Porter),3,3-0,,
11:24.0,,,3-0,,K. Bazemore misses 3-pt shot from 25 ft
11:21.0,Defensive rebound by M. Gortat,,3-0,,
11:03.0,M. Gortat makes 2-pt shot from 12 ft (assist by T. Satoransky),2,5-0,,
10:49.0,,,5-3,3,T. Waller-Prince makes 3-pt shot from 25 ft (assist by K. Bazemore)
10:32.0,B. Beal misses 2-pt shot from 1 ft,,5-3,,
10:30.0,,,5-3,,Defensive rebound by T. Waller-Prince
10:23.0,,,5-3,,M. Plumlee misses 2-pt shot from 5 ft (block by O. Porter)
10:23.0,Defensive rebound by Team,,5-3,,
10:06.0,M. Morris makes 2-pt shot from 16 ft (assist by T. Satoransky),2,7-3,,
9:48.0,,,7-3,,E. Ilyasova misses 3-pt shot from 22 ft
9:45.0,Defensive rebound by O. Porter,,7-3,,
9:36.0,M. Morris misses 2-pt shot from 10 ft,,7-3,,
9:31.0,Offensive rebound by M. Gortat,,7-3,,
9:31.0,M. Gortat makes 2-pt shot at rim,2,9-3,,
9:10.0,,,9-3,,K. Bazemore misses 3-pt shot from 24 ft
9:08.0,Defensive rebound by Team,,9-3,,
8:56.0,B. Beal misses 2-pt shot from 20 ft,,9-3,,
8:54.0,,,9-3,,Defensive rebound by Team
8:37.0,,,9-3,,Shooting foul by M. Morris (drawn by D. Schroder)
8:37.0,,,9-4,1,D. Schroder makes free throw 1 of 2
8:37.0,,,9-5,1,D. Schroder makes free throw 2 of 2
8:29.0,B. Beal makes 2-pt shot from 20 ft (assist by T. Satoransky),2,11-5,,
8:04.0,,,11-7,2,D. Schroder makes 2-pt shot from 1 ft
7:47.0,O. Porter misses 3-pt shot from 25 ft,,11-7,,
7:43.0,,,11-7,,Defensive rebound by M. Plumlee
7:32.0,,,11-9,2,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Schroder)
7:11.0,M. Morris misses 2-pt shot from 16 ft,,11-9,,
7:11.0,Offensive rebound by Team,,11-9,,
7:08.0,M. Morris makes 2-pt shot from 16 ft (assist by O. Porter),2,13-9,,
6:50.0,,,13-9,,D. Schroder misses 3-pt shot from 22 ft
6:46.0,,,13-9,,Offensive rebound by Team
6:46.0,,,13-9,,Atlanta full timeout
6:46.0,,,13-9,,M. Belinelli enters the game for T. Waller-Prince
6:46.0,,,13-9,,D. Dedmon enters the game for M. Plumlee
6:33.0,,,13-9,,Turnover by K. Bazemore (bad pass; steal by M. Gortat)
6:26.0,,,13-9,,Violation by D. Dedmon (kicked ball)
6:14.0,O. Porter misses 2-pt shot from 6 ft,,13-9,,
6:11.0,,,13-9,,Defensive rebound by D. Dedmon
6:06.0,,,13-9,,D. Schroder misses 3-pt shot from 25 ft
6:03.0,Defensive rebound by M. Morris,,13-9,,
6:01.0,Turnover by M. Morris (bad pass),,13-9,,
5:47.0,,,13-9,,K. Bazemore misses 2-pt shot from 3 ft
5:47.0,,,13-9,,Offensive rebound by Team
5:40.0,,,13-9,,K. Bazemore misses 3-pt shot from 24 ft
5:35.0,Defensive rebound by M. Morris,,13-9,,
5:30.0,B. Beal misses 2-pt shot from 1 ft (block by E. Ilyasova),,13-9,,
5:30.0,,,13-9,,Defensive rebound by Team
5:30.0,Jump ball: E. Ilyasova vs. B. Beal (D. Schroder gains possession),,,,Jump ball: E. Ilyasova vs. B. Beal (D. Schroder gains possession)
5:20.0,,,13-12,3,M. Belinelli makes 3-pt shot from 25 ft (assist by D. Schroder)
5:09.0,Offensive foul by O. Porter (drawn by M. Belinelli),,13-12,,
5:09.0,Turnover by O. Porter (offensive foul),,13-12,,
5:09.0,Washington full timeout,,13-12,,
5:09.0,,,13-12,,J. Collins enters the game for E. Ilyasova
4:59.0,,,13-12,,Turnover by J. Collins (bad pass)
4:38.0,T. Satoransky misses 2-pt shot from 20 ft,,13-12,,
4:34.0,,,13-12,,Defensive rebound by D. Dedmon
4:28.0,,,13-12,,M. Belinelli misses 3-pt shot from 26 ft
4:25.0,Defensive rebound by M. Gortat,,13-12,,
4:12.0,B. Beal makes 3-pt shot from 25 ft,3,16-12,,
3:58.0,,,16-12,,D. Dedmon misses 3-pt shot from 23 ft
3:55.0,Defensive rebound by M. Morris,,16-12,,
3:43.0,M. Gortat misses 2-pt shot from 1 ft (block by J. Collins),,16-12,,
3:41.0,,,16-12,,Defensive rebound by J. Collins
3:39.0,Personal foul by T. Satoransky (drawn by D. Schroder),,16-12,,
3:39.0,,,16-12,,T. Waller-Prince enters the game for K. Bazemore
3:39.0,T. Frazier enters the game for O. Porter,,16-12,,
3:39.0,K. Oubre enters the game for T. Satoransky,,16-12,,
3:27.0,,,16-12,,Turnover by D. Dedmon (bad pass)
3:18.0,M. Morris makes 3-pt shot from 24 ft (assist by B. Beal),3,19-12,,
3:03.0,,,19-14,2,D. Schroder makes 2-pt shot from 19 ft
2:53.0,M. Morris makes 3-pt shot from 25 ft (assist by T. Frazier),3,22-14,,
2:49.0,,,22-14,,Atlanta full timeout
2:49.0,I. Mahinmi enters the game for M. Gortat,,22-14,,
2:31.0,,,22-14,,D. Schroder misses 2-pt shot from 3 ft
2:28.0,Defensive rebound by M. Morris,,22-14,,
2:27.0,Shooting foul by J. Collins (drawn by B. Beal),,22-14,,
2:27.0,B. Beal makes free throw 1 of 2,1,23-14,,
2:27.0,M. Scott enters the game for M. Morris,,23-14,,
2:27.0,B. Beal makes free throw 2 of 2,1,24-14,,
2:03.0,,,24-14,,D. Schroder misses 2-pt shot from 21 ft
2:03.0,,,24-14,,Offensive rebound by D. Dedmon
2:03.0,,,24-16,2,D. Dedmon makes 2-pt shot from 3 ft
1:48.0,B. Beal makes 3-pt shot from 22 ft (assist by T. Frazier),3,27-16,,
1:32.0,,,27-18,2,D. Dedmon makes 2-pt shot from 20 ft (assist by D. Schroder)
1:26.0,Offensive foul by T. Frazier (drawn by D. Schroder),,27-18,,
1:26.0,Turnover by T. Frazier (offensive foul),,27-18,,
1:26.0,,,27-18,,M. Delaney enters the game for D. Schroder
1:01.0,,,27-18,,M. Belinelli misses 2-pt shot from 21 ft
0:57.0,Defensive rebound by T. Frazier,,27-18,,
0:55.0,K. Oubre misses 2-pt shot from 18 ft,,27-18,,
0:55.0,,,27-18,,Defensive rebound by M. Belinelli
0:32.0,,,27-18,,M. Delaney misses 2-pt shot from 21 ft
0:31.0,,,27-18,,Offensive rebound by Team
0:31.0,,,27-18,,Turnover by Team (shot clock)
0:16.0,T. Frazier misses 2-pt shot from 3 ft (block by M. Delaney),,27-18,,
0:16.0,,,27-18,,Defensive rebound by Team
0:01.0,,,27-18,,M. Belinelli misses 3-pt shot from 26 ft
0:01.0,,,27-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:32.0,,,27-18,,M. Delaney misses 3-pt shot from 25 ft
11:30.0,Defensive rebound by J. Meeks,,27-18,,
11:18.0,K. Oubre makes 2-pt shot at rim (assist by M. Scott),2,29-18,,
11:18.0,Shooting foul by M. Muscala (drawn by K. Oubre),,29-18,,
11:18.0,K. Oubre makes free throw 1 of 1,1,30-18,,
11:02.0,Personal foul by I. Mahinmi (drawn by T. Waller-Prince),,30-18,,
10:55.0,,,30-18,,T. Waller-Prince misses 3-pt shot from 23 ft
10:52.0,,,30-18,,Offensive rebound by M. Muscala
10:50.0,,,30-20,2,M. Muscala makes 2-pt shot from 1 ft
10:41.0,M. Scott makes 2-pt shot from 17 ft (assist by T. Frazier),2,32-20,,
10:28.0,,,32-20,,Turnover by M. Delaney (bad pass)
10:27.0,,,32-20,,E. Ilyasova enters the game for J. Collins
10:25.0,Jump ball: M. Muscala vs. I. Mahinmi,,,,Jump ball: M. Muscala vs. I. Mahinmi
10:13.0,M. Scott makes 3-pt shot from 25 ft (assist by T. Frazier),3,35-20,,
10:01.0,Personal foul by K. Oubre (drawn by T. Waller-Prince),,35-20,,
10:01.0,,,35-20,,K. Bazemore enters the game for T. Waller-Prince
9:50.0,Personal foul by K. Oubre (drawn by E. Ilyasova),,35-20,,
9:43.0,,,35-20,,K. Bazemore misses 3-pt shot from 22 ft
9:40.0,,,35-20,,Offensive rebound by Team
9:38.0,,,35-20,,T. Dorsey misses 3-pt shot from 24 ft
9:34.0,Defensive rebound by I. Mahinmi,,35-20,,
9:28.0,K. Oubre makes 3-pt shot from 25 ft (assist by T. Frazier),3,38-20,,
9:27.0,,,38-20,,Atlanta full timeout
9:14.0,,,38-20,,E. Ilyasova misses 2-pt shot from 16 ft
9:10.0,Defensive rebound by I. Mahinmi,,38-20,,
9:00.0,T. Frazier misses 2-pt shot from 9 ft,,38-20,,
8:56.0,,,38-20,,Defensive rebound by E. Ilyasova
8:52.0,,,38-20,,Offensive charge foul by E. Ilyasova (drawn by J. Meeks)
8:52.0,,,38-20,,Turnover by E. Ilyasova (offensive foul)
8:38.0,M. Scott misses 2-pt shot from 16 ft,,38-20,,
8:35.0,,,38-20,,Defensive rebound by T. Dorsey
8:29.0,,,38-22,2,T. Dorsey makes 2-pt shot from 1 ft
8:13.0,M. Scott misses 3-pt shot from 25 ft,,38-22,,
8:10.0,,,38-22,,Defensive rebound by T. Dorsey
8:01.0,,,38-22,,Shooting foul by I. Mahinmi (drawn by K. Bazemore)
