time,Utah,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. R. Gobert (C. Anthony gains possession),,,,Jump ball: S. Adams vs. R. Gobert (C. Anthony gains possession)
11:45.0,,,0-0,,P. George misses 2-pt shot from 1 ft (block by D. Favors)
11:45.0,Defensive rebound by J. Ingles,,0-0,,
11:26.0,D. Favors misses 2-pt shot from 18 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by P. George
11:11.0,,,0-0,,C. Anthony misses 2-pt shot from 13 ft
11:07.0,Defensive rebound by Team,,0-0,,
11:07.0,,,0-0,,Loose ball foul by C. Brewer (drawn by R. Rubio)
10:47.0,R. Gobert misses 2-pt shot from 1 ft,,0-0,,
10:44.0,Offensive rebound by R. Gobert,,0-0,,
10:44.0,R. Gobert misses 2-pt shot at rim,,0-0,,
10:42.0,Offensive rebound by R. Gobert,,0-0,,
10:41.0,J. Ingles misses 3-pt shot from 25 ft,,0-0,,
10:38.0,,,0-0,,Defensive rebound by P. George
10:21.0,,,0-0,,S. Adams misses 2-pt shot from 7 ft
10:16.0,Defensive rebound by R. Rubio,,0-0,,
10:05.0,R. Gobert misses 2-pt shot from 7 ft,,0-0,,
10:02.0,,,0-0,,Defensive rebound by C. Anthony
9:49.0,,,0-2,2,P. George makes 2-pt shot at rim
9:49.0,,,0-2,,Shooting foul by D. Mitchell (drawn by P. George)
9:49.0,,,0-3,1,P. George makes free throw 1 of 1
9:39.0,R. Gobert makes 2-pt shot from 1 ft (assist by R. Rubio),2,2-3,,
9:27.0,,,2-3,,R. Westbrook misses 2-pt shot from 20 ft
9:25.0,Defensive rebound by D. Favors,,2-3,,
9:11.0,Turnover by D. Mitchell (bad pass; steal by C. Anthony),,2-3,,
9:02.0,Personal foul by D. Favors (drawn by S. Adams),,2-3,,
8:52.0,,,2-3,,C. Anthony misses 2-pt shot at rim
8:50.0,Defensive rebound by Team,,2-3,,
8:33.0,R. Rubio makes 2-pt shot from 16 ft,2,4-3,,
8:09.0,,,4-3,,P. George misses 3-pt shot from 25 ft
8:07.0,Defensive rebound by D. Mitchell,,4-3,,
7:53.0,Turnover by R. Rubio (bad pass; steal by C. Anthony),,4-3,,
7:51.0,,,4-3,,Shooting foul by R. Rubio (drawn by P. George)
7:51.0,,,4-4,1,P. George makes free throw 1 of 2
7:51.0,J. Crowder enters the game for J. Ingles,,4-4,,
7:51.0,,,4-5,1,P. George makes free throw 2 of 2
7:41.0,R. Rubio misses 2-pt shot from 8 ft,,4-5,,
7:38.0,Offensive rebound by D. Favors,,4-5,,
7:38.0,D. Favors makes 2-pt shot at rim,2,6-5,,
7:24.0,,,6-7,2,C. Anthony makes 2-pt shot from 1 ft
7:04.0,Turnover by D. Favors (bad pass; steal by S. Adams),,6-7,,
6:59.0,,,6-7,,R. Westbrook misses 2-pt shot from 1 ft
6:56.0,Defensive rebound by R. Gobert,,6-7,,
6:51.0,Turnover by R. Gobert (bad pass; steal by S. Adams),,6-7,,
6:49.0,Personal take foul by J. Crowder (drawn by R. Westbrook),,6-7,,
6:49.0,,,6-7,,Oklahoma City full timeout
6:49.0,,,6-7,,J. Grant enters the game for C. Anthony
6:40.0,,,6-9,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
6:25.0,Shooting foul by J. Grant (drawn by D. Favors),,6-9,,
6:25.0,D. Favors makes free throw 1 of 2,1,7-9,,
6:25.0,D. Favors makes free throw 2 of 2,1,8-9,,
6:11.0,,,8-9,,P. George misses 2-pt shot from 16 ft
6:07.0,Defensive rebound by J. Crowder,,8-9,,
5:49.0,D. Mitchell makes 2-pt shot from 9 ft,2,10-9,,
5:35.0,,,10-11,2,R. Westbrook makes 2-pt shot from 17 ft
5:18.0,J. Crowder misses 3-pt shot from 24 ft,,10-11,,
5:15.0,,,10-11,,Defensive rebound by R. Westbrook
5:07.0,,,10-11,,Shooting foul by J. Crowder (drawn by R. Westbrook)
5:07.0,,,10-12,1,R. Westbrook makes free throw 1 of 2
5:07.0,,,10-12,,J. Huestis enters the game for P. George
5:07.0,R. O'Neale enters the game for D. Favors,,10-12,,
5:07.0,,,10-13,1,R. Westbrook makes free throw 2 of 2
4:57.0,R. Rubio misses 2-pt shot from 6 ft,,10-13,,
4:55.0,,,10-13,,Defensive rebound by C. Brewer
4:50.0,Personal foul by R. Rubio (drawn by J. Huestis),,10-13,,
4:50.0,,,10-13,,J. Huestis misses free throw 1 of 2
4:50.0,,,10-13,,Offensive rebound by Team
4:50.0,J. Ingles enters the game for R. Rubio,,10-13,,
4:50.0,,,10-14,1,J. Huestis makes free throw 2 of 2
4:38.0,J. Crowder makes 3-pt shot from 23 ft (assist by R. Gobert),3,13-14,,
4:26.0,,,13-17,3,C. Brewer makes 3-pt shot from 23 ft (assist by R. Westbrook)
4:07.0,J. Crowder makes 3-pt shot from 23 ft (assist by R. O'Neale),3,16-17,,
3:51.0,,,16-17,,Turnover by R. Westbrook (bad pass; steal by J. Crowder)
3:47.0,J. Crowder makes 2-pt shot from 1 ft (assist by J. Ingles),2,18-17,,
3:34.0,,,18-17,,R. Westbrook misses 2-pt shot from 20 ft
3:32.0,Defensive rebound by R. Gobert,,18-17,,
3:28.0,Shooting foul by J. Huestis (drawn by J. Crowder),,18-17,,
3:28.0,J. Crowder misses free throw 1 of 2,,18-17,,
3:28.0,Offensive rebound by Team,,18-17,,
3:28.0,J. Crowder makes free throw 2 of 2,1,19-17,,
3:19.0,,,19-17,,R. Westbrook misses 2-pt shot from 12 ft
3:17.0,,,19-17,,Offensive rebound by Team
3:17.0,,,19-17,,Turnover by R. Westbrook (traveling)
3:17.0,,,19-17,,P. George enters the game for S. Adams
3:17.0,,,19-17,,C. Anthony enters the game for J. Huestis
3:02.0,J. Ingles makes 3-pt shot from 23 ft (assist by J. Crowder),3,22-17,,
2:41.0,,,22-19,2,R. Westbrook makes 2-pt shot at rim
2:27.0,J. Crowder makes 3-pt shot from 25 ft (assist by D. Mitchell),3,25-19,,
2:26.0,,,25-19,,Oklahoma City full timeout
2:26.0,,,25-19,,A. Abrines enters the game for C. Brewer
2:26.0,D. Favors enters the game for R. Gobert,,25-19,,
2:14.0,,,25-19,,P. George misses 2-pt shot at rim
2:12.0,,,25-19,,Offensive rebound by J. Grant
2:12.0,,,25-21,2,J. Grant makes 2-pt shot at rim
1:51.0,J. Ingles makes 3-pt shot from 23 ft (assist by J. Crowder),3,28-21,,
1:28.0,,,28-21,,Shooting foul by D. Favors (drawn by P. George)
1:28.0,,,28-21,,P. George misses free throw 1 of 2
1:28.0,,,28-21,,Offensive rebound by Team
1:28.0,,,28-21,,R. Felton enters the game for R. Westbrook
1:28.0,D. Exum enters the game for D. Mitchell,,28-21,,
1:28.0,,,28-22,1,P. George makes free throw 2 of 2
1:17.0,J. Crowder makes 3-pt shot from 24 ft (assist by J. Ingles),3,31-22,,
1:05.0,,,31-22,,C. Anthony misses 3-pt shot from 25 ft
1:01.0,,,31-22,,Offensive rebound by P. George
0:52.0,,,31-24,2,P. George makes 2-pt shot from 16 ft (assist by R. Felton)
0:34.0,R. O'Neale misses 3-pt shot from 26 ft,,31-24,,
0:31.0,,,31-24,,Defensive rebound by C. Anthony
0:20.0,,,31-26,2,R. Felton makes 2-pt shot from 2 ft
0:05.0,J. Ingles makes 3-pt shot from 24 ft,3,34-26,,
0:00.0,,,34-29,3,P. George makes 3-pt shot from 26 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:53.0,,,34-29,,Personal foul by R. Felton (drawn by D. Exum)
11:46.0,Turnover by D. Favors (bad pass; steal by A. Abrines),,34-29,,
11:41.0,,,34-29,,P. George misses 3-pt shot from 26 ft
11:38.0,Defensive rebound by D. Favors,,34-29,,
11:19.0,J. Ingles misses 3-pt shot from 25 ft,,34-29,,
11:16.0,,,34-29,,Defensive rebound by R. Felton
11:13.0,Personal foul by J. Ingles (drawn by C. Anthony),,34-29,,
11:01.0,,,34-29,,Turnover by R. Felton (bad pass)
11:01.0,R. Rubio enters the game for D. Exum,,34-29,,
10:41.0,J. Crowder misses 3-pt shot from 24 ft,,34-29,,
10:37.0,,,34-29,,Defensive rebound by A. Abrines
10:31.0,,,34-29,,Turnover by P. George (bad pass)
10:22.0,,,34-29,,Personal foul by P. George (drawn by D. Favors)
10:09.0,D. Favors makes 2-pt shot at rim (assist by R. Rubio),2,36-29,,
9:43.0,,,36-29,,R. Felton misses 2-pt shot from 14 ft
9:41.0,Defensive rebound by R. Rubio,,36-29,,
9:28.0,Shooting foul by C. Anthony (drawn by D. Favors),,36-29,,
9:28.0,D. Favors misses free throw 1 of 2,,36-29,,
9:28.0,Offensive rebound by Team,,36-29,,
9:28.0,,,36-29,,Oklahoma City full timeout
9:28.0,D. Mitchell enters the game for R. O'Neale,,36-29,,
9:28.0,,,36-29,,R. Westbrook enters the game for R. Felton
9:28.0,,,36-29,,S. Adams enters the game for J. Grant
9:28.0,D. Favors makes free throw 2 of 2,1,37-29,,
9:03.0,,,37-29,,P. George misses 3-pt shot from 36 ft
9:03.0,,,37-29,,Offensive rebound by Team
9:03.0,,,37-29,,Turnover by Team (shot clock)
8:49.0,,,37-29,,Personal foul by P. George (drawn by D. Mitchell)
8:49.0,,,37-29,,P. Patterson enters the game for C. Anthony
8:49.0,R. Gobert enters the game for D. Favors,,37-29,,
8:49.0,J. Jerebko enters the game for J. Crowder,,37-29,,
8:38.0,R. Rubio misses 2-pt shot from 10 ft,,37-29,,
8:35.0,,,37-29,,Defensive rebound by S. Adams
8:25.0,,,37-29,,R. Westbrook misses 2-pt shot from 5 ft
8:24.0,Defensive rebound by R. Gobert,,37-29,,
8:24.0,,,37-29,,Personal foul by R. Westbrook (drawn by R. Gobert)
8:24.0,R. Gobert makes free throw 1 of 2,1,38-29,,
8:24.0,R. Gobert makes free throw 2 of 2,1,39-29,,
8:08.0,,,39-29,,R. Westbrook misses 3-pt shot from 25 ft
8:02.0,Defensive rebound by J. Ingles,,39-29,,
7:55.0,Turnover by J. Ingles (bad pass),,39-29,,
7:55.0,R. O'Neale enters the game for J. Ingles,,39-29,,
7:51.0,Personal foul by J. Jerebko (drawn by R. Westbrook),,39-29,,
7:44.0,,,39-31,2,R. Westbrook makes 2-pt shot from 16 ft
7:31.0,Turnover by R. O'Neale (out of bounds lost ball),,39-31,,
7:20.0,,,39-31,,R. Westbrook misses 2-pt shot from 1 ft
7:17.0,Defensive rebound by R. Gobert,,39-31,,
7:06.0,Turnover by R. Rubio (bad pass),,39-31,,
7:06.0,,,39-31,,J. Huestis enters the game for P. George
7:06.0,J. Crowder enters the game for R. O'Neale,,39-31,,
6:53.0,,,39-31,,S. Adams misses 2-pt shot from 6 ft
6:51.0,Defensive rebound by D. Mitchell,,39-31,,
6:38.0,D. Mitchell makes 2-pt shot from 17 ft,2,41-31,,
6:24.0,,,41-33,2,R. Westbrook makes 2-pt shot at rim
6:04.0,R. Gobert misses 2-pt shot from 5 ft (block by J. Huestis),,41-33,,
6:04.0,Offensive rebound by Team,,41-33,,
6:04.0,Utah full timeout,,41-33,,
6:04.0,,,41-33,,C. Brewer enters the game for A. Abrines
6:04.0,J. Ingles enters the game for R. Rubio,,41-33,,
6:04.0,R. O'Neale enters the game for J. Jerebko,,41-33,,
5:58.0,J. Crowder misses 2-pt shot from 18 ft,,41-33,,
5:54.0,Offensive rebound by R. Gobert,,41-33,,
5:43.0,D. Mitchell misses 2-pt shot from 1 ft,,41-33,,
5:41.0,,,41-33,,Defensive rebound by S. Adams
5:35.0,,,41-33,,J. Huestis misses 2-pt shot from 1 ft
5:35.0,,,41-33,,Offensive rebound by Team
5:35.0,,,41-33,,P. George enters the game for J. Huestis
5:32.0,,,41-35,2,R. Westbrook makes 2-pt shot from 20 ft (assist by C. Brewer)
5:04.0,J. Ingles makes 3-pt shot from 25 ft (assist by D. Mitchell),3,44-35,,
4:50.0,,,44-35,,R. Westbrook misses 2-pt shot from 1 ft
4:48.0,Defensive rebound by J. Crowder,,44-35,,
4:44.0,Shooting foul by P. Patterson (drawn by R. Gobert),,44-35,,
4:44.0,R. Gobert makes free throw 1 of 2,1,45-35,,
4:44.0,R. Gobert makes free throw 2 of 2,1,46-35,,
4:34.0,,,46-37,2,P. George makes 2-pt shot from 10 ft
4:16.0,J. Crowder misses 3-pt shot from 24 ft,,46-37,,
4:13.0,,,46-37,,Defensive rebound by P. George
4:06.0,,,46-37,,Turnover by P. George (bad pass; steal by D. Mitchell)
4:02.0,J. Ingles makes 2-pt shot at rim (assist by J. Crowder),2,48-37,,
3:51.0,,,48-37,,R. Westbrook misses 2-pt shot from 20 ft
