time,Sacramento,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. S. Labissiere (W. Cauley-Stein gains possession),,,,Jump ball: B. Biyombo vs. S. Labissiere (W. Cauley-Stein gains possession)
11:45.0,W. Cauley-Stein makes 2-pt shot from 17 ft (assist by B. Bogdanovic),2,2-0,,
11:25.0,,,2-0,,A. Gordon misses 2-pt shot from 2 ft
11:22.0,,,2-0,,Offensive rebound by E. Payton
11:22.0,,,2-0,,E. Payton misses 2-pt shot from 3 ft
11:21.0,,,2-0,,Offensive rebound by A. Gordon
11:20.0,,,2-0,,A. Gordon misses 2-pt shot from 2 ft
11:20.0,,,2-0,,Offensive rebound by A. Gordon
11:19.0,,,2-0,,A. Gordon misses 2-pt shot from 2 ft (block by W. Cauley-Stein)
11:19.0,,,2-0,,Offensive rebound by A. Gordon
11:14.0,,,2-0,,Turnover by A. Gordon (lost ball; steal by V. Carter)
11:06.0,D. Fox makes 2-pt shot from 1 ft,2,4-0,,
10:46.0,,,4-3,3,E. Fournier makes 3-pt shot from 26 ft (assist by J. Simmons)
10:35.0,S. Labissiere makes 2-pt shot at rim (assist by B. Bogdanovic),2,6-3,,
10:19.0,,,6-3,,B. Biyombo misses 2-pt shot from 15 ft
10:16.0,Defensive rebound by S. Labissiere,,6-3,,
10:07.0,W. Cauley-Stein misses 2-pt shot from 3 ft,,6-3,,
10:03.0,Offensive rebound by W. Cauley-Stein,,6-3,,
10:01.0,W. Cauley-Stein misses 2-pt shot from 2 ft,,6-3,,
10:01.0,,,6-3,,Defensive rebound by J. Simmons
9:56.0,,,6-3,,Turnover by E. Payton (lost ball; steal by V. Carter)
9:55.0,Shooting foul by J. Simmons (drawn by W. Cauley-Stein),,6-3,,
9:55.0,W. Cauley-Stein makes free throw 1 of 2,1,7-3,,
9:55.0,W. Cauley-Stein misses free throw 2 of 2,,7-3,,
9:51.0,,,7-3,,Defensive rebound by A. Gordon
9:43.0,,,7-5,2,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton)
9:20.0,V. Carter misses 3-pt shot from 25 ft,,7-5,,
9:17.0,Offensive rebound by D. Fox,,7-5,,
9:15.0,D. Fox misses 2-pt shot from 16 ft,,7-5,,
9:15.0,Offensive rebound by S. Labissiere,,7-5,,
9:10.0,S. Labissiere misses 2-pt shot at rim,,7-5,,
9:09.0,,,7-5,,Defensive rebound by E. Fournier
9:06.0,,,7-7,2,E. Payton makes 2-pt shot from 1 ft (assist by E. Fournier)
8:45.0,S. Labissiere makes 2-pt shot from 9 ft (assist by B. Bogdanovic),2,9-7,,
8:34.0,,,9-7,,A. Gordon misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by S. Labissiere,,9-7,,
8:20.0,D. Fox makes 3-pt shot from 24 ft (assist by V. Carter),3,12-7,,
8:03.0,,,12-7,,E. Payton misses 2-pt shot from 2 ft
8:00.0,Defensive rebound by B. Bogdanovic,,12-7,,
7:50.0,W. Cauley-Stein misses 2-pt shot from 8 ft,,12-7,,
7:48.0,Offensive rebound by W. Cauley-Stein,,12-7,,
7:46.0,W. Cauley-Stein misses 2-pt shot from 13 ft,,12-7,,
7:46.0,,,12-7,,Defensive rebound by A. Gordon
7:35.0,,,12-7,,Turnover by A. Gordon (bad pass; steal by V. Carter)
7:32.0,W. Cauley-Stein makes 2-pt shot at rim,2,14-7,,
7:32.0,,,14-7,,Orlando full timeout
7:32.0,G. Papagiannis enters the game for W. Cauley-Stein,,14-7,,
7:16.0,,,14-9,2,E. Payton makes 2-pt shot from 1 ft (assist by J. Simmons)
6:59.0,,,14-9,,Personal foul by B. Biyombo (drawn by S. Labissiere)
6:52.0,B. Bogdanovic makes 2-pt shot from 16 ft,2,16-9,,
6:35.0,,,16-9,,E. Fournier misses 2-pt shot from 13 ft
6:32.0,,,16-9,,Offensive rebound by B. Biyombo
6:32.0,,,16-9,,B. Biyombo misses 2-pt shot from 2 ft (block by G. Papagiannis)
6:32.0,Defensive rebound by G. Papagiannis,,16-9,,
6:32.0,Turnover by G. Papagiannis (step out of bounds),,16-9,,
6:20.0,,,16-11,2,A. Gordon makes 2-pt shot from 1 ft (assist by E. Payton)
6:07.0,D. Fox misses 2-pt shot from 9 ft,,16-11,,
6:07.0,Offensive rebound by G. Papagiannis,,16-11,,
6:03.0,G. Papagiannis misses 2-pt shot at rim,,16-11,,
6:02.0,,,16-11,,Defensive rebound by E. Payton
6:00.0,,,16-14,3,E. Fournier makes 3-pt shot from 23 ft (assist by A. Gordon)
5:37.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,18-14,,
5:23.0,,,18-14,,E. Fournier misses 3-pt shot from 25 ft
5:21.0,,,18-14,,Offensive rebound by B. Biyombo
5:19.0,,,18-16,2,E. Payton makes 2-pt shot from 2 ft (assist by B. Biyombo)
5:00.0,G. Papagiannis misses 2-pt shot from 1 ft,,18-16,,
4:58.0,,,18-16,,Defensive rebound by E. Fournier
4:52.0,,,18-16,,Shooting foul by B. Bogdanovic (drawn by E. Fournier)
4:52.0,,,18-17,1,E. Fournier makes free throw 1 of 2
4:52.0,G. Temple enters the game for D. Fox,,18-17,,
4:52.0,,,18-18,1,E. Fournier makes free throw 2 of 2
4:40.0,Turnover by B. Bogdanovic (bad pass; steal by E. Payton),,18-18,,
4:34.0,,,18-20,2,E. Fournier makes 2-pt shot from 2 ft (assist by E. Payton)
4:28.0,Sacramento full timeout,,18-20,,
4:28.0,W. Cauley-Stein enters the game for S. Labissiere,,18-20,,
4:28.0,J. Jackson enters the game for G. Papagiannis,,18-20,,
4:16.0,G. Temple makes 2-pt shot from 13 ft,2,20-20,,
4:02.0,,,20-20,,A. Gordon misses 2-pt shot from 9 ft
3:59.0,Defensive rebound by J. Jackson,,20-20,,
3:48.0,Turnover by B. Bogdanovic (traveling),,20-20,,
3:48.0,,,20-20,,S. Mack enters the game for J. Simmons
3:38.0,Personal foul by G. Temple (drawn by E. Fournier),,20-20,,
3:38.0,B. Hield enters the game for B. Bogdanovic,,20-20,,
3:28.0,,,20-22,2,E. Fournier makes 2-pt shot from 20 ft
3:02.0,V. Carter misses 2-pt shot from 1 ft (block by B. Biyombo),,20-22,,
3:01.0,,,20-22,,Defensive rebound by Team
3:01.0,,,20-22,,D. Augustin enters the game for E. Payton
3:01.0,,,20-22,,M. Speights enters the game for B. Biyombo
2:47.0,,,20-25,3,A. Gordon makes 3-pt shot from 25 ft (assist by D. Augustin)
2:29.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by G. Temple),2,22-25,,
2:16.0,,,22-25,,Turnover by A. Gordon (out of bounds lost ball)
2:00.0,G. Temple makes 2-pt shot from 19 ft (assist by W. Cauley-Stein),2,24-25,,
1:46.0,,,24-25,,A. Gordon misses 3-pt shot from 25 ft
