time,Washington,pts.away,score,pts.home,Golden State
2:19.0,,,29-22,,Turnover by D. Green (bad pass)
2:05.0,Turnover by I. Mahinmi (bad pass; steal by J. McGee),,29-22,,
2:00.0,,,29-22,,S. Curry misses 3-pt shot from 26 ft
1:59.0,,,29-22,,J. McGee misses 2-pt shot from 2 ft
1:59.0,,,29-22,,Offensive rebound by J. McGee
1:55.0,Defensive rebound by Team,,29-22,,
1:43.0,Turnover by T. Frazier (bad pass),,29-22,,
1:34.0,,,29-24,2,P. McCaw makes 2-pt shot from 1 ft (assist by D. Green)
1:20.0,Offensive charge foul by T. Frazier (drawn by P. McCaw),,29-24,,
1:20.0,Turnover by T. Frazier (offensive foul),,29-24,,
1:03.0,,,29-27,3,S. Curry makes 3-pt shot from 26 ft (assist by A. Iguodala)
0:49.0,J. Wall misses 2-pt shot from 6 ft,,29-27,,
0:45.0,,,29-27,,Defensive rebound by J. McGee
0:40.0,,,29-27,,Offensive charge foul by J. McGee (drawn by T. Frazier)
0:40.0,,,29-27,,Turnover by J. McGee (offensive foul)
0:32.0,M. Scott makes 2-pt shot from 15 ft (assist by T. Frazier),2,31-27,,
0:11.0,,,31-27,,S. Curry misses 3-pt shot from 25 ft
0:07.0,Defensive rebound by M. Scott,,31-27,,
0:04.0,J. Meeks makes 3-pt shot from 23 ft (assist by T. Frazier),3,34-27,,
0:00.0,,,34-27,,A. Iguodala misses 3-pt shot from 62 ft
0:00.0,,,34-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,M. Scott misses 3-pt shot from 23 ft,,34-27,,
11:38.0,,,34-27,,Defensive rebound by D. Green
11:33.0,,,34-27,,N. Young misses 3-pt shot from 25 ft
11:22.0,Defensive rebound by M. Scott,,34-27,,
11:19.0,K. Oubre makes 3-pt shot from 24 ft (assist by T. Frazier),3,37-27,,
11:01.0,,,37-29,2,D. West makes 2-pt shot from 17 ft (assist by D. Green)
10:49.0,K. Oubre misses 2-pt shot from 15 ft,,37-29,,
10:45.0,,,37-29,,Defensive rebound by D. Green
10:36.0,,,37-31,2,K. Thompson makes 2-pt shot from 5 ft
10:23.0,J. Meeks makes 2-pt shot from 19 ft (assist by T. Frazier),2,39-31,,
10:09.0,,,39-33,2,K. Thompson makes 2-pt shot from 12 ft (assist by D. Green)
9:56.0,Shooting foul by K. Thompson (drawn by M. Scott),,39-33,,
9:56.0,M. Scott makes free throw 1 of 2,1,40-33,,
9:56.0,M. Scott makes free throw 2 of 2,1,41-33,,
9:40.0,,,41-33,,K. Thompson misses 2-pt shot from 22 ft
9:37.0,Defensive rebound by M. Scott,,41-33,,
9:21.0,J. Meeks misses 2-pt shot from 12 ft (block by D. West),,41-33,,
9:15.0,Offensive rebound by I. Mahinmi,,41-33,,
9:14.0,I. Mahinmi misses 2-pt shot from 2 ft,,41-33,,
9:12.0,Offensive rebound by M. Scott,,41-33,,
9:10.0,M. Scott misses 2-pt shot from 3 ft,,41-33,,
9:07.0,,,41-33,,Defensive rebound by K. Thompson
9:05.0,,,41-35,2,D. West makes 2-pt shot from 2 ft (assist by D. Green)
8:56.0,T. Frazier misses 2-pt shot from 10 ft (block by K. Thompson),,41-35,,
8:51.0,,,41-35,,Defensive rebound by N. Young
8:49.0,,,41-35,,K. Thompson misses 3-pt shot from 26 ft
8:45.0,,,41-35,,Offensive rebound by A. Iguodala
8:43.0,,,41-35,,N. Young misses 3-pt shot from 25 ft
8:34.0,Defensive rebound by J. Meeks,,41-35,,
8:31.0,M. Scott makes 2-pt shot from 18 ft (assist by T. Frazier),2,43-35,,
8:15.0,,,43-35,,K. Thompson misses 3-pt shot from 25 ft
8:11.0,,,43-35,,Offensive rebound by N. Young
8:05.0,,,43-35,,Offensive charge foul by D. Green
8:05.0,,,43-35,,Turnover by D. Green (offensive foul)
8:05.0,,,43-35,,Technical foul by D. Green
8:05.0,M. Scott makes technical free throw,1,44-35,,
7:56.0,Offensive charge foul by M. Scott (drawn by N. Young),,44-35,,
7:56.0,Turnover by M. Scott (offensive foul),,44-35,,
7:56.0,,,44-35,,P. McCaw enters the game for A. Iguodala
7:56.0,,,44-35,,K. Durant enters the game for D. Green
7:44.0,,,44-37,2,D. West makes 2-pt shot from 12 ft (assist by K. Thompson)
7:38.0,Shooting foul by K. Durant (drawn by K. Oubre),,44-37,,
