time,Washington,pts.away,score,pts.home,Golden State
7:27.0,,,101-100,2,K. Thompson makes 2-pt shot at rim (assist by D. West)
7:03.0,M. Gortat misses 2-pt shot from 6 ft,,101-100,,
6:59.0,,,101-100,,Defensive rebound by D. West
6:49.0,,,101-102,2,D. West makes 2-pt shot from 3 ft (assist by O. Casspi)
6:35.0,Shooting foul by D. West (drawn by J. Wall),,101-102,,
6:35.0,J. Wall makes free throw 1 of 2,1,102-102,,
6:35.0,J. Wall makes free throw 2 of 2,1,103-102,,
6:22.0,,,103-102,,K. Thompson misses 2-pt shot from 20 ft
6:17.0,Defensive rebound by J. Meeks,,103-102,,
5:59.0,J. Wall misses 3-pt shot from 28 ft,,103-102,,
5:54.0,,,103-102,,Defensive rebound by O. Casspi
5:49.0,,,103-104,2,D. West makes 2-pt shot from 17 ft (assist by K. Durant)
5:29.0,J. Meeks misses 2-pt shot from 16 ft,,103-104,,
5:25.0,Offensive rebound by Team,,103-104,,
5:25.0,,,103-104,,S. Curry enters the game for O. Casspi
5:19.0,J. Wall misses 2-pt shot from 17 ft (block by K. Thompson),,103-104,,
5:14.0,Offensive rebound by M. Gortat,,103-104,,
5:12.0,O. Porter makes 3-pt shot from 27 ft,3,106-104,,
4:57.0,,,106-107,3,K. Durant makes 3-pt shot from 28 ft
4:33.0,O. Porter makes 3-pt shot from 22 ft (assist by J. Wall),3,109-107,,
4:32.0,,,109-107,,Golden State full timeout
4:32.0,,,109-107,,K. Looney enters the game for D. West
4:21.0,,,109-109,2,K. Looney makes 2-pt shot from 1 ft (assist by S. Curry)
3:57.0,M. Gortat misses 2-pt shot from 6 ft,,109-109,,
3:51.0,,,109-109,,Defensive rebound by K. Looney
3:43.0,,,109-109,,A. Iguodala misses 3-pt shot from 22 ft
3:37.0,Defensive rebound by K. Oubre,,109-109,,
3:35.0,Turnover by J. Wall (bad pass),,109-109,,
3:13.0,,,109-111,2,A. Iguodala makes 2-pt shot at rim (assist by S. Curry)
3:02.0,J. Wall misses 2-pt shot from 2 ft,,109-111,,
2:58.0,,,109-111,,Defensive rebound by K. Thompson
2:56.0,,,109-113,2,K. Looney makes 2-pt shot from 1 ft (assist by A. Iguodala)
2:56.0,,,109-113,,Shooting foul by K. Oubre (drawn by K. Looney)
2:56.0,M. Scott enters the game for M. Gortat,,109-113,,
2:56.0,Washington full timeout,,109-113,,
2:56.0,,,109-114,1,K. Looney makes free throw 1 of 1
2:48.0,J. Meeks misses 2-pt shot from 18 ft,,109-114,,
2:44.0,,,109-114,,Defensive rebound by S. Curry
2:40.0,,,109-116,2,K. Looney makes 2-pt shot from 1 ft (assist by A. Iguodala)
2:23.0,O. Porter misses 2-pt shot from 5 ft,,109-116,,
2:18.0,,,109-116,,Defensive rebound by K. Looney
2:17.0,,,109-116,,K. Thompson misses 3-pt shot from 24 ft
2:11.0,Defensive rebound by J. Meeks,,109-116,,
2:08.0,,,109-116,,Personal foul by K. Looney (drawn by J. Wall)
1:59.0,J. Wall makes 2-pt shot from 12 ft,2,111-116,,
1:46.0,,,111-116,,Turnover by K. Durant (traveling)
1:41.0,J. Wall makes 2-pt shot from 1 ft,2,113-116,,
1:41.0,,,113-116,,Golden State full timeout
1:20.0,,,113-118,2,K. Durant makes 2-pt shot from 16 ft
1:13.0,Shooting foul by K. Durant (drawn by J. Wall),,113-118,,
1:13.0,J. Wall misses free throw 1 of 2,,113-118,,
1:13.0,Offensive rebound by Team,,113-118,,
1:13.0,J. Wall makes free throw 2 of 2,1,114-118,,
0:51.0,,,114-118,,S. Curry misses 3-pt shot from 29 ft
0:48.0,Defensive rebound by M. Scott,,114-118,,
0:46.0,J. Wall misses 3-pt shot from 27 ft,,114-118,,
0:41.0,,,114-118,,Defensive rebound by S. Curry
0:30.0,,,114-118,,Turnover by S. Curry (bad pass)
0:23.0,J. Meeks misses 3-pt shot from 23 ft,,114-118,,
0:19.0,Offensive rebound by O. Porter,,114-118,,
0:18.0,J. Meeks makes 3-pt shot from 25 ft (assist by M. Scott),3,117-118,,
0:10.0,Personal foul by J. Meeks (drawn by K. Thompson),,117-118,,
0:09.0,Personal foul by O. Porter (drawn by K. Durant),,117-118,,
0:09.0,,,117-119,1,K. Durant makes free throw 1 of 2
0:09.0,M. Gortat enters the game for J. Meeks,,117-119,,
0:09.0,,,117-120,1,K. Durant makes free throw 2 of 2
0:09.0,Washington full timeout,,117-120,,
0:09.0,J. Meeks enters the game for K. Oubre,,117-120,,
0:04.0,J. Wall misses 3-pt shot from 25 ft,,117-120,,
0:01.0,Offensive rebound by Team,,117-120,,
0:00.0,J. Meeks misses 3-pt shot from 23 ft,,117-120,,
0:00.0,Offensive rebound by Team,,117-120,,
