time,New York,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. E. Kanter (G. Antetokounmpo gains possession),,,,Jump ball: J. Henson vs. E. Kanter (G. Antetokounmpo gains possession)
11:43.0,,,0-0,,G. Antetokounmpo misses 2-pt shot at rim
11:41.0,Defensive rebound by F. Ntilikina,,0-0,,
11:32.0,T. Hardaway misses 3-pt shot from 25 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by T. Snell
11:11.0,,,0-2,2,J. Henson makes 2-pt shot at rim (assist by E. Bledsoe)
10:56.0,F. Ntilikina misses 2-pt shot from 2 ft (block by J. Henson),,0-2,,
10:52.0,Offensive rebound by E. Kanter,,0-2,,
10:52.0,E. Kanter makes 2-pt shot at rim,2,2-2,,
10:52.0,,,2-2,,Milwaukee full timeout
10:25.0,,,2-2,,T. Snell misses 3-pt shot from 26 ft
10:23.0,Defensive rebound by E. Kanter,,2-2,,
10:14.0,,,2-2,,Personal foul by E. Bledsoe (drawn by E. Mudiay)
10:00.0,T. Hardaway misses 3-pt shot from 27 ft,,2-2,,
9:56.0,,,2-2,,Defensive rebound by J. Henson
9:38.0,,,2-4,2,K. Middleton makes 2-pt shot from 1 ft (assist by T. Snell)
9:29.0,Turnover by F. Ntilikina (bad pass; steal by J. Henson),,2-4,,
9:10.0,,,2-4,,E. Bledsoe misses 2-pt shot from 11 ft
9:06.0,Defensive rebound by T. Hardaway,,2-4,,
9:03.0,T. Hardaway makes 2-pt shot from 1 ft,2,4-4,,
8:43.0,,,4-4,,K. Middleton misses 2-pt shot from 2 ft (block by E. Kanter)
8:40.0,Defensive rebound by L. Thomas,,4-4,,
8:22.0,Turnover by L. Thomas (lost ball; steal by E. Bledsoe),,4-4,,
8:19.0,,,4-6,2,G. Antetokounmpo makes 2-pt shot at rim (assist by E. Bledsoe)
7:53.0,Jump ball: G. Antetokounmpo vs. E. Kanter (J. Henson gains possession),,,,Jump ball: G. Antetokounmpo vs. E. Kanter (J. Henson gains possession)
7:53.0,Turnover by E. Kanter (turnover; steal by G. Antetokounmpo),,4-6,,
7:44.0,,,4-6,,Shooting foul by L. Thomas (drawn by G. Antetokounmpo)
7:44.0,,,4-7,1,G. Antetokounmpo makes free throw 1 of 2
7:44.0,,,4-7,,G. Antetokounmpo misses free throw 2 of 2
7:40.0,Defensive rebound by T. Hardaway,,4-7,,
7:32.0,E. Mudiay misses 3-pt shot from 26 ft,,4-7,,
7:28.0,,,4-7,,Defensive rebound by J. Henson
7:11.0,,,4-7,,K. Middleton misses 2-pt shot from 12 ft
7:08.0,Defensive rebound by F. Ntilikina,,4-7,,
7:05.0,L. Thomas makes 3-pt shot from 27 ft (assist by F. Ntilikina),3,7-7,,
6:40.0,,,7-10,3,E. Bledsoe makes 3-pt shot from 23 ft (assist by J. Henson)
6:24.0,T. Hardaway misses 3-pt shot from 27 ft,,7-10,,
