time,LA Lakers,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. B. Lopez (L. Ball gains possession),,,,Jump ball: T. Chandler vs. B. Lopez (L. Ball gains possession)
11:40.0,L. Ball misses 2-pt shot from 12 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by T. Ulis
11:24.0,,,0-0,,T. Ulis misses 3-pt shot from 26 ft
11:21.0,Defensive rebound by K. Kuzma,,0-0,,
11:01.0,B. Lopez misses 3-pt shot from 25 ft,,0-0,,
10:58.0,,,0-0,,Defensive rebound by T. Warren
10:37.0,,,0-3,3,D. Booker makes 3-pt shot from 25 ft
10:22.0,K. Kuzma misses 2-pt shot from 7 ft (block by M. Chriss),,0-3,,
10:22.0,Offensive rebound by Team,,0-3,,
10:17.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,0-3,,
10:14.0,,,0-3,,Defensive rebound by D. Booker
10:03.0,,,0-5,2,T. Warren makes 2-pt shot from 18 ft (assist by M. Chriss)
9:47.0,Turnover by K. Caldwell-Pope (bad pass),,0-5,,
9:36.0,,,0-7,2,D. Booker makes 2-pt shot from 18 ft (assist by T. Ulis)
9:24.0,Turnover by B. Lopez (lost ball; steal by T. Ulis),,0-7,,
9:20.0,,,0-7,,Turnover by T. Ulis (bad pass; steal by K. Caldwell-Pope)
9:13.0,L. Ball misses 2-pt shot from 13 ft,,0-7,,
9:09.0,,,0-7,,Defensive rebound by T. Warren
9:04.0,,,0-7,,T. Warren misses 2-pt shot at rim
9:03.0,,,0-7,,Offensive rebound by T. Warren
9:03.0,,,0-9,2,T. Warren makes 2-pt shot at rim
9:03.0,LA Lakers full timeout,,0-9,,
8:46.0,B. Lopez makes 2-pt shot from 10 ft (assist by K. Kuzma),2,2-9,,
8:21.0,,,2-9,,Turnover by T. Ulis (bad pass; steal by L. Ball)
8:14.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,2-9,,
