time,Sacramento,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. W. Cauley-Stein (L. Babbitt gains possession),,,,Jump ball: D. Dedmon vs. W. Cauley-Stein (L. Babbitt gains possession)
11:46.0,,,0-3,3,L. Babbitt makes 3-pt shot from 25 ft (assist by D. Dedmon)
11:22.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by T. Waller-Prince),,0-3,,
11:18.0,,,0-3,,Defensive rebound by D. Dedmon
11:11.0,Personal block foul by B. Bogdanovic (drawn by K. Bazemore),,0-3,,
11:05.0,,,0-5,2,D. Schroder makes 2-pt shot from 1 ft
10:47.0,G. Temple misses 2-pt shot from 18 ft,,0-5,,
10:46.0,,,0-5,,Defensive rebound by Team
10:32.0,,,0-5,,Offensive foul by D. Schroder (drawn by Z. Randolph)
10:32.0,,,0-5,,Turnover by D. Schroder (offensive foul)
10:13.0,Z. Randolph misses 2-pt shot from 20 ft,,0-5,,
10:10.0,,,0-5,,Defensive rebound by D. Dedmon
10:06.0,,,0-7,2,D. Dedmon makes 2-pt shot from 2 ft (assist by K. Bazemore)
9:42.0,G. Hill misses 3-pt shot from 25 ft,,0-7,,
9:37.0,,,0-7,,Defensive rebound by T. Waller-Prince
9:22.0,,,0-9,2,T. Waller-Prince makes 2-pt shot at rim (assist by D. Dedmon)
9:18.0,Sacramento full timeout,,0-9,,
9:08.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by G. Temple),3,3-9,,
8:49.0,,,3-12,3,D. Dedmon makes 3-pt shot from 23 ft (assist by T. Waller-Prince)
8:27.0,G. Temple misses 3-pt shot from 23 ft,,3-12,,
8:24.0,,,3-12,,Defensive rebound by T. Waller-Prince
8:12.0,,,3-14,2,L. Babbitt makes 2-pt shot from 4 ft (assist by D. Schroder)
8:05.0,G. Temple misses 2-pt shot from 2 ft (block by D. Dedmon),,3-14,,
8:05.0,Offensive rebound by Team,,3-14,,
8:03.0,W. Cauley-Stein makes 2-pt shot from 19 ft (assist by Z. Randolph),2,5-14,,
7:42.0,,,5-16,2,D. Dedmon makes 2-pt shot from 1 ft (assist by D. Schroder)
7:26.0,G. Temple misses 3-pt shot from 23 ft,,5-16,,
7:23.0,,,5-16,,Defensive rebound by D. Dedmon
7:12.0,,,5-18,2,L. Babbitt makes 2-pt shot from 22 ft (assist by D. Schroder)
6:49.0,Z. Randolph makes 2-pt shot from 1 ft,2,7-18,,
6:31.0,,,7-18,,L. Babbitt misses 3-pt shot from 24 ft
6:28.0,Defensive rebound by B. Bogdanovic,,7-18,,
6:26.0,,,7-18,,Violation by T. Waller-Prince (kicked ball)
6:14.0,G. Hill misses 3-pt shot from 24 ft,,7-18,,
6:12.0,Offensive rebound by W. Cauley-Stein,,7-18,,
6:12.0,,,7-18,,Personal foul by K. Bazemore (drawn by W. Cauley-Stein)
6:12.0,,,7-18,,E. Ilyasova enters the game for L. Babbitt
6:01.0,W. Cauley-Stein misses 2-pt shot from 16 ft,,7-18,,
5:57.0,,,7-18,,Defensive rebound by T. Waller-Prince
5:47.0,Personal foul by G. Hill (drawn by D. Schroder),,7-18,,
5:35.0,,,7-18,,D. Schroder misses 2-pt shot from 1 ft
5:32.0,Defensive rebound by Z. Randolph,,7-18,,
5:31.0,G. Hill makes 2-pt shot from 4 ft,2,9-18,,
5:31.0,Shooting foul by K. Bazemore (drawn by G. Hill),,9-18,,
5:31.0,,,9-18,,J. Collins enters the game for D. Dedmon
5:31.0,,,9-18,,M. Belinelli enters the game for K. Bazemore
5:31.0,G. Hill makes free throw 1 of 1,1,10-18,,
5:14.0,,,10-20,2,D. Schroder makes 2-pt shot from 2 ft (assist by M. Belinelli)
4:55.0,B. Bogdanovic misses 3-pt shot from 25 ft,,10-20,,
4:51.0,,,10-20,,Defensive rebound by E. Ilyasova
4:39.0,,,10-20,,Turnover by J. Collins (lost ball; steal by G. Temple)
4:30.0,Shooting foul by J. Collins (drawn by W. Cauley-Stein),,10-20,,
4:30.0,W. Cauley-Stein makes free throw 1 of 2,1,11-20,,
4:30.0,,,11-20,,M. Delaney enters the game for T. Waller-Prince
4:30.0,J. Jackson enters the game for Z. Randolph,,11-20,,
4:30.0,W. Cauley-Stein makes free throw 2 of 2,1,12-20,,
4:16.0,,,12-20,,M. Belinelli misses 2-pt shot from 22 ft
4:12.0,Defensive rebound by J. Jackson,,12-20,,
4:01.0,W. Cauley-Stein misses 2-pt shot from 9 ft,,12-20,,
3:57.0,,,12-20,,Defensive rebound by E. Ilyasova
3:48.0,,,12-20,,Shooting foul by G. Temple (drawn by E. Ilyasova)
3:48.0,,,12-21,1,E. Ilyasova makes free throw 1 of 2
3:48.0,,,12-21,,I. Taylor enters the game for D. Schroder
3:48.0,M. Richardson enters the game for B. Bogdanovic,,12-21,,
3:48.0,,,12-21,,E. Ilyasova misses free throw 2 of 2
3:44.0,Defensive rebound by W. Cauley-Stein,,12-21,,
3:27.0,G. Hill misses 2-pt shot from 10 ft,,12-21,,
3:23.0,,,12-21,,Defensive rebound by E. Ilyasova
3:12.0,,,12-21,,Offensive foul by M. Delaney (drawn by G. Hill)
3:12.0,,,12-21,,Turnover by M. Delaney (offensive foul)
3:12.0,K. Koufos enters the game for W. Cauley-Stein,,12-21,,
2:59.0,,,12-21,,Violation by I. Taylor (kicked ball)
2:59.0,,,12-21,,Atlanta full timeout
2:46.0,Shooting foul by J. Collins (drawn by M. Richardson),,12-21,,
2:46.0,M. Richardson misses free throw 1 of 2,,12-21,,
2:46.0,Offensive rebound by Team,,12-21,,
2:46.0,B. Hield enters the game for G. Hill,,12-21,,
2:46.0,D. Fox enters the game for G. Temple,,12-21,,
2:46.0,M. Richardson makes free throw 2 of 2,1,13-21,,
2:33.0,,,13-21,,I. Taylor misses 3-pt shot from 25 ft
2:30.0,Defensive rebound by M. Richardson,,13-21,,
2:22.0,M. Richardson misses 3-pt shot from 25 ft,,13-21,,
2:18.0,,,13-21,,Defensive rebound by J. Collins
2:09.0,,,13-21,,M. Delaney misses 2-pt shot from 2 ft (block by B. Hield)
2:05.0,Defensive rebound by K. Koufos,,13-21,,
2:03.0,B. Hield misses 2-pt shot from 16 ft,,13-21,,
2:03.0,,,13-21,,Defensive rebound by M. Belinelli
1:42.0,,,13-21,,E. Ilyasova misses 2-pt shot from 6 ft
1:42.0,,,13-21,,Offensive rebound by Team
1:41.0,,,13-21,,T. Cavanaugh enters the game for E. Ilyasova
1:39.0,,,13-21,,Turnover by Team (shot clock)
1:39.0,,,13-21,,L. Babbitt enters the game for J. Collins
1:27.0,D. Fox misses 2-pt shot from 19 ft,,13-21,,
1:25.0,,,13-21,,Defensive rebound by M. Belinelli
1:25.0,Personal foul by B. Hield (drawn by M. Belinelli),,13-21,,
1:08.0,,,13-24,3,M. Delaney makes 3-pt shot from 26 ft (assist by I. Taylor)
0:54.0,J. Jackson misses 3-pt shot from 23 ft,,13-24,,
0:53.0,Offensive rebound by Team,,13-24,,
0:53.0,,,13-24,,Loose ball foul by T. Cavanaugh (drawn by K. Koufos)
0:53.0,K. Koufos makes free throw 1 of 2,1,14-24,,
0:53.0,K. Koufos misses free throw 2 of 2,,14-24,,
0:51.0,,,14-24,,Defensive rebound by T. Cavanaugh
0:35.0,,,14-24,,M. Belinelli misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by Team,,14-24,,
0:24.0,K. Koufos makes 2-pt shot from 1 ft (assist by M. Richardson),2,16-24,,
0:06.0,,,16-24,,M. Delaney misses 3-pt shot from 25 ft
0:02.0,,,16-24,,Offensive rebound by T. Cavanaugh
0:00.0,,,16-24,,M. Belinelli misses 3-pt shot from 22 ft
0:00.0,Defensive rebound by J. Jackson,,16-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,J. Jackson makes 3-pt shot from 22 ft (assist by B. Hield),3,19-24,,
11:21.0,,,19-24,,Turnover by I. Taylor (out of bounds lost ball)
11:12.0,Turnover by J. Jackson (bad pass; steal by M. Delaney),,19-24,,
11:07.0,,,19-26,2,M. Delaney makes 2-pt shot from 1 ft
10:50.0,M. Richardson misses 2-pt shot from 1 ft,,19-26,,
