time,Oklahoma City,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. S. Adams (R. Westbrook gains possession),,,,Jump ball: W. Cauley-Stein vs. S. Adams (R. Westbrook gains possession)
11:43.0,C. Anthony misses 3-pt shot from 24 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by W. Cauley-Stein
11:25.0,,,0-0,,B. Bogdanovic misses 2-pt shot from 18 ft (block by A. Roberson)
11:20.0,Defensive rebound by R. Westbrook,,0-0,,
11:16.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,2-0,,
10:53.0,,,2-0,,Z. Randolph misses 2-pt shot from 21 ft
10:50.0,Defensive rebound by R. Westbrook,,2-0,,
10:47.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,4-0,,
10:28.0,,,4-0,,Z. Randolph misses 3-pt shot from 25 ft
10:24.0,Defensive rebound by R. Westbrook,,4-0,,
10:21.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,6-0,,
9:55.0,,,6-0,,B. Bogdanovic misses 2-pt shot from 6 ft
9:53.0,Defensive rebound by P. George,,6-0,,
9:48.0,Turnover by R. Westbrook (traveling),,6-0,,
9:40.0,,,6-0,,Turnover by G. Hill (lost ball; steal by S. Adams)
9:36.0,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook),2,8-0,,
9:35.0,,,8-0,,Sacramento full timeout
9:20.0,,,8-0,,G. Hill misses 3-pt shot from 22 ft
9:16.0,,,8-0,,Offensive rebound by W. Cauley-Stein
9:15.0,,,8-0,,W. Cauley-Stein misses 2-pt shot from 1 ft
9:13.0,Defensive rebound by R. Westbrook,,8-0,,
9:01.0,Turnover by S. Adams (lost ball; steal by W. Cauley-Stein),,8-0,,
8:48.0,,,8-0,,Turnover by Z. Randolph (lost ball; steal by R. Westbrook)
8:43.0,R. Westbrook misses 2-pt shot from 20 ft,,8-0,,
8:43.0,,,8-0,,Defensive rebound by Z. Randolph
8:35.0,,,8-0,,G. Temple misses 2-pt shot from 21 ft
8:32.0,Defensive rebound by S. Adams,,8-0,,
8:16.0,P. George misses 2-pt shot from 19 ft,,8-0,,
8:12.0,,,8-0,,Defensive rebound by G. Hill
7:56.0,,,8-0,,G. Temple misses 3-pt shot from 24 ft
7:53.0,Defensive rebound by C. Anthony,,8-0,,
7:47.0,C. Anthony misses 3-pt shot from 24 ft,,8-0,,
7:45.0,,,8-0,,Defensive rebound by W. Cauley-Stein
7:37.0,,,8-0,,W. Cauley-Stein misses 2-pt shot from 21 ft
7:34.0,Defensive rebound by R. Westbrook,,8-0,,
7:32.0,,,8-0,,Personal foul by W. Cauley-Stein (drawn by S. Adams)
7:24.0,C. Anthony makes 2-pt shot at rim (assist by A. Roberson),2,10-0,,
7:03.0,,,10-0,,B. Bogdanovic misses 2-pt shot from 4 ft (block by S. Adams)
7:00.0,Defensive rebound by C. Anthony,,10-0,,
6:56.0,C. Anthony misses 3-pt shot from 25 ft,,10-0,,
6:52.0,,,10-0,,Defensive rebound by G. Hill
6:45.0,,,10-0,,B. Bogdanovic misses 3-pt shot from 25 ft
6:43.0,Defensive rebound by Team,,10-0,,
6:43.0,,,10-0,,D. Fox enters the game for W. Cauley-Stein
6:43.0,,,10-0,,J. Jackson enters the game for G. Hill
6:32.0,A. Roberson misses 2-pt shot from 1 ft (block by B. Bogdanovic),,10-0,,
6:32.0,,,10-0,,Defensive rebound by Z. Randolph
6:22.0,,,10-3,3,J. Jackson makes 3-pt shot from 25 ft (assist by G. Temple)
6:14.0,Turnover by R. Westbrook (bad pass),,10-3,,
