time,Detroit,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Drummond (R. Jackson gains possession),,,,Jump ball: M. Gortat vs. A. Drummond (R. Jackson gains possession)
11:41.0,A. Bradley makes 3-pt shot from 25 ft (assist by A. Drummond),3,3-0,,
11:24.0,,,3-2,2,T. Frazier makes 2-pt shot from 21 ft (assist by M. Morris)
11:07.0,T. Harris makes 3-pt shot from 28 ft (assist by A. Drummond),3,6-2,,
10:54.0,Personal foul by A. Drummond (drawn by M. Gortat),,6-2,,
10:47.0,,,6-2,,B. Beal misses 3-pt shot from 24 ft
10:44.0,Defensive rebound by A. Drummond,,6-2,,
10:25.0,T. Harris misses 2-pt shot from 20 ft,,6-2,,
10:22.0,,,6-2,,Defensive rebound by O. Porter
10:10.0,,,6-4,2,M. Morris makes 2-pt shot from 10 ft
9:48.0,A. Bradley misses 3-pt shot from 25 ft,,6-4,,
9:44.0,,,6-4,,Defensive rebound by T. Frazier
9:39.0,,,6-6,2,M. Gortat makes 2-pt shot from 1 ft (assist by O. Porter)
9:24.0,T. Harris makes 2-pt shot from 3 ft,2,8-6,,
9:05.0,,,8-8,2,M. Morris makes 2-pt shot from 10 ft (assist by T. Frazier)
8:52.0,R. Jackson makes 2-pt shot from 1 ft (assist by A. Drummond),2,10-8,,
8:36.0,,,10-8,,Turnover by B. Beal (bad pass; steal by A. Bradley)
8:35.0,Shooting foul by B. Beal (drawn by A. Drummond),,10-8,,
8:35.0,A. Drummond misses free throw 1 of 2,,10-8,,
8:35.0,Offensive rebound by Team,,10-8,,
8:35.0,A. Drummond makes free throw 2 of 2,1,11-8,,
8:28.0,Personal foul by R. Jackson (drawn by M. Morris),,11-8,,
8:13.0,,,11-8,,O. Porter misses 3-pt shot from 25 ft
8:09.0,,,11-8,,Offensive rebound by B. Beal
8:07.0,,,11-10,2,B. Beal makes 2-pt shot from 12 ft
7:52.0,Turnover by A. Bradley (lost ball; steal by T. Frazier),,11-10,,
