time,Denver,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:57.0,Jump ball: N. Vucevic vs. M. Plumlee (E. Payton gains possession),,,,Jump ball: N. Vucevic vs. M. Plumlee (E. Payton gains possession)
11:41.0,,,0-2,2,N. Vucevic makes 2-pt shot from 8 ft
11:23.0,W. Barton makes 2-pt shot from 9 ft,2,2-2,,
11:07.0,,,2-2,,A. Gordon misses 2-pt shot from 15 ft
11:04.0,Defensive rebound by W. Barton,,2-2,,
10:50.0,J. Murray misses 3-pt shot from 25 ft,,2-2,,
10:46.0,,,2-2,,Defensive rebound by J. Simmons
10:34.0,,,2-2,,A. Gordon misses 2-pt shot from 3 ft (block by M. Plumlee)
10:34.0,,,2-2,,Offensive rebound by A. Gordon
10:28.0,,,2-2,,Shooting foul by G. Harris (drawn by E. Payton)
10:28.0,,,2-3,1,E. Payton makes free throw 1 of 2
10:28.0,,,2-4,1,E. Payton makes free throw 2 of 2
10:18.0,Turnover by G. Harris (bad pass),,2-4,,
9:56.0,Jump ball: E. Payton vs. J. Murray (N. Vucevic gains possession),,,,Jump ball: E. Payton vs. J. Murray (N. Vucevic gains possession)
9:54.0,,,2-4,,A. Gordon misses 3-pt shot from 25 ft
9:52.0,,,2-4,,Offensive rebound by A. Afflalo
9:50.0,,,2-4,,A. Afflalo misses 2-pt shot from 18 ft
9:46.0,Defensive rebound by M. Plumlee,,2-4,,
9:42.0,Turnover by W. Barton (lost ball; steal by E. Payton),,2-4,,
9:36.0,,,2-4,,Shooting foul by J. Murray (drawn by A. Afflalo)
9:36.0,,,2-5,1,A. Afflalo makes free throw 1 of 2
9:36.0,,,2-6,1,A. Afflalo makes free throw 2 of 2
9:18.0,J. Murray makes 2-pt shot from 10 ft (assist by M. Plumlee),2,4-6,,
9:05.0,,,4-8,2,J. Simmons makes 2-pt shot from 13 ft (assist by E. Payton)
8:55.0,Shooting foul by J. Simmons (drawn by W. Barton),,4-8,,
8:55.0,W. Barton misses free throw 1 of 2,,4-8,,
8:55.0,Offensive rebound by Team,,4-8,,
8:55.0,W. Barton makes free throw 2 of 2,1,5-8,,
8:38.0,,,5-8,,A. Gordon misses 3-pt shot from 24 ft
8:34.0,Defensive rebound by G. Harris,,5-8,,
8:26.0,W. Barton misses 3-pt shot from 25 ft,,5-8,,
8:22.0,,,5-8,,Defensive rebound by N. Vucevic
8:18.0,,,5-8,,A. Gordon misses 2-pt shot from 20 ft
8:15.0,Defensive rebound by M. Plumlee,,5-8,,
