time,Utah,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. R. Gobert (D. Favors gains possession),,,,Jump ball: A. Horford vs. R. Gobert (D. Favors gains possession)
11:36.0,R. Rubio makes 2-pt shot from 18 ft (assist by D. Mitchell),2,2-0,,
11:17.0,,,2-3,3,A. Horford makes 3-pt shot from 26 ft (assist by K. Irving)
11:07.0,R. Gobert misses 2-pt shot at rim (block by A. Baynes),,2-3,,
11:04.0,,,2-3,,Defensive rebound by A. Horford
11:01.0,,,2-3,,J. Brown misses 3-pt shot from 23 ft
11:01.0,Defensive rebound by R. Gobert,,2-3,,
10:37.0,D. Mitchell misses 3-pt shot from 26 ft,,2-3,,
10:33.0,,,2-3,,Defensive rebound by J. Tatum
10:26.0,,,2-3,,A. Baynes misses 2-pt shot from 19 ft
10:23.0,Defensive rebound by J. Ingles,,2-3,,
10:14.0,D. Favors misses 2-pt shot from 3 ft,,2-3,,
10:11.0,Offensive rebound by D. Favors,,2-3,,
10:11.0,D. Favors misses 2-pt shot from 3 ft (block by A. Baynes),,2-3,,
10:11.0,Offensive rebound by Team,,2-3,,
10:11.0,,,2-3,,Personal foul by A. Horford (drawn by D. Favors)
10:11.0,Utah full timeout,,2-3,,
10:11.0,J. Jerebko enters the game for R. Gobert,,2-3,,
10:04.0,D. Mitchell misses 2-pt shot from 1 ft,,2-3,,
10:02.0,,,2-3,,Defensive rebound by J. Brown
9:52.0,,,2-3,,Turnover by J. Brown (bad pass; steal by J. Jerebko)
9:48.0,J. Jerebko makes 2-pt shot at rim,2,4-3,,
9:34.0,,,4-3,,J. Tatum misses 3-pt shot from 27 ft
9:32.0,Defensive rebound by D. Favors,,4-3,,
9:27.0,,,4-3,,Personal foul by J. Brown (drawn by D. Mitchell)
9:21.0,D. Mitchell misses 2-pt shot from 15 ft (block by J. Brown),,4-3,,
9:17.0,,,4-3,,Defensive rebound by J. Tatum
9:10.0,,,4-5,2,K. Irving makes 2-pt shot from 1 ft (assist by A. Horford)
8:55.0,Turnover by R. Rubio (bad pass),,4-5,,
8:42.0,,,4-5,,J. Brown misses 3-pt shot from 25 ft
8:39.0,Defensive rebound by J. Jerebko,,4-5,,
8:31.0,J. Jerebko makes 3-pt shot from 25 ft (assist by R. Rubio),3,7-5,,
8:16.0,,,7-7,2,A. Baynes makes 2-pt shot from 1 ft (assist by A. Horford)
7:54.0,J. Ingles makes 3-pt shot from 25 ft (assist by D. Mitchell),3,10-7,,
7:42.0,,,10-10,3,A. Horford makes 3-pt shot from 25 ft (assist by K. Irving)
7:20.0,D. Mitchell misses 2-pt shot from 5 ft,,10-10,,
7:17.0,Offensive rebound by D. Favors,,10-10,,
7:15.0,R. Rubio misses 3-pt shot from 24 ft,,10-10,,
7:12.0,,,10-10,,Defensive rebound by J. Brown
6:58.0,,,10-12,2,A. Horford makes 2-pt shot from 6 ft
6:40.0,Turnover by J. Ingles (bad pass; steal by J. Brown),,10-12,,
6:28.0,,,10-12,,Turnover by J. Tatum (bad pass; steal by J. Jerebko)
6:18.0,D. Favors misses 2-pt shot from 8 ft,,10-12,,
6:16.0,,,10-12,,Defensive rebound by J. Brown
6:09.0,,,10-12,,K. Irving misses 2-pt shot from 2 ft
6:07.0,Defensive rebound by J. Ingles,,10-12,,
6:02.0,D. Favors makes 2-pt shot at rim (assist by R. Rubio),2,12-12,,
5:46.0,Personal foul by R. Rubio (drawn by K. Irving),,12-12,,
5:46.0,,,12-12,,S. Ojeleye enters the game for A. Baynes
5:46.0,R. Hood enters the game for R. Rubio,,12-12,,
5:46.0,,,12-12,,M. Smart enters the game for J. Tatum
5:39.0,,,12-14,2,A. Horford makes 2-pt shot from 8 ft
