time,Philadelphia,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. J. Embiid (D. Saric gains possession),,,,Jump ball: H. Whiteside vs. J. Embiid (D. Saric gains possession)
11:42.0,J. Redick misses 3-pt shot from 22 ft,,0-0,,
11:37.0,Offensive rebound by D. Saric,,0-0,,
11:34.0,D. Saric makes 2-pt shot at rim,2,2-0,,
11:22.0,,,2-0,,Turnover by H. Whiteside (lost ball; steal by B. Simmons)
11:15.0,J. Embiid makes 2-pt shot at rim (assist by R. Covington),2,4-0,,
11:03.0,,,4-2,2,J. Johnson makes 2-pt shot at rim (assist by J. Richardson)
10:54.0,B. Simmons misses 2-pt shot from 2 ft,,4-2,,
10:51.0,,,4-2,,Defensive rebound by J. Johnson
10:49.0,,,4-2,,Shooting foul by J. Embiid (drawn by G. Dragic)
10:49.0,,,4-2,,G. Dragic misses free throw 1 of 2
10:49.0,,,4-2,,Offensive rebound by Team
10:49.0,,,4-2,,G. Dragic misses free throw 2 of 2
10:45.0,Defensive rebound by D. Saric,,4-2,,
10:37.0,D. Saric misses 2-pt shot from 20 ft,,4-2,,
10:33.0,,,4-2,,Defensive rebound by H. Whiteside
10:30.0,,,4-2,,G. Dragic misses 2-pt shot from 1 ft
10:24.0,,,4-2,,Offensive rebound by J. Johnson
10:24.0,,,4-4,2,J. Johnson makes 2-pt shot at rim
10:22.0,Turnover by B. Simmons (bad pass; steal by J. Richardson),,4-4,,
10:18.0,,,4-6,2,G. Dragic makes 2-pt shot from 1 ft (assist by J. Richardson)
10:07.0,J. Redick makes 2-pt shot from 11 ft (assist by B. Simmons),2,6-6,,
9:51.0,,,6-9,3,J. Richardson makes 3-pt shot from 24 ft (assist by J. Johnson)
9:31.0,,,6-9,,Personal foul by J. Richardson (drawn by J. Embiid)
9:27.0,R. Covington makes 2-pt shot at rim (assist by J. Redick),2,8-9,,
8:59.0,,,8-9,,J. Richardson misses 3-pt shot from 26 ft
8:57.0,Defensive rebound by B. Simmons,,8-9,,
8:53.0,J. Redick misses 3-pt shot from 25 ft,,8-9,,
8:50.0,,,8-9,,Defensive rebound by J. Johnson
8:42.0,,,8-9,,G. Dragic misses 2-pt shot from 5 ft
8:40.0,,,8-9,,Offensive rebound by J. Richardson
8:36.0,,,8-11,2,J. Richardson makes 2-pt shot from 15 ft
8:29.0,J. Embiid misses 3-pt shot from 25 ft,,8-11,,
8:22.0,,,8-11,,Defensive rebound by H. Whiteside
8:19.0,,,8-11,,Turnover by H. Whiteside (bad pass; steal by B. Simmons)
8:12.0,J. Embiid makes 2-pt shot from 9 ft,2,10-11,,
8:12.0,Shooting foul by H. Whiteside (drawn by J. Embiid),,10-11,,
8:12.0,J. Embiid misses free throw 1 of 1,,10-11,,
8:12.0,,,10-11,,Defensive rebound by H. Whiteside
8:04.0,,,10-11,,J. Richardson misses 2-pt shot from 1 ft
8:01.0,Defensive rebound by B. Simmons,,10-11,,
7:57.0,D. Saric makes 2-pt shot at rim (assist by B. Simmons),2,12-11,,
7:41.0,,,12-11,,G. Dragic misses 3-pt shot from 25 ft
7:37.0,Defensive rebound by R. Covington,,12-11,,
7:24.0,Turnover by J. Embiid (lost ball; steal by J. Richardson),,12-11,,
7:22.0,,,12-11,,Shooting foul by D. Saric (drawn by J. Richardson)
7:22.0,,,12-12,1,J. Richardson makes free throw 1 of 2
7:22.0,,,12-12,,J. Winslow enters the game for T. Johnson
7:22.0,A. Johnson enters the game for J. Embiid,,12-12,,
7:22.0,,,12-12,,J. Richardson misses free throw 2 of 2
7:19.0,Defensive rebound by B. Simmons,,12-12,,
7:13.0,A. Johnson makes 2-pt shot from 1 ft (assist by B. Simmons),2,14-12,,
6:57.0,Personal foul by R. Covington (drawn by J. Richardson),,14-12,,
6:57.0,,,14-12,,Miami full timeout
6:57.0,,,14-12,,W. Ellington enters the game for J. Richardson
6:57.0,M. Belinelli enters the game for J. Redick,,14-12,,
6:44.0,,,14-12,,J. Winslow misses 3-pt shot from 23 ft
6:41.0,Defensive rebound by R. Covington,,14-12,,
6:23.0,M. Belinelli misses 2-pt shot from 8 ft,,14-12,,
6:21.0,Offensive rebound by A. Johnson,,14-12,,
6:20.0,A. Johnson misses 2-pt shot at rim,,14-12,,
6:19.0,Offensive rebound by D. Saric,,14-12,,
6:18.0,D. Saric misses 2-pt shot at rim,,14-12,,
6:17.0,Offensive rebound by D. Saric,,14-12,,
6:15.0,D. Saric misses 2-pt shot from 1 ft,,14-12,,
6:15.0,,,14-12,,Defensive rebound by H. Whiteside
6:13.0,,,14-12,,Offensive charge foul by J. Winslow (drawn by D. Saric)
6:13.0,,,14-12,,Turnover by J. Winslow (offensive foul)
5:57.0,D. Saric makes 3-pt shot from 24 ft (assist by B. Simmons),3,17-12,,
5:42.0,,,17-12,,J. Winslow misses 2-pt shot from 1 ft
5:41.0,,,17-12,,Offensive rebound by Team
5:33.0,,,17-12,,Turnover by J. Johnson (bad pass; steal by A. Johnson)
5:28.0,R. Covington makes 3-pt shot from 23 ft (assist by B. Simmons),3,20-12,,
5:11.0,,,20-15,3,W. Ellington makes 3-pt shot from 23 ft (assist by J. Winslow)
5:11.0,Philadelphia full timeout,,20-15,,
5:11.0,,,20-15,,K. Olynyk enters the game for H. Whiteside
4:52.0,Shooting foul by K. Olynyk (drawn by A. Johnson),,20-15,,
4:52.0,A. Johnson makes free throw 1 of 2,1,21-15,,
4:52.0,A. Johnson makes free throw 2 of 2,1,22-15,,
4:32.0,,,22-15,,Turnover by G. Dragic (bad pass; steal by M. Belinelli)
4:25.0,Turnover by A. Johnson (bad pass; steal by G. Dragic),,22-15,,
4:20.0,,,22-17,2,G. Dragic makes 2-pt shot from 1 ft (assist by W. Ellington)
4:14.0,D. Saric misses 3-pt shot from 26 ft,,22-17,,
4:10.0,Offensive rebound by D. Saric,,22-17,,
4:08.0,R. Covington misses 3-pt shot from 25 ft,,22-17,,
4:05.0,,,22-17,,Defensive rebound by W. Ellington
4:00.0,,,22-17,,W. Ellington misses 3-pt shot from 24 ft
3:57.0,Defensive rebound by B. Simmons,,22-17,,
3:50.0,B. Simmons makes 2-pt shot from 11 ft,2,24-17,,
