time,Oklahoma City,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. S. Adams (C. Anthony gains possession),,,,Jump ball: R. Gobert vs. S. Adams (C. Anthony gains possession)
11:40.0,R. Westbrook misses 2-pt shot from 18 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by R. Rubio
11:23.0,,,0-2,2,D. Mitchell makes 2-pt shot from 3 ft (assist by R. Rubio)
11:06.0,,,0-2,,Personal foul by J. Ingles (drawn by P. George)
10:57.0,R. Westbrook misses 2-pt shot from 3 ft,,0-2,,
10:55.0,,,0-2,,Defensive rebound by D. Mitchell
10:48.0,,,0-2,,Turnover by D. Mitchell (bad pass)
10:32.0,C. Anthony makes 3-pt shot from 22 ft (assist by P. George),3,3-2,,
10:11.0,,,3-2,,J. Ingles misses 3-pt shot from 24 ft
10:06.0,Defensive rebound by C. Brewer,,3-2,,
9:59.0,S. Adams makes 2-pt shot from 9 ft (assist by R. Westbrook),2,5-2,,
9:45.0,,,5-4,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles)
9:25.0,P. George makes 3-pt shot from 24 ft,3,8-4,,
9:09.0,Personal foul by C. Brewer (drawn by R. Gobert),,8-4,,
9:00.0,,,8-6,2,J. Ingles makes 2-pt shot from 1 ft (assist by R. Rubio)
8:54.0,C. Anthony misses 3-pt shot from 25 ft,,8-6,,
8:51.0,,,8-6,,Defensive rebound by Team
8:51.0,Loose ball foul by S. Adams (drawn by R. Gobert),,8-6,,
8:40.0,,,8-8,2,R. Rubio makes 2-pt shot from 18 ft (assist by J. Ingles)
8:23.0,C. Anthony makes 2-pt shot from 17 ft,2,10-8,,
8:07.0,,,10-11,3,J. Ingles makes 3-pt shot from 23 ft (assist by D. Favors)
8:00.0,Turnover by R. Westbrook (bad pass),,10-11,,
8:00.0,,,10-11,,J. Crowder enters the game for J. Ingles
8:00.0,P. Patterson enters the game for S. Adams,,10-11,,
7:41.0,,,10-13,2,R. Rubio makes 2-pt shot from 14 ft (assist by R. Gobert)
7:28.0,P. George misses 3-pt shot from 25 ft,,10-13,,
7:25.0,,,10-13,,Defensive rebound by R. Gobert
7:15.0,,,10-16,3,D. Mitchell makes 3-pt shot from 22 ft (assist by R. Rubio)
7:14.0,Oklahoma City full timeout,,10-16,,
7:00.0,Offensive foul by P. George (drawn by R. Rubio),,10-16,,
7:00.0,Turnover by P. George (offensive foul),,10-16,,
6:44.0,,,10-16,,Turnover by D. Favors (lost ball; steal by C. Anthony)
6:40.0,R. Westbrook misses 2-pt shot from 18 ft,,10-16,,
6:36.0,,,10-16,,Defensive rebound by D. Mitchell
6:20.0,,,10-18,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Rubio)
6:06.0,R. Westbrook makes 2-pt shot from 17 ft,2,12-18,,
5:50.0,,,12-20,2,R. Gobert makes 2-pt shot from 1 ft (assist by D. Favors)
5:39.0,C. Brewer makes 3-pt shot from 22 ft (assist by R. Westbrook),3,15-20,,
5:22.0,,,15-20,,D. Mitchell misses 3-pt shot from 25 ft
5:20.0,Defensive rebound by C. Brewer,,15-20,,
5:16.0,Turnover by C. Brewer (out of bounds lost ball),,15-20,,
5:16.0,,,15-20,,R. O'Neale enters the game for D. Favors
5:01.0,,,15-20,,D. Mitchell misses 3-pt shot from 25 ft
4:59.0,Defensive rebound by R. Westbrook,,15-20,,
4:48.0,R. Westbrook makes 2-pt shot from 2 ft,2,17-20,,
4:30.0,,,17-20,,Turnover by R. Rubio (bad pass; steal by P. George)
4:12.0,P. Patterson makes 3-pt shot from 24 ft (assist by P. George),3,20-20,,
4:00.0,Personal foul by C. Brewer (drawn by D. Mitchell),,20-20,,
3:52.0,,,20-20,,Offensive charge foul by D. Mitchell (drawn by C. Brewer)
3:52.0,,,20-20,,Turnover by D. Mitchell (offensive foul)
3:42.0,P. Patterson makes 3-pt shot from 23 ft (assist by R. Westbrook),3,23-20,,
3:31.0,,,23-20,,Utah full timeout
3:31.0,,,23-20,,D. Exum enters the game for R. Rubio
3:31.0,A. Abrines enters the game for C. Brewer,,23-20,,
3:31.0,S. Adams enters the game for C. Anthony,,23-20,,
3:22.0,,,23-20,,D. Mitchell misses 2-pt shot from 7 ft
3:20.0,Defensive rebound by R. Westbrook,,23-20,,
3:09.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,25-20,,
2:40.0,,,25-20,,R. O'Neale misses 3-pt shot from 27 ft
2:37.0,Defensive rebound by R. Westbrook,,25-20,,
2:32.0,A. Abrines misses 3-pt shot from 23 ft,,25-20,,
2:28.0,,,25-20,,Defensive rebound by D. Exum
2:21.0,,,25-22,2,J. Crowder makes 2-pt shot from 12 ft (assist by R. O'Neale)
1:57.0,R. Westbrook misses 3-pt shot from 23 ft,,25-22,,
1:55.0,,,25-22,,Defensive rebound by D. Mitchell
1:50.0,,,25-22,,D. Mitchell misses 2-pt shot from 2 ft
1:49.0,Defensive rebound by P. Patterson,,25-22,,
1:45.0,Turnover by R. Westbrook (lost ball; steal by R. O'Neale),,25-22,,
1:33.0,,,25-22,,D. Exum misses 2-pt shot from 3 ft
1:32.0,Defensive rebound by S. Adams,,25-22,,
1:28.0,,,25-22,,Personal foul by R. O'Neale (drawn by P. George)
1:28.0,,,25-22,,J. Jerebko enters the game for R. O'Neale
1:28.0,,,25-22,,D. Favors enters the game for R. Gobert
1:28.0,,,25-22,,J. Ingles enters the game for D. Mitchell
1:28.0,R. Felton enters the game for P. George,,25-22,,
1:24.0,,,25-22,,Personal foul by D. Exum (drawn by R. Westbrook)
1:24.0,R. Westbrook makes free throw 1 of 2,1,26-22,,
1:24.0,R. Westbrook makes free throw 2 of 2,1,27-22,,
1:00.0,,,27-22,,J. Ingles misses 3-pt shot from 25 ft
0:57.0,Defensive rebound by P. Patterson,,27-22,,
0:50.0,R. Felton makes 3-pt shot from 22 ft (assist by R. Westbrook),3,30-22,,
0:36.0,,,30-22,,Turnover by D. Exum (out of bounds lost ball)
0:30.0,Turnover by R. Westbrook (bad pass; steal by J. Jerebko),,30-22,,
0:26.0,,,30-22,,Turnover by J. Jerebko (lost ball; steal by P. Patterson)
0:05.0,Turnover by R. Westbrook (bad pass; steal by J. Crowder),,30-22,,
0:02.0,,,30-22,,J. Crowder misses 3-pt shot from 24 ft
0:02.0,Defensive rebound by R. Felton,,30-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,30-24,2,D. Exum makes 2-pt shot from 2 ft
11:32.0,R. Felton makes 3-pt shot from 24 ft,3,33-24,,
11:16.0,Personal foul by S. Adams (drawn by D. Exum),,33-24,,
11:02.0,,,33-26,2,D. Exum makes 2-pt shot from 10 ft
10:41.0,S. Adams makes 2-pt shot from 8 ft,2,35-26,,
10:25.0,Violation by S. Adams (kicked ball),,35-26,,
10:11.0,,,35-26,,D. Exum misses 3-pt shot from 24 ft
10:08.0,,,35-26,,Offensive rebound by J. Jerebko
10:02.0,,,35-28,2,D. Favors makes 2-pt shot from 2 ft (assist by D. Exum)
9:48.0,S. Adams misses 2-pt shot from 8 ft,,35-28,,
9:47.0,Offensive rebound by J. Grant,,35-28,,
9:47.0,Shooting foul by J. Jerebko (drawn by J. Grant),,35-28,,
9:47.0,J. Grant makes free throw 1 of 2,1,36-28,,
9:47.0,,,36-28,,R. Gobert enters the game for J. Jerebko
9:47.0,J. Grant makes free throw 2 of 2,1,37-28,,
9:37.0,,,37-28,,Turnover by D. Exum (bad pass; steal by P. George)
9:34.0,P. George makes 2-pt shot from 1 ft,2,39-28,,
9:20.0,,,39-28,,Shooting foul by S. Adams (drawn by R. Gobert)
9:20.0,,,39-29,1,R. Gobert makes free throw 1 of 2
9:20.0,,,39-29,,R. Rubio enters the game for D. Exum
9:20.0,P. Patterson enters the game for S. Adams,,39-29,,
9:20.0,,,39-29,,R. Gobert misses free throw 2 of 2
9:18.0,,,39-29,,Offensive rebound by Team
9:08.0,,,39-29,,J. Crowder misses 3-pt shot from 25 ft
9:06.0,,,39-29,,Offensive rebound by R. Gobert
8:52.0,,,39-31,2,J. Crowder makes 2-pt shot from 10 ft
8:37.0,Shooting foul by J. Crowder (drawn by P. George),,39-31,,
8:37.0,P. George makes free throw 1 of 2,1,40-31,,
8:37.0,,,40-31,,D. Mitchell enters the game for J. Ingles
8:37.0,,,40-31,,R. O'Neale enters the game for D. Favors
8:37.0,C. Anthony enters the game for R. Felton,,40-31,,
8:37.0,R. Westbrook enters the game for J. Grant,,40-31,,
8:37.0,P. George makes free throw 2 of 2,1,41-31,,
8:15.0,,,41-33,2,D. Mitchell makes 2-pt shot from 3 ft
8:03.0,C. Anthony makes 2-pt shot from 1 ft (assist by R. Westbrook),2,43-33,,
7:59.0,,,43-33,,Utah full timeout
7:59.0,C. Brewer enters the game for P. George,,43-33,,
7:36.0,,,43-33,,R. Rubio misses 3-pt shot from 25 ft
7:34.0,Defensive rebound by C. Brewer,,43-33,,
7:26.0,R. Westbrook makes 2-pt shot from 2 ft,2,45-33,,
7:13.0,,,45-33,,Shooting foul by C. Anthony (drawn by R. Rubio)
7:13.0,,,45-34,1,R. Rubio makes free throw 1 of 2
7:13.0,,,45-34,,D. Favors enters the game for J. Crowder
7:13.0,,,45-34,,R. Rubio misses free throw 2 of 2
7:12.0,Defensive rebound by C. Anthony,,45-34,,
7:01.0,C. Brewer misses 2-pt shot from 3 ft,,45-34,,
7:01.0,,,45-34,,Defensive rebound by D. Mitchell
