time,Miami,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: D. Jordan vs. H. Whiteside (G. Dragic gains possession)
11:44.0,J. Richardson misses 2-pt shot from 17 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by P. Beverley
11:24.0,,,0-0,,P. Beverley misses 2-pt shot from 10 ft
11:17.0,,,0-0,,Offensive rebound by D. Jordan
11:17.0,,,0-2,2,D. Jordan makes 2-pt shot at rim
10:57.0,G. Dragic makes 2-pt shot from 13 ft,2,2-2,,
10:54.0,Personal block foul by O. White (drawn by B. Griffin),,2-2,,
10:43.0,,,2-2,,A. Rivers misses 3-pt shot from 24 ft
10:41.0,Defensive rebound by Team,,2-2,,
10:31.0,J. Winslow makes 2-pt shot from 9 ft (assist by J. Richardson),2,4-2,,
10:18.0,Personal foul by J. Winslow (drawn by D. Gallinari),,4-2,,
10:03.0,,,4-4,2,B. Griffin makes 2-pt shot from 18 ft
9:46.0,J. Winslow misses 2-pt shot from 4 ft (block by A. Rivers),,4-4,,
9:43.0,Offensive rebound by H. Whiteside,,4-4,,
9:43.0,H. Whiteside misses 2-pt shot at rim,,4-4,,
9:42.0,,,4-4,,Defensive rebound by Team
9:33.0,,,4-4,,P. Beverley misses 2-pt shot from 4 ft
9:33.0,,,4-4,,D. Jordan misses 2-pt shot from 1 ft
9:33.0,,,4-4,,Offensive rebound by D. Jordan
9:30.0,,,4-4,,Offensive rebound by D. Jordan
9:30.0,,,4-4,,D. Jordan misses 2-pt shot at rim
9:30.0,Defensive rebound by G. Dragic,,4-4,,
9:30.0,,,4-4,,Personal foul by D. Jordan (drawn by G. Dragic)
9:14.0,H. Whiteside misses 2-pt shot from 10 ft,,4-4,,
9:14.0,,,4-4,,Defensive rebound by B. Griffin
9:00.0,,,4-4,,P. Beverley misses 3-pt shot from 24 ft
9:00.0,Defensive rebound by H. Whiteside,,4-4,,
8:48.0,J. Richardson misses 2-pt shot from 3 ft,,4-4,,
8:48.0,Offensive rebound by H. Whiteside,,4-4,,
8:42.0,H. Whiteside makes 2-pt shot at rim,2,6-4,,
8:32.0,,,6-6,2,D. Gallinari makes 2-pt shot from 1 ft (assist by D. Jordan)
8:08.0,O. White misses 3-pt shot from 23 ft,,6-6,,
8:05.0,,,6-6,,Defensive rebound by A. Rivers
7:51.0,,,6-6,,P. Beverley misses 3-pt shot from 24 ft
7:50.0,,,6-6,,Offensive rebound by Team
7:50.0,Loose ball foul by G. Dragic (drawn by D. Jordan),,6-6,,
7:36.0,,,6-6,,Turnover by B. Griffin (bad pass; steal by H. Whiteside)
7:28.0,G. Dragic makes 3-pt shot from 25 ft,3,9-6,,
7:20.0,,,9-6,,Shooting foul by J. Winslow (drawn by D. Gallinari)
7:20.0,,,9-7,1,D. Gallinari makes free throw 1 of 2
7:20.0,,,9-8,1,D. Gallinari makes free throw 2 of 2
7:13.0,,,9-8,,Personal foul by P. Beverley (drawn by G. Dragic)
7:11.0,,,9-8,,Personal foul by P. Beverley (drawn by G. Dragic)
7:11.0,,,9-8,,L. Williams enters the game for P. Beverley
7:04.0,J. Richardson makes 2-pt shot from 10 ft (assist by G. Dragic),2,11-8,,
6:50.0,,,11-10,2,A. Rivers makes 2-pt shot from 3 ft
6:38.0,G. Dragic makes 3-pt shot from 24 ft,3,14-10,,
6:19.0,Personal foul by J. Richardson (drawn by D. Gallinari),,14-10,,
6:19.0,,,14-10,,LA Clippers full timeout
6:19.0,T. Johnson enters the game for J. Winslow,,14-10,,
6:19.0,,,14-11,1,D. Gallinari makes free throw 1 of 2
6:19.0,,,14-12,1,D. Gallinari makes free throw 2 of 2
6:08.0,G. Dragic misses 3-pt shot from 26 ft,,14-12,,
6:04.0,,,14-12,,Defensive rebound by D. Jordan
5:54.0,,,14-12,,B. Griffin misses 2-pt shot from 2 ft
5:50.0,Defensive rebound by H. Whiteside,,14-12,,
5:41.0,H. Whiteside makes 2-pt shot from 18 ft (assist by O. White),2,16-12,,
5:22.0,,,16-12,,D. Gallinari misses 2-pt shot from 8 ft
5:20.0,,,16-12,,Offensive rebound by D. Gallinari
5:20.0,,,16-12,,D. Gallinari misses 2-pt shot at rim
5:20.0,Defensive rebound by Team,,16-12,,
5:20.0,,,16-12,,Loose ball foul by D. Gallinari (drawn by H. Whiteside)
5:20.0,,,16-12,,W. Johnson enters the game for D. Gallinari
