time,Atlanta,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. M. Plumlee (T. Waller-Prince gains possession),,,,Jump ball: D. Howard vs. M. Plumlee (T. Waller-Prince gains possession)
11:41.0,Turnover by K. Bazemore (lost ball; steal by M. Kidd-Gilchrist),,0-0,,
11:36.0,,,0-2,2,M. Kidd-Gilchrist makes 2-pt shot at rim
11:28.0,Shooting foul by N. Batum (drawn by T. Waller-Prince),,0-2,,
11:28.0,T. Waller-Prince makes free throw 1 of 2,1,1-2,,
11:28.0,T. Waller-Prince makes free throw 2 of 2,1,2-2,,
11:15.0,,,2-4,2,M. Kidd-Gilchrist makes 2-pt shot from 13 ft (assist by N. Batum)
11:02.0,K. Bazemore makes 2-pt shot from 4 ft (assist by E. Ilyasova),2,4-4,,
11:02.0,Shooting foul by M. Kidd-Gilchrist (drawn by K. Bazemore),,4-4,,
11:02.0,K. Bazemore makes free throw 1 of 1,1,5-4,,
10:46.0,,,5-6,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by N. Batum)
10:36.0,D. Schroder misses 2-pt shot from 12 ft,,5-6,,
10:32.0,,,5-6,,Defensive rebound by N. Batum
10:25.0,,,5-8,2,M. Williams makes 2-pt shot from 10 ft (assist by K. Walker)
10:05.0,D. Schroder makes 2-pt shot from 14 ft,2,7-8,,
9:44.0,,,7-11,3,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum)
9:29.0,T. Waller-Prince misses 2-pt shot from 2 ft (block by D. Howard),,7-11,,
9:29.0,Offensive rebound by Team,,7-11,,
9:24.0,T. Waller-Prince makes 2-pt shot from 2 ft (assist by K. Bazemore),2,9-11,,
9:06.0,Personal foul by M. Plumlee (drawn by D. Howard),,9-11,,
8:54.0,,,9-11,,K. Walker misses 2-pt shot from 18 ft
8:51.0,Defensive rebound by T. Waller-Prince,,9-11,,
8:38.0,Turnover by D. Schroder (bad pass; steal by N. Batum),,9-11,,
8:33.0,,,9-11,,K. Walker misses 3-pt shot from 26 ft
8:30.0,Defensive rebound by M. Plumlee,,9-11,,
8:09.0,D. Schroder misses 2-pt shot from 6 ft,,9-11,,
8:06.0,,,9-11,,Defensive rebound by D. Howard
7:51.0,,,9-11,,Shooting foul by M. Plumlee (drawn by D. Howard)
7:51.0,,,9-12,1,D. Howard makes free throw 1 of 2
7:51.0,,,9-13,1,D. Howard makes free throw 2 of 2
7:32.0,M. Plumlee makes 2-pt shot from 2 ft (assist by K. Bazemore),2,11-13,,
7:18.0,,,11-13,,D. Howard misses 2-pt shot from 2 ft (block by M. Plumlee)
7:15.0,,,11-13,,Offensive rebound by M. Kidd-Gilchrist
7:06.0,,,11-13,,K. Walker misses 2-pt shot from 4 ft
7:04.0,Defensive rebound by D. Schroder,,11-13,,
7:00.0,D. Schroder misses 2-pt shot from 1 ft,,11-13,,
7:00.0,,,11-13,,Defensive rebound by Team
7:00.0,D. Dedmon enters the game for M. Plumlee,,11-13,,
6:45.0,,,11-13,,Turnover by K. Walker (bad pass; steal by E. Ilyasova)
6:41.0,E. Ilyasova makes 2-pt shot from 2 ft,2,13-13,,
6:28.0,,,13-13,,Charlotte full timeout
6:28.0,M. Belinelli enters the game for T. Waller-Prince,,13-13,,
6:21.0,,,13-15,2,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by K. Walker)
6:03.0,E. Ilyasova misses 3-pt shot from 26 ft,,13-15,,
6:00.0,,,13-15,,Defensive rebound by M. Williams
5:56.0,,,13-18,3,M. Williams makes 3-pt shot from 26 ft (assist by N. Batum)
5:43.0,M. Belinelli misses 3-pt shot from 27 ft,,13-18,,
5:41.0,,,13-18,,Defensive rebound by M. Williams
5:37.0,,,13-20,2,N. Batum makes 2-pt shot at rim (assist by M. Williams)
5:23.0,Turnover by D. Dedmon (bad pass),,13-20,,
5:08.0,,,13-20,,M. Kidd-Gilchrist misses 2-pt shot from 19 ft
5:05.0,Defensive rebound by D. Dedmon,,13-20,,
4:51.0,,,13-20,,Personal foul by M. Williams (drawn by K. Bazemore)
4:51.0,T. Waller-Prince enters the game for E. Ilyasova,,13-20,,
4:51.0,J. Collins enters the game for K. Bazemore,,13-20,,
4:43.0,D. Schroder makes 2-pt shot from 3 ft,2,15-20,,
4:32.0,,,15-22,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum)
4:22.0,T. Waller-Prince makes 3-pt shot from 25 ft,3,18-22,,
4:08.0,,,18-22,,Shooting foul by T. Waller-Prince (drawn by N. Batum)
4:08.0,,,18-23,1,N. Batum makes free throw 1 of 2
4:08.0,,,18-23,,F. Kaminsky enters the game for M. Williams
4:08.0,,,18-23,,J. Lamb enters the game for M. Kidd-Gilchrist
4:08.0,,,18-24,1,N. Batum makes free throw 2 of 2
3:58.0,D. Schroder misses 2-pt shot from 6 ft (block by D. Howard),,18-24,,
3:55.0,,,18-24,,Defensive rebound by K. Walker
3:50.0,,,18-26,2,K. Walker makes 2-pt shot from 18 ft
3:30.0,T. Waller-Prince misses 2-pt shot from 16 ft,,18-26,,
3:27.0,,,18-26,,Defensive rebound by N. Batum
3:10.0,,,18-26,,N. Batum misses 3-pt shot from 22 ft
3:07.0,Defensive rebound by D. Schroder,,18-26,,
3:04.0,Atlanta full timeout,,18-26,,
3:04.0,,,18-26,,M. Carter-Williams enters the game for K. Walker
3:04.0,M. Delaney enters the game for D. Schroder,,18-26,,
2:56.0,M. Belinelli makes 2-pt shot from 12 ft (assist by M. Delaney),2,20-26,,
2:40.0,,,20-26,,Turnover by N. Batum (bad pass; steal by J. Collins)
2:34.0,T. Waller-Prince makes 2-pt shot from 1 ft,2,22-26,,
2:12.0,,,22-26,,F. Kaminsky misses 3-pt shot from 25 ft
2:09.0,Defensive rebound by M. Belinelli,,22-26,,
2:01.0,M. Belinelli misses 2-pt shot from 13 ft,,22-26,,
1:58.0,,,22-26,,Defensive rebound by D. Howard
1:49.0,,,22-26,,N. Batum misses 3-pt shot from 26 ft
1:47.0,,,22-26,,Offensive rebound by D. Howard
1:47.0,,,22-26,,Shooting foul by M. Delaney (drawn by D. Howard)
1:47.0,,,22-27,1,D. Howard makes free throw 1 of 2
1:47.0,,,22-27,,T. Graham enters the game for N. Batum
1:47.0,,,22-27,,D. Howard misses free throw 2 of 2
1:42.0,Defensive rebound by D. Dedmon,,22-27,,
1:28.0,T. Waller-Prince misses 2-pt shot from 9 ft,,22-27,,
1:25.0,,,22-27,,Defensive rebound by M. Carter-Williams
1:22.0,,,22-27,,F. Kaminsky misses 3-pt shot from 25 ft
1:18.0,Defensive rebound by D. Dedmon,,22-27,,
1:10.0,M. Belinelli makes 3-pt shot from 25 ft (assist by M. Delaney),3,25-27,,
1:03.0,,,25-27,,Charlotte full timeout
1:03.0,,,25-27,,J. O'Bryant enters the game for D. Howard
0:55.0,,,25-30,3,J. O'Bryant makes 3-pt shot from 25 ft (assist by J. Lamb)
0:44.0,D. Dedmon misses 2-pt shot from 12 ft,,25-30,,
0:41.0,,,25-30,,Defensive rebound by F. Kaminsky
0:28.0,,,25-30,,F. Kaminsky misses 2-pt shot from 3 ft
0:25.0,Defensive rebound by T. Waller-Prince,,25-30,,
0:23.0,,,25-30,,Shooting block foul by T. Graham (drawn by T. Waller-Prince)
0:23.0,T. Waller-Prince makes free throw 1 of 2,1,26-30,,
0:23.0,T. Waller-Prince misses free throw 2 of 2,,26-30,,
0:22.0,,,26-30,,Defensive rebound by Team
0:02.0,,,26-30,,J. Lamb misses 3-pt shot from 26 ft
0:02.0,Defensive rebound by M. Delaney,,26-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,26-30,,T. Graham misses 2-pt shot from 10 ft
11:40.0,Defensive rebound by Team,,26-30,,
11:40.0,,,26-30,,Loose ball foul by J. O'Bryant (drawn by M. Muscala)
11:21.0,J. Collins makes 3-pt shot from 23 ft (assist by M. Delaney),3,29-30,,
11:09.0,,,29-30,,Shooting foul by T. Dorsey (drawn by J. Lamb)
11:09.0,,,29-31,1,J. Lamb makes free throw 1 of 2
11:09.0,,,29-32,1,J. Lamb makes free throw 2 of 2
10:58.0,T. Dorsey makes 3-pt shot from 26 ft (assist by M. Muscala),3,32-32,,
10:43.0,,,32-35,3,F. Kaminsky makes 3-pt shot from 23 ft (assist by M. Carter-Williams)
