time,Orlando,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Love vs. N. Vucevic (E. Fournier gains possession),,,,Jump ball: K. Love vs. N. Vucevic (E. Fournier gains possession)
11:49.0,N. Vucevic makes 2-pt shot at rim (assist by T. Ross),2,2-0,,
11:33.0,,,2-0,,K. Love misses 2-pt shot from 17 ft
11:30.0,Defensive rebound by N. Vucevic,,2-0,,
11:23.0,N. Vucevic makes 3-pt shot from 25 ft (assist by D. Augustin),3,5-0,,
11:05.0,,,5-0,,K. Love misses 2-pt shot from 4 ft
11:02.0,Defensive rebound by D. Augustin,,5-0,,
10:57.0,E. Fournier makes 3-pt shot from 23 ft (assist by D. Augustin),3,8-0,,
10:36.0,,,8-0,,J. Calderon misses 3-pt shot from 26 ft
10:33.0,Defensive rebound by N. Vucevic,,8-0,,
10:15.0,T. Ross misses 3-pt shot from 25 ft,,8-0,,
10:11.0,,,8-0,,Defensive rebound by K. Love
9:59.0,,,8-2,2,L. James makes 2-pt shot at rim
9:40.0,N. Vucevic makes 2-pt shot from 1 ft (assist by E. Fournier),2,10-2,,
9:27.0,Personal foul by J. Isaac (drawn by K. Love),,10-2,,
9:21.0,,,10-2,,L. James misses 2-pt shot at rim
9:19.0,Defensive rebound by T. Ross,,10-2,,
9:12.0,T. Ross makes 2-pt shot from 19 ft (assist by N. Vucevic),2,12-2,,
8:57.0,,,12-2,,J. Calderon misses 2-pt shot from 16 ft
8:54.0,Defensive rebound by D. Augustin,,12-2,,
8:38.0,J. Isaac misses 2-pt shot from 14 ft,,12-2,,
8:35.0,,,12-2,,Defensive rebound by K. Love
8:29.0,,,12-2,,J. Crowder misses 2-pt shot from 23 ft
8:29.0,,,12-2,,Offensive rebound by Team
8:21.0,,,12-2,,Turnover by J. Calderon (bad pass; steal by N. Vucevic)
8:08.0,T. Ross misses 3-pt shot from 26 ft,,12-2,,
8:06.0,,,12-2,,Defensive rebound by K. Love
8:02.0,,,12-2,,D. Wade misses 2-pt shot from 1 ft (block by N. Vucevic)
8:02.0,,,12-2,,Offensive rebound by D. Wade
8:01.0,,,12-4,2,D. Wade makes 2-pt shot from 1 ft
7:40.0,T. Ross misses 2-pt shot from 20 ft,,12-4,,
7:38.0,,,12-4,,Defensive rebound by L. James
7:27.0,,,12-4,,D. Wade misses 2-pt shot from 16 ft
7:25.0,Defensive rebound by J. Isaac,,12-4,,
7:19.0,E. Fournier makes 3-pt shot from 21 ft (assist by D. Augustin),3,15-4,,
7:18.0,,,15-4,,Cleveland full timeout
6:56.0,,,15-4,,D. Wade misses 2-pt shot from 8 ft
6:53.0,Defensive rebound by N. Vucevic,,15-4,,
6:49.0,E. Fournier misses 2-pt shot from 5 ft (block by J. Crowder),,15-4,,
6:49.0,,,15-4,,Defensive rebound by Team
6:49.0,,,15-4,,K. Korver enters the game for D. Wade
6:49.0,,,15-4,,J. Smith enters the game for J. Calderon
6:34.0,,,15-4,,K. Love misses 2-pt shot from 23 ft
6:31.0,Defensive rebound by J. Isaac,,15-4,,
6:17.0,J. Isaac misses 2-pt shot from 11 ft,,15-4,,
6:14.0,,,15-4,,Defensive rebound by K. Love
6:03.0,,,15-4,,K. Love misses 3-pt shot from 25 ft
6:03.0,Defensive rebound by Team,,15-4,,
6:02.0,,,15-4,,Loose ball foul by J. Crowder (drawn by J. Isaac)
5:49.0,D. Augustin makes 3-pt shot from 22 ft (assist by E. Fournier),3,18-4,,
5:37.0,,,18-4,,Turnover by J. Smith (bad pass; steal by D. Augustin)
5:27.0,D. Augustin misses 3-pt shot from 23 ft,,18-4,,
