time,Chicago,pts.away,score,pts.home,Cleveland
0:45.0,Defensive rebound by D. Nwaba,,36-24,,
0:41.0,K. Felder misses 3-pt shot from 26 ft,,36-24,,
0:36.0,,,36-24,,Defensive rebound by J. Green
0:36.0,,,36-24,,Shooting foul by Q. Pondexter (drawn by J. Green)
0:36.0,,,36-25,1,J. Green makes free throw 1 of 2
0:36.0,,,36-26,1,J. Green makes free throw 2 of 2
0:24.0,Q. Pondexter makes 2-pt shot from 1 ft (assist by K. Felder),2,38-26,,
0:07.0,,,38-28,2,D. Wade makes 2-pt shot from 10 ft
0:00.0,Q. Pondexter misses 2-pt shot from 16 ft,,38-28,,
0:00.0,,,38-28,,Defensive rebound by D. Wade
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,38-30,2,J. Green makes 2-pt shot from 2 ft (assist by D. Wade)
11:23.0,Q. Pondexter misses 3-pt shot from 25 ft,,38-30,,
11:20.0,,,38-30,,Defensive rebound by D. Wade
11:14.0,,,38-32,2,D. Wade makes 2-pt shot from 18 ft
10:57.0,K. Felder makes 3-pt shot from 24 ft,3,41-32,,
10:39.0,Personal foul by C. Felicio (drawn by D. Wade),,41-32,,
10:31.0,,,41-34,2,K. Korver makes 2-pt shot at rim (assist by J. Green)
10:16.0,C. Felicio misses 2-pt shot from 8 ft,,41-34,,
10:12.0,,,41-34,,Defensive rebound by D. Wade
10:07.0,,,41-34,,I. Shumpert misses 3-pt shot from 25 ft
10:01.0,Defensive rebound by K. Felder,,41-34,,
9:58.0,D. Nwaba misses 2-pt shot from 1 ft,,41-34,,
9:58.0,,,41-34,,Defensive rebound by Team
9:49.0,,,41-36,2,C. Frye makes 2-pt shot at rim (assist by D. Wade)
9:49.0,,,41-36,,Shooting foul by D. Valentine (drawn by C. Frye)
9:49.0,L. Markkanen enters the game for C. Felicio,,41-36,,
9:49.0,,,41-37,1,C. Frye makes free throw 1 of 1
9:34.0,K. Felder makes 3-pt shot from 22 ft (assist by Q. Pondexter),3,44-37,,
9:21.0,,,44-40,3,J. Green makes 3-pt shot from 26 ft (assist by I. Shumpert)
9:07.0,D. Valentine makes 3-pt shot from 23 ft (assist by K. Felder),3,47-40,,
8:54.0,,,47-42,2,C. Frye makes 2-pt shot from 1 ft (assist by K. Korver)
8:42.0,K. Felder misses 3-pt shot from 28 ft,,47-42,,
8:40.0,Offensive rebound by Q. Pondexter,,47-42,,
8:40.0,Shooting foul by J. Green (drawn by Q. Pondexter),,47-42,,
8:40.0,Q. Pondexter makes free throw 1 of 2,1,48-42,,
8:40.0,,,48-42,,L. James enters the game for C. Frye
8:40.0,P. Zipser enters the game for D. Nwaba,,48-42,,
8:40.0,Q. Pondexter makes free throw 2 of 2,1,49-42,,
8:34.0,,,49-42,,Offensive charge foul by D. Wade (drawn by K. Felder)
8:34.0,,,49-42,,Turnover by D. Wade (offensive foul)
8:34.0,C. Felicio enters the game for Q. Pondexter,,49-42,,
8:11.0,K. Felder misses 2-pt shot at rim,,49-42,,
8:08.0,,,49-42,,Defensive rebound by K. Korver
8:00.0,,,49-44,2,J. Green makes 2-pt shot from 13 ft
7:36.0,C. Felicio misses 2-pt shot from 4 ft (block by K. Korver),,49-44,,
7:36.0,Offensive rebound by Team,,49-44,,
7:36.0,J. Grant enters the game for K. Felder,,49-44,,
7:34.0,D. Valentine misses 2-pt shot from 15 ft,,49-44,,
7:30.0,,,49-44,,Defensive rebound by I. Shumpert
7:14.0,,,49-44,,L. James misses 2-pt shot from 22 ft
7:11.0,Defensive rebound by D. Valentine,,49-44,,
6:57.0,P. Zipser misses 2-pt shot from 19 ft,,49-44,,
6:53.0,,,49-44,,Defensive rebound by K. Korver
6:41.0,,,49-44,,I. Shumpert misses 3-pt shot from 23 ft
6:38.0,Defensive rebound by L. Markkanen,,49-44,,
6:17.0,J. Grant misses 2-pt shot at rim,,49-44,,
6:16.0,Offensive rebound by Team,,49-44,,
6:16.0,Turnover by Team (shot clock),,49-44,,
6:16.0,,,49-44,,Cleveland full timeout
6:16.0,,,49-44,,J. Smith enters the game for I. Shumpert
6:16.0,,,49-44,,K. Love enters the game for J. Green
6:16.0,R. Lopez enters the game for C. Felicio,,49-44,,
6:16.0,J. Holiday enters the game for D. Valentine,,49-44,,
6:07.0,,,49-46,2,L. James makes 2-pt shot from 2 ft (assist by D. Wade)
6:07.0,,,49-46,,Shooting foul by J. Grant (drawn by L. James)
6:07.0,,,49-47,1,L. James makes free throw 1 of 1
5:47.0,L. Markkanen makes 3-pt shot from 22 ft (assist by P. Zipser),3,52-47,,
5:28.0,,,52-49,2,D. Wade makes 2-pt shot at rim (assist by K. Love)
5:15.0,P. Zipser makes 3-pt shot from 26 ft (assist by J. Holiday),3,55-49,,
4:51.0,,,55-49,,K. Love misses 2-pt shot from 19 ft
4:48.0,Defensive rebound by P. Zipser,,55-49,,
4:32.0,J. Holiday misses 2-pt shot from 3 ft,,55-49,,
4:28.0,Offensive rebound by L. Markkanen,,55-49,,
4:26.0,L. Markkanen misses 2-pt shot from 2 ft,,55-49,,
4:21.0,,,55-49,,Defensive rebound by K. Love
4:19.0,,,55-49,,K. Korver misses 3-pt shot from 26 ft
4:13.0,Defensive rebound by J. Grant,,55-49,,
4:12.0,R. Lopez makes 2-pt shot at rim (assist by J. Grant),2,57-49,,
3:53.0,,,57-51,2,L. James makes 2-pt shot from 1 ft (assist by J. Smith)
3:33.0,J. Holiday makes 2-pt shot from 12 ft (assist by P. Zipser),2,59-51,,
3:23.0,,,59-54,3,K. Korver makes 3-pt shot from 26 ft (assist by L. James)
3:09.0,L. Markkanen makes 3-pt shot from 24 ft (assist by P. Zipser),3,62-54,,
2:52.0,,,62-54,,J. Smith misses 3-pt shot from 25 ft
2:49.0,Defensive rebound by P. Zipser,,62-54,,
2:41.0,Turnover by R. Lopez (turnover),,62-54,,
2:41.0,Chicago full timeout,,62-54,,
2:41.0,,,62-54,,T. Thompson enters the game for D. Wade
2:41.0,,,62-54,,J. Crowder enters the game for K. Korver
2:29.0,,,62-57,3,L. James makes 3-pt shot from 25 ft (assist by J. Smith)
2:06.0,J. Holiday makes 3-pt shot from 25 ft,3,65-57,,
1:35.0,,,65-57,,J. Crowder misses 3-pt shot from 26 ft
1:34.0,,,65-57,,Offensive rebound by Team
1:34.0,K. Felder enters the game for J. Grant,,65-57,,
1:26.0,,,65-57,,T. Thompson misses 2-pt shot from 1 ft (block by J. Holiday)
1:20.0,,,65-57,,Offensive rebound by K. Love
1:19.0,,,65-59,2,K. Love makes 2-pt shot from 11 ft
1:00.0,K. Felder makes 2-pt shot from 15 ft,2,67-59,,
0:45.0,,,67-62,3,K. Love makes 3-pt shot from 23 ft (assist by L. James)
0:27.0,Shooting foul by T. Thompson (drawn by K. Felder),,67-62,,
0:27.0,K. Felder misses free throw 1 of 2,,67-62,,
0:27.0,Offensive rebound by Team,,67-62,,
0:27.0,,,67-62,,K. Korver enters the game for T. Thompson
0:27.0,D. Nwaba enters the game for R. Lopez,,67-62,,
0:27.0,K. Felder makes free throw 2 of 2,1,68-62,,
0:05.0,,,68-65,3,L. James makes 3-pt shot from 26 ft
0:00.0,P. Zipser misses 2-pt shot from 22 ft,,68-65,,
0:00.0,,,68-65,,Defensive rebound by K. Love
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,,,68-65,,Offensive foul by J. Smith (drawn by L. Markkanen)
11:52.0,,,68-65,,Turnover by J. Smith (offensive foul)
11:42.0,Shooting foul by J. Crowder (drawn by J. Holiday),,68-65,,
11:42.0,J. Holiday misses free throw 1 of 3,,68-65,,
11:42.0,Offensive rebound by Team,,68-65,,
11:42.0,J. Holiday makes free throw 2 of 3,1,69-65,,
11:42.0,J. Holiday makes free throw 3 of 3,1,70-65,,
11:30.0,Personal foul by J. Grant (drawn by T. Thompson),,70-65,,
11:20.0,,,70-65,,K. Love misses 2-pt shot from 11 ft
11:10.0,,,70-65,,Offensive rebound by T. Thompson
11:10.0,,,70-67,2,T. Thompson makes 2-pt shot at rim
11:10.0,,,70-67,,Personal foul by K. Love (drawn by L. Markkanen)
11:08.0,L. Markkanen misses 3-pt shot from 28 ft,,70-67,,
11:04.0,,,70-67,,Defensive rebound by T. Thompson
10:57.0,,,70-67,,L. James misses 3-pt shot from 26 ft
10:54.0,Defensive rebound by P. Zipser,,70-67,,
10:39.0,P. Zipser misses 3-pt shot from 29 ft,,70-67,,
10:36.0,,,70-67,,Defensive rebound by J. Crowder
10:30.0,,,70-69,2,L. James makes 2-pt shot at rim
10:11.0,L. Markkanen misses 2-pt shot from 1 ft,,70-69,,
10:06.0,Offensive rebound by L. Markkanen,,70-69,,
10:04.0,L. Markkanen makes 2-pt shot from 1 ft,2,72-69,,
9:47.0,,,72-69,,J. Smith misses 2-pt shot from 20 ft
9:41.0,,,72-69,,Offensive rebound by T. Thompson
9:33.0,,,72-72,3,J. Crowder makes 3-pt shot from 23 ft (assist by L. James)
9:11.0,R. Lopez misses 2-pt shot from 10 ft,,72-72,,
9:05.0,,,72-72,,Defensive rebound by T. Thompson
8:57.0,,,72-72,,J. Smith misses 3-pt shot from 24 ft
8:52.0,,,72-72,,Offensive rebound by J. Smith
8:50.0,,,72-74,2,T. Thompson makes 2-pt shot from 1 ft (assist by J. Smith)
8:50.0,Chicago full timeout,,72-74,,
8:50.0,,,72-74,,J. Green enters the game for K. Love
8:50.0,D. Nwaba enters the game for P. Zipser,,72-74,,
8:30.0,Turnover by L. Markkanen (bad pass; steal by L. James),,72-74,,
8:23.0,,,72-77,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
7:59.0,Turnover by Team (shot clock),,72-77,,
7:49.0,,,72-77,,Shooting foul by R. Lopez (drawn by J. Green)
7:49.0,,,72-78,1,J. Green makes free throw 1 of 2
7:49.0,,,72-79,1,J. Green makes free throw 2 of 2
7:25.0,Turnover by Team (shot clock),,72-79,,
7:14.0,Personal foul by D. Nwaba (drawn by J. Green),,72-79,,
7:00.0,,,72-81,2,L. James makes 2-pt shot from 22 ft
6:52.0,J. Grant makes 2-pt shot from 1 ft,2,74-81,,
6:52.0,Shooting foul by L. James (drawn by J. Grant),,74-81,,
6:52.0,J. Grant makes free throw 1 of 1,1,75-81,,
6:43.0,Personal foul by D. Nwaba (drawn by L. James),,75-81,,
6:32.0,,,75-84,3,J. Crowder makes 3-pt shot from 23 ft (assist by L. James)
6:18.0,J. Holiday makes 3-pt shot from 23 ft (assist by J. Grant),3,78-84,,
6:00.0,,,78-84,,J. Crowder misses 3-pt shot from 25 ft
5:56.0,Defensive rebound by L. Markkanen,,78-84,,
5:43.0,Turnover by D. Nwaba (bad pass; steal by J. Smith),,78-84,,
5:29.0,,,78-84,,D. Wade enters the game for L. James
5:29.0,D. Valentine enters the game for D. Nwaba,,78-84,,
5:23.0,,,78-86,2,D. Wade makes 2-pt shot from 15 ft
5:10.0,R. Lopez makes 2-pt shot from 3 ft (assist by J. Grant),2,80-86,,
4:57.0,Personal foul by J. Holiday (drawn by T. Thompson),,80-86,,
4:57.0,,,80-87,1,T. Thompson makes free throw 1 of 2
4:57.0,Q. Pondexter enters the game for L. Markkanen,,80-87,,
4:57.0,,,80-87,,T. Thompson misses free throw 2 of 2
4:54.0,Defensive rebound by J. Grant,,80-87,,
4:46.0,J. Holiday misses 3-pt shot from 26 ft,,80-87,,
4:42.0,,,80-87,,Defensive rebound by T. Thompson
4:34.0,,,80-87,,J. Smith misses 3-pt shot from 26 ft
4:30.0,Defensive rebound by D. Valentine,,80-87,,
4:08.0,D. Valentine misses 3-pt shot from 31 ft,,80-87,,
4:04.0,,,80-87,,Defensive rebound by T. Thompson
3:55.0,,,80-87,,Shooting foul by J. Holiday (drawn by D. Wade)
3:55.0,,,80-87,,D. Wade misses free throw 1 of 2
3:55.0,,,80-87,,Offensive rebound by Team
3:55.0,,,80-87,,I. Shumpert enters the game for J. Smith
3:55.0,,,80-87,,K. Korver enters the game for J. Crowder
3:55.0,K. Felder enters the game for J. Grant,,80-87,,
3:55.0,,,80-88,1,D. Wade makes free throw 2 of 2
3:38.0,J. Holiday makes 3-pt shot from 24 ft (assist by Q. Pondexter),3,83-88,,
3:21.0,,,83-88,,D. Wade misses 2-pt shot from 1 ft
3:17.0,Defensive rebound by D. Valentine,,83-88,,
3:14.0,J. Holiday misses 3-pt shot from 24 ft,,83-88,,
3:10.0,,,83-88,,Defensive rebound by T. Thompson
3:05.0,,,83-88,,Turnover by I. Shumpert (bad pass; steal by J. Holiday)
3:01.0,J. Holiday makes 2-pt shot at rim,2,85-88,,
3:01.0,,,85-88,,Cleveland full timeout
2:46.0,Personal foul by Q. Pondexter (drawn by J. Green),,85-88,,
2:46.0,,,85-88,,J. Green misses free throw 1 of 2
