time,Philadelphia,pts.away,score,pts.home,Washington
2:33.0,J. Redick makes 3-pt shot from 24 ft (assist by T. Booker),3,22-21,,
2:16.0,,,22-24,3,K. Oubre makes 3-pt shot from 24 ft (assist by T. Frazier)
1:55.0,J. Redick misses 2-pt shot from 17 ft,,22-24,,
1:52.0,,,22-24,,Defensive rebound by T. Frazier
1:49.0,,,22-24,,Turnover by T. Frazier (lost ball; steal by A. Johnson)
1:45.0,A. Johnson makes 2-pt shot from 5 ft (assist by J. Redick),2,24-24,,
1:45.0,Shooting foul by T. Frazier (drawn by A. Johnson),,24-24,,
1:45.0,,,24-24,,J. Meeks enters the game for B. Beal
1:45.0,A. Johnson makes free throw 1 of 1,1,25-24,,
1:32.0,,,25-24,,M. Scott misses 2-pt shot from 18 ft
1:29.0,Defensive rebound by T. McConnell,,25-24,,
1:20.0,T. Booker makes 2-pt shot from 2 ft (assist by T. McConnell),2,27-24,,
1:03.0,,,27-26,2,J. Meeks makes 2-pt shot from 8 ft (assist by M. Scott)
0:52.0,,,27-26,,Personal foul by I. Mahinmi (drawn by A. Johnson)
0:52.0,A. Johnson makes free throw 1 of 2,1,28-26,,
0:52.0,A. Johnson misses free throw 2 of 2,,28-26,,
0:51.0,,,28-26,,Defensive rebound by M. Scott
0:41.0,,,28-28,2,M. Scott makes 2-pt shot from 1 ft (assist by K. Oubre)
0:35.0,T. McConnell misses 2-pt shot from 4 ft,,28-28,,
0:33.0,,,28-28,,Defensive rebound by I. Mahinmi
0:21.0,,,28-30,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by J. Meeks)
0:01.0,A. Johnson misses 2-pt shot from 3 ft,,28-30,,
0:01.0,Offensive rebound by T. Booker,,28-30,,
0:00.0,T. Booker misses 2-pt shot from 3 ft,,28-30,,
0:00.0,Offensive rebound by Team,,28-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,28-32,2,K. Oubre makes 2-pt shot from 16 ft
11:27.0,,,28-32,,Personal foul by T. Frazier (drawn by T. McConnell)
11:13.0,R. Covington misses 3-pt shot from 31 ft (block by K. Oubre),,28-32,,
11:12.0,Offensive rebound by Team,,28-32,,
11:12.0,Turnover by Team (shot clock),,28-32,,
10:57.0,,,28-32,,I. Mahinmi misses 2-pt shot from 11 ft (block by J. Embiid)
10:54.0,Defensive rebound by J. Embiid,,28-32,,
10:49.0,Turnover by T. McConnell (palming),,28-32,,
10:49.0,Personal foul by T. Booker (drawn by M. Scott),,28-32,,
10:35.0,,,28-32,,K. Oubre misses 3-pt shot from 26 ft
10:32.0,,,28-32,,Offensive rebound by I. Mahinmi
10:26.0,,,28-34,2,M. Scott makes 2-pt shot from 11 ft (assist by T. Frazier)
10:12.0,T. McConnell misses 2-pt shot from 15 ft,,28-34,,
10:09.0,,,28-34,,Defensive rebound by M. Scott
10:05.0,,,28-34,,M. Scott misses 3-pt shot from 26 ft
10:01.0,Defensive rebound by J. Redick,,28-34,,
9:57.0,J. Redick misses 3-pt shot from 25 ft,,28-34,,
9:54.0,,,28-34,,Defensive rebound by J. Meeks
