time,Philadelphia,pts.away,score,pts.home,Washington
6:13.0,,,86-97,,K. Oubre misses 2-pt shot from 17 ft
6:12.0,Defensive rebound by Team,,86-97,,
6:00.0,,,86-97,,Personal foul by K. Oubre (drawn by B. Simmons)
6:00.0,J. Embiid enters the game for R. Holmes,,86-97,,
5:46.0,D. Saric makes 3-pt shot from 26 ft (assist by B. Simmons),3,89-97,,
5:18.0,,,89-100,3,B. Beal makes 3-pt shot from 26 ft (assist by K. Oubre)
4:54.0,Turnover by J. Embiid (bad pass; steal by K. Oubre),,89-100,,
4:50.0,,,89-100,,M. Morris misses 2-pt shot from 1 ft
4:47.0,,,89-100,,Offensive rebound by O. Porter
4:43.0,,,89-100,,Washington full timeout
4:43.0,,,89-100,,Offensive foul by M. Morris (drawn by J. Embiid)
4:43.0,,,89-100,,Turnover by M. Morris (offensive foul)
4:32.0,Offensive foul by J. Embiid (drawn by B. Beal),,89-100,,
4:32.0,Turnover by J. Embiid (offensive foul),,89-100,,
4:14.0,,,89-100,,O. Porter misses 3-pt shot from 27 ft
4:09.0,Defensive rebound by B. Simmons,,89-100,,
4:06.0,M. Belinelli misses 3-pt shot from 25 ft,,89-100,,
4:03.0,Offensive rebound by D. Saric,,89-100,,
3:48.0,J. Embiid makes 2-pt shot at rim,2,91-100,,
3:48.0,Shooting foul by M. Gortat (drawn by J. Embiid),,91-100,,
3:48.0,J. Redick enters the game for M. Belinelli,,91-100,,
3:48.0,J. Embiid makes free throw 1 of 1,1,92-100,,
3:33.0,,,92-100,,T. Satoransky enters the game for K. Oubre
3:33.0,Technical foul by J. Redick (drawn by T. Satoransky),,92-100,,
3:33.0,,,92-103,1,B. Beal makes free throw 1 of 1
3:24.0,,,92-103,2,B. Beal makes 2-pt shot from 13 ft
3:02.0,J. Embiid misses 2-pt shot from 19 ft,,92-103,,
3:02.0,,,92-103,,Defensive rebound by O. Porter
2:53.0,,,92-105,2,M. Gortat makes 2-pt shot from 2 ft (assist by T. Satoransky)
2:53.0,Philadelphia full timeout,,92-105,,
2:42.0,J. Redick misses 3-pt shot from 22 ft,,92-105,,
2:38.0,Offensive rebound by D. Saric,,92-105,,
2:35.0,R. Covington misses 3-pt shot from 25 ft,,92-105,,
2:32.0,Offensive rebound by D. Saric,,92-105,,
2:30.0,D. Saric misses 2-pt shot at rim (block by M. Gortat),,92-105,,
2:27.0,,,92-105,,Defensive rebound by O. Porter
2:02.0,,,92-107,2,O. Porter makes 2-pt shot from 23 ft (assist by M. Gortat)
2:02.0,Philadelphia full timeout,,92-107,,
2:02.0,M. Belinelli enters the game for D. Saric,,92-107,,
2:02.0,T. McConnell enters the game for J. Redick,,92-107,,
2:02.0,R. Holmes enters the game for J. Embiid,,92-107,,
2:02.0,T. Luwawu-Cabarrot enters the game for B. Simmons,,92-107,,
2:02.0,T. Booker enters the game for R. Covington,,92-107,,
1:45.0,,,92-107,,Personal foul by O. Porter (drawn by R. Holmes)
1:45.0,R. Holmes makes free throw 1 of 2,1,93-107,,
1:45.0,R. Holmes makes free throw 2 of 2,1,94-107,,
1:31.0,,,94-107,,Turnover by B. Beal (bad pass)
1:12.0,Turnover by T. McConnell (bad pass; steal by M. Morris),,94-107,,
0:51.0,,,94-109,2,M. Gortat makes 2-pt shot from 11 ft (assist by B. Beal)
0:39.0,R. Holmes misses 2-pt shot at rim,,94-109,,
0:37.0,,,94-109,,Defensive rebound by M. Morris
0:18.0,,,94-109,,M. Morris misses 3-pt shot from 30 ft
0:14.0,,,94-109,,Offensive rebound by M. Gortat
