time,San Antonio,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. McGee vs. L. Aldridge (D. Green gains possession),,,,Jump ball: J. McGee vs. L. Aldridge (D. Green gains possession)
11:50.0,Personal foul by D. Murray (drawn by D. Green),,0-0,,
11:44.0,,,0-2,2,K. Thompson makes 2-pt shot from 11 ft (assist by D. Green)
11:29.0,D. Green misses 3-pt shot from 26 ft,,0-2,,
11:27.0,,,0-2,,Defensive rebound by D. Green
11:17.0,,,0-4,2,J. McGee makes 2-pt shot from 1 ft (assist by A. Iguodala)
11:02.0,D. Murray misses 2-pt shot from 18 ft,,0-4,,
11:00.0,,,0-4,,Defensive rebound by D. Green
10:55.0,,,0-4,,K. Thompson misses 2-pt shot from 15 ft
10:53.0,Defensive rebound by D. Murray,,0-4,,
10:39.0,P. Mills misses 3-pt shot from 26 ft,,0-4,,
10:39.0,,,0-4,,Defensive rebound by D. Green
10:32.0,,,0-4,,J. McGee misses 2-pt shot from 1 ft
10:30.0,,,0-4,,Offensive rebound by D. Green
10:25.0,,,0-7,3,D. Green makes 3-pt shot from 23 ft (assist by A. Iguodala)
10:25.0,San Antonio full timeout,,0-7,,
10:03.0,L. Aldridge misses 3-pt shot from 25 ft,,0-7,,
10:01.0,,,0-7,,Defensive rebound by K. Durant
9:55.0,,,0-7,,K. Durant misses 3-pt shot from 26 ft
9:53.0,Defensive rebound by L. Aldridge,,0-7,,
9:39.0,Turnover by D. Green (bad pass),,0-7,,
9:28.0,,,0-7,,K. Durant misses 2-pt shot from 18 ft
9:24.0,Defensive rebound by D. Murray,,0-7,,
9:08.0,R. Gay misses 2-pt shot from 7 ft,,0-7,,
9:06.0,,,0-7,,Defensive rebound by A. Iguodala
9:01.0,Personal foul by R. Gay (drawn by A. Iguodala),,0-7,,
8:52.0,,,0-9,2,J. McGee makes 2-pt shot from 1 ft (assist by K. Durant)
8:35.0,R. Gay misses 2-pt shot from 6 ft,,0-9,,
8:33.0,Offensive rebound by L. Aldridge,,0-9,,
8:33.0,L. Aldridge makes 2-pt shot at rim,2,2-9,,
8:33.0,Shooting foul by A. Iguodala (drawn by L. Aldridge),,2-9,,
8:33.0,L. Aldridge makes free throw 1 of 1,1,3-9,,
8:11.0,,,3-9,,D. Green misses 3-pt shot from 26 ft
8:08.0,Defensive rebound by Team,,3-9,,
7:53.0,R. Gay makes 2-pt shot from 19 ft,2,5-9,,
7:33.0,Personal foul by P. Mills (drawn by J. McGee),,5-9,,
7:30.0,,,5-9,,K. Thompson misses 2-pt shot from 15 ft
7:28.0,Defensive rebound by L. Aldridge,,5-9,,
7:05.0,P. Mills makes 3-pt shot from 22 ft (assist by L. Aldridge),3,8-9,,
6:45.0,,,8-11,2,K. Thompson makes 2-pt shot from 1 ft (assist by A. Iguodala)
6:31.0,,,8-11,,Personal foul by J. McGee (drawn by L. Aldridge)
6:31.0,M. Ginobili enters the game for D. Green,,8-11,,
6:17.0,R. Gay misses 2-pt shot from 11 ft,,8-11,,
6:14.0,,,8-11,,Defensive rebound by J. McGee
6:04.0,,,8-11,,K. Thompson misses 3-pt shot from 24 ft
6:02.0,Defensive rebound by P. Mills,,8-11,,
5:55.0,P. Mills misses 3-pt shot from 28 ft,,8-11,,
5:53.0,Offensive rebound by R. Gay,,8-11,,
5:53.0,R. Gay makes 2-pt shot at rim,2,10-11,,
5:33.0,,,10-11,,A. Iguodala misses 2-pt shot from 18 ft
5:31.0,Defensive rebound by D. Murray,,10-11,,
5:15.0,L. Aldridge misses 3-pt shot from 26 ft,,10-11,,
5:13.0,,,10-11,,Defensive rebound by J. McGee
