time,Utah,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. R. Gobert (G. Antetokounmpo gains possession),,,,Jump ball: J. Henson vs. R. Gobert (G. Antetokounmpo gains possession)
11:41.0,,,0-0,,K. Middleton misses 3-pt shot from 23 ft
11:38.0,Defensive rebound by R. Rubio,,0-0,,
11:27.0,D. Favors makes 3-pt shot from 23 ft (assist by R. Rubio),3,3-0,,
11:13.0,,,3-0,,E. Bledsoe misses 2-pt shot from 19 ft
11:10.0,Defensive rebound by R. Gobert,,3-0,,
11:03.0,Turnover by D. Mitchell (bad pass),,3-0,,
10:41.0,,,3-2,2,G. Antetokounmpo makes 2-pt shot from 17 ft (assist by J. Henson)
10:17.0,Turnover by D. Favors (offensive goaltending),,3-2,,
10:02.0,,,3-4,2,K. Middleton makes 2-pt shot from 8 ft (assist by G. Antetokounmpo)
9:56.0,Turnover by R. Rubio (bad pass; steal by G. Antetokounmpo),,3-4,,
9:50.0,,,3-4,,G. Antetokounmpo misses 2-pt shot from 1 ft
9:48.0,,,3-4,,Offensive rebound by G. Antetokounmpo
9:44.0,,,3-6,2,G. Antetokounmpo makes 2-pt shot from 1 ft
9:24.0,D. Mitchell misses 2-pt shot from 2 ft (block by J. Henson),,3-6,,
9:21.0,,,3-6,,Defensive rebound by G. Antetokounmpo
9:21.0,,,3-8,2,G. Payton makes 2-pt shot from 1 ft
9:21.0,Utah full timeout,,3-8,,
8:59.0,D. Favors misses 3-pt shot from 22 ft,,3-8,,
8:55.0,,,3-8,,Defensive rebound by E. Bledsoe
8:51.0,,,3-10,2,J. Henson makes 2-pt shot from 19 ft (assist by G. Payton)
8:27.0,D. Favors makes 2-pt shot from 7 ft (assist by R. Rubio),2,5-10,,
8:15.0,,,5-10,,G. Antetokounmpo misses 2-pt shot from 19 ft
8:11.0,Defensive rebound by R. Gobert,,5-10,,
7:52.0,D. Favors misses 2-pt shot from 2 ft (block by J. Henson),,5-10,,
7:50.0,,,5-10,,Defensive rebound by G. Payton
7:50.0,Personal take foul by D. Mitchell (drawn by E. Bledsoe),,5-10,,
7:41.0,,,5-12,2,J. Henson makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
7:20.0,J. Ingles misses 3-pt shot from 26 ft,,5-12,,
7:17.0,,,5-12,,Defensive rebound by E. Bledsoe
7:04.0,,,5-14,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by G. Payton)
6:47.0,D. Mitchell misses 2-pt shot from 14 ft,,5-14,,
6:44.0,,,5-14,,Defensive rebound by J. Henson
6:44.0,,,5-14,,Shooting foul by J. Ingles (drawn by E. Bledsoe)
6:44.0,,,5-15,1,E. Bledsoe makes free throw 1 of 2
6:44.0,J. Jerebko enters the game for D. Favors,,5-15,,
6:44.0,,,5-16,1,E. Bledsoe makes free throw 2 of 2
6:29.0,Turnover by R. Rubio (bad pass; steal by E. Bledsoe),,5-16,,
6:24.0,,,5-16,,E. Bledsoe misses 2-pt shot from 1 ft
6:21.0,Defensive rebound by R. Gobert,,5-16,,
6:15.0,R. Rubio misses 2-pt shot from 3 ft,,5-16,,
6:15.0,,,5-16,,Defensive rebound by G. Antetokounmpo
6:09.0,,,5-18,2,E. Bledsoe makes 2-pt shot at rim (assist by G. Antetokounmpo)
6:09.0,Utah full timeout,,5-18,,
6:09.0,A. Burks enters the game for R. Rubio,,5-18,,
5:47.0,A. Burks makes 3-pt shot from 26 ft (assist by R. Gobert),3,8-18,,
5:29.0,,,8-20,2,E. Bledsoe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
5:11.0,D. Mitchell misses 3-pt shot from 27 ft,,8-20,,
5:07.0,,,8-20,,Defensive rebound by K. Middleton
4:57.0,,,8-22,2,K. Middleton makes 2-pt shot from 12 ft
4:41.0,A. Burks makes 2-pt shot at rim (assist by J. Jerebko),2,10-22,,
4:28.0,,,10-22,,G. Payton misses 2-pt shot at rim
4:28.0,Defensive rebound by Team,,10-22,,
4:28.0,,,10-22,,Personal foul by J. Henson (drawn by R. Gobert)
4:28.0,,,10-22,,T. Maker enters the game for G. Payton
4:28.0,,,10-22,,R. Vaughn enters the game for J. Henson
4:28.0,D. Favors enters the game for R. Gobert,,10-22,,
4:06.0,D. Mitchell misses 3-pt shot from 25 ft,,10-22,,
4:01.0,Offensive rebound by J. Jerebko,,10-22,,
3:57.0,J. Jerebko makes 2-pt shot from 7 ft,2,12-22,,
3:42.0,,,12-24,2,T. Maker makes 2-pt shot from 8 ft (assist by R. Vaughn)
3:23.0,D. Mitchell misses 2-pt shot from 1 ft,,12-24,,
3:23.0,,,12-24,,Defensive rebound by T. Maker
