time,LA Lakers,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. B. Lopez (J. Hart gains possession),,,,Jump ball: K. Towns vs. B. Lopez (J. Hart gains possession)
11:39.0,K. Caldwell-Pope misses 3-pt shot from 22 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by K. Towns
11:17.0,,,0-0,,K. Towns misses 2-pt shot from 7 ft
11:14.0,Defensive rebound by B. Lopez,,0-0,,
11:06.0,B. Ingram makes 2-pt shot from 16 ft,2,2-0,,
10:43.0,,,2-0,,T. Gibson misses 2-pt shot from 17 ft
10:40.0,Defensive rebound by K. Caldwell-Pope,,2-0,,
10:28.0,J. Randle makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,4-0,,
10:05.0,,,4-2,2,J. Butler makes 2-pt shot from 12 ft
9:56.0,B. Ingram makes 2-pt shot from 5 ft,2,6-2,,
9:35.0,,,6-2,,K. Towns misses 2-pt shot from 16 ft
9:31.0,Defensive rebound by J. Randle,,6-2,,
9:24.0,J. Randle makes 2-pt shot from 1 ft,2,8-2,,
9:06.0,,,8-4,2,A. Wiggins makes 2-pt shot from 11 ft
8:58.0,B. Lopez makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope),3,11-4,,
8:41.0,Personal foul by K. Caldwell-Pope (drawn by T. Gibson),,11-4,,
8:27.0,,,11-4,,J. Butler misses 2-pt shot from 18 ft
8:24.0,Defensive rebound by J. Randle,,11-4,,
8:17.0,J. Randle makes 2-pt shot from 8 ft,2,13-4,,
8:01.0,,,13-6,2,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Teague)
7:43.0,Turnover by J. Randle (bad pass; steal by T. Gibson),,13-6,,
7:43.0,Personal foul by J. Randle (drawn by A. Wiggins),,13-6,,
7:29.0,,,13-9,3,J. Teague makes 3-pt shot from 24 ft (assist by T. Gibson)
7:10.0,J. Hart makes 2-pt shot from 6 ft,2,15-9,,
6:53.0,,,15-11,2,J. Teague makes 2-pt shot from 2 ft
6:35.0,B. Lopez makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope),3,18-11,,
6:24.0,,,18-13,2,T. Gibson makes 2-pt shot from 8 ft (assist by J. Teague)
6:16.0,B. Ingram misses 2-pt shot from 1 ft (block by T. Gibson),,18-13,,
6:16.0,Offensive rebound by Team,,18-13,,
6:15.0,,,18-13,,Minnesota full timeout
6:00.0,B. Ingram misses 2-pt shot from 15 ft,,18-13,,
5:57.0,,,18-13,,Defensive rebound by K. Towns
5:46.0,,,18-13,,Turnover by T. Gibson (lost ball; steal by J. Randle)
5:40.0,J. Randle makes 2-pt shot from 1 ft (assist by B. Ingram),2,20-13,,
5:22.0,,,20-15,2,J. Butler makes 2-pt shot from 3 ft
5:07.0,B. Lopez misses 3-pt shot from 28 ft,,20-15,,
5:04.0,,,20-15,,Defensive rebound by J. Butler
4:54.0,,,20-15,,Shooting foul by J. Hart (drawn by J. Butler)
4:54.0,,,20-16,1,J. Butler makes free throw 1 of 2
4:54.0,K. Kuzma enters the game for K. Caldwell-Pope,,20-16,,
4:54.0,I. Thomas enters the game for B. Lopez,,20-16,,
4:54.0,,,20-16,,J. Butler misses free throw 2 of 2
4:51.0,Defensive rebound by K. Kuzma,,20-16,,
4:44.0,Shooting foul by J. Butler (drawn by B. Ingram),,20-16,,
4:44.0,B. Ingram makes free throw 1 of 2,1,21-16,,
4:44.0,B. Ingram misses free throw 2 of 2,,21-16,,
4:42.0,,,21-16,,Defensive rebound by K. Towns
4:28.0,,,21-16,,J. Butler misses 3-pt shot from 25 ft
4:23.0,,,21-16,,Offensive rebound by K. Towns
4:23.0,,,21-18,2,T. Gibson makes 2-pt shot from 1 ft (assist by K. Towns)
4:23.0,,,21-18,,Shooting foul by K. Kuzma (drawn by T. Gibson)
4:23.0,,,21-19,1,T. Gibson makes free throw 1 of 1
4:11.0,J. Randle misses 2-pt shot from 2 ft,,21-19,,
4:11.0,,,21-19,,Defensive rebound by J. Teague
4:01.0,,,21-21,2,T. Gibson makes 2-pt shot at rim (assist by K. Towns)
3:58.0,Turnover by B. Ingram (out of bounds lost ball),,21-21,,
3:58.0,,,21-21,,G. Dieng enters the game for K. Towns
3:44.0,,,21-23,2,A. Wiggins makes 2-pt shot from 12 ft
3:29.0,K. Kuzma misses 3-pt shot from 23 ft,,21-23,,
3:26.0,,,21-23,,Defensive rebound by J. Butler
3:20.0,,,21-25,2,J. Butler makes 2-pt shot from 5 ft
3:20.0,LA Lakers full timeout,,21-25,,
3:20.0,C. Brewer enters the game for B. Ingram,,21-25,,
3:20.0,I. Zubac enters the game for J. Randle,,21-25,,
3:20.0,,,21-25,,J. Crawford enters the game for J. Butler
3:05.0,I. Thomas misses 2-pt shot from 20 ft (block by J. Teague),,21-25,,
3:01.0,,,21-25,,Defensive rebound by G. Dieng
2:52.0,,,21-27,2,J. Teague makes 2-pt shot from 7 ft
2:38.0,,,21-27,,Personal foul by J. Teague (drawn by I. Thomas)
2:33.0,K. Kuzma makes 3-pt shot from 25 ft (assist by I. Thomas),3,24-27,,
2:19.0,,,24-27,,Shooting foul by K. Kuzma (drawn by T. Gibson)
2:19.0,,,24-28,1,T. Gibson makes free throw 1 of 2
2:19.0,,,24-29,1,T. Gibson makes free throw 2 of 2
1:58.0,K. Kuzma makes 3-pt shot from 27 ft (assist by I. Thomas),3,27-29,,
1:47.0,,,27-31,2,G. Dieng makes 2-pt shot from 14 ft (assist by J. Teague)
1:35.0,I. Thomas misses 2-pt shot from 2 ft,,27-31,,
1:34.0,Offensive rebound by I. Zubac,,27-31,,
1:34.0,I. Zubac makes 2-pt shot at rim,2,29-31,,
1:21.0,,,29-33,2,J. Crawford makes 2-pt shot from 16 ft
1:13.0,K. Kuzma misses 2-pt shot from 15 ft,,29-33,,
1:13.0,Offensive rebound by I. Zubac,,29-33,,
1:08.0,I. Zubac makes 2-pt shot at rim,2,31-33,,
0:53.0,,,31-33,,J. Teague misses 2-pt shot from 9 ft
0:53.0,Defensive rebound by J. Hart,,31-33,,
0:48.0,C. Brewer makes 2-pt shot from 3 ft,2,33-33,,
0:48.0,,,33-33,,Turnover by T. Gibson (step out of bounds)
