time,Boston,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: E. Kanter vs. D. Theis (K. Irving gains possession),,,,Jump ball: E. Kanter vs. D. Theis (K. Irving gains possession)
11:46.0,J. Brown misses 3-pt shot from 26 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by E. Mudiay
11:27.0,,,0-2,2,C. Lee makes 2-pt shot from 6 ft (assist by E. Mudiay)
11:16.0,K. Irving misses 3-pt shot from 26 ft,,0-2,,
11:14.0,,,0-2,,Defensive rebound by E. Kanter
11:02.0,,,0-2,,M. Beasley misses 2-pt shot from 3 ft (block by A. Horford)
10:59.0,Defensive rebound by K. Irving,,0-2,,
10:56.0,J. Brown misses 2-pt shot from 2 ft,,0-2,,
10:50.0,Offensive rebound by D. Theis,,0-2,,
10:50.0,D. Theis makes 2-pt shot at rim,2,2-2,,
10:33.0,,,2-4,2,M. Beasley makes 2-pt shot from 12 ft (assist by E. Mudiay)
10:19.0,Shooting foul by T. Hardaway (drawn by J. Tatum),,2-4,,
10:19.0,J. Tatum makes free throw 1 of 2,1,3-4,,
10:19.0,J. Tatum makes free throw 2 of 2,1,4-4,,
10:07.0,,,4-6,2,E. Mudiay makes 2-pt shot from 1 ft
9:55.0,Turnover by D. Theis (lost ball; steal by M. Beasley),,4-6,,
9:44.0,,,4-6,,M. Beasley misses 2-pt shot from 6 ft
9:42.0,Defensive rebound by A. Horford,,4-6,,
9:28.0,J. Brown misses 2-pt shot from 1 ft,,4-6,,
9:25.0,,,4-6,,Defensive rebound by E. Kanter
9:20.0,,,4-6,,Shooting foul by A. Horford (drawn by E. Mudiay)
9:20.0,,,4-6,,E. Mudiay misses free throw 1 of 3
9:20.0,,,4-6,,Offensive rebound by Team
9:20.0,,,4-6,,E. Mudiay misses free throw 2 of 3
9:20.0,,,4-6,,Offensive rebound by Team
9:20.0,,,4-7,1,E. Mudiay makes free throw 3 of 3
9:05.0,J. Brown misses 2-pt shot from 2 ft (block by E. Kanter),,4-7,,
9:02.0,Jump ball: E. Kanter vs. A. Horford,,,,Jump ball: E. Kanter vs. A. Horford
9:02.0,,,4-7,,Offensive rebound by Team
8:54.0,,,4-7,,C. Lee misses 3-pt shot from 25 ft
8:51.0,Defensive rebound by D. Theis,,4-7,,
8:43.0,K. Irving misses 3-pt shot from 25 ft,,4-7,,
8:40.0,,,4-7,,Defensive rebound by E. Kanter
8:32.0,,,4-7,,Turnover by T. Hardaway (bad pass; steal by J. Tatum)
8:28.0,J. Brown misses 3-pt shot from 22 ft,,4-7,,
8:24.0,Offensive rebound by K. Irving,,4-7,,
8:22.0,J. Tatum misses 3-pt shot from 24 ft,,4-7,,
8:22.0,Offensive rebound by J. Tatum,,4-7,,
8:15.0,J. Tatum makes 2-pt shot at rim,2,6-7,,
8:01.0,,,6-7,,E. Kanter misses 2-pt shot from 1 ft (block by J. Tatum)
7:58.0,Defensive rebound by J. Tatum,,6-7,,
7:54.0,J. Brown makes 3-pt shot from 24 ft (assist by J. Tatum),3,9-7,,
7:37.0,Personal foul by K. Irving (drawn by E. Kanter),,9-7,,
7:31.0,,,9-7,,E. Mudiay misses 2-pt shot from 14 ft
7:27.0,Defensive rebound by A. Horford,,9-7,,
7:20.0,J. Tatum misses 2-pt shot from 6 ft,,9-7,,
7:20.0,Offensive rebound by A. Horford,,9-7,,
7:18.0,A. Horford misses 2-pt shot from 1 ft,,9-7,,
7:18.0,,,9-7,,Defensive rebound by M. Beasley
7:06.0,,,9-7,,M. Beasley misses 2-pt shot from 15 ft
7:06.0,,,9-7,,Offensive rebound by E. Kanter
7:01.0,,,9-9,2,E. Kanter makes 2-pt shot at rim
6:48.0,,,9-9,,Def 3 sec tech foul by M. Beasley
6:48.0,,,9-9,,New York full timeout
6:48.0,K. Irving makes technical free throw,1,10-9,,
6:39.0,K. Irving misses 2-pt shot from 9 ft,,10-9,,
6:35.0,,,10-9,,Defensive rebound by T. Hardaway
6:33.0,,,10-9,,T. Hardaway misses 2-pt shot from 1 ft (block by A. Horford)
6:30.0,,,10-9,,Offensive rebound by M. Beasley
6:29.0,,,10-9,,M. Beasley misses 2-pt shot from 10 ft
6:29.0,Defensive rebound by D. Theis,,10-9,,
6:16.0,A. Horford makes 2-pt shot from 20 ft (assist by K. Irving),2,12-9,,
5:46.0,,,12-9,,E. Mudiay misses 3-pt shot from 24 ft
5:45.0,Defensive rebound by A. Horford,,12-9,,
5:32.0,J. Brown makes 3-pt shot from 23 ft (assist by K. Irving),3,15-9,,
5:18.0,,,15-9,,E. Kanter misses 2-pt shot from 9 ft
5:14.0,Defensive rebound by J. Brown,,15-9,,
5:07.0,K. Irving makes 2-pt shot from 18 ft,2,17-9,,
5:07.0,,,17-9,,New York full timeout
5:07.0,,,17-9,,F. Ntilikina enters the game for M. Beasley
5:07.0,,,17-9,,L. Thomas enters the game for C. Lee
5:07.0,M. Smart enters the game for J. Tatum,,17-9,,
5:07.0,M. Morris enters the game for D. Theis,,17-9,,
4:55.0,,,17-12,3,T. Hardaway makes 3-pt shot from 25 ft (assist by L. Thomas)
4:30.0,A. Horford misses 2-pt shot from 12 ft,,17-12,,
4:27.0,,,17-12,,Defensive rebound by E. Kanter
4:23.0,,,17-12,,Shooting foul by A. Horford (drawn by E. Mudiay)
4:23.0,,,17-13,1,E. Mudiay makes free throw 1 of 2
4:23.0,,,17-13,,E. Mudiay misses free throw 2 of 2
4:21.0,Defensive rebound by M. Morris,,17-13,,
4:10.0,,,17-13,,Personal foul by T. Hardaway (drawn by K. Irving)
4:10.0,,,17-13,,T. Burke enters the game for T. Hardaway
4:03.0,Turnover by M. Smart (bad pass; steal by E. Kanter),,17-13,,
3:58.0,,,17-13,,T. Burke misses 3-pt shot from 23 ft
3:57.0,,,17-13,,Offensive rebound by E. Kanter
3:52.0,,,17-13,,Turnover by E. Kanter (bad pass)
3:44.0,Turnover by K. Irving (bad pass; steal by L. Thomas),,17-13,,
3:40.0,,,17-15,2,F. Ntilikina makes 2-pt shot from 1 ft (assist by T. Burke)
3:25.0,Turnover by J. Brown (out of bounds lost ball),,17-15,,
3:25.0,T. Rozier enters the game for K. Irving,,17-15,,
3:14.0,,,17-15,,E. Mudiay misses 2-pt shot from 20 ft
3:11.0,Defensive rebound by J. Brown,,17-15,,
2:51.0,J. Brown makes 2-pt shot from 1 ft,2,19-15,,
2:40.0,,,19-17,2,T. Burke makes 2-pt shot from 11 ft
2:20.0,J. Brown makes 2-pt shot from 4 ft,2,21-17,,
2:20.0,Shooting foul by E. Kanter (drawn by J. Brown),,21-17,,
2:20.0,,,21-17,,K. O'Quinn enters the game for E. Kanter
2:20.0,,,21-17,,D. Dotson enters the game for E. Mudiay
2:20.0,G. Monroe enters the game for A. Horford,,21-17,,
2:20.0,J. Brown misses free throw 1 of 1,,21-17,,
2:18.0,,,21-17,,Defensive rebound by K. O'Quinn
2:01.0,S. Ojeleye enters the game for J. Brown,,21-17,,
1:54.0,,,21-17,,F. Ntilikina misses 3-pt shot from 24 ft
1:52.0,Defensive rebound by M. Smart,,21-17,,
1:43.0,T. Rozier misses 2-pt shot from 4 ft,,21-17,,
1:40.0,,,21-17,,Defensive rebound by D. Dotson
1:36.0,,,21-17,,Turnover by D. Dotson (bad pass; steal by M. Smart)
1:18.0,G. Monroe misses 2-pt shot from 7 ft,,21-17,,
1:16.0,,,21-17,,Defensive rebound by K. O'Quinn
0:57.0,,,21-19,2,T. Burke makes 2-pt shot from 2 ft
0:38.0,M. Smart makes 2-pt shot from 20 ft,2,23-19,,
0:32.0,,,23-21,2,T. Burke makes 2-pt shot from 19 ft
0:17.0,M. Morris misses 3-pt shot from 25 ft,,23-21,,
0:14.0,,,23-21,,Defensive rebound by K. O'Quinn
0:04.0,,,23-24,3,T. Burke makes 3-pt shot from 25 ft
0:01.0,T. Rozier misses 3-pt shot from 40 ft,,23-24,,
0:01.0,Offensive rebound by Team,,23-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,23-24,,T. Burke misses 2-pt shot from 20 ft
11:39.0,Defensive rebound by Team,,23-24,,
11:39.0,,,23-24,,Violation by L. Thomas (kicked ball)
11:23.0,G. Monroe misses 2-pt shot from 2 ft,,23-24,,
11:19.0,Offensive rebound by G. Monroe,,23-24,,
11:19.0,G. Monroe makes 2-pt shot at rim,2,25-24,,
11:04.0,,,25-26,2,F. Ntilikina makes 2-pt shot from 1 ft
10:47.0,T. Rozier misses 3-pt shot from 26 ft,,25-26,,
10:44.0,,,25-26,,Defensive rebound by D. Dotson
10:39.0,,,25-26,,Shooting foul by M. Smart (drawn by T. Burke)
10:39.0,,,25-26,,T. Burke misses free throw 1 of 2
10:39.0,,,25-26,,Offensive rebound by Team
10:39.0,,,25-27,1,T. Burke makes free throw 2 of 2
10:24.0,Turnover by G. Monroe (lost ball; steal by D. Dotson),,25-27,,
10:20.0,,,25-29,2,D. Dotson makes 2-pt shot from 18 ft
10:02.0,T. Rozier misses 2-pt shot from 2 ft,,25-29,,
9:59.0,Offensive rebound by M. Smart,,25-29,,
9:55.0,M. Smart misses 2-pt shot from 20 ft,,25-29,,
9:50.0,,,25-29,,Defensive rebound by L. Thomas
9:50.0,Personal foul by T. Rozier (drawn by L. Thomas),,25-29,,
9:50.0,J. Tatum enters the game for G. Monroe,,25-29,,
9:50.0,D. Theis enters the game for S. Ojeleye,,25-29,,
9:38.0,,,25-29,,Turnover by D. Dotson (bad pass)
9:22.0,M. Morris makes 2-pt shot from 7 ft,2,27-29,,
9:07.0,,,27-31,2,K. O'Quinn makes 2-pt shot from 7 ft
8:58.0,T. Rozier misses 2-pt shot from 12 ft,,27-31,,
8:58.0,Offensive rebound by Team,,27-31,,
8:58.0,,,27-31,,Loose ball foul by F. Ntilikina (drawn by D. Theis)
8:50.0,Shooting foul by L. Thomas (drawn by M. Morris),,27-31,,
8:50.0,M. Morris makes free throw 1 of 2,1,28-31,,
8:50.0,M. Morris misses free throw 2 of 2,,28-31,,
8:47.0,,,28-31,,Defensive rebound by D. Dotson
8:36.0,,,28-31,,Turnover by D. Dotson (bad pass; steal by M. Smart)
8:34.0,M. Smart makes 2-pt shot from 1 ft,2,30-31,,
8:22.0,,,30-33,2,T. Burke makes 2-pt shot from 20 ft (assist by L. Thomas)
8:01.0,J. Tatum misses 2-pt shot from 1 ft,,30-33,,
7:58.0,,,30-33,,Defensive rebound by D. Dotson
7:45.0,,,30-35,2,F. Ntilikina makes 2-pt shot from 20 ft
7:43.0,Boston full timeout,,30-35,,
7:43.0,,,30-35,,T. Hardaway enters the game for L. Thomas
7:43.0,K. Irving enters the game for M. Smart,,30-35,,
7:43.0,,,30-35,,M. Beasley enters the game for D. Dotson
7:30.0,K. Irving misses 2-pt shot from 22 ft,,30-35,,
7:27.0,,,30-35,,Defensive rebound by T. Hardaway
7:15.0,,,30-37,2,T. Burke makes 2-pt shot from 15 ft
7:15.0,,,30-37,,Shooting foul by D. Theis (drawn by T. Burke)
7:15.0,,,30-38,1,T. Burke makes free throw 1 of 1
7:05.0,K. Irving makes 2-pt shot from 9 ft (assist by J. Tatum),2,32-38,,
7:05.0,Shooting foul by F. Ntilikina (drawn by K. Irving),,32-38,,
7:05.0,K. Irving makes free throw 1 of 1,1,33-38,,
6:52.0,,,33-38,,T. Hardaway misses 3-pt shot from 26 ft
6:48.0,Defensive rebound by D. Theis,,33-38,,
6:33.0,J. Tatum makes 2-pt shot from 1 ft (assist by D. Theis),2,35-38,,
6:33.0,Shooting foul by M. Beasley (drawn by J. Tatum),,35-38,,
6:33.0,J. Tatum makes free throw 1 of 1,1,36-38,,
6:15.0,,,36-38,,T. Burke misses 3-pt shot from 26 ft
6:10.0,Defensive rebound by J. Tatum,,36-38,,
6:05.0,J. Tatum misses 2-pt shot from 2 ft (block by K. O'Quinn),,36-38,,
6:05.0,,,36-38,,Defensive rebound by F. Ntilikina
6:00.0,,,36-40,2,M. Beasley makes 2-pt shot at rim (assist by F. Ntilikina)
5:50.0,T. Rozier makes 3-pt shot from 25 ft,3,39-40,,
5:37.0,,,39-40,,F. Ntilikina misses 3-pt shot from 25 ft
5:37.0,Defensive rebound by T. Rozier,,39-40,,
5:29.0,T. Rozier makes 2-pt shot from 2 ft,2,41-40,,
5:15.0,,,41-40,,F. Ntilikina misses 3-pt shot from 25 ft
5:15.0,Defensive rebound by Team,,41-40,,
5:15.0,,,41-40,,Loose ball foul by K. O'Quinn (drawn by D. Theis)
5:15.0,D. Theis makes free throw 1 of 2,1,42-40,,
5:15.0,,,42-40,,E. Mudiay enters the game for F. Ntilikina
5:15.0,,,42-40,,C. Lee enters the game for T. Burke
5:15.0,J. Brown enters the game for M. Morris,,42-40,,
5:15.0,A. Horford enters the game for J. Tatum,,42-40,,
5:15.0,D. Theis makes free throw 2 of 2,1,43-40,,
5:15.0,,,43-40,,E. Kanter enters the game for K. O'Quinn
4:55.0,,,43-42,2,E. Kanter makes 2-pt shot from 1 ft (assist by T. Hardaway)
4:41.0,K. Irving misses 3-pt shot from 28 ft,,43-42,,
4:38.0,,,43-42,,Defensive rebound by E. Kanter
4:26.0,,,43-42,,M. Beasley misses 2-pt shot from 10 ft
4:24.0,Defensive rebound by J. Brown,,43-42,,
4:17.0,A. Horford misses 3-pt shot from 23 ft,,43-42,,
4:14.0,,,43-42,,Defensive rebound by E. Kanter
4:09.0,,,43-44,2,E. Kanter makes 2-pt shot from 1 ft (assist by E. Mudiay)
