time,Milwaukee,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. J. Henson (T. Snell gains possession),,,,Jump ball: J. Valanciunas vs. J. Henson (T. Snell gains possession)
11:45.0,T. Snell misses 2-pt shot from 17 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by S. Ibaka
11:31.0,,,0-0,,Shooting foul by J. Henson (drawn by D. DeRozan)
11:31.0,,,0-1,1,D. DeRozan makes free throw 1 of 2
11:31.0,,,0-2,1,D. DeRozan makes free throw 2 of 2
11:08.0,J. Henson misses 2-pt shot from 5 ft,,0-2,,
11:05.0,,,0-2,,Defensive rebound by J. Valanciunas
10:52.0,,,0-2,,Shooting foul by G. Antetokounmpo (drawn by D. DeRozan)
10:52.0,,,0-3,1,D. DeRozan makes free throw 1 of 2
10:52.0,,,0-4,1,D. DeRozan makes free throw 2 of 2
10:32.0,K. Middleton misses 2-pt shot from 19 ft,,0-4,,
10:28.0,,,0-4,,Defensive rebound by D. DeRozan
10:14.0,,,0-4,,S. Ibaka misses 2-pt shot from 7 ft
10:12.0,Defensive rebound by G. Antetokounmpo,,0-4,,
10:02.0,G. Antetokounmpo misses 2-pt shot from 7 ft,,0-4,,
9:59.0,,,0-4,,Defensive rebound by K. Lowry
9:50.0,,,0-7,3,D. DeRozan makes 3-pt shot from 22 ft (assist by K. Lowry)
9:37.0,Turnover by E. Bledsoe (bad pass),,0-7,,
9:29.0,,,0-9,2,D. DeRozan makes 2-pt shot from 2 ft
9:28.0,Milwaukee full timeout,,0-9,,
9:10.0,K. Middleton makes 2-pt shot from 16 ft,2,2-9,,
8:55.0,,,2-9,,J. Valanciunas misses 2-pt shot from 7 ft
8:52.0,Defensive rebound by J. Henson,,2-9,,
8:39.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,2-9,,
8:37.0,,,2-9,,Defensive rebound by S. Ibaka
8:30.0,,,2-11,2,K. Lowry makes 2-pt shot from 14 ft
8:12.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by K. Middleton),3,5-11,,
7:55.0,,,5-13,2,D. DeRozan makes 2-pt shot from 2 ft (assist by S. Ibaka)
7:42.0,J. Henson makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,7-13,,
7:30.0,,,7-13,,Turnover by K. Lowry (bad pass; steal by T. Snell)
7:25.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,9-13,,
7:06.0,,,9-16,3,K. Lowry makes 3-pt shot from 22 ft (assist by D. DeRozan)
6:57.0,Turnover by J. Henson (bad pass; steal by S. Ibaka),,9-16,,
6:45.0,,,9-16,,Shooting foul by K. Middleton (drawn by J. Valanciunas)
6:45.0,,,9-17,1,J. Valanciunas makes free throw 2 of 2
6:45.0,,,9-18,1,J. Valanciunas makes free throw 1 of 2
6:29.0,K. Middleton misses 3-pt shot from 25 ft,,9-18,,
6:27.0,,,9-18,,Defensive rebound by O. Anunoby
6:15.0,Personal block foul by E. Bledsoe (drawn by D. DeRozan),,9-18,,
6:15.0,M. Brogdon enters the game for T. Snell,,9-18,,
6:06.0,,,9-18,,D. DeRozan misses 2-pt shot from 14 ft
6:03.0,Defensive rebound by K. Middleton,,9-18,,
5:47.0,J. Henson misses 2-pt shot from 7 ft,,9-18,,
5:45.0,Offensive rebound by G. Antetokounmpo,,9-18,,
5:43.0,Jump ball: J. Valanciunas vs. G. Antetokounmpo (M. Brogdon gains possession),,,,Jump ball: J. Valanciunas vs. G. Antetokounmpo (M. Brogdon gains possession)
5:34.0,E. Bledsoe makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,11-18,,
5:19.0,,,11-18,,Turnover by D. DeRozan (bad pass; steal by E. Bledsoe)
5:15.0,E. Bledsoe misses 2-pt shot from 2 ft (block by S. Ibaka),,11-18,,
5:12.0,,,11-18,,Defensive rebound by O. Anunoby
5:06.0,,,11-18,,K. Lowry misses 3-pt shot from 25 ft
5:03.0,Defensive rebound by G. Antetokounmpo,,11-18,,
4:57.0,M. Brogdon misses 2-pt shot from 15 ft,,11-18,,
4:54.0,,,11-18,,Defensive rebound by J. Valanciunas
4:51.0,,,11-18,,Shooting foul by J. Henson (drawn by K. Lowry)
4:51.0,,,11-19,1,K. Lowry makes free throw 1 of 2
4:51.0,,,11-19,,J. Poeltl enters the game for J. Valanciunas
4:51.0,T. Maker enters the game for J. Henson,,11-19,,
4:51.0,,,11-20,1,K. Lowry makes free throw 2 of 2
4:39.0,T. Maker makes 3-pt shot from 22 ft (assist by E. Bledsoe),3,14-20,,
4:15.0,,,14-20,,S. Ibaka misses 3-pt shot from 24 ft
4:12.0,,,14-20,,Offensive rebound by K. Lowry
4:12.0,,,14-20,,C. Miles enters the game for O. Anunoby
4:12.0,M. Dellavedova enters the game for K. Middleton,,14-20,,
4:09.0,Jump ball: K. Lowry vs. E. Bledsoe (G. Antetokounmpo gains possession),,,,Jump ball: K. Lowry vs. E. Bledsoe (G. Antetokounmpo gains possession)
4:09.0,,,14-20,,Turnover by K. Lowry (turnover; steal by E. Bledsoe)
3:56.0,Turnover by E. Bledsoe (traveling),,14-20,,
3:40.0,,,14-22,2,D. DeRozan makes 2-pt shot from 13 ft (assist by S. Ibaka)
3:21.0,M. Brogdon makes 2-pt shot from 1 ft (assist by T. Maker),2,16-22,,
3:14.0,,,16-22,,Toronto full timeout
3:14.0,,,16-22,,D. Wright enters the game for K. Lowry
3:14.0,,,16-22,,P. Siakam enters the game for S. Ibaka
3:14.0,S. Kilpatrick enters the game for E. Bledsoe,,16-22,,
2:59.0,,,16-22,,D. Wright misses 3-pt shot from 25 ft
2:57.0,Defensive rebound by G. Antetokounmpo,,16-22,,
2:51.0,S. Kilpatrick makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,19-22,,
