time,Milwaukee,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. J. Henson (G. Antetokounmpo gains possession),,,,Jump ball: J. Nurkic vs. J. Henson (G. Antetokounmpo gains possession)
11:46.0,Turnover by J. Henson (bad pass; steal by J. Nurkic),,0-0,,
11:36.0,,,0-0,,C. McCollum misses 2-pt shot from 16 ft
11:33.0,,,0-0,,Offensive rebound by J. Nurkic
11:31.0,,,0-2,2,J. Nurkic makes 2-pt shot from 2 ft
11:15.0,,,0-2,,Personal foul by D. Lillard (drawn by E. Bledsoe)
11:12.0,G. Antetokounmpo misses 3-pt shot from 24 ft,,0-2,,
11:09.0,,,0-2,,Defensive rebound by J. Nurkic
11:02.0,,,0-2,,P. Connaughton misses 2-pt shot from 1 ft
11:00.0,,,0-2,,Offensive rebound by J. Nurkic
10:55.0,,,0-2,,J. Nurkic misses 2-pt shot from 4 ft
10:55.0,Defensive rebound by Team,,0-2,,
10:42.0,E. Bledsoe misses 3-pt shot from 25 ft,,0-2,,
10:40.0,,,0-2,,Defensive rebound by J. Nurkic
10:32.0,,,0-2,,Shooting foul by J. Henson (drawn by N. Vonleh)
10:32.0,,,0-3,1,N. Vonleh makes free throw 1 of 2
10:32.0,,,0-4,1,N. Vonleh makes free throw 2 of 2
10:20.0,K. Middleton makes 2-pt shot from 16 ft (assist by E. Bledsoe),2,2-4,,
10:03.0,,,2-4,,J. Nurkic misses 2-pt shot from 3 ft
10:03.0,Defensive rebound by G. Antetokounmpo,,2-4,,
9:48.0,K. Middleton makes 2-pt shot from 15 ft,2,4-4,,
9:30.0,,,4-6,2,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Lillard)
9:16.0,E. Bledsoe makes 2-pt shot from 1 ft,2,6-6,,
9:04.0,,,6-6,,N. Vonleh misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
9:04.0,,,6-6,,Offensive rebound by Team
8:50.0,,,6-6,,Turnover by D. Lillard (lost ball; steal by K. Middleton)
8:45.0,T. Snell makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,8-6,,
8:29.0,,,8-6,,P. Connaughton misses 2-pt shot from 1 ft
8:27.0,Defensive rebound by K. Middleton,,8-6,,
8:22.0,K. Middleton makes 3-pt shot from 24 ft,3,11-6,,
8:06.0,,,11-6,,J. Nurkic misses 2-pt shot from 1 ft
8:03.0,,,11-6,,Offensive rebound by J. Nurkic
8:03.0,,,11-8,2,J. Nurkic makes 2-pt shot at rim
7:55.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,11-8,,
7:53.0,,,11-8,,Defensive rebound by C. McCollum
7:49.0,,,11-8,,D. Lillard misses 3-pt shot from 26 ft
7:46.0,Defensive rebound by K. Middleton,,11-8,,
7:35.0,E. Bledsoe makes 3-pt shot from 22 ft (assist by G. Antetokounmpo),3,14-8,,
7:14.0,,,14-8,,C. McCollum misses 2-pt shot from 2 ft
7:12.0,Defensive rebound by Team,,14-8,,
6:52.0,K. Middleton misses 2-pt shot from 14 ft,,14-8,,
6:47.0,,,14-8,,Defensive rebound by J. Nurkic
6:36.0,,,14-10,2,D. Lillard makes 2-pt shot from 11 ft (assist by C. McCollum)
6:36.0,Milwaukee full timeout,,14-10,,
6:23.0,E. Bledsoe makes 2-pt shot from 7 ft,2,16-10,,
6:08.0,,,16-10,,Turnover by J. Nurkic (bad pass)
5:54.0,E. Bledsoe misses 2-pt shot from 18 ft,,16-10,,
5:52.0,,,16-10,,Defensive rebound by N. Vonleh
5:49.0,Personal foul by J. Henson (drawn by J. Nurkic),,16-10,,
5:49.0,,,16-10,,M. Harkless enters the game for P. Connaughton
5:49.0,,,16-10,,A. Aminu enters the game for N. Vonleh
5:49.0,T. Maker enters the game for K. Middleton,,16-10,,
5:49.0,J. Terry enters the game for J. Henson,,16-10,,
5:36.0,,,16-12,2,J. Nurkic makes 2-pt shot from 4 ft (assist by D. Lillard)
5:15.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,18-12,,
5:03.0,,,18-12,,M. Harkless misses 2-pt shot from 1 ft
5:01.0,Defensive rebound by T. Snell,,18-12,,
4:50.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,18-12,,
4:49.0,,,18-12,,Defensive rebound by J. Nurkic
4:44.0,,,18-14,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
4:44.0,,,18-14,,Shooting foul by G. Antetokounmpo (drawn by J. Nurkic)
4:44.0,,,18-14,,E. Turner enters the game for C. McCollum
4:44.0,M. Brogdon enters the game for E. Bledsoe,,18-14,,
4:44.0,,,18-15,1,J. Nurkic makes free throw 1 of 1
4:32.0,T. Snell misses 3-pt shot from 22 ft,,18-15,,
4:30.0,,,18-15,,Defensive rebound by A. Aminu
4:24.0,,,18-15,,A. Aminu misses 3-pt shot from 25 ft
4:20.0,Defensive rebound by T. Maker,,18-15,,
4:16.0,Shooting foul by M. Harkless (drawn by G. Antetokounmpo),,18-15,,
4:16.0,G. Antetokounmpo makes free throw 1 of 2,1,19-15,,
4:16.0,G. Antetokounmpo makes free throw 2 of 2,1,20-15,,
3:56.0,,,20-15,,E. Turner misses 3-pt shot from 24 ft
3:56.0,,,20-15,,Offensive rebound by Team
3:56.0,Technical foul by T. Maker (drawn by J. Nurkic),,20-15,,
3:56.0,,,20-16,1,J. Nurkic makes flagrant free throw 2 of 2
3:56.0,,,20-16,,J. Nurkic misses flagrant free throw 1 of 2
3:56.0,,,20-16,,Offensive rebound by Team
3:55.0,,,20-16,,E. Davis enters the game for J. Nurkic
3:40.0,,,20-19,3,M. Harkless makes 3-pt shot from 26 ft (assist by E. Turner)
3:17.0,G. Antetokounmpo makes 2-pt shot at rim,2,22-19,,
2:50.0,,,22-19,,Turnover by A. Aminu (lost ball; steal by T. Maker)
2:38.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by M. Harkless),,22-19,,
2:36.0,,,22-19,,Portland full timeout
2:36.0,Jump ball: M. Harkless vs. G. Antetokounmpo (M. Brogdon gains possession),,,,Jump ball: M. Harkless vs. G. Antetokounmpo (M. Brogdon gains possession)
2:36.0,Defensive rebound by Team,,22-19,,
2:24.0,M. Brogdon makes 2-pt shot from 21 ft,2,24-19,,
2:15.0,,,24-19,,C. McCollum enters the game for D. Lillard
2:10.0,,,24-19,,C. McCollum misses 3-pt shot from 25 ft
2:07.0,Defensive rebound by G. Antetokounmpo,,24-19,,
1:58.0,M. Brogdon makes 2-pt shot from 1 ft,2,26-19,,
1:46.0,,,26-19,,Turnover by C. McCollum (bad pass)
1:46.0,D. Liggins enters the game for G. Antetokounmpo,,26-19,,
1:46.0,K. Middleton enters the game for T. Snell,,26-19,,
1:33.0,M. Brogdon misses 3-pt shot from 25 ft,,26-19,,
1:30.0,,,26-19,,Defensive rebound by E. Turner
1:28.0,Personal foul by M. Brogdon (drawn by E. Turner),,26-19,,
1:28.0,,,26-20,1,E. Turner makes free throw 1 of 2
1:28.0,,,26-21,1,E. Turner makes free throw 2 of 2
1:14.0,J. Terry makes 2-pt shot from 17 ft (assist by K. Middleton),2,28-21,,
0:55.0,,,28-21,,Turnover by E. Turner (lost ball; steal by T. Maker)
0:40.0,D. Liggins misses 2-pt shot from 22 ft,,28-21,,
0:37.0,,,28-21,,Defensive rebound by A. Aminu
0:30.0,,,28-21,,M. Harkless misses 3-pt shot from 23 ft
0:28.0,Defensive rebound by D. Liggins,,28-21,,
0:08.0,K. Middleton makes 2-pt shot from 9 ft,2,30-21,,
0:02.0,,,30-21,,Turnover by A. Aminu (out of bounds lost ball)
0:00.0,K. Middleton makes 3-pt shot from 27 ft,3,33-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,33-24,3,A. Aminu makes 3-pt shot from 24 ft (assist by C. McCollum)
11:20.0,T. Maker misses 2-pt shot from 1 ft,,33-24,,
11:18.0,,,33-24,,Defensive rebound by A. Aminu
11:12.0,,,33-24,,C. McCollum misses 2-pt shot from 20 ft
11:04.0,Defensive rebound by T. Maker,,33-24,,
10:46.0,J. Terry misses 3-pt shot from 24 ft,,33-24,,
10:44.0,,,33-24,,Defensive rebound by E. Turner
10:37.0,,,33-27,3,A. Aminu makes 3-pt shot from 24 ft (assist by E. Turner)
10:17.0,K. Middleton misses 2-pt shot from 19 ft,,33-27,,
10:14.0,,,33-27,,Defensive rebound by S. Napier
10:05.0,,,33-29,2,E. Turner makes 2-pt shot from 10 ft
10:05.0,Milwaukee full timeout,,33-29,,
10:05.0,J. Henson enters the game for T. Maker,,33-29,,
9:51.0,Turnover by J. Terry (bad pass; steal by S. Napier),,33-29,,
9:31.0,,,33-29,,C. McCollum misses 2-pt shot from 20 ft
9:28.0,,,33-29,,Offensive rebound by E. Davis
9:28.0,,,33-31,2,E. Davis makes 2-pt shot at rim
9:15.0,M. Brogdon misses 2-pt shot from 13 ft,,33-31,,
9:11.0,Offensive rebound by J. Henson,,33-31,,
8:59.0,J. Terry makes 2-pt shot from 14 ft (assist by M. Brogdon),2,35-31,,
8:35.0,,,35-31,,C. McCollum misses 2-pt shot from 6 ft
8:33.0,Defensive rebound by J. Henson,,35-31,,
8:26.0,K. Middleton makes 2-pt shot from 16 ft,2,37-31,,
8:03.0,,,37-31,,S. Napier misses 3-pt shot from 28 ft
8:01.0,Defensive rebound by J. Henson,,37-31,,
7:54.0,J. Henson makes 2-pt shot at rim (assist by M. Brogdon),2,39-31,,
7:54.0,Shooting foul by E. Davis (drawn by J. Henson),,39-31,,
7:54.0,,,39-31,,D. Lillard enters the game for C. McCollum
7:54.0,,,39-31,,J. Nurkic enters the game for E. Davis
7:54.0,E. Bledsoe enters the game for J. Terry,,39-31,,
7:54.0,J. Henson makes free throw 1 of 1,1,40-31,,
7:47.0,Personal foul by E. Bledsoe (drawn by S. Napier),,40-31,,
7:47.0,,,40-31,,N. Vonleh enters the game for A. Aminu
7:41.0,,,40-31,,S. Napier misses 2-pt shot from 21 ft (block by E. Bledsoe)
7:37.0,Defensive rebound by J. Henson,,40-31,,
7:27.0,M. Brogdon misses 3-pt shot from 22 ft,,40-31,,
7:25.0,,,40-31,,Defensive rebound by D. Lillard
7:16.0,,,40-33,2,E. Turner makes 2-pt shot from 1 ft
7:02.0,Offensive foul by K. Middleton (drawn by S. Napier),,40-33,,
7:02.0,Turnover by K. Middleton (offensive foul),,40-33,,
7:02.0,G. Antetokounmpo enters the game for K. Middleton,,40-33,,
6:59.0,,,40-33,,Turnover by J. Nurkic (bad pass)
6:49.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by M. Brogdon),2,42-33,,
6:34.0,,,42-33,,Turnover by D. Lillard (bad pass; steal by G. Antetokounmpo)
6:29.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by D. Liggins),2,44-33,,
6:29.0,,,44-33,,Portland full timeout
6:29.0,,,44-33,,C. McCollum enters the game for S. Napier
6:15.0,,,44-33,,N. Vonleh misses 2-pt shot from 2 ft
6:12.0,,,44-33,,Offensive rebound by J. Nurkic
6:12.0,,,44-33,,J. Nurkic misses 2-pt shot at rim
6:11.0,Defensive rebound by E. Bledsoe,,44-33,,
6:05.0,M. Brogdon misses 3-pt shot from 25 ft,,44-33,,
6:02.0,,,44-33,,Defensive rebound by D. Lillard
5:48.0,,,44-33,,E. Turner misses 2-pt shot from 13 ft
5:44.0,Defensive rebound by J. Henson,,44-33,,
5:28.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,44-33,,
5:27.0,Offensive rebound by J. Henson,,44-33,,
5:24.0,J. Henson makes 2-pt shot from 1 ft,2,46-33,,
5:05.0,,,46-35,2,J. Nurkic makes 2-pt shot at rim (assist by C. McCollum)
4:41.0,J. Henson misses 2-pt shot from 5 ft,,46-35,,
4:39.0,,,46-35,,Defensive rebound by N. Vonleh
4:30.0,,,46-35,,D. Lillard misses 2-pt shot from 1 ft (block by J. Henson)
4:27.0,,,46-35,,Offensive rebound by D. Lillard
4:25.0,,,46-35,,D. Lillard misses 2-pt shot from 10 ft
4:22.0,Defensive rebound by M. Brogdon,,46-35,,
4:18.0,D. Liggins misses 3-pt shot from 24 ft,,46-35,,
4:15.0,,,46-35,,Defensive rebound by N. Vonleh
4:08.0,,,46-38,3,D. Lillard makes 3-pt shot from 26 ft
3:41.0,M. Brogdon makes 2-pt shot from 1 ft,2,48-38,,
