time,Charlotte,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Felicio vs. D. Howard (D. Nwaba gains possession),,,,Jump ball: C. Felicio vs. D. Howard (D. Nwaba gains possession)
11:43.0,,,0-0,,C. Payne misses 3-pt shot from 25 ft
11:40.0,Defensive rebound by D. Howard,,0-0,,
11:33.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum),2,2-0,,
11:11.0,,,2-3,3,L. Markkanen makes 3-pt shot from 26 ft (assist by J. Holiday)
10:50.0,D. Howard misses 2-pt shot from 1 ft,,2-3,,
10:47.0,,,2-3,,Defensive rebound by D. Nwaba
10:44.0,,,2-3,,D. Nwaba misses 2-pt shot from 9 ft
10:41.0,Defensive rebound by M. Williams,,2-3,,
10:31.0,K. Walker misses 2-pt shot at rim,,2-3,,
10:31.0,Offensive rebound by Team,,2-3,,
10:25.0,,,2-3,,Personal foul by J. Holiday (drawn by D. Howard)
10:17.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by D. Howard),2,4-3,,
9:56.0,,,4-3,,L. Markkanen misses 2-pt shot from 1 ft
9:54.0,,,4-3,,Offensive rebound by C. Payne
9:49.0,,,4-3,,C. Payne misses 2-pt shot from 12 ft
9:49.0,Defensive rebound by M. Williams,,4-3,,
9:36.0,M. Williams misses 3-pt shot from 25 ft,,4-3,,
9:34.0,,,4-3,,Defensive rebound by L. Markkanen
9:29.0,Personal foul by M. Kidd-Gilchrist (drawn by C. Felicio),,4-3,,
9:25.0,,,4-5,2,C. Payne makes 2-pt shot from 11 ft
9:11.0,Shooting foul by L. Markkanen (drawn by D. Howard),,4-5,,
9:11.0,D. Howard makes free throw 1 of 2,1,5-5,,
9:11.0,D. Howard misses free throw 2 of 2,,5-5,,
9:08.0,,,5-5,,Defensive rebound by C. Payne
8:59.0,,,5-5,,C. Payne misses 2-pt shot from 11 ft
8:56.0,Defensive rebound by D. Howard,,5-5,,
8:48.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft,2,7-5,,
8:48.0,Shooting foul by J. Holiday (drawn by M. Kidd-Gilchrist),,7-5,,
8:48.0,M. Kidd-Gilchrist misses free throw 1 of 1,,7-5,,
8:45.0,Offensive rebound by D. Howard,,7-5,,
8:40.0,D. Howard misses 2-pt shot from 4 ft,,7-5,,
8:40.0,,,7-5,,Defensive rebound by D. Nwaba
8:23.0,,,7-7,2,L. Markkanen makes 2-pt shot from 11 ft
8:08.0,N. Batum misses 2-pt shot from 16 ft,,7-7,,
8:08.0,,,7-7,,Defensive rebound by D. Nwaba
8:00.0,,,7-7,,J. Holiday misses 3-pt shot from 25 ft
7:57.0,Defensive rebound by D. Howard,,7-7,,
7:52.0,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum),3,10-7,,
7:36.0,,,10-9,2,C. Felicio makes 2-pt shot from 1 ft (assist by J. Holiday)
7:36.0,Violation by D. Howard (def goaltending),,10-9,,
7:24.0,Turnover by M. Kidd-Gilchrist (out of bounds lost ball),,10-9,,
7:09.0,,,10-9,,C. Payne misses 2-pt shot from 21 ft
7:09.0,Defensive rebound by N. Batum,,10-9,,
7:01.0,K. Walker misses 3-pt shot from 24 ft,,10-9,,
6:57.0,,,10-9,,Defensive rebound by C. Felicio
