time,LA Clippers,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. D. Jordan (T. Parker gains possession),,,,Jump ball: P. Gasol vs. D. Jordan (T. Parker gains possession)
11:46.0,,,0-0,,K. Leonard misses 3-pt shot from 22 ft
11:43.0,Defensive rebound by C. Williams,,0-0,,
11:32.0,J. Wilson makes 2-pt shot from 16 ft (assist by C. Williams),2,2-0,,
11:17.0,,,2-2,2,L. Aldridge makes 2-pt shot from 17 ft (assist by T. Parker)
10:57.0,D. Jordan misses 2-pt shot from 1 ft,,2-2,,
10:55.0,,,2-2,,Defensive rebound by P. Gasol
10:43.0,,,2-2,,L. Aldridge misses 2-pt shot from 11 ft
10:39.0,Defensive rebound by D. Jordan,,2-2,,
10:32.0,J. Wilson misses 3-pt shot from 25 ft,,2-2,,
10:29.0,,,2-2,,Defensive rebound by P. Gasol
10:25.0,,,2-4,2,L. Aldridge makes 2-pt shot from 1 ft (assist by T. Parker)
10:25.0,,,2-4,,Shooting foul by J. Wilson (drawn by L. Aldridge)
10:25.0,,,2-4,,L. Aldridge misses free throw 1 of 1
10:22.0,Defensive rebound by D. Jordan,,2-4,,
10:00.0,A. Rivers misses 2-pt shot from 18 ft,,2-4,,
9:56.0,,,2-4,,Defensive rebound by K. Leonard
9:49.0,,,2-6,2,K. Leonard makes 2-pt shot from 12 ft
9:43.0,C. Williams misses 3-pt shot from 24 ft,,2-6,,
9:43.0,,,2-6,,Defensive rebound by B. Forbes
9:28.0,,,2-6,,Turnover by T. Parker (bad pass; steal by J. Wilson)
9:16.0,A. Rivers misses 2-pt shot from 1 ft (block by P. Gasol),,2-6,,
9:12.0,,,2-6,,Defensive rebound by K. Leonard
9:07.0,,,2-6,,P. Gasol misses 2-pt shot from 13 ft
9:07.0,,,2-6,,Offensive rebound by K. Leonard
8:51.0,,,2-8,2,L. Aldridge makes 2-pt shot from 17 ft (assist by T. Parker)
8:30.0,C. Williams makes 2-pt shot from 1 ft (assist by D. Jordan),2,4-8,,
8:15.0,,,4-8,,T. Parker misses 2-pt shot at rim
8:15.0,Defensive rebound by M. Teodosic,,4-8,,
8:09.0,C. Williams misses 3-pt shot from 24 ft,,4-8,,
8:09.0,,,4-8,,Defensive rebound by L. Aldridge
7:42.0,,,4-8,,P. Gasol misses 3-pt shot from 22 ft
7:42.0,Defensive rebound by D. Jordan,,4-8,,
7:23.0,M. Teodosic misses 2-pt shot from 15 ft,,4-8,,
7:23.0,,,4-8,,Defensive rebound by B. Forbes
7:14.0,,,4-11,3,T. Parker makes 3-pt shot from 23 ft (assist by K. Leonard)
7:13.0,LA Clippers full timeout,,4-11,,
6:59.0,D. Jordan misses 2-pt shot at rim,,4-11,,
6:57.0,,,4-11,,Defensive rebound by P. Gasol
6:44.0,,,4-11,,K. Leonard misses 2-pt shot from 13 ft
6:44.0,Defensive rebound by D. Jordan,,4-11,,
6:35.0,M. Teodosic misses 3-pt shot from 23 ft,,4-11,,
6:32.0,,,4-11,,Defensive rebound by L. Aldridge
6:25.0,,,4-13,2,T. Parker makes 2-pt shot at rim
6:13.0,J. Wilson misses 3-pt shot from 25 ft,,4-13,,
6:06.0,Offensive rebound by D. Jordan,,4-13,,
6:06.0,D. Jordan makes 2-pt shot at rim,2,6-13,,
6:03.0,,,6-13,,San Antonio full timeout
6:03.0,,,6-13,,D. Murray enters the game for K. Leonard
6:03.0,,,6-13,,M. Ginobili enters the game for T. Parker
6:03.0,J. Evans enters the game for M. Teodosic,,6-13,,
5:53.0,,,6-13,,B. Forbes misses 3-pt shot from 25 ft
5:51.0,Defensive rebound by D. Jordan,,6-13,,
5:31.0,C. Williams misses 2-pt shot from 9 ft,,6-13,,
5:29.0,,,6-13,,Defensive rebound by Team
5:29.0,,,6-13,,R. Gay enters the game for P. Gasol
5:23.0,Personal foul by J. Evans (drawn by D. Murray),,6-13,,
5:23.0,M. Harrell enters the game for J. Wilson,,6-13,,
5:09.0,,,6-13,,L. Aldridge misses 2-pt shot from 6 ft
5:06.0,Defensive rebound by C. Williams,,6-13,,
5:02.0,J. Evans misses 2-pt shot from 20 ft,,6-13,,
4:59.0,,,6-13,,Defensive rebound by R. Gay
4:47.0,Personal foul by J. Evans (drawn by R. Gay),,6-13,,
