time,Atlanta,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. D. Dedmon (M. Morris gains possession),,,,Jump ball: M. Gortat vs. D. Dedmon (M. Morris gains possession)
11:38.0,,,0-3,3,M. Morris makes 3-pt shot from 26 ft (assist by O. Porter)
11:18.0,I. Taylor misses 2-pt shot from 7 ft,,0-3,,
11:15.0,,,0-3,,Defensive rebound by O. Porter
11:07.0,,,0-3,,M. Morris misses 2-pt shot from 19 ft
11:05.0,Defensive rebound by D. Dedmon,,0-3,,
11:01.0,Turnover by I. Taylor (turnover),,0-3,,
10:44.0,,,0-3,,O. Porter misses 2-pt shot from 6 ft
10:44.0,Defensive rebound by Team,,0-3,,
10:23.0,D. Dedmon makes 2-pt shot from 11 ft (assist by T. Waller-Prince),2,2-3,,
10:06.0,,,2-3,,Shooting foul by J. Collins (drawn by M. Morris)
10:06.0,,,2-3,,M. Morris misses free throw 1 of 2
10:06.0,,,2-3,,Offensive rebound by Team
10:06.0,,,2-4,1,M. Morris makes free throw 2 of 2
9:48.0,D. Dedmon makes 2-pt shot from 15 ft,2,4-4,,
9:29.0,,,4-4,,M. Gortat misses 2-pt shot from 2 ft (block by J. Collins)
9:29.0,Defensive rebound by T. Waller-Prince,,4-4,,
9:23.0,J. Collins makes 2-pt shot from 2 ft (assist by T. Waller-Prince),2,6-4,,
9:07.0,,,6-6,2,B. Beal makes 2-pt shot from 13 ft (assist by M. Morris)
8:59.0,D. Bembry misses 2-pt shot from 1 ft,,6-6,,
8:59.0,,,6-6,,Defensive rebound by M. Gortat
8:46.0,,,6-8,2,T. Satoransky makes 2-pt shot from 15 ft
8:28.0,D. Dedmon misses 3-pt shot from 25 ft,,6-8,,
8:28.0,,,6-8,,Defensive rebound by M. Morris
8:12.0,,,6-8,,M. Gortat misses 2-pt shot from 13 ft
8:08.0,Defensive rebound by J. Collins,,6-8,,
7:56.0,T. Waller-Prince misses 3-pt shot from 26 ft,,6-8,,
7:53.0,,,6-8,,Defensive rebound by M. Gortat
7:49.0,,,6-8,,Turnover by T. Satoransky (lost ball; steal by I. Taylor)
7:39.0,,,6-8,,Violation by M. Morris (kicked ball)
7:39.0,T. Dorsey enters the game for D. Bembry,,6-8,,
7:32.0,T. Waller-Prince misses 2-pt shot from 9 ft (block by M. Gortat),,6-8,,
7:29.0,,,6-8,,Defensive rebound by M. Gortat
7:22.0,,,6-8,,M. Morris misses 3-pt shot from 26 ft
7:19.0,,,6-8,,Offensive rebound by M. Gortat
7:15.0,,,6-8,,M. Morris misses 2-pt shot from 2 ft
7:13.0,,,6-8,,Offensive rebound by O. Porter
7:12.0,,,6-10,2,O. Porter makes 2-pt shot from 7 ft
7:12.0,Atlanta full timeout,,6-10,,
6:57.0,J. Collins misses 2-pt shot from 17 ft,,6-10,,
6:54.0,,,6-10,,Defensive rebound by T. Satoransky
6:42.0,,,6-10,,B. Beal misses 2-pt shot from 10 ft
6:39.0,Defensive rebound by J. Collins,,6-10,,
6:28.0,I. Taylor makes 2-pt shot from 4 ft (assist by T. Waller-Prince),2,8-10,,
6:09.0,,,8-10,,M. Morris misses 2-pt shot from 16 ft
6:05.0,Defensive rebound by D. Dedmon,,8-10,,
6:01.0,T. Waller-Prince makes 3-pt shot from 25 ft (assist by D. Dedmon),3,11-10,,
5:39.0,,,11-10,,B. Beal misses 3-pt shot from 26 ft
5:34.0,Defensive rebound by T. Waller-Prince,,11-10,,
5:25.0,D. Lee enters the game for I. Taylor,,11-10,,
5:22.0,Turnover by D. Dedmon (traveling),,11-10,,
5:10.0,,,11-10,,O. Porter misses 2-pt shot from 2 ft
5:08.0,Defensive rebound by D. Lee,,11-10,,
5:03.0,T. Dorsey misses 3-pt shot from 24 ft,,11-10,,
4:58.0,,,11-10,,Defensive rebound by T. Satoransky
4:50.0,Personal foul by T. Dorsey (drawn by B. Beal),,11-10,,
4:50.0,,,11-10,,K. Oubre enters the game for O. Porter
4:50.0,M. Muscala enters the game for D. Dedmon,,11-10,,
4:50.0,M. Plumlee enters the game for J. Collins,,11-10,,
4:45.0,,,11-10,,Shooting foul by M. Plumlee (drawn by K. Oubre)
4:45.0,,,11-11,1,K. Oubre makes free throw 1 of 2
4:45.0,,,11-12,1,K. Oubre makes free throw 2 of 2
4:28.0,M. Plumlee misses 2-pt shot from 2 ft,,11-12,,
4:25.0,,,11-12,,Defensive rebound by M. Morris
4:18.0,,,11-12,,M. Morris misses 2-pt shot from 15 ft
4:15.0,Defensive rebound by M. Plumlee,,11-12,,
4:11.0,,,11-12,,Technical foul by M. Morris
4:11.0,,,11-12,,Technical foul by M. Morris
4:11.0,T. Waller-Prince makes technical free throw,1,12-12,,
4:11.0,,,12-12,,M. Scott enters the game for M. Morris
4:11.0,T. Waller-Prince makes technical free throw,1,13-12,,
4:04.0,T. Waller-Prince misses 3-pt shot from 26 ft,,13-12,,
4:00.0,,,13-12,,Defensive rebound by K. Oubre
3:49.0,,,13-12,,K. Oubre misses 2-pt shot from 16 ft
3:43.0,Defensive rebound by D. Lee,,13-12,,
3:38.0,M. Muscala misses 3-pt shot from 23 ft,,13-12,,
3:34.0,,,13-12,,Defensive rebound by K. Oubre
3:15.0,,,13-12,,B. Beal misses 2-pt shot from 18 ft
3:12.0,Defensive rebound by T. Dorsey,,13-12,,
3:05.0,Turnover by M. Muscala (turnover),,13-12,,
3:05.0,,,13-12,,Washington full timeout
3:05.0,,,13-12,,J. Smith enters the game for M. Gortat
3:05.0,,,13-12,,T. Frazier enters the game for T. Satoransky
2:50.0,,,13-12,,Shooting foul by T. Waller-Prince (drawn by J. Smith)
2:50.0,,,13-13,1,J. Smith makes free throw 1 of 2
2:50.0,,,13-14,1,J. Smith makes free throw 2 of 2
2:37.0,D. Lee makes 3-pt shot from 22 ft (assist by T. Waller-Prince),3,16-14,,
2:28.0,,,16-14,,B. Beal misses 3-pt shot from 26 ft
2:25.0,Defensive rebound by M. Muscala,,16-14,,
2:07.0,T. Dorsey misses 2-pt shot from 7 ft (block by J. Smith),,16-14,,
